Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	ZPos	StandDir	NpcSeriesAuto	Quantity	NpcType	NpcCamp	nShareType	ShowName	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	LevelSettingKey
	<i18n=958>		3045			50	77870	108643	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	78651	107467	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	77255	105091	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	79404	102411	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	83297	105050	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	83173	107017	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	77246	106906	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	81368	102580	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	78692	104178	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	83125	103339	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	80218	105974	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	126170	70533	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	128063	72406	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	124729	72289	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	124308	70341	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	126760	65796	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	130218	66472	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	130322	68581	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	128326	70454	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	128856	67472	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	126073	67214	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	128730	65836	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	129947	70422	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	115631	66542	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	115809	63409	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	112604	65161	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	113002	61412	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	116977	60555	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	126093	72561	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	114284	66252	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	116858	66167	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	113960	64821	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	114639	60294	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	118279	65048	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	89945	22391	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	89026	21496	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	89097	17504	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92294	16194	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	93721	16874	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	90235	17864	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92926	22437	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	90103	21065	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92808	17791	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92709	20970	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	99667	37386	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	98363	36880	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	97864	35324	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	99283	32481	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	98760	31370	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	100200	30550	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	101640	30552	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	101378	37136	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	102996	36073	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	97988	32868	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	100631	33943	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	101456	58169	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	101332	56152	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	102083	52705	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	106990	55723	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	106892	54110	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103222	53418	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	105088	59226	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	105148	57472	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	105521	53608	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103698	51782	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	106490	52834	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	88561	88308	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	87375	87071	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	86983	84773	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	87353	83129	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	88375	81768	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	91746	82050	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92294	83550	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	90951	83249	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	90044	81445	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	73048	79542	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	68257	77657	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	68883	73842	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	71963	72599	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	72679	74416	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	70440	72299	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	73626	73652	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	71866	79371	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	69779	77478	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	69856	74518	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	74105	77927	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	74129	76025	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	80215	70020	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	77869	66543	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	82487	63104	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	81384	69835	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	77993	68574	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	79530	68261	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	79615	63039	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	83351	65337	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	83217	68336	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22464	90533	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22920	87829	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	24603	86314	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26675	86342	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	28169	88232	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	25527	90081	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26839	94154	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	25096	94782	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	28078	90521	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26717	88369	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	24668	131996	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	20912	127225	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	21735	125442	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	25381	124523	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	25162	126054	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22881	126189	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	20798	129198	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26587	130224	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26516	125677	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	23014	124202	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	50997	125243	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53716	126134	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55059	119726	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	50468	121058	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	54504	120456	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	52029	120596	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	52259	126287	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	51951	124215	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55914	121174	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53347	118920	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	54349	124128	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	41728	100263	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	41993	94541	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	45462	94112	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	46861	94986	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	47150	97147	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	46271	100491	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	43249	101396	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	43163	99404	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	45740	99079	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	43570	94133	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	45747	95544	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56963	96534	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	52658	97278	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	51937	95363	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	52430	90983	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53779	89842	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57399	91362	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57586	93393	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57402	94875	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53517	95436	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55838	97124	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53576	91753	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56000	95128	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	59472	111689	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56677	112285	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55458	112061	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55850	105889	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57234	105724	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	58731	105483	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	60003	107063	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	59931	109070	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	54714	107145	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	58521	106862	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57320	109072	0	191	-1	-1	0	0	1						maplevel150
	<i18n=13918>		7251		0	1	94570	48840	0	191	-1				1						
	<i18n=16052>		7210		0	1	129276	80355	0	191	-1				1						
	<i18n=16099>		7211		0	1	118234	81563	0	191	-1				1						
	<i18n=3327>		7212		0	1	114458	78729	0	191	-1				1						
	<i18n=9463>		7213		0	1	117662	75405	0	191	-1				1						
	<i18n=4057>		10000		0	1	18317	113906	0	191	-1				1						
	<i18n=1518>		7234		0	1	49404	113707	0	191	-1				1						
	<i18n=1518>		7234		0	1	49376	111906	0	191	-1				1						
	<i18n=15723>		7235		0	1	45968	108908	0	191	-1				1						
	<i18n=14625>		12093		0	1	63869	46718	0	191	-1										
	<i18n=8300>		3046			50	56035	123348	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	24897	129747	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	21480	131084	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	23738	128176	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26811	127652	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22672	132061	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22588	129715	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	24096	92247	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	22602	92791	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	24215	88337	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	26365	92232	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	27957	92563	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	46905	99260	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	44697	101305	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	41292	98274	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	43078	96009	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	41452	96112	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	54008	97429	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56145	90088	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56110	91585	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	51865	92829	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56197	110782	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	58641	110319	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	57993	112269	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	56216	107144	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	54788	109742	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	50476	123488	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	55005	125120	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	53167	122253	0	191	-1	-1	0	0	1						maplevel150
	<i18n=8300>		3046			50	51484	119237	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	68860	79195	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	70207	79460	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	72595	77234	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	68225	75970	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	82144	67975	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	82104	64951	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	80786	66655	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	81202	63140	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	79592	64916	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	79093	69894	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	78428	64808	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	91014	86477	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	89858	88519	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	88492	83387	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	88331	86461	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	89776	84860	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	91056	87845	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	92273	86477	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	91490	19313	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	90606	16290	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	94243	18809	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	94007	20928	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	88611	19581	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	99430	35550	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	102084	35421	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103420	34475	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103363	32280	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	102167	32345	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103110	59264	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	103054	57009	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	101613	54416	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	105184	52040	0	191	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	106688	57666	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	80883	109356	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	82456	108896	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	81758	107592	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	78820	109455	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	82077	104089	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	109448	102013	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	111020	99820	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	105022	101926	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	106487	102010	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	107867	100590	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	110985	101204	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	109381	97025	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	108077	104250	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	106539	99072	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	90070	125534	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	92254	121718	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	86126	122986	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	87823	122818	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	86733	124559	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	91751	124415	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	91545	123553	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	91841	119974	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	90510	118115	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	90153	123366	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	88108	125425	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	86774	119162	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	90417	119675	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	87784	120052	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	88128	118020	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	117322	64622	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	113933	62135	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	112264	63056	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	118600	63525	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	118105	61353	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	117376	62084	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	129203	71964	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	125011	66675	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	124332	68175	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	86008	120785	0	191	-1	-1	0	0	1						maplevel150
	<i18n=20272>		7316		0	55	66432	49358	0	100	-1				1						
	<i18n=20265>		7321		0	55	26684	100012	0	191	-1				1						
	<i18n=20267>		7317		0	55	28553	118158	0	220	-1				1						
	<i18n=20282>		7318		0	55	32383	133336	0	0	-1				1						
	<i18n=20273>		7319		0	55	25950	108466	0	130	-1				1						
	<i18n=20263>		7320		0	55	91941	64826	0	191	-1				1						
	<i18n=21493>		7133		0	55	40200	124824	0	191	-1				1						
	<i18n=21493>		7133		0	55	42002	125127	0	191	-1				1						
	<i18n=20265>		7340		0	55	41899	146059	0	191	-1				1						
	<i18n=20268>		7341		0	55	82436	137488	0	191	-1				1						
	<i18n=20264>		7323		0	55	84313	137080	0	191	-1				1						
	<i18n=20271>		7322		0	55	68062	108391	0	191	-1				1						
	<i18n=20271>		7322		0	55	69196	110289	0	191	-1				1						
	<i18n=20271>		7322		0	55	69965	112122	0	191	-1				1						
	<i18n=21493>		7133		0	55	43545	125713	0	191	-1				1						
	<i18n=20270>		7324		0	55	61257	116544	0	191	-1				1						
