nLevel	szAward1	szAward2	szAward3	szAward4	szAward5	szAward6	szAward7	szAward8	szAward9	szAward10
45	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
46	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
47	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
48	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
49	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
50	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
51	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
52	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
53	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
54	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
55	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
56	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
57	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
58	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
59	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
60	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
61	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
62	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
63	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
64	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
65	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
66	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
67	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
