nWareId	nSort	szReputeType	nEquipPos	nLevel
234	108	WuWeiRepute	7	10
244	109	WuWeiRepute	9	10
254	110	WuWeiRepute	9	10
340	111	WuWeiRepute	1	10
346	112	WuWeiRepute	7	10
351	113	WuWeiRepute	9	10
203	114	WuWeiRepute	1	9
213	115	WuWeiRepute	1	9
223	116	WuWeiRepute	7	9
233	117	WuWeiRepute	7	9
243	118	WuWeiRepute	9	9
253	119	WuWeiRepute	9	9
339	120	WuWeiRepute	1	9
345	121	WuWeiRepute	7	9
350	122	WuWeiRepute	9	9
202	123	WuWeiRepute	1	8
212	124	WuWeiRepute	1	8
222	125	WuWeiRepute	7	8
232	126	WuWeiRepute	7	8
242	127	WuWeiRepute	9	8
252	128	WuWeiRepute	9	8
338	129	WuWeiRepute	1	8
344	130	WuWeiRepute	7	8
349	131	WuWeiRepute	9	8
201	132	WuWeiRepute	1	7
211	133	WuWeiRepute	1	7
221	134	WuWeiRepute	7	7
231	135	WuWeiRepute	7	7
241	136	WuWeiRepute	9	7
251	137	WuWeiRepute	9	7
337	138	WuWeiRepute	1	7
343	139	WuWeiRepute	7	7
348	140	WuWeiRepute	9	7
200	141	WuWeiRepute	1	6
210	142	WuWeiRepute	1	6
220	143	WuWeiRepute	7	6
230	144	WuWeiRepute	7	6
240	145	WuWeiRepute	9	6
250	146	WuWeiRepute	9	6
342	147	WuWeiRepute	7	6
347	148	WuWeiRepute	9	6
199	149	WuWeiRepute	1	5
209	150	WuWeiRepute	1	5
219	151	WuWeiRepute	7	5
229	152	WuWeiRepute	7	5
239	153	WuWeiRepute	9	5
249	154	WuWeiRepute	9	5
341	155	WuWeiRepute	7	5
198	156	WuWeiRepute	1	4
208	157	WuWeiRepute	1	4
218	158	WuWeiRepute	7	4
228	159	WuWeiRepute	7	4
238	160	WuWeiRepute	9	4
248	161	WuWeiRepute	9	4
197	162	WuWeiRepute	1	3
207	163	WuWeiRepute	1	3
217	164	WuWeiRepute	7	3
227	165	WuWeiRepute	7	3
237	166	WuWeiRepute	9	3
247	167	WuWeiRepute	9	3
196	168	WuWeiRepute	1	2
206	169	WuWeiRepute	1	2
216	170	WuWeiRepute	7	2
226	171	WuWeiRepute	7	2
236	172	WuWeiRepute	9	2
246	173	WuWeiRepute	9	2
195	174	WuWeiRepute	1	1
205	175	WuWeiRepute	1	1
215	176	WuWeiRepute	7	1
225	177	WuWeiRepute	7	1
235	178	WuWeiRepute	9	1
245	179	WuWeiRepute	9	1
481	180	XiaoYaoRepute	-1	-1
264	181	XiaoYaoRepute	8	10
274	182	XiaoYaoRepute	8	10
284	183	XiaoYaoRepute	3	10
294	184	XiaoYaoRepute	3	10
304	185	XiaoYaoRepute	4	10
314	186	XiaoYaoRepute	4	10
355	187	XiaoYaoRepute	8	10
362	188	XiaoYaoRepute	3	10
367	189	XiaoYaoRepute	4	10
263	190	XiaoYaoRepute	8	9
273	191	XiaoYaoRepute	8	9
283	192	XiaoYaoRepute	3	9
293	193	XiaoYaoRepute	3	9
303	194	XiaoYaoRepute	4	9
313	195	XiaoYaoRepute	4	9
354	196	XiaoYaoRepute	8	9
361	197	XiaoYaoRepute	3	9
366	198	XiaoYaoRepute	4	9
262	199	XiaoYaoRepute	8	8
272	200	XiaoYaoRepute	8	8
282	201	XiaoYaoRepute	3	8
292	202	XiaoYaoRepute	3	8
302	203	XiaoYaoRepute	4	8
312	204	XiaoYaoRepute	4	8
353	205	XiaoYaoRepute	8	8
360	206	XiaoYaoRepute	3	8
365	207	XiaoYaoRepute	4	8
261	208	XiaoYaoRepute	8	7
271	209	XiaoYaoRepute	8	7
281	210	XiaoYaoRepute	3	7
291	211	XiaoYaoRepute	3	7
301	212	XiaoYaoRepute	4	7
311	213	XiaoYaoRepute	4	7
352	214	XiaoYaoRepute	8	7
359	215	XiaoYaoRepute	3	7
364	216	XiaoYaoRepute	4	7
260	217	XiaoYaoRepute	8	6
270	218	XiaoYaoRepute	8	6
280	219	XiaoYaoRepute	3	6
290	220	XiaoYaoRepute	3	6
300	221	XiaoYaoRepute	4	6
310	222	XiaoYaoRepute	4	6
358	223	XiaoYaoRepute	3	6
363	224	XiaoYaoRepute	4	6
259	225	XiaoYaoRepute	8	5
269	226	XiaoYaoRepute	8	5
279	227	XiaoYaoRepute	3	5
289	228	XiaoYaoRepute	3	5
299	229	XiaoYaoRepute	4	5
309	230	XiaoYaoRepute	4	5
357	231	XiaoYaoRepute	3	5
258	232	XiaoYaoRepute	8	4
268	233	XiaoYaoRepute	8	4
278	234	XiaoYaoRepute	3	4
288	235	XiaoYaoRepute	3	4
298	236	XiaoYaoRepute	4	4
308	237	XiaoYaoRepute	4	4
356	238	XiaoYaoRepute	3	4
257	239	XiaoYaoRepute	8	3
267	240	XiaoYaoRepute	8	3
277	241	XiaoYaoRepute	3	3
287	242	XiaoYaoRepute	3	3
297	243	XiaoYaoRepute	4	3
307	244	XiaoYaoRepute	4	3
256	245	XiaoYaoRepute	8	2
266	246	XiaoYaoRepute	8	2
276	247	XiaoYaoRepute	3	2
286	248	XiaoYaoRepute	3	2
296	249	XiaoYaoRepute	4	2
306	250	XiaoYaoRepute	4	2
255	251	XiaoYaoRepute	8	1
265	252	XiaoYaoRepute	8	1
275	253	XiaoYaoRepute	3	1
285	254	XiaoYaoRepute	3	1
295	255	XiaoYaoRepute	4	1
305	256	XiaoYaoRepute	4	1
1121	417	ZhuLuRepute	5	11
1122	418	ZhuLuRepute	5	12
1123	419	ZhuLuRepute	5	13
1124	420	ZhuLuRepute	5	14
1125	421	ZhuLuRepute	5	15
1126	422	ZhuLuRepute	5	16
1127	423	ZhuLuRepute	5	17
1128	424	ZhuLuRepute	5	18
1129	425	ZhuLuRepute	6	11
1130	426	ZhuLuRepute	6	12
1131	427	ZhuLuRepute	6	13
1132	428	ZhuLuRepute	6	14
1133	429	ZhuLuRepute	6	15
1134	430	ZhuLuRepute	6	16
1135	431	ZhuLuRepute	6	17
1136	432	ZhuLuRepute	6	18
1137	433	ZhuLuRepute	0	11
1138	434	ZhuLuRepute	0	12
1139	435	ZhuLuRepute	0	13
1140	436	ZhuLuRepute	0	14
1141	437	ZhuLuRepute	0	15
1142	438	ZhuLuRepute	0	16
1143	439	ZhuLuRepute	0	17
1144	440	ZhuLuRepute	0	18
1145	441	ZhuLuRepute	2	11
1146	442	ZhuLuRepute	2	12
1147	443	ZhuLuRepute	2	13
1148	444	ZhuLuRepute	2	14
1149	445	ZhuLuRepute	2	15
1150	446	ZhuLuRepute	2	16
1151	447	ZhuLuRepute	2	17
1152	448	ZhuLuRepute	2	18
1153	449	WuWeiRepute	1	11
1154	450	WuWeiRepute	1	12
1155	451	WuWeiRepute	1	13
1156	452	WuWeiRepute	1	14
1157	453	WuWeiRepute	1	15
1158	454	WuWeiRepute	1	16
1159	455	WuWeiRepute	1	17
1160	456	WuWeiRepute	1	18
1161	457	WuWeiRepute	7	11
1162	458	WuWeiRepute	7	12
1163	459	WuWeiRepute	7	13
1164	460	WuWeiRepute	7	14
1165	461	WuWeiRepute	7	15
1166	462	WuWeiRepute	7	16
1167	463	WuWeiRepute	7	17
1168	464	WuWeiRepute	7	18
1169	465	WuWeiRepute	9	11
1170	466	WuWeiRepute	9	12
1171	467	WuWeiRepute	9	13
1172	468	WuWeiRepute	9	14
1173	469	WuWeiRepute	9	15
1174	470	WuWeiRepute	9	16
1175	471	WuWeiRepute	9	17
1176	472	WuWeiRepute	9	18
1177	473	XiaoYaoRepute	8	11
1178	474	XiaoYaoRepute	8	12
1179	475	XiaoYaoRepute	8	13
1180	476	XiaoYaoRepute	8	14
1181	477	XiaoYaoRepute	8	15
1182	478	XiaoYaoRepute	8	16
1183	479	XiaoYaoRepute	8	17
1184	480	XiaoYaoRepute	8	18
1185	481	XiaoYaoRepute	3	11
1186	482	XiaoYaoRepute	3	12
1187	483	XiaoYaoRepute	3	13
1188	484	XiaoYaoRepute	3	14
1189	485	XiaoYaoRepute	3	15
1190	486	XiaoYaoRepute	3	16
1191	487	XiaoYaoRepute	3	17
1192	488	XiaoYaoRepute	3	18
1193	489	XiaoYaoRepute	4	11
1194	490	XiaoYaoRepute	4	12
1195	491	XiaoYaoRepute	4	13
1196	492	XiaoYaoRepute	4	14
1197	493	XiaoYaoRepute	4	15
1198	494	XiaoYaoRepute	4	16
1199	495	XiaoYaoRepute	4	17
1200	496	XiaoYaoRepute	4	18
955	257	ZhuLuRepute	5	11
956	258	ZhuLuRepute	5	12
957	259	ZhuLuRepute	5	13
958	260	ZhuLuRepute	5	14
959	261	ZhuLuRepute	5	15
960	262	ZhuLuRepute	5	16
961	263	ZhuLuRepute	5	17
962	264	ZhuLuRepute	5	18
963	265	ZhuLuRepute	5	11
964	266	ZhuLuRepute	5	12
965	267	ZhuLuRepute	5	13
966	268	ZhuLuRepute	5	14
967	269	ZhuLuRepute	5	15
968	270	ZhuLuRepute	5	16
969	271	ZhuLuRepute	5	17
970	272	ZhuLuRepute	5	18
971	273	ZhuLuRepute	6	11
972	274	ZhuLuRepute	6	12
973	275	ZhuLuRepute	6	13
974	276	ZhuLuRepute	6	14
975	277	ZhuLuRepute	6	15
976	278	ZhuLuRepute	6	16
977	279	ZhuLuRepute	6	17
978	280	ZhuLuRepute	6	18
979	281	ZhuLuRepute	6	11
980	282	ZhuLuRepute	6	12
981	283	ZhuLuRepute	6	13
982	284	ZhuLuRepute	6	14
983	285	ZhuLuRepute	6	15
984	286	ZhuLuRepute	6	16
985	287	ZhuLuRepute	6	17
986	288	ZhuLuRepute	6	18
987	289	ZhuLuRepute	0	11
988	290	ZhuLuRepute	0	12
989	291	ZhuLuRepute	0	13
990	292	ZhuLuRepute	0	14
991	293	ZhuLuRepute	0	15
992	294	ZhuLuRepute	0	16
993	295	ZhuLuRepute	0	17
994	296	ZhuLuRepute	0	18
995	297	ZhuLuRepute	0	11
996	298	ZhuLuRepute	0	12
997	299	ZhuLuRepute	0	13
998	300	ZhuLuRepute	0	14
999	301	ZhuLuRepute	0	15
1000	302	ZhuLuRepute	0	16
1001	303	ZhuLuRepute	0	17
1002	304	ZhuLuRepute	0	18
1003	305	ZhuLuRepute	2	11
1004	306	ZhuLuRepute	2	12
1005	307	ZhuLuRepute	2	13
1006	308	ZhuLuRepute	2	14
1007	309	ZhuLuRepute	2	15
1008	310	ZhuLuRepute	2	16
1009	311	ZhuLuRepute	2	17
1010	312	ZhuLuRepute	2	18
1011	313	ZhuLuRepute	2	11
1012	314	ZhuLuRepute	2	12
1013	315	ZhuLuRepute	2	13
1014	316	ZhuLuRepute	2	14
1015	317	ZhuLuRepute	2	15
1016	318	ZhuLuRepute	2	16
1017	319	ZhuLuRepute	2	17
1018	320	ZhuLuRepute	2	18
1019	321	WuWeiRepute	1	11
1020	322	WuWeiRepute	1	12
1021	323	WuWeiRepute	1	13
1022	324	WuWeiRepute	1	14
1023	325	WuWeiRepute	1	15
1024	326	WuWeiRepute	1	16
1025	327	WuWeiRepute	1	17
1026	328	WuWeiRepute	1	18
1027	329	WuWeiRepute	1	11
1028	330	WuWeiRepute	1	12
1029	331	WuWeiRepute	1	13
1030	332	WuWeiRepute	1	14
1031	333	WuWeiRepute	1	15
1032	334	WuWeiRepute	1	16
1033	335	WuWeiRepute	1	17
1034	336	WuWeiRepute	1	18
1035	337	WuWeiRepute	7	11
1036	338	WuWeiRepute	7	12
1037	339	WuWeiRepute	7	13
1038	340	WuWeiRepute	7	14
1039	341	WuWeiRepute	7	15
1040	342	WuWeiRepute	7	16
1041	343	WuWeiRepute	7	17
1042	344	WuWeiRepute	7	18
1043	345	WuWeiRepute	7	11
1044	346	WuWeiRepute	7	12
1045	347	WuWeiRepute	7	13
1046	348	WuWeiRepute	7	14
1047	349	WuWeiRepute	7	15
1048	350	WuWeiRepute	7	16
1049	351	WuWeiRepute	7	17
1050	352	WuWeiRepute	7	18
1051	353	WuWeiRepute	9	11
1052	354	WuWeiRepute	9	12
1053	355	WuWeiRepute	9	13
1054	356	WuWeiRepute	9	14
1055	357	WuWeiRepute	9	15
1056	358	WuWeiRepute	9	16
1057	359	WuWeiRepute	9	17
1058	360	WuWeiRepute	9	18
1059	361	WuWeiRepute	9	11
1060	362	WuWeiRepute	9	12
1061	363	WuWeiRepute	9	13
1062	364	WuWeiRepute	9	14
1063	365	WuWeiRepute	9	15
1064	366	WuWeiRepute	9	16
1065	367	WuWeiRepute	9	17
1066	368	WuWeiRepute	9	18
1067	369	XiaoYaoRepute	8	11
1068	370	XiaoYaoRepute	8	12
1069	371	XiaoYaoRepute	8	13
1070	372	XiaoYaoRepute	8	14
1071	373	XiaoYaoRepute	8	15
1072	374	XiaoYaoRepute	8	16
1073	375	XiaoYaoRepute	8	17
1074	376	XiaoYaoRepute	8	18
1075	377	XiaoYaoRepute	8	11
1076	378	XiaoYaoRepute	8	12
1077	379	XiaoYaoRepute	8	13
1078	380	XiaoYaoRepute	8	14
1079	381	XiaoYaoRepute	8	15
1080	382	XiaoYaoRepute	8	16
1081	383	XiaoYaoRepute	8	17
1082	384	XiaoYaoRepute	8	18
1083	385	XiaoYaoRepute	3	11
1084	386	XiaoYaoRepute	3	12
1085	387	XiaoYaoRepute	3	13
1086	388	XiaoYaoRepute	3	14
1087	389	XiaoYaoRepute	3	15
1088	390	XiaoYaoRepute	3	16
1089	391	XiaoYaoRepute	3	17
1090	392	XiaoYaoRepute	3	18
1091	393	XiaoYaoRepute	3	11
1092	394	XiaoYaoRepute	3	12
1093	395	XiaoYaoRepute	3	13
1094	396	XiaoYaoRepute	3	14
1095	397	XiaoYaoRepute	3	15
1096	398	XiaoYaoRepute	3	16
1097	399	XiaoYaoRepute	3	17
1098	400	XiaoYaoRepute	3	18
1099	401	XiaoYaoRepute	4	11
1100	402	XiaoYaoRepute	4	12
1101	403	XiaoYaoRepute	4	13
1102	404	XiaoYaoRepute	4	14
1103	405	XiaoYaoRepute	4	15
1104	406	XiaoYaoRepute	4	16
1105	407	XiaoYaoRepute	4	17
1106	408	XiaoYaoRepute	4	18
1107	409	XiaoYaoRepute	4	11
1108	410	XiaoYaoRepute	4	12
1109	411	XiaoYaoRepute	4	13
1110	412	XiaoYaoRepute	4	14
1111	413	XiaoYaoRepute	4	15
1112	414	XiaoYaoRepute	4	16
1113	415	XiaoYaoRepute	4	17
1114	416	XiaoYaoRepute	4	18
2992	497	ZhuLuRepute	5	19
2993	498	ZhuLuRepute	5	20
2994	499	ZhuLuRepute	5	21
2995	500	ZhuLuRepute	5	22
2996	501	ZhuLuRepute	5	23
2997	502	ZhuLuRepute	5	24
2998	503	ZhuLuRepute	5	25
2999	504	ZhuLuRepute	5	26
3000	505	ZhuLuRepute	5	27
3001	506	ZhuLuRepute	5	28
3002	507	ZhuLuRepute	5	19
3003	508	ZhuLuRepute	5	20
3004	509	ZhuLuRepute	5	21
3005	510	ZhuLuRepute	5	22
3006	511	ZhuLuRepute	5	23
3007	512	ZhuLuRepute	5	24
3008	513	ZhuLuRepute	5	25
3009	514	ZhuLuRepute	5	26
3010	515	ZhuLuRepute	5	27
3011	516	ZhuLuRepute	5	28
3012	517	ZhuLuRepute	6	19
3013	518	ZhuLuRepute	6	20
3014	519	ZhuLuRepute	6	21
3015	520	ZhuLuRepute	6	22
3016	521	ZhuLuRepute	6	23
3017	522	ZhuLuRepute	6	24
3018	523	ZhuLuRepute	6	25
3019	524	ZhuLuRepute	6	26
3020	525	ZhuLuRepute	6	27
3021	526	ZhuLuRepute	6	28
3022	527	ZhuLuRepute	6	19
3023	528	ZhuLuRepute	6	20
3024	529	ZhuLuRepute	6	21
3025	530	ZhuLuRepute	6	22
3026	531	ZhuLuRepute	6	23
3027	532	ZhuLuRepute	6	24
3028	533	ZhuLuRepute	6	25
3029	534	ZhuLuRepute	6	26
3030	535	ZhuLuRepute	6	27
3031	536	ZhuLuRepute	6	28
3032	537	ZhuLuRepute	0	19
3033	538	ZhuLuRepute	0	20
3034	539	ZhuLuRepute	0	21
3035	540	ZhuLuRepute	0	22
3036	541	ZhuLuRepute	0	23
3037	542	ZhuLuRepute	0	24
3038	543	ZhuLuRepute	0	25
3039	544	ZhuLuRepute	0	26
3040	545	ZhuLuRepute	0	27
3041	546	ZhuLuRepute	0	28
3042	547	ZhuLuRepute	0	19
3043	548	ZhuLuRepute	0	20
3044	549	ZhuLuRepute	0	21
3045	550	ZhuLuRepute	0	22
3046	551	ZhuLuRepute	0	23
3047	552	ZhuLuRepute	0	24
3048	553	ZhuLuRepute	0	25
3049	554	ZhuLuRepute	0	26
3050	555	ZhuLuRepute	0	27
3051	556	ZhuLuRepute	0	28
3052	557	ZhuLuRepute	2	19
3053	558	ZhuLuRepute	2	20
3054	559	ZhuLuRepute	2	21
3055	560	ZhuLuRepute	2	22
3056	561	ZhuLuRepute	2	23
3057	562	ZhuLuRepute	2	24
3058	563	ZhuLuRepute	2	25
3059	564	ZhuLuRepute	2	26
3060	565	ZhuLuRepute	2	27
3061	566	ZhuLuRepute	2	28
3062	567	ZhuLuRepute	2	19
3063	568	ZhuLuRepute	2	20
3064	569	ZhuLuRepute	2	21
3065	570	ZhuLuRepute	2	22
3066	571	ZhuLuRepute	2	23
3067	572	ZhuLuRepute	2	24
3068	573	ZhuLuRepute	2	25
3069	574	ZhuLuRepute	2	26
3070	575	ZhuLuRepute	2	27
3071	576	ZhuLuRepute	2	28
3072	577	WuWeiRepute	1	19
3073	578	WuWeiRepute	1	20
3074	579	WuWeiRepute	1	21
3075	580	WuWeiRepute	1	22
3076	581	WuWeiRepute	1	23
3077	582	WuWeiRepute	1	24
3078	583	WuWeiRepute	1	25
3079	584	WuWeiRepute	1	26
3080	585	WuWeiRepute	1	27
3081	586	WuWeiRepute	1	28
3082	587	WuWeiRepute	1	19
3083	588	WuWeiRepute	1	20
3084	589	WuWeiRepute	1	21
3085	590	WuWeiRepute	1	22
3086	591	WuWeiRepute	1	23
3087	592	WuWeiRepute	1	24
3088	593	WuWeiRepute	1	25
3089	594	WuWeiRepute	1	26
3090	595	WuWeiRepute	1	27
3091	596	WuWeiRepute	1	28
3092	597	WuWeiRepute	7	19
3093	598	WuWeiRepute	7	20
3094	599	WuWeiRepute	7	21
3095	600	WuWeiRepute	7	22
3096	601	WuWeiRepute	7	23
3097	602	WuWeiRepute	7	24
3098	603	WuWeiRepute	7	25
3099	604	WuWeiRepute	7	26
3100	605	WuWeiRepute	7	27
3101	606	WuWeiRepute	7	28
3102	607	WuWeiRepute	7	19
3103	608	WuWeiRepute	7	20
3104	609	WuWeiRepute	7	21
3105	610	WuWeiRepute	7	22
3106	611	WuWeiRepute	7	23
3107	612	WuWeiRepute	7	24
3108	613	WuWeiRepute	7	25
3109	614	WuWeiRepute	7	26
3110	615	WuWeiRepute	7	27
3111	616	WuWeiRepute	7	28
3112	617	WuWeiRepute	9	19
3113	618	WuWeiRepute	9	20
3114	619	WuWeiRepute	9	21
3115	620	WuWeiRepute	9	22
3116	621	WuWeiRepute	9	23
3117	622	WuWeiRepute	9	24
3118	623	WuWeiRepute	9	25
3119	624	WuWeiRepute	9	26
3120	625	WuWeiRepute	9	27
3121	626	WuWeiRepute	9	28
3122	627	WuWeiRepute	9	19
3123	628	WuWeiRepute	9	20
3124	629	WuWeiRepute	9	21
3125	630	WuWeiRepute	9	22
3126	631	WuWeiRepute	9	23
3127	632	WuWeiRepute	9	24
3128	633	WuWeiRepute	9	25
3129	634	WuWeiRepute	9	26
3130	635	WuWeiRepute	9	27
3131	636	WuWeiRepute	9	28
3132	637	XiaoYaoRepute	8	19
3133	638	XiaoYaoRepute	8	20
3134	639	XiaoYaoRepute	8	21
3135	640	XiaoYaoRepute	8	22
3136	641	XiaoYaoRepute	8	23
3137	642	XiaoYaoRepute	8	24
3138	643	XiaoYaoRepute	8	25
3139	644	XiaoYaoRepute	8	26
3140	645	XiaoYaoRepute	8	27
3141	646	XiaoYaoRepute	8	28
3142	647	XiaoYaoRepute	8	19
3143	648	XiaoYaoRepute	8	20
3144	649	XiaoYaoRepute	8	21
3145	650	XiaoYaoRepute	8	22
3146	651	XiaoYaoRepute	8	23
3147	652	XiaoYaoRepute	8	24
3148	653	XiaoYaoRepute	8	25
3149	654	XiaoYaoRepute	8	26
3150	655	XiaoYaoRepute	8	27
3151	656	XiaoYaoRepute	8	28
3152	657	XiaoYaoRepute	3	19
3153	658	XiaoYaoRepute	3	20
3154	659	XiaoYaoRepute	3	21
3155	660	XiaoYaoRepute	3	22
3156	661	XiaoYaoRepute	3	23
3157	662	XiaoYaoRepute	3	24
3158	663	XiaoYaoRepute	3	25
3159	664	XiaoYaoRepute	3	26
3160	665	XiaoYaoRepute	3	27
3161	666	XiaoYaoRepute	3	28
3162	667	XiaoYaoRepute	3	19
3163	668	XiaoYaoRepute	3	20
3164	669	XiaoYaoRepute	3	21
3165	670	XiaoYaoRepute	3	22
3166	671	XiaoYaoRepute	3	23
3167	672	XiaoYaoRepute	3	24
3168	673	XiaoYaoRepute	3	25
3169	674	XiaoYaoRepute	3	26
3170	675	XiaoYaoRepute	3	27
3171	676	XiaoYaoRepute	3	28
3172	677	XiaoYaoRepute	4	19
3173	678	XiaoYaoRepute	4	20
3174	679	XiaoYaoRepute	4	21
3175	680	XiaoYaoRepute	4	22
3176	681	XiaoYaoRepute	4	23
3177	682	XiaoYaoRepute	4	24
3178	683	XiaoYaoRepute	4	25
3179	684	XiaoYaoRepute	4	26
3180	685	XiaoYaoRepute	4	27
3181	686	XiaoYaoRepute	4	28
3182	687	XiaoYaoRepute	4	19
3183	688	XiaoYaoRepute	4	20
3184	689	XiaoYaoRepute	4	21
3185	690	XiaoYaoRepute	4	22
3186	691	XiaoYaoRepute	4	23
3187	692	XiaoYaoRepute	4	24
3188	693	XiaoYaoRepute	4	25
3189	694	XiaoYaoRepute	4	26
3190	695	XiaoYaoRepute	4	27
3191	696	XiaoYaoRepute	4	28
3192	697	ZhuLuRepute	5	19
3193	698	ZhuLuRepute	5	20
3194	699	ZhuLuRepute	5	21
3195	700	ZhuLuRepute	5	22
3196	701	ZhuLuRepute	5	23
3197	702	ZhuLuRepute	5	24
3198	703	ZhuLuRepute	5	25
3199	704	ZhuLuRepute	5	26
3200	705	ZhuLuRepute	5	27
3201	706	ZhuLuRepute	5	28
3202	707	ZhuLuRepute	6	19
3203	708	ZhuLuRepute	6	20
3204	709	ZhuLuRepute	6	21
3205	710	ZhuLuRepute	6	22
3206	711	ZhuLuRepute	6	23
3207	712	ZhuLuRepute	6	24
3208	713	ZhuLuRepute	6	25
3209	714	ZhuLuRepute	6	26
3210	715	ZhuLuRepute	6	27
3211	716	ZhuLuRepute	6	28
3212	717	ZhuLuRepute	0	19
3213	718	ZhuLuRepute	0	20
3214	719	ZhuLuRepute	0	21
3215	720	ZhuLuRepute	0	22
3216	721	ZhuLuRepute	0	23
3217	722	ZhuLuRepute	0	24
3218	723	ZhuLuRepute	0	25
3219	724	ZhuLuRepute	0	26
3220	725	ZhuLuRepute	0	27
3221	726	ZhuLuRepute	0	28
3222	727	ZhuLuRepute	2	19
3223	728	ZhuLuRepute	2	20
3224	729	ZhuLuRepute	2	21
3225	730	ZhuLuRepute	2	22
3226	731	ZhuLuRepute	2	23
3227	732	ZhuLuRepute	2	24
3228	733	ZhuLuRepute	2	25
3229	734	ZhuLuRepute	2	26
3230	735	ZhuLuRepute	2	27
3231	736	ZhuLuRepute	2	28
3232	737	WuWeiRepute	1	19
3233	738	WuWeiRepute	1	20
3234	739	WuWeiRepute	1	21
3235	740	WuWeiRepute	1	22
3236	741	WuWeiRepute	1	23
3237	742	WuWeiRepute	1	24
3238	743	WuWeiRepute	1	25
3239	744	WuWeiRepute	1	26
3240	745	WuWeiRepute	1	27
3241	746	WuWeiRepute	1	28
3242	747	WuWeiRepute	7	19
3243	748	WuWeiRepute	7	20
3244	749	WuWeiRepute	7	21
3245	750	WuWeiRepute	7	22
