nWareId	nSort	Level	Pool	Count	Discount	TimeFrame	HotTip	MinLevel
427	25	11	1					1
428	26	11	1					1
429	27	11	1					1
430	28	11	1					1
431	29	11	1					1
432	30	11	1					1
433	31	11	1					1
434	32	11	1					1
435	33	11	1					1
436	34	11	1					1
441	3	11	8					1
442	8	11	9					1
443	11	11	10					1
440	13	11	7					1
416	6	12	3					1
417	15	12	1					1
418	16	12	1					1
419	17	12	1					1
420	18	12	1					1
421	19	12	1					1
422	20	12	1					1
423	21	12	1					1
424	22	12	1					1
425	23	12	1					1
426	24	12	1					1
427	25	12	1					1
428	26	12	1					1
429	27	12	1					1
430	28	12	1					1
431	29	12	1					1
432	30	12	1					1
433	31	12	1					1
434	32	12	1					1
435	33	12	1					1
436	34	12	1					1
441	3	12	8					1
442	8	12	9					1
443	11	12	10					1
440	13	12	7					1
416	6	13	3					1
417	15	13	1					1
418	16	13	1					1
419	17	13	1					1
420	18	13	1					1
421	19	13	1					1
422	20	13	1					1
423	21	13	1					1
424	22	13	1					1
425	23	13	1					1
426	24	13	1					1
427	25	13	1					1
428	26	13	1					1
429	27	13	1					1
430	28	13	1					1
431	29	13	1					1
432	30	13	1					1
433	31	13	1					1
434	32	13	1					1
435	33	13	1					1
436	34	13	1					1
441	3	13	8					1
442	8	13	9					1
443	11	13	10					1
440	13	13	7					1
416	6	14	3					1
417	15	14	1					1
418	16	14	1					1
419	17	14	1					1
420	18	14	1					1
421	19	14	1					1
422	20	14	1					1
423	21	14	1					1
424	22	14	1					1
425	23	14	1					1
426	24	14	1					1
427	25	14	1					1
428	26	14	1					1
429	27	14	1					1
430	28	14	1					1
431	29	14	1					1
432	30	14	1					1
433	31	14	1					1
434	32	14	1					1
435	33	14	1					1
436	34	14	1					1
441	3	14	8					1
442	8	14	9					1
443	11	14	10					1
440	13	14	7					1
416	6	15	3					1
417	15	15	1					1
418	16	15	1					1
419	17	15	1					1
420	18	15	1					1
421	19	15	1					1
422	20	15	1					1
423	21	15	1					1
424	22	15	1					1
425	23	15	1					1
426	24	15	1					1
427	25	15	1					1
428	26	15	1					1
429	27	15	1					1
430	28	15	1					1
431	29	15	1					1
432	30	15	1					1
433	31	15	1					1
434	32	15	1					1
435	33	15	1					1
436	34	15	1					1
441	3	15	8					1
442	8	15	9					1
443	11	15	10					1
440	13	15	7					1
416	6	16	3					1
417	15	16	1					1
418	16	16	1					1
419	17	16	1					1
420	18	16	1					1
421	19	16	1					1
422	20	16	1					1
423	21	16	1					1
424	22	16	1					1
425	23	16	1					1
426	24	16	1					1
427	25	16	1					1
428	26	16	1					1
429	27	16	1					1
430	28	16	1					1
431	29	16	1					1
432	30	16	1					1
433	31	16	1					1
434	32	16	1					1
435	33	16	1					1
436	34	16	1					1
441	3	16	8					1
442	8	16	9					1
443	11	16	10					1
440	13	16	7					1
416	6	17	3					1
417	15	17	1					1
418	16	17	1					1
419	17	17	1					1
420	18	17	1					1
421	19	17	1					1
422	20	17	1					1
423	21	17	1					1
424	22	17	1					1
425	23	17	1					1
426	24	17	1					1
427	25	17	1					1
428	26	17	1					1
429	27	17	1					1
430	28	17	1					1
431	29	17	1					1
432	30	17	1					1
433	31	17	1					1
434	32	17	1					1
435	33	17	1					1
436	34	17	1					1
441	3	17	8					1
442	8	17	9					1
443	11	17	10					1
440	13	17	7					1
416	6	18	3					1
417	15	18	1					1
418	16	18	1					1
419	17	18	1					1
420	18	18	1					1
421	19	18	1					1
422	20	18	1					1
423	21	18	1					1
424	22	18	1					1
425	23	18	1					1
426	24	18	1					1
427	25	18	1					1
428	26	18	1					1
429	27	18	1					1
430	28	18	1					1
431	29	18	1					1
432	30	18	1					1
433	31	18	1					1
434	32	18	1					1
435	33	18	1					1
436	34	18	1					1
441	3	18	8					1
442	8	18	9					1
443	11	18	10					1
440	13	18	7					1
416	6	19	3					1
417	15	19	1					1
418	16	19	1					1
419	17	19	1					1
420	18	19	1					1
421	19	19	1					1
422	20	19	1					1
423	21	19	1					1
424	22	19	1					1
425	23	19	1					1
426	24	19	1					1
427	25	19	1					1
428	26	19	1					1
429	27	19	1					1
430	28	19	1					1
431	29	19	1					1
432	30	19	1					1
433	31	19	1					1
434	32	19	1					1
435	33	19	1					1
436	34	19	1					1
441	3	19	8					1
442	8	19	9					1
443	11	19	10					1
440	13	19	7					1
416	6	20	3					1
417	15	20	1					1
418	16	20	1					1
419	17	20	1					1
420	18	20	1					1
421	19	20	1					1
422	20	20	1					1
423	21	20	1					1
424	22	20	1					1
425	23	20	1					1
426	24	20	1					1
427	25	20	1					1
428	26	20	1					1
429	27	20	1					1
430	28	20	1					1
431	29	20	1					1
432	30	20	1					1
433	31	20	1					1
434	32	20	1					1
435	33	20	1					1
436	34	20	1					1
441	3	20	8					1
442	8	20	9					1
443	11	20	10					1
440	13	20	7					1
416	6	21	3					1
417	15	21	1					1
418	16	21	1					1
419	17	21	1					1
420	18	21	1					1
421	19	21	1					1
422	20	21	1					1
423	21	21	1					1
424	22	21	1					1
425	23	21	1					1
426	24	21	1					1
427	25	21	1					1
428	26	21	1					1
429	27	21	1					1
430	28	21	1					1
431	29	21	1					1
432	30	21	1					1
433	31	21	1					1
434	32	21	1					1
435	33	21	1					1
436	34	21	1					1
441	3	21	8					1
442	8	21	9					1
443	11	21	10					1
440	13	21	7					1
416	6	22	3					1
417	15	22	1					1
418	16	22	1					1
419	17	22	1					1
420	18	22	1					1
421	19	22	1					1
422	20	22	1					1
423	21	22	1					1
424	22	22	1					1
425	23	22	1					1
426	24	22	1					1
427	25	22	1					1
428	26	22	1					1
429	27	22	1					1
430	28	22	1					1
431	29	22	1					1
432	30	22	1					1
433	31	22	1					1
434	32	22	1					1
435	33	22	1					1
436	34	22	1					1
441	3	22	8					1
442	8	22	9					1
443	11	22	10					1
440	13	22	7					1
416	6	23	3					1
417	15	23	1					1
418	16	23	1					1
419	17	23	1					1
420	18	23	1					1
421	19	23	1					1
422	20	23	1					1
423	21	23	1					1
424	22	23	1					1
425	23	23	1					1
426	24	23	1					1
427	25	23	1					1
428	26	23	1					1
429	27	23	1					1
430	28	23	1					1
431	29	23	1					1
432	30	23	1					1
433	31	23	1					1
434	32	23	1					1
435	33	23	1					1
436	34	23	1					1
441	3	23	8					1
442	8	23	9					1
443	11	23	10					1
440	13	23	7					1
416	6	24	3					1
417	15	24	1					1
418	16	24	1					1
419	17	24	1					1
420	18	24	1					1
421	19	24	1					1
422	20	24	1					1
423	21	24	1					1
424	22	24	1					1
425	23	24	1					1
426	24	24	1					1
427	25	24	1					1
428	26	24	1					1
429	27	24	1					1
430	28	24	1					1
431	29	24	1					1
432	30	24	1					1
433	31	24	1					1
434	32	24	1					1
435	33	24	1					1
436	34	24	1					1
441	3	24	8					1
442	8	24	9					1
443	11	24	10					1
440	13	24	7					1
416	6	25	3					1
417	15	25	1					1
418	16	25	1					1
419	17	25	1					1
420	18	25	1					1
421	19	25	1					1
422	20	25	1					1
423	21	25	1					1
424	22	25	1					1
425	23	25	1					1
426	24	25	1					1
427	25	25	1					1
428	26	25	1					1
429	27	25	1					1
430	28	25	1					1
431	29	25	1					1
432	30	25	1					1
433	31	25	1					1
434	32	25	1					1
435	33	25	1					1
436	34	25	1					1
441	3	25	8					1
442	8	25	9					1
443	11	25	10					1
440	13	25	7					1
416	6	26	3					1
417	15	26	1					1
418	16	26	1					1
419	17	26	1					1
420	18	26	1					1
421	19	26	1					1
422	20	26	1					1
423	21	26	1					1
424	22	26	1					1
425	23	26	1					1
426	24	26	1					1
427	25	26	1					1
428	26	26	1					1
429	27	26	1					1
430	28	26	1					1
431	29	26	1					1
432	30	26	1					1
433	31	26	1					1
434	32	26	1					1
435	33	26	1					1
436	34	26	1					1
441	3	26	8					1
442	8	26	9					1
443	11	26	10					1
440	13	26	7					1
416	6	27	3					1
417	15	27	1					1
418	16	27	1					1
419	17	27	1					1
420	18	27	1					1
421	19	27	1					1
422	20	27	1					1
423	21	27	1					1
424	22	27	1					1
425	23	27	1					1
426	24	27	1					1
427	25	27	1					1
428	26	27	1					1
429	27	27	1					1
430	28	27	1					1
431	29	27	1					1
432	30	27	1					1
433	31	27	1					1
434	32	27	1					1
435	33	27	1					1
436	34	27	1					1
441	3	27	8					1
442	8	27	9					1
443	11	27	10					1
440	13	27	7					1
416	6	28	3					1
417	15	28	1					1
418	16	28	1					1
419	17	28	1					1
420	18	28	1					1
421	19	28	1					1
422	20	28	1					1
423	21	28	1					1
424	22	28	1					1
425	23	28	1					1
426	24	28	1					1
427	25	28	1					1
428	26	28	1					1
429	27	28	1					1
430	28	28	1					1
431	29	28	1					1
432	30	28	1					1
433	31	28	1					1
434	32	28	1					1
435	33	28	1					1
436	34	28	1					1
441	3	28	8					1
442	8	28	9					1
443	11	28	10					1
440	13	28	7					1
