nNpcId	nMapId	nWareId	nSort
11097		2823	5
11097		2824	6
11097		2825	7
11097		2826	8
11097		2827	9
11097		2828	10
11097		2829	11
11097		2830	12
11097		2831	13
11097		2832	14
11097		2833	15
11097		2834	16
11097		2835	17
11097		2836	18
11097		2837	19
11097		2838	20
11097		2839	21
11097		2840	22
11097		2841	23
11097		2842	24
11097		2843	25
11097		2844	26
11098		2845	1
11098		2846	2
11098		2847	3
11098		2848	4
11098		2849	5
11098		2850	6
11098		2851	7
11098		2852	8
11098		2853	9
11098		2854	10
11098		2855	11
11098		2856	12
11098		2857	13
11098		2858	14
11098		2859	15
11098		2860	16
11098		2861	17
11098		2862	18
11098		2863	19
11098		2864	20
11098		2865	21
11098		2866	22
11098		2867	23
11098		2868	24
11098		2869	25
11098		2870	26
11099		2871	1
11099		2872	2
11099		2873	3
11099		2874	4
11099		2875	5
11099		2876	6
11099		2877	7
11099		2878	8
11099		2879	9
11099		2880	10
11099		2881	11
11099		2882	12
11099		2883	13
11099		2884	14
11099		2885	15
11099		2886	16
11099		2887	17
11099		2888	18
11099		2889	19
11099		2890	20
11099		2891	21
11099		2892	22
11099		2893	23
11099		2894	24
11099		2895	25
11099		2896	26
11100		2897	1
11100		2898	2
11100		2899	3
11100		2900	4
11100		2901	5
11100		2902	6
11100		2903	7
11100		2904	8
11100		2905	9
11100		2906	10
11100		2907	11
11100		2908	12
11100		2909	13
11100		2910	14
11100		2911	15
11100		2912	16
11100		2913	17
11100		2914	18
11100		2915	19
11100		2916	20
11100		2917	21
11100		2918	22
11100		2919	23
11100		2920	24
11100		2921	25
12297		726	1
12297		727	2
12297		728	3
12297		729	4
12297		730	5
12297		731	6
12297		732	7
12297		733	8
12297		734	9
12297		735	10
12297		736	11
12297		737	12
12297		738	13
12297		739	14
12297		740	15
12297		741	16
12297		742	17
12297		743	18
12297		744	19
12300		3898	1
12300		3899	2
12300		4164	3
12300		3900	4
12300		3901	5
12300		3902	6
12300		3903	7
12300		3904	8
12300		3905	9
12300		3906	10
12300		3907	11
12300		3908	12
12300		3909	13
12300		3910	14
12300		3911	15
12300		4166	16
12300		4165	17
12300		3912	18
12300		3913	19
12300		3914	20
12300		3915	21
12300		3916	22
12300		3917	23
12300		3918	24
12300		3919	25
12300		3920	26
12300		3921	27
12300		3922	28
12300		3923	29
12300		3924	30
12300		3925	31
12300		3926	32
12300		3927	33
12300		3928	34
12300		3929	35
12300		3930	36
12300		3931	37
12300		3932	38
12300		3933	39
12300		3934	40
12300		3935	41
12300		3936	42
12300		3937	43
12300		3938	44
12300		3939	45
12349		2242	1
12349		2243	2
12349		2244	3
12349		2245	4
12349		2246	5
12349		2247	6
12349		2248	7
12349		2249	8
12349		2250	9
12349		2251	10
12349		4131	11
12349		3887	12
12349		3888	13
12349		4097	14
12349		4098	15
12349		3895	16
12349		4099	17
12349		3889	18
12349		4100	19
12349		3890	20
12349		3891	21
12349		3892	22
12349		4101	23
12349		4102	24
12349		2257	25
12349		2258	26
12349		2259	27
12349		2260	28
12349		2261	29
12383		919	1
12383		930	2
12383		931	3
12383		932	4
12383		920	5
12383		921	6
12383		922	7
12383		923	8
12383		924	9
12383		925	10
12383		926	11
12383		927	12
12383		928	13
12383		929	14
12383		933	15
12383		934	16
12383		935	17
12383		936	18
12383		937	19
12383		938	20
12383		939	21
12399		1348	1
12399		1349	2
12399		1350	3
12399		1351	4
12399		1352	5
12399		1353	6
12399		1354	7
12399		1355	8
12399		1356	9
12399		1357	10
12399		1358	11
12399		1359	12
12399		1360	13
12399		1361	14
12399		1362	15
12399		1363	16
12399		1364	17
12399		1365	18
12399		1366	19
12399		1367	20
12399		1368	21
12399		1369	22
12399		1370	23
12399		1371	24
12399		1372	25
12399		1373	26
13078		1300	1
13078		1301	2
13078		1302	3
13078		1303	4
13078		1304	5
13078		1305	6
13078		1306	7
13078		1307	8
13078		1308	9
13078		1309	10
13078		1310	11
13078		1311	12
13078		1312	13
13078		1313	14
13078		1314	15
13078		1315	16
13078		1316	17
13078		1317	18
13107		1337	1
13107		1338	2
13107		1339	3
13107		1340	4
13113		1396	4
13113		1397	8
13113		1398	1
13113		1399	2
13113		1400	3
13113		1401	5
13113		1402	6
13113		1403	7
13132		1513	1
13132		1514	2
13132		1515	3
13132		1516	4
13132		1517	5
13132		1518	6
13132		1519	7
13132		1520	8
13146		1535	1
13146		1536	2
13146		1537	3
13146		1538	4
13146		1539	5
13146		1540	6
13146		1541	7
13146		1542	8
13146		1543	9
13146		1544	10
13146		1545	11
13146		1546	12
13146		1547	13
13146		1548	14
13146		1549	15
13146		1550	16
13146		1551	17
13146		1552	18
13146		1553	19
13146		1554	20
13147		2317	1
13147		2318	2
13147		2319	3
13147		2320	4
13147		2321	5
13147		2322	6
13147		2323	7
13147		2324	8
13147		2325	9
13147		2326	10
13147		2327	11
13147		2691	12
13147		3478	13
13147		3658	14
13147		3659	15
13147		3532	16
13147		2692	17
13147		2328	18
13147		2329	19
13147		2330	20
13147		2331	21
13147		2332	22
13147		2333	23
13147		2334	24
13147		2335	25
13147		2336	26
13147		2337	27
13147		2338	28
13147		2339	29
13147		2340	30
13147		2341	31
13147		2342	32
13147		2343	33
13147		2344	34
13147		2345	35
13147		2346	36
13147		2347	37
13147		2348	38
13147		2349	39
13147		2350	40
13147		2351	41
13147		3670	42
13171		2295	1
13171		2296	2
13171		2297	3
13171		2298	4
13171		2299	5
13171		2300	6
13171		2301	7
13171		2302	8
13171		2303	9
13171		2304	10
13171		2305	11
13171		2306	12
13171		2307	13
13171		2308	14
13171		2309	15
13171		2310	16
13196		1822	1
13196		1823	2
13196		1824	3
13196		1825	4
13196		1826	5
13196		1827	6
13196		1828	7
13196		1829	8
13196		1830	9
13196		1831	10
13196		1832	11
13196		1833	12
13196		1834	13
13196		1835	14
13196		1836	15
13196		1837	16
13196		1838	17
13196		1839	18
13196		1840	19
13196		1841	20
13196		1842	21
13196		1843	22
13196		1844	23
13196		1845	24
13196		1846	25
13196		1847	26
13196		1848	27
13196		1849	28
13199		1893	1
13199		1894	2
13199		1895	3
13199		1896	4
13199		1897	5
13199		1898	6
13199		1899	7
13199		1900	8
13199		1901	9
13199		1902	10
13199		1903	11
13199		1904	12
13199		1905	13
13199		1906	14
13199		1907	15
13199		1943	16
13199		1944	17
13199		1945	18
13199		1908	19
13199		1909	20
13199		1910	21
13201		3429	1
13201		3430	2
13201		3431	3
13201		3432	4
13201		3433	5
13201		3434	6
13201		3435	7
13201		3436	8
13201		3437	9
13201		3438	10
13201		3439	11
13201		3440	12
13201		3441	13
13201		3442	14
13201		3443	15
13201		3444	16
13201		3445	17
13201		3647	18
13202		3446	1
13202		3447	2
13202		3448	3
13202		3449	4
13202		3450	5
13202		3992	6
13202		3451	7
13202		3993	8
13202		3452	9
13202		3453	10
13202		3454	11
13202		3455	12
13202		3456	13
13202		3457	14
13202		3458	15
13202		3459	16
13202		3460	17
13202		3461	18
13202		3462	19
13202		3463	20
13202		3464	21
13202		3465	22
13202		3651	23
13202		3648	24
13202		3649	25
13203		4148	1
13203		3466	2
13203		3467	3
13203		3468	4
13203		3469	5
13203		3470	6
13203		3650	7
13308		3847	1
13308		3848	2
13308		3849	3
13308		3850	4
13308		3851	5
13308		3852	6
13308		3853	7
13308		3854	8
13308		3855	9
13308		3856	10
13308		3857	11
13308		3858	12
13308		3859	13
13308		3860	14
13308		3861	15
13308		3862	16
13308		4028	17
13308		3863	18
13308		3864	19
13308		3865	20
13308		3866	21
13308		3867	22
13308		3868	23
13308		3869	24
13308		3870	25
13308		3871	26
13308		3872	27
13308		3873	28
13308		3874	29
13308		3875	30
13308		3876	31
13308		3877	32
13308		3878	33
13308		3879	34
13448		2693	1
13448		2694	2
13448		4193	3
13448		4194	4
13448		4067	5
13448		4068	6
13448		4069	7
13448		4070	8
13448		4071	9
13448		4072	10
13448		4073	11
13448		4074	12
13448		4075	13
13448		4076	14
13448		4077	15
13448		4078	16
13448		4079	17
13448		4080	18
13448		4081	19
13448		4082	20
13448		4169	21
13448		4170	22
13448		4171	23
13448		4172	24
13448		4173	25
13448		3817	26
13448		3818	27
13448		3819	28
13448		3820	29
13448		3821	30
13448		3822	31
13448		3823	32
13448		3824	33
13448		3825	34
13448		3826	35
13448		2697	36
13448		2698	37
13448		3940	38
13448		3941	39
13448		3942	40
13448		3943	41
13448		3944	42
13448		3945	43
13448		3947	44
13448		3946	45
13448		3572	46
13448		3948	47
13448		4088	48
13448		2710	49
13448		3497	50
13448		2707	51
13448		2708	52
13448		2709	53
13448		3949	54
13448		4089	55
13448		4195	56
13455		2544	1
13455		2545	2
13455		2546	3
13455		2547	4
13455		2560	5
13455		2561	6
13455		2562	7
13455		2563	8
13455		2564	9
13455		2565	10
13455		2566	11
13455		2567	12
13455		2568	13
13455		2569	14
13455		2570	15
13455		3591	16
13455		3592	17
13455		3833	18
13455		3817	19
13455		3818	20
13455		3819	21
13455		3820	22
13455		3821	23
13455		3822	24
13455		3823	25
13455		3824	26
13455		3825	27
13455		3826	28
13455		2548	29
13455		2549	30
13455		2550	31
13455		2551	32
13455		2552	33
13455		2553	34
13455		2554	35
13455		2555	36
13455		2556	37
13455		3499	38
13455		3572	39
13455		2557	40
13455		2558	41
13455		2559	42
13455		3498	43
13455		3500	44
12200		2498	1
12200		2499	2
12200		2500	3
12200		2501	4
12200		2502	5
12200		2503	6
12200		2504	7
12200		2505	8
12200		2506	9
12200		2507	10
12200		2508	11
12200		2509	12
12200		2510	13
12200		3402	14
12200		3533	15
12200		2511	16
12200		2512	17
12200		3403	18
12200		3534	19
12200		2513	20
12200		2514	21
12200		2515	22
12200		2516	23
12200		2517	24
12200		2518	25
12200		2519	26
12200		2520	27
12200		2521	28
12200		2522	29
12200		2523	30
12200		2524	31
12200		2525	32
