Faction	FactionSect	SkillSectType	SkillId	Desc	GainLevel	IsBaseSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup	SourceSkillId	RelationSkillId	RelationSpecialState	SkillGroup	CastType
1	1	1	1206	<i18n=6987>	30	0		UI/atlas/faction_1_1_1/shaolindaofa.png		6		6				1	0
1	1	1	1307	<i18n=9405>	40	0		UI/atlas/faction_1_0_1/aluohanshengong.png		7		7				1	0
1	1	1	1211	<i18n=11467>	50	0		UI/atlas/faction_1_1_1/xianglongfuhu.png		8		8				1	0
1	1	1	1208	<i18n=6890>	60	0		UI/atlas/faction_1_1_1/hunyuanyiqi.png		9		9				1	0
1	1	1	1207	<i18n=6284>	70	0		UI/atlas/faction_1_1_1/rulaiqianye.png		10		10				1	0
1	1	1	1209	<i18n=8545>	80	0		UI/atlas/faction_1_1_1/xinglongbuyu.png		11		11				1	0
1	1	1	1220	<i18n=38471>	90	0		UI/atlas/faction_1_1_1/wuxiangjue.png		12		12				1	0
1	1	1	1222	<i18n=63043>	100	0		UI/atlas/faction_1_1_1/wuwowuwang.png		13		13				1	0
1	1	1	1223	<i18n=63039>	110	0		UI/atlas/faction_1_1_1/rulaidue.png		14		14				1	0
2	0	1	1001	<i18n=13748>	0	1		UI/atlas/faction_2_0_0/zhuixingzhuyue.png		1		1				3	0
2	0	1	1006	<i18n=5374>	2	0		UI/atlas/faction_2_0_0/duanhunci.png		2		2				2	1
2	0	1	1005	<i18n=179>	3	0		UI/atlas/faction_2_0_0/tianwangzhanyi.png		3		3				2	0
2	0	1	1019	<i18n=36>	10	0		UI/atlas/faction_2_0_0/huifengluoyan.png		4		4				2	0
2	0	1	1002	<i18n=13288>	20	0		UI/atlas/faction_2_0_0/benleizuanlongqiang.png		5		5				2	5
2	0	1	1008	<i18n=16054>	30	0		UI/atlas/faction_2_0_1/tianwangqiangfa.png		6		6				1	0
2	0	1	1009	<i18n=6683>	40	0		UI/atlas/faction_2_0_1/jingxinjue.png		7		7				1	0
2	0	1	1012	<i18n=11650>	50	0		UI/atlas/faction_2_0_1/jingleipotian.png		8		8				1	0
2	0	1	1011	<i18n=15997>	60	0		UI/atlas/faction_2_0_1/tiangangzhanqi.png		9		9				1	0
2	0	1	1010	<i18n=16316>	70	0		UI/atlas/faction_2_0_1/xuezhanbafang.png		10		10				1	0
2	0	1	1015	<i18n=6777>	80	0		UI/atlas/faction_2_0_1/hengxingwuji.png		11		11				1	0
2	0	1	1026	<i18n=38466>	90	0		UI/atlas/faction_2_0_1/ruibukedang.png		12		12				1	0
2	0	1	1028	<i18n=62473>	100	0		UI/atlas/faction_2_0_1/hushiyingyang.png		13		13				1	0
2	0	1	1029	<i18n=62475>	110	0		UI/atlas/faction_2_0_1/hengsaoliuhe.png		14		14				1	0
2	1	1	1101	<i18n=1180>	0	1		UI/atlas/faction_2_1_0/chenglongjue.png		1		1				3	0
2	1	1	1006	<i18n=5374>	2	0		UI/atlas/faction_2_0_0/duanhunci.png		2		2				2	1
2	1	1	1102	<i18n=12038>	3	0		UI/atlas/faction_2_1_0/jinzhongzhao.png		3		3				2	0
2	1	1	1120	<i18n=3962>	10	0		UI/atlas/faction_2_1_0/zhuifengjue.png		4		4				2	1
2	1	1	1103	<i18n=248>	20	0		UI/atlas/faction_2_1_0/zhanlongjue.png		5		5				2	1
2	1	1	1106	<i18n=6624>	30	0		UI/atlas/faction_2_1_1/tianwangchuifa.png		6		6				1	0
2	1	1	1107	<i18n=5767>	40	0		UI/atlas/faction_2_1_1/jingxinjue.png		7		7				1	0
2	1	1	1110	<i18n=15560>	50	0		UI/atlas/faction_2_1_1/tianwangbensheng.png		8		8				1	0
2	1	1	1109	<i18n=12734>	60	0		UI/atlas/faction_2_1_1/daoxutian.png		9		9				1	0
2	1	1	1108	<i18n=2151>	70	0		UI/atlas/faction_2_1_1/bumieshayi.png		10		10				1	0
2	1	1	1113	<i18n=3>	80	0		UI/atlas/faction_2_1_1/huajinjue.png		11		11				1	0
2	1	1	1125	<i18n=10133>	90	0		UI/atlas/faction_2_1_1/xingyunliushui.png		12		12				1	0
2	1	1	1128	<i18n=43921>	100	0		UI/atlas/faction_2_1_1/tongqiangtiebi.png		13		13				1	0
2	1	1	1129	<i18n=62466>	110	0		UI/atlas/faction_2_1_1/zonghengbahuang.png		14		14				1	0
3	0	1	1401	<i18n=13931>	0	1		UI/atlas/faction_3_0_0/baoyulihua.png		1		1				3	4
3	0	1	1404	<i18n=12526>	2	0		UI/atlas/faction_3_0_0/chuanyunjian.png		2		2				2	1
3	0	1	1405	<i18n=7387>	3	0		UI/atlas/faction_3_0_0/miyingzong.png		3		3				2	0
3	0	1	1415	<i18n=13295>	10	0		UI/atlas/faction_3_0_0/tianluodiwang.png		4		4				2	1
3	0	1	1403	<i18n=7233>	20	0		UI/atlas/faction_3_0_0/sanhuabiao.png		5		5				2	1
3	0	1	1407	<i18n=15703>	30	0		UI/atlas/faction_3_0_1/tangmenxiujian.png		6		6				1	0
3	0	1	1408	<i18n=7460>	40	0		UI/atlas/faction_3_0_1/cuidushu.png		7		7				1	0
3	0	1	1411	<i18n=6495>	50	0		UI/atlas/faction_3_0_1/yudushu.png		8		8				1	0
3	0	1	1410	<i18n=14607>	60	0		UI/atlas/faction_3_0_1/xinmo.png		9		9				1	0
3	0	1	1409	<i18n=1055>	70	0		UI/atlas/faction_3_0_1/xinyan.png		10		10				1	0
3	0	1	1412	<i18n=5351>	80	0		UI/atlas/faction_3_0_1/qijueshaguang.png		11		11				1	0
3	0	1	1423	<i18n=38680>	90	0		UI/atlas/faction_3_0_1/jujingningshen.png		12		12				1	0
3	0	1	1428	<i18n=63068>	100	0		UI/atlas/faction_3_0_1/liuxingdunying.png		13		13				1	0
3	0	1	1429	<i18n=62997>	110	0		UI/atlas/faction_3_0_1/yinrenfeiyue.png		14		14				1	0
3	1	1	1501	<i18n=3227>	0	1		UI/atlas/faction_3_1_0/xiaolifeidao.png		1		1				3	3
3	1	1	1502	<i18n=10429>	2	0		UI/atlas/faction_3_1_0/ducigu.png		2		2				2	0
3	1	1	1405	<i18n=7387>	3	0		UI/atlas/faction_3_0_0/miyingzong.png		3		3				2	0
3	1	1	1517	<i18n=5439>	10	0		UI/atlas/faction_3_1_0/gouhunjing.png		4		4				2	0
3	1	1	1504	<i18n=13723>	20	0		UI/atlas/faction_3_1_0/luanhuanji.png		5		5				2	0
3	1	1	1508	<i18n=16004>	30	0		UI/atlas/faction_3_1_1/tangmenxianjing.png		6		6				1	0
3	1	1	1509	<i18n=5639>	40	0		UI/atlas/faction_3_1_1/mihunzhen.png		7		7				1	0
3	1	1	1515	<i18n=7343>	50	0		UI/atlas/faction_3_1_1/jiguanmishu.png		8		8				1	0
3	1	1	1512	<i18n=4061>	60	0		UI/atlas/faction_3_1_1/xinpo.png		9		9				1	0
3	1	1	1511	<i18n=1217>	70	0		UI/atlas/faction_3_1_1/shiguxueren.png		10		10				1	0
3	1	1	1520	<i18n=4226>	80	0		UI/atlas/faction_3_1_1/yingzongzhen.png		11		11				1	0
3	1	1	1524	<i18n=14267>	90	0		UI/atlas/faction_3_1_1/hanshasheying.png		12		12				1	0
3	1	1	1528	<i18n=63256>	100	0		UI/atlas/faction_3_1_1/feiyanguichao.png		13		13				1	0
3	1	1	1529	<i18n=63088>	110	0		UI/atlas/faction_3_1_1/rumangcibei.png		14		14				1	0
4	0	1	1601	<i18n=8690>	0	1		UI/atlas/faction_4_0_0/xuanyinzhan.png		1		1				3	3
4	0	1	1605	<i18n=6810>	2	0		UI/atlas/faction_4_0_0/wuxinggu.png		2		2				2	0
4	0	1	1603	<i18n=2040>	3	0		UI/atlas/faction_4_0_0/wangushixin.png		3		3				2	0
4	0	1	1611	<i18n=6597>	10	0		UI/atlas/faction_4_0_0/shixingu.png		4		4				2	2
4	0	1	1604	<i18n=10042>	20	0		UI/atlas/faction_4_0_0/zhuhaqingming.png		5		5				2	2
4	0	1	1606	<i18n=10367>	30	0		UI/atlas/faction_4_0_1/wududaofa.png		6		6				1	0
4	0	1	1607	<i18n=6268>	40	0		UI/atlas/faction_4_0_1/shidushu.png		7		7				1	0
4	0	1	1618	<i18n=7945>	50	0		UI/atlas/faction_4_0_1/duohungu.png		8		8				1	0
4	0	1	1609	<i18n=2967>	60	0		UI/atlas/faction_4_0_1/wuduqijing.png		9		9				1	0
4	0	1	1608	<i18n=5383>	70	0		UI/atlas/faction_4_0_1/qianzhuwandu.png		10		10				1	0
4	0	1	1612	<i18n=3906>	80	0		UI/atlas/faction_4_0_1/wenguzhiqi.png		11		11				1	0
4	0	1	1633	<i18n=38687>	90	0		UI/atlas/faction_4_0_1/hulinggu.png		12		12				1	0
4	0	1	1636	<i18n=62485>	100	0		UI/atlas/faction_4_0_1/baidubuqin.png		13		13				1	0
4	0	1	1637	<i18n=63724>	110	0		UI/atlas/faction_4_0_1/baohunnueye.png		14		14				1	0
4	1	0	1701	<i18n=10509>	0	1		UI/atlas/faction_4_1_0/yinfengshigu.png		1		1				3	4
4	1	0	1703	<i18n=6152>	2	0		UI/atlas/faction_4_1_0/beimoxueguang.png		2		2				2	2
4	1	0	1704	<i18n=6978>	3	0		UI/atlas/faction_4_1_0/huagumianzhang.png		3		3				2	2
4	1	0	1713	<i18n=13576>	10	0		UI/atlas/faction_4_1_0/tiangangdisha.png		4		4				2	1
4	1	0	1705	<i18n=9691>	20	0		UI/atlas/faction_4_1_0/dushazhang.png		5		5				2	2
4	1	0	1706	<i18n=15162>	30	0		UI/atlas/faction_4_1_1/wuduzhangfa.png		6		6				1	0
4	1	0	1707	<i18n=11048>	40	0		UI/atlas/faction_4_1_1/yinsifeizhu.png		7		7				1	0
4	1	0	1710	<i18n=4190>	50	0		UI/atlas/faction_4_1_1/qudushu.png		8		8				1	0
4	1	0	1709	<i18n=3735>	60	0		UI/atlas/faction_4_1_1/baigudujing.png		9		9				1	0
4	1	0	1708	<i18n=15778>	70	0		UI/atlas/faction_4_1_1/duanjinfugu.png		10		10				1	0
4	1	0	1712	<i18n=3417>	80	0		UI/atlas/faction_4_1_1/chuanxinduci.png		11		11				1	0
4	1	0	1723	<i18n=38678>	90	0		UI/atlas/faction_4_1_1/cuihunfuxin.png		12		12				1	0
4	1	0	1726	<i18n=62483>	100	0		UI/atlas/faction_4_1_1/lidaitaojiang.png		13		13				1	0
4	1	0	1727	<i18n=49828>	110	0		UI/atlas/faction_4_1_1/hunfeiposan.png		14		14				1	0
5	0	0	2001	<i18n=8195>	0	1		UI/atlas/faction_5_0_0/foyinzhanyi.png		1		1				3	3
5	0	0	2004	<i18n=10844>	2	0		UI/atlas/faction_5_0_0/qingxinjingqi.png		2		2				2	0
5	0	0	2005	<i18n=11604>	3	0		UI/atlas/faction_5_0_0/cihangpudu.png		3		3				2	0
5	0	0	2017	<i18n=4318>	10	0		UI/atlas/faction_5_0_0/puduzhongsheng.png		4		4				2	2
5	0	0	2002	<i18n=1886>	20	0		UI/atlas/faction_5_0_0/jianyingfoguang.png		5		5				2	1
5	0	0	2006	<i18n=16077>	30	0		UI/atlas/faction_5_0_1/mengdie.png		6		6				1	0
5	0	0	2007	<i18n=9698>	40	0		UI/atlas/faction_5_0_1/foxinciyou.png		7		7				1	0
5	0	0	2010	<i18n=6602>	50	0		UI/atlas/faction_5_0_1/foguangpuzhao.png		8		8				1	0
5	0	0	2009	<i18n=4865>	60	0		UI/atlas/faction_5_0_1/boluoxinjing.png		9		9				1	0
5	0	0	2008	<i18n=11933>	70	0		UI/atlas/faction_5_0_1/liushui.png		10		10				1	0
5	0	0	2012	<i18n=11706>	80	0		UI/atlas/faction_5_0_1/qingyinfanchang.png		11		11				1	0
5	0	0	2022	<i18n=38703>	90	0		UI/atlas/faction_5_0_1/wofocibei.png		12		12				1	0
5	0	0	2026	<i18n=28725>	100	0		UI/atlas/faction_5_0_1/guosetianxiang.png		13		13				1	0
5	0	0	2027	<i18n=10420>	110	0		UI/atlas/faction_5_0_1/nianhuayixiao.png		14		14				1	0
5	1	0	2101	<i18n=10960>	0	1		UI/atlas/faction_5_1_0/fengshuangsuiying.png		1		1				3	0
5	1	0	2103	<i18n=1607>	2	0		UI/atlas/faction_5_1_0/sixiangtonggui.png		2		2				2	2
5	1	0	2005	<i18n=11604>	3	0		UI/atlas/faction_5_0_0/cihangpudu.png		3		3				2	0
5	1	0	2113	<i18n=10436>	10	0		UI/atlas/faction_5_1_0/foguangzhanqi.png		4		4				2	0
5	1	0	2105	<i18n=8927>	20	0		UI/atlas/faction_5_1_0/piaoxuechuanyun.png		5		5				2	1
5	1	0	2106	<i18n=7425>	30	0		UI/atlas/faction_5_1_1/emeizhangfa.png		6		6				1	0
5	1	0	2007	<i18n=9698>	40	0		UI/atlas/faction_5_0_1/foxinciyou.png		7		7				1	0
5	1	0	2109	<i18n=12742>	50	0		UI/atlas/faction_5_1_1/bumiebujue.png		8		8				1	0
5	1	0	2107	<i18n=14964>	60	0		UI/atlas/faction_5_1_1/fofawubian.png		9		9				1	0
5	1	0	2108	<i18n=1332>	70	0		UI/atlas/faction_5_1_1/wanfoguizong.png		10		10				1	0
5	1	0	2111	<i18n=12276>	80	0		UI/atlas/faction_5_1_1/yedicanghua.png		11		11				1	0
5	1	0	2119	<i18n=38702>	90	0		UI/atlas/faction_5_1_1/saneqixue.png		12		12				1	0
5	1	0	2122	<i18n=63121>	100	0		UI/atlas/faction_5_1_1/xumiwanxiang.png		13		13				1	0
5	1	0	2123	<i18n=63320>	110	0		UI/atlas/faction_5_1_1/lingjinglianhua.png		14		14				1	0
6	0	0	2201	<i18n=12865>	0	1		UI/atlas/faction_6_0_0/bingxinxianzi.png		1		1				3	3
6	0	0	2203	<i18n=8190>	2	0		UI/atlas/faction_6_0_0/yudalihua.png		2		2				2	0
6	0	0	2204	<i18n=6272>	3	0		UI/atlas/faction_6_0_0/shimianmaifu.png		3		3				2	0
6	0	0	2219	<i18n=8778>	10	0		UI/atlas/faction_6_0_0/bihaichaosheng.png		4		4				2	1
6	0	0	2205	<i18n=13064>	20	0		UI/atlas/faction_6_0_0/feixupiaohua.png		5		5				2	0
6	0	0	2209	<i18n=4115>	30	0		UI/atlas/faction_6_0_1/cuiyanjianfa.png		6		6				1	0
6	0	0	2210	<i18n=8609>	40	0		UI/atlas/faction_6_0_1/xueying.png		7		7				1	0
6	0	0	2213	<i18n=12863>	50	0		UI/atlas/faction_6_0_1/xuanbingwuxi.png		8		8				1	0
6	0	0	2211	<i18n=13425>	60	0		UI/atlas/faction_6_0_1/bingguxuexin.png		9		9				1	0
6	0	0	2212	<i18n=5668>	70	0		UI/atlas/faction_6_0_1/fuyunsanxue.png		10		10				1	0
6	0	0	2215	<i18n=3621>	80	0		UI/atlas/faction_6_0_1/bingxinyuleng.png		11		11				1	0
6	0	0	2226	<i18n=39215>	90	0		UI/atlas/faction_6_0_1/saixueqishuang.png		12		12				1	0
6	0	0	2229	<i18n=63261>	100	0		UI/atlas/faction_6_0_1/cuiyubiyan.png		13		13				1	0
6	0	0	2230	<i18n=63498>	110	0		UI/atlas/faction_6_0_1/xuenihongzhua.png		14		14				1	0
6	1	1	2301	<i18n=711>	0	1		UI/atlas/faction_6_1_0/bingzongwuying.png		1		1				3	0
6	1	1	2302	<i18n=1042>	2	0		UI/atlas/faction_6_1_0/xiangsi.png		2		2				2	0
6	1	1	2303	<i18n=5656>	3	0		UI/atlas/faction_6_1_0/yuxueyin.png		3		3				2	0
6	1	1	2311	<i18n=12780>	10	0		UI/atlas/faction_6_1_0/yelaixifeng.png		4		4				2	0
6	1	1	2304	<i18n=10024>	20	0		UI/atlas/faction_6_1_0/muyeliuxing.png		5		5				2	1
6	1	1	2305	<i18n=8606>	30	0		UI/atlas/faction_6_1_1/cuiyandaofa.png		6		6				1	0
6	1	1	2306	<i18n=10004>	40	0		UI/atlas/faction_6_1_1/liufenghuixue.png		7		7				1	0
6	1	1	2213	<i18n=12863>	50	0		UI/atlas/faction_6_0_1/xuanbingwuxi.png		8		8				1	0
6	1	1	2307	<i18n=16027>	60	0		UI/atlas/faction_6_1_1/bingjiyugu.png		9		9				1	0
6	1	1	2308	<i18n=1225>	70	0		UI/atlas/faction_6_1_1/qianlibingfeng.png		10		10				1	0
6	1	1	2309	<i18n=14317>	80	0		UI/atlas/faction_6_1_1/fenghuaxueyue.png		11		11				1	0
6	1	1	2322	<i18n=38701>	90	0		UI/atlas/faction_6_1_1/guiqulaixi.png		12		12				1	0
6	1	1	2323	<i18n=63348>	100	0		UI/atlas/faction_6_1_1/cangshanfuxue.png		13		13				1	0
6	1	1	2324	<i18n=62493>	110	0		UI/atlas/faction_6_1_1/shuixiehuaying.png		14		14				1	0
7	0	0	2601	<i18n=7154>	0	1		UI/atlas/faction_7_0_0/kanglongyouhui.png		1		1				3	3
7	0	0	2604	<i18n=6849>	2	0		UI/atlas/faction_7_0_0/jianrenshenshou.png		2		2				2	1
7	0	0	2605	<i18n=6189>	3	0		UI/atlas/faction_7_0_0/shichengliulong.png		3		3				2	0
7	0	0	2614	<i18n=5040>	10	0		UI/atlas/faction_7_0_0/zhenjingbaili.png		4		4				2	0
7	0	0	2602	<i18n=8005>	20	0		UI/atlas/faction_7_0_0/feilongzaitian.png		5		5				2	0
7	0	0	2606	<i18n=3502>	30	0		UI/atlas/faction_7_0_1/gaibangzhangfa.png		6		6				1	0
7	0	0	2607	<i18n=6114>	40	0		UI/atlas/faction_7_0_1/huabuliushou.png		7		7				1	0
7	0	0	2610	<i18n=14636>	50	0		UI/atlas/faction_7_0_1/qinlonggong.png		8		8				1	0
7	0	0	2608	<i18n=8793>	60	0		UI/atlas/faction_7_0_1/qianlongzaiyuan.png		9		9				1	0
7	0	0	2609	<i18n=1455>	70	0		UI/atlas/faction_7_0_1/xianglongzhang.png		10		10				1	0
7	0	0	2612	<i18n=1884>	80	0		UI/atlas/faction_7_0_1/zuidiekuangwu.png		11		11				1	0
7	0	0	2623	<i18n=38786>	90	0		UI/atlas/faction_7_0_1/huaxianweiyi.png		12		12				1	0
7	0	0	2626	<i18n=62488>	100	0		UI/atlas/faction_7_0_1/longtengwuyue.png		13		13				1	0
7	0	0	2627	<i18n=63162>	110	0		UI/atlas/faction_7_0_1/nuzhuanqiankun.png		14		14				1	0
7	1	1	2701	<i18n=2296>	0	1		UI/atlas/faction_7_1_0/tianxiawugou.png		1		1				3	0
7	1	1	2702	<i18n=13689>	2	0		UI/atlas/faction_7_1_0/egoulanlu.png		2		2				2	2
7	1	1	2704	<i18n=15185>	3	0		UI/atlas/faction_7_1_0/toulongzhuanfeng.png		3		3				2	0
7	1	1	2714	<i18n=14677>	10	0		UI/atlas/faction_7_1_0/yanmentuobo.png		4		4				2	1
7	1	1	2706	<i18n=13358>	20	0		UI/atlas/faction_7_1_0/dagouzhenfa.png		5		5				2	2
7	1	1	2709	<i18n=6399>	30	0		UI/atlas/faction_7_1_1/gaibangbangfa.png		6		6				1	0
7	1	1	2607	<i18n=6114>	40	0		UI/atlas/faction_7_0_1/huabuliushou.png		7		7				1	0
7	1	1	2712	<i18n=16431>	50	0		UI/atlas/faction_7_1_1/xiaoyaogong.png		8		8				1	0
7	1	1	2710	<i18n=14343>	60	0		UI/atlas/faction_7_1_1/benliudaohai.png		9		9				1	0
7	1	1	2711	<i18n=11930>	70	0		UI/atlas/faction_7_1_1/dagoubangfa.png		10		10				1	0
7	1	1	2713	<i18n=1675>	80	0		UI/atlas/faction_7_1_1/zuidiekuangwu.png		11		11				1	0
7	1	1	2720	<i18n=39533>	90	0		UI/atlas/faction_7_1_1/qianlongwuyong.png		12		12				1	0
7	1	1	2723	<i18n=15284>	100	0		UI/atlas/faction_7_1_1/longxiaojiutian.png		13		13				1	0
7	1	1	2724	<i18n=62509>	110	0		UI/atlas/faction_7_1_1/jianlongzaitian.png		14		14				1	0
8	0	1	2801	<i18n=5483>	0	1		UI/atlas/faction_8_0_0/yunlongji.png		1		1				3	0
8	0	1	2802	<i18n=3990>	2	0		UI/atlas/faction_8_0_0/huanyingzhuihunqiang.png		2		2				2	1
8	0	1	2803	<i18n=14569>	3	0		UI/atlas/faction_8_0_0/moyinshihun.png		3		3				2	0
8	0	1	2814	<i18n=15170>	10	0		UI/atlas/faction_8_0_0/liehuoqingtian.png		4		4				2	0
8	0	1	2804	<i18n=12251>	20	0		UI/atlas/faction_8_0_0/feihongwuji.png		5		5				2	1
8	0	1	2807	<i18n=2897>	30	0		UI/atlas/faction_8_0_1/tianrenmaofa.png		6		6				1	0
8	0	1	2808	<i18n=9574>	40	0		UI/atlas/faction_8_0_1/beisuqingfeng.png		7		7				1	0
8	0	1	2812	<i18n=1519>	50	0		UI/atlas/faction_8_0_1/jinchantuoqiao.png		8		8				1	0
8	0	1	2810	<i18n=3371>	60	0		UI/atlas/faction_8_0_1/tianmojieti.png		9		9				1	0
8	0	1	2811	<i18n=14152>	70	0		UI/atlas/faction_8_0_1/moyanzaitian.png		10		10				1	0
8	0	1	2813	<i18n=11440>	80	0		UI/atlas/faction_8_0_1/yunlongsanxian.png		11		11				1	0
8	0	1	2823	<i18n=38812>	90	0		UI/atlas/faction_8_0_1/jubuweijian.png		12		12				1	0
8	0	1	2826	<i18n=62784>	100	0		UI/atlas/faction_8_0_1/jianghaidongliu.png		13		13				1	0
8	0	1	2827	<i18n=63351>	110	0		UI/atlas/faction_8_0_1/jinwuyaoyang.png		14		14				1	0
8	1	0	2901	<i18n=12729>	0	1		UI/atlas/faction_8_1_0/tianwailiuxing.png		1		1				3	4
8	1	0	2902	<i18n=2774>	2	0		UI/atlas/faction_8_1_0/tuishantianhai.png		2		2				2	2
8	1	0	2904	<i18n=10850>	3	0		UI/atlas/faction_8_1_0/huolianfenhua.png		3		3				2	2
8	1	0	2915	<i18n=8363>	10	0		UI/atlas/faction_8_1_0/shehunluanxin.png		4		4				2	2
8	1	0	2903	<i18n=7188>	20	0		UI/atlas/faction_8_1_0/modaotunshen.png		5		5				2	0
8	1	0	2907	<i18n=11433>	30	0		UI/atlas/faction_8_1_1/tianrendaofa.png		6		6				1	0
8	1	0	2908	<i18n=3174>	40	0		UI/atlas/faction_8_1_1/limoduohun.png		7		7				1	0
8	1	0	2812	<i18n=1519>	50	0		UI/atlas/faction_8_0_1/jinchantuoqiao.png		8		8				1	0
8	1	0	2910	<i18n=8888>	60	0		UI/atlas/faction_8_1_1/chikongmoyan.png		9		9				1	0
8	1	0	2911	<i18n=10251>	70	0		UI/atlas/faction_8_1_1/moyanqisha.png		10		10				1	0
8	1	0	2912	<i18n=2757>	80	0		UI/atlas/faction_8_1_1/shufuzhou.png		11		11				1	0
8	1	0	2921	<i18n=39025>	90	0		UI/atlas/faction_8_1_1/tianyouchixin.png		12		12				1	0
8	1	0	2924	<i18n=62808>	100	0		UI/atlas/faction_8_1_1/beimingguichuan.png		13		13				1	0
8	1	0	2925	<i18n=62782>	110	0		UI/atlas/faction_8_1_1/yiniantianmo.png		14		14				1	0
9	0	0	3001	<i18n=5011>	0	1		UI/atlas/faction_9_0_0/tiandiwuji.png		1		1				3	4
9	0	0	3005	<i18n=8041>	2	0		UI/atlas/faction_9_0_0/wuwowujian.png		2		2				2	2
9	0	0	3012	<i18n=8547>	3	0		UI/atlas/faction_9_0_0/chunyangwuji.png		3		3				2	0
9	0	0	3014	<i18n=8201>	10	0		UI/atlas/faction_9_0_0/bojierfu.png		4		4				2	0
9	0	0	3002	<i18n=7273>	20	0		UI/atlas/faction_9_0_0/wanjianguizong.png		5		5				2	0
9	0	0	3007	<i18n=14892>	30	0		UI/atlas/faction_9_0_1/wudangqigong.png		6		6				1	0
9	0	0	3008	<i18n=5049>	40	0		UI/atlas/faction_9_0_1/tiyunzong.png		7		7				1	0
9	0	0	3006	<i18n=4452>	50	0		UI/atlas/faction_9_0_1/zuowangwuwo.png		8		8				1	0
9	0	0	3009	<i18n=362>	60	0		UI/atlas/faction_9_0_1/taijiwuyi.png		9		9				1	0
9	0	0	3010	<i18n=15887>	70	0		UI/atlas/faction_9_0_1/taijishengong.png		10		10				1	0
9	0	0	3013	<i18n=9549>	80	0		UI/atlas/faction_9_0_1/wudangjiuyanggong.png		11		11				1	0
9	0	0	3024	<i18n=39022>	90	0		UI/atlas/faction_9_0_1/zhenwuqijie.png		12		12				1	0
9	0	0	3028	<i18n=62517>	100	0		UI/atlas/faction_9_0_1/baoyuanshouyi.png		13		13				1	0
9	0	0	3029	<i18n=63016>	110	0		UI/atlas/faction_9_0_1/shangshanruoshui.png		14		14				1	0
9	1	1	3114	<i18n=13551>	0	1		UI/atlas/faction_9_1_0/renjianheyi.png		1		1				3	0
9	1	1	3116	<i18n=14139>	2	0		UI/atlas/faction_9_1_0/liuxingganyue.png		2		2				2	1
9	1	1	3120	<i18n=10981>	3	0		UI/atlas/faction_9_1_0/zuowangwuwo.png		3		3				2	0
9	1	1	3128	<i18n=7421>	10	0		UI/atlas/faction_9_1_0/jianfeijingtian.png		4		4				2	0
9	1	1	3121	<i18n=1218>	20	0		UI/atlas/faction_9_1_0/liangyijianfa.png		5		5				2	0
9	1	1	3122	<i18n=1893>	30	0		UI/atlas/faction_9_1_1/wudangjianfa.png		6		6				1	0
9	1	1	3008	<i18n=5049>	40	0		UI/atlas/faction_9_0_1/tiyunzong.png		7		7				1	0
9	1	1	3125	<i18n=3305>	50	0		UI/atlas/faction_9_1_1/taiyizhenqi.png		8		8				1	0
