Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut		Desc
1	Coin		5000				1			1			每日6元礼包	
2	Coin		5000				1			1			每日6元礼包	
3	Coin		5000				1			1			每日6元礼包	
4	Coin		5000				1			1			每日6元礼包	
5	Coin		5000				1			1			每日6元礼包	
6	Coin		5000				1			1			每日6元礼包	
7	Coin		5000				1			1			每日6元礼包	
8	Coin		5000				1			1			每日6元礼包	
9	Coin		5000				1			1			每日6元礼包	
10	Coin		5000				1			1			每日6元礼包	
11	Coin		5000				1			1			每日6元礼包	
12	Coin		5000				1			1			每日6元礼包	
13	Coin		5000				1			1			每日6元礼包	
14	Coin		5000				1			1			每日6元礼包	
15	Coin		5000				1			1			每日6元礼包	
16	Coin		5000				1			1			每日6元礼包	
17	Coin		5000				1			1			每日6元礼包	
18	Coin		5000				1			1			每日6元礼包	
19	Coin		5000				1			1			每日6元礼包	
20	Coin		5000				1			1			每日6元礼包	
1	Gold		180				1			1			每日18元礼包	
2	Gold		180				1			1			每日18元礼包	
3	Gold		180				1			1			每日18元礼包	
4	Gold		180				1			1			每日18元礼包	
5	Gold		180				1			1			每日18元礼包	
6	Gold		180				1			1			每日18元礼包	
7	Gold		180				1			1			每日18元礼包	
8	Gold		180				1			1			每日18元礼包	
9	Gold		180				1			1			每日18元礼包	
10	Gold		180				1			1			每日18元礼包	
11	Gold		180				1			1			每日18元礼包	
12	Gold		180				1			1			每日18元礼包	
13	Gold		180				1			1			每日18元礼包	
14	Gold		180				1			1			每日18元礼包	
15	Gold		180				1			1			每日18元礼包	
16	Gold		180				1			1			每日18元礼包	
17	Gold		180				1			1			每日18元礼包	
18	Gold		180				1			1			每日18元礼包	
19	Gold		180				1			1			每日18元礼包	
20	Gold		180				1			1			每日18元礼包	
1	Item	212	20				1			1			每日18元礼包	
2	Item	212	20				1			1			每日18元礼包	
3	Item	212	20				1			1			每日18元礼包	
4	Item	212	20				1			1			每日18元礼包	
5	Item	212	20				1			1			每日18元礼包	
6	Item	212	20				1			1			每日18元礼包	
7	Item	212	20				1			1			每日18元礼包	
8	Item	212	20				1			1			每日18元礼包	
9	Item	212	20				1			1			每日18元礼包	
10	Item	212	20				1			1			每日18元礼包	
11	Item	212	20				1			1			每日18元礼包	
12	Item	212	20				1			1			每日18元礼包	
13	Item	212	20				1			1			每日18元礼包	
14	Item	212	20				1			1			每日18元礼包	
15	Item	212	20				1			1			每日18元礼包	
16	Item	212	20				1			1			每日18元礼包	
17	Item	212	20				1			1			每日18元礼包	
18	Item	212	20				1			1			每日18元礼包	
19	Item	212	20				1			1			每日18元礼包	
20	Item	212	20				1			1			每日18元礼包	
1	Coin		10000				1			1			每日18元礼包	
2	Coin		10000				1			1			每日18元礼包	
3	Coin		10000				1			1			每日18元礼包	
4	Coin		10000				1			1			每日18元礼包	
5	Coin		10000				1			1			每日18元礼包	
6	Coin		10000				1			1			每日18元礼包	
7	Coin		10000				1			1			每日18元礼包	
8	Coin		10000				1			1			每日18元礼包	
9	Coin		10000				1			1			每日18元礼包	
10	Coin		10000				1			1			每日18元礼包	
11	Coin		10000				1			1			每日18元礼包	
12	Coin		10000				1			1			每日18元礼包	
13	Coin		10000				1			1			每日18元礼包	
14	Coin		10000				1			1			每日18元礼包	
15	Coin		10000				1			1			每日18元礼包	
16	Coin		10000				1			1			每日18元礼包	
17	Coin		10000				1			1			每日18元礼包	
18	Coin		10000				1			1			每日18元礼包	
19	Coin		10000				1			1			每日18元礼包	
20	Coin		10000				1			1			每日18元礼包	
