nMapTId	szType	nPosX	nPosY	nTemplateId	szTextColor	szName	szResName
9	Tuwen			9250		<i18n=953>	UI/icon/title/npc.png
9	Tuwen			9251		<i18n=9507>	UI/icon/title/npc.png
9	Tuwen			9252		<i18n=4851>	UI/icon/title/npc.png
9	Npc			12092	ffff0e	<i18n=14625>	10000
10	Tuwen			7039		<i18n=10630>	UI/icon/title/npc.png
10	Tuwen			7043		<i18n=6538>	UI/icon/title/npc.png
10	Tuwen			7042		<i18n=3707>	UI/icon/title/npc.png
10	Tuwen			7049		<i18n=14438>	UI/icon/title/npc.png
10	Tuwen			10007		<i18n=1329>	UI/icon/title/npc.png
10	Tuwen			7050		<i18n=2690>	UI/icon/title/npc.png
10	Tuwen			7045		<i18n=4167>	UI/icon/title/npc.png
11	Tuwen			9240		<i18n=15453>	UI/icon/title/npc.png
11	Tuwen			9241		<i18n=3453>	UI/icon/title/npc.png
11	Tuwen			9242		<i18n=6820>	UI/icon/title/npc.png
11	Npc			10002	ffff0e	<i18n=7647>	10000
11	Tuwen			9253		<i18n=9976>	UI/icon/title/npc.png
11	Tuwen			9254		<i18n=2859>	UI/icon/title/npc.png
12	Tuwen			7016	43fcb4	<i18n=157>	UI/icon/title/npc.png
12	Tuwen			7017	43fcb4	<i18n=1920>	UI/icon/title/npc.png
12	Tuwen			7018	43fcb4	<i18n=9419>	UI/icon/title/npc.png
12	Tuwen			7019	43fcb4	<i18n=14599>	UI/icon/title/npc.png
14	Wenzi	290.5	244			<i18n=2693>	
14	Wenzi	213	410			<i18n=15650>	
14	Wenzi	445	327			<i18n=2107>	
14	Wenzi	530.4	155.3			<i18n=1910>	
14	Wenzi	361	121			<i18n=7039>	
14	Npc			10001	ffff0e	<i18n=7647>	10000
16	Tuwen			7170		<i18n=3283>	UI/icon/title/npc.png
16	Tuwen			7190		<i18n=10226>	UI/icon/title/npc.png
16	Tuwen			7275		<i18n=4873>	UI/icon/title/npc.png
16	Npc			12090	ffff0e	<i18n=14625>	10000
17	Tuwen			13	43fcb4	<i18n=18543>	UI/icon/title/npc.png
17	Tuwen			10	43fcb4	<i18n=18540>	UI/icon/title/npc.png
17	Tuwen			11	43fcb4	<i18n=18542>	UI/icon/title/npc.png
17	Tuwen			12	43fcb4	<i18n=18547>	UI/icon/title/npc.png
17	Tuwen			14	43fcb4	<i18n=18536>	UI/icon/title/npc.png
17	Tuwen			7015	43fcb4	<i18n=9474>	UI/icon/title/npc.png
17	Tuwen			22	43fcb4	<i18n=18535>	UI/icon/title/npc.png
17	Tuwen			20	43fcb4	<i18n=13206>	UI/icon/title/npc.png
17	Tuwen			21	43fcb4	<i18n=798>	UI/icon/title/npc.png
17	Tuwen			12103	43fcb4	<i18n=13136>	UI/icon/title/npc.png
17	Tuwen			7201	43fcb4	<i18n=9275>	UI/icon/title/npc.png
17	Npc			12082	ffff0e	<i18n=4618>	10000
17	Npc			12083	ffff0e	<i18n=15768>	10000
17	Tuwen			9255	43fcb4	<i18n=6826>	UI/icon/title/npc.png
17	Tuwen			7220	43fcb4	<i18n=9152>	UI/icon/title/npc.png
17	Tuwen			27	43fcb4	<i18n=11469>	UI/icon/title/npc.png
17	Tuwen			26	43fcb4	<i18n=11633>	UI/icon/title/npc.png
17	Tuwen			8	43fcb4	<i18n=18545>	UI/icon/title/npc.png
17	Tuwen			15	43fcb4	<i18n=18546>	UI/icon/title/npc.png
17	Tuwen			12286	43fcb4	<i18n=26203>	UI/icon/title/npc.png
17	Tuwen			38	43fcb4	<i18n=28214>	UI/icon/title/npc.png
17	Tuwen			12414	43fcb4	<i18n=37175>	UI/icon/title/npc.png
17	Tuwen			13133	43fcb4	<i18n=42520>	UI/icon/title/npc.png
17	Tuwen			13134	43fcb4	<i18n=42526>	UI/icon/title/npc.png
18	Tuwen	268.6	126.7			<i18n=5550>	UI/icon/title/npc.png
19	Tuwen	268.6	126.7			<i18n=5550>	UI/icon/title/npc.png
20	Tuwen	268.6	126.7			<i18n=5550>	UI/icon/title/npc.png
21	Tuwen	268.6	126.7			<i18n=5550>	UI/icon/title/npc.png
22	Tuwen	268.6	126.7			<i18n=6253>	UI/icon/title/npc.png
23	Tuwen	268.6	126.7			<i18n=6253>	UI/icon/title/npc.png
24	Tuwen	268.6	126.7			<i18n=2521>	UI/icon/title/npc.png
25	Wenzi	414	397.6			<i18n=2693>	
25	Wenzi	254	328			<i18n=9121>	
25	Wenzi	503.6	472.4			<i18n=7319>	
25	Wenzi	565.1	179			<i18n=13032>	
25	Wenzi	445.7	125.3			<i18n=8689>	
25	Tuwen	184	386			<i18n=11704>	UI/icon/title/npc.png
25	Tuwen	180	273			<i18n=12409>	UI/icon/title/npc.png
25	Tuwen	250	164			<i18n=8429>	UI/icon/title/npc.png
25	Tuwen	391	328			<i18n=1137>	UI/icon/title/npc.png
25	Tuwen	573	423			<i18n=7266>	UI/icon/title/npc.png
25	Tuwen	508	202			<i18n=5771>	UI/icon/title/npc.png
26	Wenzi	478.9	244.6			<i18n=2693>	
26	Wenzi	477.2	382.2			<i18n=214>	
26	Wenzi	707.7	274.2			<i18n=13256>	
26	Wenzi	367	123			<i18n=10129>	
26	Wenzi	134	289.3			<i18n=10102>	
26	Tuwen	267	289			<i18n=11704>	UI/icon/title/npc.png
26	Tuwen	256	180.1			<i18n=12409>	UI/icon/title/npc.png
26	Tuwen	461	132			<i18n=3745>	UI/icon/title/npc.png
26	Tuwen	473.9	419.8			<i18n=9627>	UI/icon/title/npc.png
26	Tuwen	604	347.1			<i18n=5101>	UI/icon/title/npc.png
26	Tuwen	724.2	180			<i18n=4323>	UI/icon/title/npc.png
27	Wenzi	403.4	282			<i18n=2693>	
27	Wenzi	502.3	318.3			<i18n=4750>	
27	Wenzi	504.5	221			<i18n=2475>	
27	Wenzi	311	156.56			<i18n=5435>	
27	Wenzi	196.8	284.2			<i18n=6666>	
27	Tuwen	241	368			<i18n=11704>	UI/icon/title/npc.png
27	Tuwen	322	468			<i18n=12409>	UI/icon/title/npc.png
27	Tuwen	548	402			<i18n=3745>	UI/icon/title/npc.png
27	Tuwen	605	270			<i18n=9627>	UI/icon/title/npc.png
27	Tuwen	453	142			<i18n=5101>	UI/icon/title/npc.png
27	Tuwen	237	195			<i18n=4323>	UI/icon/title/npc.png
28	Wenzi	328.8	229			<i18n=2693>	
28	Wenzi	555	333.1			<i18n=14929>	
28	Wenzi	413	110.1			<i18n=6198>	
28	Wenzi	99.3	101.2			<i18n=10619>	
28	Wenzi	246.7	271.6			<i18n=13793>	
28	Tuwen	224	90			<i18n=8429>	UI/icon/title/npc.png
28	Tuwen	242	334			<i18n=1137>	UI/icon/title/npc.png
28	Tuwen	497	73			<i18n=5101>	UI/icon/title/npc.png
28	Tuwen	436	392			<i18n=4323>	UI/icon/title/npc.png
28	Tuwen	703	262			<i18n=7266>	UI/icon/title/npc.png
28	Tuwen	694	139			<i18n=5771>	UI/icon/title/npc.png
29	Wenzi	405.8	251.9			<i18n=2693>	
29	Wenzi	625.5	380.4			<i18n=12824>	
29	Wenzi	576.6	161.9			<i18n=12797>	
29	Wenzi	321.2	202.8			<i18n=11461>	
29	Wenzi	209.6	331			<i18n=7113>	
29	Tuwen	135	284			<i18n=8429>	UI/icon/title/npc.png
29	Tuwen	241	161			<i18n=1137>	UI/icon/title/npc.png
29	Tuwen	358	355			<i18n=3745>	UI/icon/title/npc.png
29	Tuwen	560	325			<i18n=9627>	UI/icon/title/npc.png
29	Tuwen	718	172			<i18n=7266>	UI/icon/title/npc.png
29	Tuwen	486	121			<i18n=5771>	UI/icon/title/npc.png
30	Wenzi	381.2	295.8			<i18n=2693>	
30	Wenzi	441.5	426.2			<i18n=3981>	
30	Wenzi	529.7	245			<i18n=10521>	
30	Wenzi	139	292.5			<i18n=5081>	
30	Tuwen	206	361			<i18n=8211>	UI/icon/title/npc.png
30	Tuwen	217	202			<i18n=7461>	UI/icon/title/npc.png
30	Tuwen	404	102			<i18n=5468>	UI/icon/title/npc.png
30	Tuwen	361	395			<i18n=9845>	UI/icon/title/npc.png
30	Tuwen	589	310			<i18n=3038>	UI/icon/title/npc.png
30	Tuwen	624	153			<i18n=7354>	UI/icon/title/npc.png
31	Wenzi	447.6	253			<i18n=2693>	
31	Wenzi	503.3	353			<i18n=2107>	
31	Wenzi	271.9	100			<i18n=15650>	
31	Wenzi	184.4	205.9			<i18n=8199>	
31	Wenzi	290.2	385.7			<i18n=7039>	
31	Wenzi	551.9	164.2		ffff0e	<i18n=427>	
31	Wenzi	425	330			<i18n=21392>	
31	Wenzi	530	195			<i18n=21392>	
31	Tuwen			11042	43fcb4	<i18n=20251>	UI/icon/title/npc.png
49	Npc			10010	ffff0e	<i18n=12953>	10000
32	Npc			12080	ffff0e	<i18n=14943>	10000
32	Wenzi	505.4	296.7			<i18n=2693>	
32	Wenzi	439.6	364.6			<i18n=11980>	
32	Wenzi	512.5	82			<i18n=2718>	
32	Wenzi	225.3	404.8			<i18n=436>	
32	Tuwen	308	361			<i18n=8211>	UI/icon/title/npc.png
32	Tuwen	246	280			<i18n=7461>	UI/icon/title/npc.png
32	Tuwen	381	215			<i18n=13210>	UI/icon/title/npc.png
32	Tuwen	548	158			<i18n=16220>	UI/icon/title/npc.png
32	Tuwen	668	310			<i18n=8445>	UI/icon/title/npc.png
32	Tuwen	526	395			<i18n=4519>	UI/icon/title/npc.png
33	Wenzi	487.8	293.9			<i18n=2693>	
33	Wenzi	614.7	259.7			<i18n=13257>	
33	Wenzi	258.6	177.8			<i18n=3682>	
33	Wenzi	435.1	358.5			<i18n=14643>	
33	Wenzi	345.5	255.4			<i18n=13257>	
33	Tuwen	252	271			<i18n=5468>	UI/icon/title/npc.png
33	Tuwen	336	384			<i18n=9845>	UI/icon/title/npc.png
33	Tuwen	525	404			<i18n=8445>	UI/icon/title/npc.png
33	Tuwen	718	304			<i18n=4519>	UI/icon/title/npc.png
33	Tuwen	689	178			<i18n=3038>	UI/icon/title/npc.png
33	Tuwen	387	108			<i18n=7354>	UI/icon/title/npc.png
34	Wenzi	380.9	222.9			<i18n=2693>	
34	Wenzi	289.1	291.5			<i18n=3193>	
34	Wenzi	530.9	80.8			<i18n=7241>	
34	Wenzi	431.1	460.4			<i18n=4829>	
34	Tuwen	176	225			<i18n=5468>	UI/icon/title/npc.png
34	Tuwen	194	290			<i18n=9845>	UI/icon/title/npc.png
34	Tuwen	316	376			<i18n=13210>	UI/icon/title/npc.png
34	Tuwen	440	365			<i18n=16220>	UI/icon/title/npc.png
34	Tuwen	535	249			<i18n=3038>	UI/icon/title/npc.png
34	Tuwen	475	158			<i18n=7354>	UI/icon/title/npc.png
34	Npc			12091	ffff0e	<i18n=14625>	10000
35	Wenzi	539.8	192			<i18n=2693>	
35	Wenzi	337.9	96			<i18n=15342>	
35	Wenzi	429.9	253			<i18n=13270>	
35	Wenzi	621	342			<i18n=974>	
35	Wenzi	552.8	132.9			<i18n=12524>	
35	Tuwen	287	275			<i18n=14976>	UI/icon/title/npc.png
35	Tuwen	437	292			<i18n=12255>	UI/icon/title/npc.png
35	Tuwen	279	116			<i18n=14331>	UI/icon/title/npc.png
35	Tuwen	601	88			<i18n=9617>	UI/icon/title/npc.png
35	Tuwen	617	267			<i18n=7006>	UI/icon/title/npc.png
35	Tuwen	424	121			<i18n=4980>	UI/icon/title/npc.png
36	Wenzi	360.2	279			<i18n=2693>	
36	Tuwen	227	324			<i18n=14976>	UI/icon/title/npc.png
36	Wenzi	468.19	163.81			<i18n=14544>	
36	Wenzi	597.3	387.7			<i18n=7767>	
36	Wenzi	145.5	371.9			<i18n=9654>	
36	Wenzi	239.5	163.81			<i18n=166>	
36	Tuwen	294	211			<i18n=12255>	UI/icon/title/npc.png
36	Tuwen	411	121			<i18n=389>	UI/icon/title/npc.png
36	Tuwen	572	207			<i18n=8389>	UI/icon/title/npc.png
36	Tuwen	563	324			<i18n=6071>	UI/icon/title/npc.png
36	Tuwen	434	397			<i18n=11944>	UI/icon/title/npc.png
37	Wenzi	413.6	301.6			<i18n=2693>	
37	Wenzi	560.3	173.5			<i18n=13169>	
37	Wenzi	451.6	424.6			<i18n=14568>	
37	Wenzi	182.6	336.6			<i18n=13354>	
37	Wenzi	272.5	133.9			<i18n=10124>	
37	Tuwen	263	311			<i18n=14976>	UI/icon/title/npc.png
37	Tuwen	259	198			<i18n=12255>	UI/icon/title/npc.png
37	Tuwen	390	162			<i18n=389>	UI/icon/title/npc.png
37	Tuwen	465	363			<i18n=8389>	UI/icon/title/npc.png
37	Tuwen	553	245			<i18n=6071>	UI/icon/title/npc.png
37	Tuwen	353	411			<i18n=11944>	UI/icon/title/npc.png
38	Wenzi	409.5	239			<i18n=2693>	
38	Wenzi	545.4	146.1			<i18n=5197>	
38	Wenzi	318	320.1			<i18n=15167>	
38	Wenzi	350.6	123.3			<i18n=2228>	
38	Wenzi	159.7	240.9			<i18n=14855>	
38	Tuwen	230	263			<i18n=14331>	UI/icon/title/npc.png
38	Tuwen	382	383			<i18n=9617>	UI/icon/title/npc.png
38	Tuwen	241	144			<i18n=6071>	UI/icon/title/npc.png
38	Tuwen	457	115			<i18n=11944>	UI/icon/title/npc.png
38	Tuwen	655	187			<i18n=7006>	UI/icon/title/npc.png
38	Tuwen	541	307			<i18n=4980>	UI/icon/title/npc.png
39	Wenzi	455.8	431.8			<i18n=2693>	
39	Wenzi	514.3	240.2			<i18n=6444>	
39	Wenzi	787.2	248.1			<i18n=4576>	
39	Wenzi	592.4	423.1			<i18n=16260>	
39	Wenzi	404.6	165.1			<i18n=4281>	
39	Tuwen	263	359			<i18n=14331>	UI/icon/title/npc.png
39	Tuwen	382	254			<i18n=9617>	UI/icon/title/npc.png
39	Tuwen	580	163			<i18n=389>	UI/icon/title/npc.png
39	Tuwen	709	284			<i18n=8389>	UI/icon/title/npc.png
39	Tuwen	724	411			<i18n=7006>	UI/icon/title/npc.png
39	Tuwen	514	364			<i18n=4980>	UI/icon/title/npc.png
39	Npc			10000	ffff0e	<i18n=7647>	10000
43	Tuwen	126	110			<i18n=12365>	UI/icon/title/npc.png
43	Tuwen	129	156			<i18n=15541>	UI/icon/title/npc.png
43	Tuwen	143	236			<i18n=13768>	UI/icon/title/npc.png
43	Tuwen	198	202			<i18n=4847>	UI/icon/title/npc.png
43	Tuwen	217.4	132.4			<i18n=9313>	UI/icon/title/npc.png
43	Tuwen	358.7	126.7			<i18n=11545>	UI/icon/title/npc.png
43	Tuwen	279.2	241.5			<i18n=3000>	UI/icon/title/npc.png
48	Npc			10008	ffff0e	<i18n=4753>	10000
48	Wenzi	332.7	205.3			<i18n=2693>	
48	Wenzi	546	374			<i18n=5482>	
48	Wenzi	425	273			<i18n=12178>	
48	Wenzi	397	95			<i18n=8871>	
48	Wenzi	224	373			<i18n=8949>	
49	Wenzi	411.4	280.7			<i18n=2693>	
49	Wenzi	704.7	287			<i18n=14396>	
49	Wenzi	498.7	94.3			<i18n=11513>	
49	Wenzi	230	387			<i18n=3783>	
49	Wenzi	274.1	171.5			<i18n=11513>	
49	Npc			12081	ffff0e	<i18n=14943>	10000
50	Tuwen	271.4	156.4			<i18n=2521>	UI/icon/title/npc.png
51	Wenzi	393.9	227.4			<i18n=2693>	
51	Wenzi	698	281.5			<i18n=1076>	
51	Wenzi	574.33	94.999			<i18n=14215>	
51	Wenzi	246	276			<i18n=8726>	
51	Wenzi	246	432.75			<i18n=8726>	
51	Npc			12084	ffff0e	<i18n=3432>	10000
55	Tuwen			7181		<i18n=43>	UI/icon/title/npc.png
55	Npc			10011		<i18n=2599>	
61	Wenzi	343.3	250			<i18n=2693>	
61	Wenzi	546	251			<i18n=9434>	
61	Wenzi	252	172			<i18n=4204>	
61	Wenzi	341	383			<i18n=15496>	
65	Wenzi	466.9	364.6			<i18n=5244>	
65	Wenzi	324	278.6			<i18n=12486>	
65	Wenzi	368.7	184			<i18n=11753>	
65	Wenzi	761.3	204.8			<i18n=5646>	
65	Tuwen			11040		<i18n=4314>	UI/icon/title/npc.png
66	Tuwen			14	43fcb4	<i18n=18536>	UI/icon/title/npc.png
66	Tuwen			12103	43fcb4	<i18n=13136>	UI/icon/title/npc.png
66	Tuwen			10	43fcb4	<i18n=18540>	UI/icon/title/npc.png
66	Tuwen			11	43fcb4	<i18n=18542>	UI/icon/title/npc.png
66	Tuwen			13	43fcb4	<i18n=18543>	UI/icon/title/npc.png
66	Tuwen			12	43fcb4	<i18n=18547>	UI/icon/title/npc.png
66	Tuwen			7015	43fcb4	<i18n=9474>	UI/icon/title/npc.png
66	Tuwen			22	43fcb4	<i18n=18535>	UI/icon/title/npc.png
66	Tuwen			11041	43fcb4	<i18n=8354>	UI/icon/title/npc.png
66	Tuwen			20	43fcb4	<i18n=13206>	UI/icon/title/npc.png
66	Tuwen			9255	43fcb4	<i18n=6826>	UI/icon/title/npc.png
66	Tuwen			7201	43fcb4	<i18n=9275>	UI/icon/title/npc.png
66	Tuwen			8	43fcb4	<i18n=18545>	UI/icon/title/npc.png
66	Tuwen			15	43fcb4	<i18n=18546>	UI/icon/title/npc.png
66	Npc			12086	ffff0e	<i18n=8347>	10000
66	Npc			12087	ffff0e	<i18n=5497>	10000
66	Npc			12088	ffff0e	<i18n=10063>	10000
66	Npc			12089	ffff0e	<i18n=6460>	10000
66	Tuwen			7342	43fcb4	<i18n=20389>	UI/icon/title/npc.png
66	Tuwen			37	43fcb4	<i18n=25077>	UI/icon/title/npc.png
66	Tuwen			38	43fcb4	<i18n=28214>	UI/icon/title/npc.png
68	Wenzi	585	234			<i18n=5162>	
68	Wenzi	686	205			<i18n=4541>	
69	Wenzi	269	262			<i18n=5162>	
69	Wenzi	425	173			<i18n=4541>	
70	Wenzi	164	313			<i18n=5162>	
70	Wenzi	581	216			<i18n=4541>	
71	Wenzi	414	383			<i18n=5162>	
71	Wenzi	636	274			<i18n=4541>	
72	Wenzi	375	325			<i18n=5162>	
72	Wenzi	561	229			<i18n=4541>	
73	Wenzi	182	330			<i18n=5162>	
73	Wenzi	490	252			<i18n=4541>	
74	Wenzi	192	340			<i18n=5162>	
74	Wenzi	280	136			<i18n=4541>	
75	Wenzi	735	241			<i18n=5162>	
75	Wenzi	616	92			<i18n=4541>	
76	Wenzi	377	217			<i18n=5162>	
76	Wenzi	512	231			<i18n=4541>	
77	Wenzi	286	265			<i18n=5162>	
77	Wenzi	509	213			<i18n=4541>	
78	Wenzi	317	192			<i18n=5162>	
78	Wenzi	487	247			<i18n=4541>	
79	Wenzi	145	327			<i18n=5162>	
79	Wenzi	700	278			<i18n=4541>	
80	Wenzi	232	366			<i18n=5162>	
80	Wenzi	256	243			<i18n=4541>	
81	Wenzi	328	146			<i18n=5162>	
81	Wenzi	592	258			<i18n=4541>	
82	Wenzi	141	296			<i18n=5162>	
82	Wenzi	357	472			<i18n=4541>	
83	Wenzi	320	246			<i18n=5162>	
83	Wenzi	415	188			<i18n=4541>	
84	Wenzi	485	369			<i18n=5162>	
84	Wenzi	566	150			<i18n=4541>	
85	Wenzi	372	471			<i18n=5162>	
85	Wenzi	542	434			<i18n=4541>	
86	Wenzi	217	120			<i18n=10029>	
86	Wenzi	122	173			<i18n=6285>	
86	Wenzi	335	61			<i18n=6254>	
86	Wenzi	289	261			<i18n=7473>	
86	Wenzi	203	217			<i18n=14086>	
86	Wenzi	160	325			<i18n=15215>	
86	Wenzi	72	281			<i18n=324>	
86	Wenzi	518	161			<i18n=106>	
86	Wenzi	432	117			<i18n=31>	
86	Wenzi	646	98			<i18n=7435>	
86	Wenzi	560	54			<i18n=9104>	
86	Wenzi	386	325			<i18n=10635>	
86	Wenzi	630	210			<i18n=763>	
86	Wenzi	510	272			<i18n=14432>	
86	Wenzi	129	76			<i18n=7451>	
86	Wenzi	620	329			<i18n=6903>	
86	Wenzi	402	218			<i18n=16084>	
88	Wenzi	317.1	466.3			<i18n=2693>	
88	Wenzi	528	321			<i18n=10500>	
88	Wenzi	203	241			<i18n=834>	
88	Wenzi	484.6	133.5			<i18n=6672>	
88	Wenzi	109	412			<i18n=9042>	
89	Wenzi	350	333			<i18n=2693>	
89	Wenzi	585	345			<i18n=10294>	
89	Wenzi	435	215			<i18n=13404>	
89	Wenzi	206	187			<i18n=4444>	
89	Wenzi	253	388			<i18n=9520>	
90	Wenzi	384.5	264.4			<i18n=2693>	
90	Wenzi	601.2	286			<i18n=2107>	
90	Wenzi	555	115			<i18n=15650>	
90	Wenzi	226	198			<i18n=8199>	
90	Wenzi	404	375			<i18n=7039>	
90	Npc			12085	ffff0e	<i18n=3432>	10000
91	Wenzi	625	355			<i18n=11483>	
91	Wenzi	280	170			<i18n=12857>	
91	Wenzi	389	364			<i18n=11218>	
91	Wenzi	214	280			<i18n=9392>	
91	Wenzi	645	235			<i18n=15307>	
91	Wenzi	470	154			<i18n=5150>	
91	Wenzi	290	316			<i18n=13028>	
91	Wenzi	550	189			<i18n=14933>	
91	Wenzi	422	250			<i18n=1393>	
94	Tuwen			7137		<i18n=13079>	UI/icon/title/npc.png
94	Tuwen			7124		<i18n=4121>	UI/icon/title/npc.png
94	Tuwen			7500		<i18n=24251>	UI/icon/title/npc.png
94	Tuwen			7155		<i18n=4953>	UI/icon/title/npc.png
94	Tuwen			7129		<i18n=3461>	UI/icon/title/npc.png
95	Tuwen			7015	43fcb4	<i18n=9474>	UI/icon/title/npc.png
95	Tuwen			22	43fcb4	<i18n=18535>	UI/icon/title/npc.png
95	Tuwen			11041	43fcb4	<i18n=8354>	UI/icon/title/npc.png
95	Tuwen			11	43fcb4	<i18n=18542>	UI/icon/title/npc.png
95	Tuwen			13	43fcb4	<i18n=18543>	UI/icon/title/npc.png
95	Tuwen			8	43fcb4	<i18n=18545>	UI/icon/title/npc.png
95	Tuwen			10	43fcb4	<i18n=18540>	UI/icon/title/npc.png
95	Tuwen			15	43fcb4	<i18n=18546>	UI/icon/title/npc.png
95	Tuwen			12	43fcb4	<i18n=18547>	UI/icon/title/npc.png
95	Tuwen			7001	43fcb4	<i18n=14844>	UI/icon/title/npc.png
95	Tuwen			7201	43fcb4	<i18n=9275>	UI/icon/title/npc.png
95	Tuwen			12103	43fcb4	<i18n=13136>	UI/icon/title/npc.png
95	Tuwen			33	43fcb4	<i18n=358>	UI/icon/title/npc.png
95	Tuwen			9255	43fcb4	<i18n=6826>	UI/icon/title/npc.png
95	Npc			12077	ffff0e	<i18n=10393>	10000
95	Npc			12078	ffff0e	<i18n=85>	10000
95	Npc			12079	ffff0e	<i18n=1993>	10000
95	Tuwen			14	43fcb4	<i18n=18536>	UI/icon/title/npc.png
95	Tuwen			12269	43fcb4	<i18n=25014>	UI/icon/title/npc.png
95	Tuwen			38	43fcb4	<i18n=28214>	UI/icon/title/npc.png
96	Tuwen			9237		<i18n=587>	UI/icon/title/npc.png
96	Tuwen			7266		<i18n=7000>	UI/icon/title/npc.png
96	Tuwen			9238		<i18n=63>	UI/icon/title/npc.png
96	Tuwen			9239		<i18n=11426>	UI/icon/title/npc.png
97	Tuwen			7163		<i18n=11629>	UI/icon/title/npc.png
97	Tuwen			9243		<i18n=4794>	UI/icon/title/npc.png
97	Tuwen			9244		<i18n=3626>	UI/icon/title/npc.png
97	Tuwen			9245		<i18n=10334>	UI/icon/title/npc.png
97	Tuwen			9246		<i18n=13022>	UI/icon/title/npc.png
98	Tuwen			9256		<i18n=15049>	UI/icon/title/npc.png
98	Tuwen			9257		<i18n=819>	UI/icon/title/npc.png
98	Tuwen			9258		<i18n=14079>	UI/icon/title/npc.png
98	Tuwen			9259		<i18n=3378>	UI/icon/title/npc.png
99	Tuwen			7166		<i18n=2198>	UI/icon/title/npc.png
99	Tuwen			7167		<i18n=13834>	UI/icon/title/npc.png
99	Tuwen			7154		<i18n=14114>	UI/icon/title/npc.png
99	Tuwen			7156		<i18n=3467>	UI/icon/title/npc.png
100	Tuwen			7067		<i18n=9480>	UI/icon/title/npc.png
100	Tuwen			7068		<i18n=2690>	UI/icon/title/npc.png
100	Tuwen			7069		<i18n=287>	UI/icon/title/npc.png
101	Npc			10000	ffff0e	<i18n=14943>	10000
101	Tuwen			7188		<i18n=14254>	UI/icon/title/npc.png
101	Tuwen			7199		<i18n=5203>	UI/icon/title/npc.png
101	Tuwen			9248		<i18n=15974>	UI/icon/title/npc.png
101	Tuwen			9249		<i18n=5544>	UI/icon/title/npc.png
112	Tuwen			12070	ffff0e	<i18n=6622>	UI/icon/title/shiyuedong.png
