ColorName	nR	nG	nB	nA	Hex
BronzeMid	232	249	247	255	e8f9f7
SliverMid	251	253	253	255	fbfdfd
GoldMid	251	250	241	255	fbfaf1
JadeiteMid	251	249	209	255	fbf9d1
JingMaiGray	178	178	178	255	B2B2B2
JingMaiWhite	107	135	144	255	6B8790
ItemGirdGreen	25	251	31	255	19FB1F
JingMaiTips	77	64	52	255	4D4034
ActivityDefaultOutline	74	131	138	128	4A838A
ActivitySelectedOutline	176	140	52	143	B08C34
QingmingActivityOutline	208	146	14	128	D0920E
wulindahui1	107	135	144	255	6b8790
wulindahui2	147	147	146	255	939392
wulindahui3	255	250	231	255	fffae7
wulindahui4	249	249	249	255	f9f9f9
wulindahui5	135	65	60	255	87413c
wulindahui6	85	85	85	255	555555
wulindahui7	29	79	82	255	1d4f52
wulindahui8	197	5	5	255	c50505
TaskLinkName	255	180	49	255	FFB431
ActivityUnSelectedColor	208	59	14	128	D03B0E
ZongshiLevel	25	239	0	255	FFEF00
ActivityBG01OutLineSelected	208	146	14	128	d0920e
ActivityBG01OutLineUnSelected	74	138	116	128	4a8a74
ActivityBG01MainOutLineSelected	192	54	12	128	c0360c
ActivityBG01MainOutLineUnSelected	74	138	116	128	4A8A74
ActivityBG01TextSelected	255	250	230	255	fffae6
ActivityBG01TextUnSelected	255	250	230	255	fffae6
ActivityBG01MainTextSelected	254	252	169	255	fefca9
ActivityBG01MainTextUnSelected	255	250	230	255	fffae6
ActivityBG02OutLineSelected	208	59	14	128	d03b0e
ActivityBG02OutLineUnSelected	208	59	14	128	d03b0e
ActivityBG02MainOutLineSelected	192	54	12	128	c0360c
ActivityBG02MainOutLineUnSelected	192	54	12	128	c0360c
ActivityBG02TextSelected	255	255	173	255	ffffad
ActivityBG02TextUnSelected	255	255	173	255	ffffad
ActivityBG02MainTextSelected	254	252	169	255	fefca9
ActivityBG02MainTextUnSelected	254	252	169	255	fefca9
ActivityBG03OutLineSelected	176	140	52	128	b08c34
ActivityBG03OutLineUnSelected	74	131	138	128	4a838a
ActivityBG03MainOutLineSelected	192	54	12	128	c0360c
ActivityBG03MainOutLineUnSelected	33	97	101	128	216165
ActivityBG03TextSelected	255	250	230	255	fffae6
ActivityBG03TextUnSelected	255	250	230	255	fffae6
ActivityBG03MainTextSelected	254	252	169	255	fefca9
ActivityBG03MainTextUnSelected	255	250	230	255	fffae6
ActivityBG04OutLineSelected	143	105	28	128	8f691c
ActivityBG04OutLineUnSelected	143	105	28	128	8f691c
ActivityBG04MainOutLineSelected	77	32	18	128	4d2012
ActivityBG04MainOutLineUnSelected	77	32	18	128	4d2012
ActivityBG04TextSelected	255	250	230	255	fffae6
ActivityBG04TextUnSelected	255	250	230	255	fffae6
ActivityBG04MainTextSelected	254	252	169	255	fefca9
ActivityBG04MainTextUnSelected	255	250	230	255	fffae6
ActivityBG05OutLineSelected	208	59	14	128	d03b0e
ActivityBG05OutLineUnSelected	208	59	14	128	d03b0e
ActivityBG05MainOutLineSelected	192	54	12	128	c0360c
ActivityBG05MainOutLineUnSelected	192	54	12	128	c0360c
ActivityBG05TextSelected	255	255	173	255	ffffad
ActivityBG05TextUnSelected	255	255	173	255	ffffad
ActivityBG05MainTextSelected	254	252	169	255	fefca9
ActivityBG05MainTextUnSelected	254	252	169	255	fefca9
ActivityBG06OutLineSelected	208	59	14	128	d03b0e
ActivityBG06OutLineUnSelected	208	59	14	128	d03b0e
ActivityBG06MainOutLineSelected	192	54	12	128	c0360c
ActivityBG06MainOutLineUnSelected	192	54	12	128	c0360c
ActivityBG06TextSelected	255	255	173	255	ffffad
ActivityBG06TextUnSelected	255	255	173	255	ffffad
ActivityBG06MainTextSelected	254	252	169	255	fefca9
ActivityBG06MainTextUnSelected	254	252	169	255	fefca9
