ColorID	Red	Green	Blue	Alpha	Hex
603	181	67	1	255	B54301
604	217	128	0	256	D98000
605	255	203	179	257	FFCBB3
606	203	0	97	258	CB0061
607	52	0	185	259	3400B9
608	1	81	159	260	01519F
609	8	125	85	261	087D55
610	142	83	4	262	8E5304
611	251	255	252	263	fbfffc
612	78	249	96	264	4ef960
613	18	141	101	265	128d65
614	219	252	252	266	dbfcfc
615	17	247	244	267	11f7f4
616	16	59	155	268	103b9b
617	240	246	254	269	f0f6fe
618	164	152	249	270	a498f9
619	54	12	123	271	360c7b
620	249	240	252	272	f9f0fc
621	242	89	246	273	f259f6
622	103	13	129	274	670d81
623	253	250	245	275	fdfaf5
624	250	132	18	276	fa8412
625	130	13	13	277	820d0d
626	251	251	241	278	fbfbf1
627	253	244	9	279	fdf409
628	134	9	9	280	860909
629	125	255	97	281	7dff61
630	125	255	97	282	7dff61
631	125	255	97	283	7dff61
632	86	255	255	284	56ffff
633	55	98	72	285	376248
634	55	98	72	286	376248
635	240	201	250	287	f0c9fa
636	117	29	155	288	751d9b
637	117	29	155	289	751d9b
638	255	208	247	290	ffd0f7
639	209	12	1	291	d10c01
640	209	12	1	292	d10c01
641	255	210	83	293	ffd253
642	124	82	9	294	7c5209
643	124	82	9	295	7c5209
644	255	255	49	296	ffff31
645	134	87	6	297	865706
646	134	87	6	298	865706
657	250	244	196	255	FAF4C4
658	245	174	21	255	F5AE15
659	17	98	65	255	116241
660	244	219	249	255	F4DBF9
661	190	21	245	255	BE15F5
662	107	30	66	255	6B1E42
663	196	250	247	255	C4FAF7
664	21	216	245	255	15D8F5
665	17	21	98	255	111562
666	94	45	0	255	5E2D00
667	211	254	227	255	D3FEE3
668	58	197	98	255	3AC562
669	70	121	88	255	467958
670	3	53	84	255	033554
