nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo
4			OpenLevel269	OpenLevel279	Item|673616
4			OpenLevel279	OpenLevel289	Item|673617
4			OpenLevel289	OpenLevel299	Item|673618
4			OpenLevel299		Item|673619
5					XiaoYaoRepute|0
5					TongFund|0
5			OpenLevel119		Item|35301
5					Item|209
5					Item|102
5					Exp|0
5					Coin|0
6					Exp|0
6					KinContrib|0
6					TongFund|0
7					Exp|0
7					Item|30902
7					Item|30901
7					Item|30900
8					YuanBao|0
8			OpenLevel39	OpenLevel49	Item|8982
8			OpenLevel49	OpenLevel59	Item|8983
8			OpenLevel59	OpenLevel69	Item|8984
8			OpenLevel69	OpenLevel79	Item|8985
8			OpenLevel79	OpenLevel89	Item|8986
8			OpenLevel89	OpenLevel99	Item|8987
8			OpenLevel99	OpenLevel109	Item|8988
8			OpenLevel109	OpenLevel119	Item|8989
8			OpenLevel119	OpenLevel129	Item|8990
8			OpenLevel129	OpenLevel139	Item|671821
8			OpenLevel139	OpenLevel149	Item|671822
8			OpenLevel149	OpenLevel159	Item|671823
8			OpenLevel159	OpenLevel169	Item|671824
8			OpenLevel169	OpenLevel179	Item|671825
8			OpenLevel179	OpenLevel189	Item|671826
8			OpenLevel189	OpenLevel199	Item|671827
8			OpenLevel199	OpenLevel209	Item|671828
8			OpenLevel209	OpenLevel219	Item|673600
8			OpenLevel219	OpenLevel229	Item|673601
8			OpenLevel229	OpenLevel239	Item|673602
8			OpenLevel239	OpenLevel249	Item|673603
8			OpenLevel249	OpenLevel259	Item|673604
8			OpenLevel259	OpenLevel269	Item|673605
8			OpenLevel269	OpenLevel279	Item|673606
8			OpenLevel279	OpenLevel289	Item|673607
8			OpenLevel289	OpenLevel299	Item|673608
8			OpenLevel299		Item|673609
8			OpenLevel39	OpenLevel49	Item|8992
8			OpenLevel49	OpenLevel59	Item|8993
8			OpenLevel59	OpenLevel69	Item|8994
8			OpenLevel69	OpenLevel79	Item|8995
8			OpenLevel79	OpenLevel89	Item|8996
8			OpenLevel89	OpenLevel99	Item|8997
8			OpenLevel99	OpenLevel109	Item|8998
8			OpenLevel109	OpenLevel119	Item|8999
8			OpenLevel119	OpenLevel129	Item|9000
8			OpenLevel129	OpenLevel139	Item|671831
8			OpenLevel139	OpenLevel149	Item|671832
8			OpenLevel149	OpenLevel159	Item|671833
8			OpenLevel159	OpenLevel169	Item|671834
8			OpenLevel169	OpenLevel179	Item|671835
8			OpenLevel179	OpenLevel189	Item|671836
8			OpenLevel189	OpenLevel199	Item|671837
8			OpenLevel199	OpenLevel209	Item|671838
8			OpenLevel209	OpenLevel219	Item|673610
8			OpenLevel219	OpenLevel229	Item|673611
8			OpenLevel229	OpenLevel239	Item|673612
8			OpenLevel239	OpenLevel249	Item|673613
8			OpenLevel249	OpenLevel259	Item|673614
8			OpenLevel259	OpenLevel269	Item|673615
8			OpenLevel269	OpenLevel279	Item|673616
8			OpenLevel279	OpenLevel289	Item|673617
8			OpenLevel289	OpenLevel299	Item|673618
8			OpenLevel299		Item|673619
8			OpenLevel89	OpenLevel109	Item|33000
8			OpenLevel109	OpenLevel129	Item|33001
8			OpenLevel129	OpenLevel149	Item|33002
8			OpenLevel149	OpenLevel169	Item|33003
8			OpenLevel169	OpenLevel189	Item|33004
8			OpenLevel189	OpenLevel209	Item|33005
8			OpenLevel209	OpenLevel229	Item|33006
8			OpenLevel229	OpenLevel249	Item|33007
8			OpenLevel249	OpenLevel269	Item|33008
8			OpenLevel269	OpenLevel289	Item|33009
8			OpenLevel289		Item|32999
8			OpenLevel89	OpenLevel109	Item|31617
8			OpenLevel109	OpenLevel139	Item|31636
8			OpenLevel139	OpenLevel169	Item|31650
8			OpenLevel169	OpenLevel199	Item|31651
8			OpenLevel199	OpenLevel229	Item|31652
8			OpenLevel229	OpenLevel259	Item|673555
8			OpenLevel259	OpenLevel289	Item|673556
8			OpenLevel289		Item|673557
8					Item|501
8					Item|901
8					Item|31412
8					Exp|0
8					Coin|0
9					KinContrib|0
9					TongFund|0
9				OpenLevel59	Item|912
9				OpenLevel69	Item|913
9			OpenLevel59	OpenLevel79	Item|914
9			OpenLevel69	OpenLevel89	Item|915
9			OpenLevel79	OpenLevel99	Item|916
9			OpenLevel89	OpenLevel109	Item|917
9			OpenLevel99	OpenLevel129	Item|905
9			OpenLevel109	OpenLevel149	Item|906
9			OpenLevel129	OpenLevel169	Item|918
9			OpenLevel149	OpenLevel189	Item|919
9			OpenLevel169	OpenLevel209	Item|920
9			OpenLevel189	OpenLevel229	Item|907
9			OpenLevel209	OpenLevel249	Item|923
9			OpenLevel229	OpenLevel269	Item|924
9			OpenLevel249	OpenLevel289	Item|925
9			OpenLevel269		Item|926
9			OpenLevel289		Item|927
9					Item|31025
9					Item|3104
9				OpenLevel69	Item|3117
9			OpenLevel69	OpenLevel89	Item|351
9			OpenLevel79	OpenLevel99	Item|352
9			OpenLevel79	OpenLevel99	Item|367
9			OpenLevel89	OpenLevel109	Item|353
9			OpenLevel89	OpenLevel109	Item|368
9			OpenLevel89	OpenLevel109	Item|372
9			OpenLevel99	OpenLevel119	Item|354
9			OpenLevel99	OpenLevel119	Item|369
9			OpenLevel99	OpenLevel119	Item|373
9			OpenLevel109	OpenLevel129	Item|355
9			OpenLevel109	OpenLevel129	Item|370
9			OpenLevel109	OpenLevel129	Item|374
9			OpenLevel119	OpenLevel139	Item|356
9			OpenLevel119	OpenLevel139	Item|371
9			OpenLevel119	OpenLevel139	Item|375
9			OpenLevel129	OpenLevel149	Item|3553
9			OpenLevel129	OpenLevel149	Item|3577
9			OpenLevel129	OpenLevel149	Item|3585
9			OpenLevel139	OpenLevel159	Item|3554
9			OpenLevel139	OpenLevel159	Item|3578
9			OpenLevel139	OpenLevel159	Item|3586
9			OpenLevel149	OpenLevel169	Item|3555
9			OpenLevel149	OpenLevel169	Item|3579
9			OpenLevel149	OpenLevel169	Item|3587
9			OpenLevel159	OpenLevel179	Item|3556
9			OpenLevel159	OpenLevel179	Item|3580
9			OpenLevel159	OpenLevel179	Item|3588
9			OpenLevel169	OpenLevel189	Item|3557
9			OpenLevel169	OpenLevel189	Item|3581
9			OpenLevel169	OpenLevel189	Item|3589
9			OpenLevel179	OpenLevel199	Item|3558
9			OpenLevel179	OpenLevel199	Item|3582
9			OpenLevel179	OpenLevel199	Item|3590
9			OpenLevel189	OpenLevel209	Item|3559
9			OpenLevel189	OpenLevel209	Item|3583
9			OpenLevel189	OpenLevel209	Item|3591
9			OpenLevel199	OpenLevel219	Item|3560
9			OpenLevel199	OpenLevel219	Item|3584
9			OpenLevel199	OpenLevel219	Item|3592
9			OpenLevel209	OpenLevel229	Item|3639
9			OpenLevel209	OpenLevel229	Item|3669
9			OpenLevel209	OpenLevel229	Item|3679
9			OpenLevel219	OpenLevel239	Item|3640
9			OpenLevel219	OpenLevel239	Item|3670
9			OpenLevel219	OpenLevel239	Item|3680
9			OpenLevel229	OpenLevel249	Item|3641
9			OpenLevel229	OpenLevel249	Item|3671
9			OpenLevel229	OpenLevel249	Item|3681
9			OpenLevel239	OpenLevel259	Item|3642
9			OpenLevel239	OpenLevel259	Item|3672
9			OpenLevel239	OpenLevel259	Item|3682
9			OpenLevel249	OpenLevel269	Item|3643
9			OpenLevel249	OpenLevel269	Item|3673
9			OpenLevel249	OpenLevel269	Item|3683
9			OpenLevel259	OpenLevel279	Item|3644
9			OpenLevel259	OpenLevel279	Item|3674
9			OpenLevel259	OpenLevel279	Item|3684
9			OpenLevel269	OpenLevel289	Item|3645
9			OpenLevel269	OpenLevel289	Item|3675
9			OpenLevel269	OpenLevel289	Item|3685
9			OpenLevel279	OpenLevel299	Item|3646
9			OpenLevel279	OpenLevel299	Item|3676
9			OpenLevel279	OpenLevel299	Item|3686
9			OpenLevel289		Item|3647
9			OpenLevel289		Item|3677
9			OpenLevel289		Item|3687
9			OpenLevel299		Item|3648
9			OpenLevel299		Item|3678
9			OpenLevel299		Item|3688
9			OpenLevel59		Item|324
9			OpenLevel59		Item|20382
9				OpenLevel69	Item|31412
9			OpenLevel59		Item|324
9			OpenLevel59		Item|20382
9				OpenLevel69	Item|31412
9			OpenLevel289		Item|31018
9			OpenLevel269	OpenLevel299	Item|31017
9			OpenLevel249	OpenLevel279	Item|31016
9			OpenLevel229	OpenLevel259	Item|31015
9			OpenLevel209	OpenLevel239	Item|31014
9			OpenLevel189	OpenLevel219	Item|31013
9			OpenLevel169	OpenLevel199	Item|31012
9			OpenLevel149	OpenLevel179	Item|31011
9			OpenLevel129	OpenLevel159	Item|31010
9			OpenLevel109	OpenLevel139	Item|31009
9			OpenLevel89	OpenLevel119	Item|31008
9			OpenLevel69	OpenLevel99	Item|31007
9					Exp|0
9					Coin|0
10					KinContrib|0
10			OpenLevel299		Item|3658
10			OpenLevel289		Item|3657
10			OpenLevel279	OpenLevel299	Item|3656
10			OpenLevel269	OpenLevel289	Item|3655
10			OpenLevel259	OpenLevel279	Item|3654
10			OpenLevel249	OpenLevel269	Item|3653
10			OpenLevel239	OpenLevel259	Item|3652
10			OpenLevel229	OpenLevel249	Item|3651
10			OpenLevel219	OpenLevel239	Item|3650
10			OpenLevel209	OpenLevel229	Item|3649
10			OpenLevel199	OpenLevel219	Item|3568
10			OpenLevel189	OpenLevel209	Item|3567
10			OpenLevel179	OpenLevel199	Item|3566
10			OpenLevel169	OpenLevel189	Item|3565
10			OpenLevel159	OpenLevel179	Item|3564
10			OpenLevel149	OpenLevel169	Item|3563
10			OpenLevel139	OpenLevel159	Item|3562
10			OpenLevel129	OpenLevel149	Item|3561
10			OpenLevel119	OpenLevel139	Item|361
10			OpenLevel109	OpenLevel129	Item|360
10			OpenLevel99	OpenLevel119	Item|359
10			OpenLevel89	OpenLevel109	Item|358
10			OpenLevel79	OpenLevel99	Item|357
10			OpenLevel299		Item|3618
10			OpenLevel289		Item|3617
10			OpenLevel279	OpenLevel299	Item|3616
10			OpenLevel269	OpenLevel289	Item|3615
10			OpenLevel259	OpenLevel279	Item|3614
10			OpenLevel249	OpenLevel269	Item|3613
10			OpenLevel239	OpenLevel259	Item|3612
10			OpenLevel229	OpenLevel249	Item|3611
10			OpenLevel219	OpenLevel239	Item|3610
10			OpenLevel209	OpenLevel229	Item|3609
10			OpenLevel199	OpenLevel219	Item|3536
10			OpenLevel189	OpenLevel209	Item|3535
10			OpenLevel179	OpenLevel199	Item|3534
10			OpenLevel169	OpenLevel189	Item|3533
10			OpenLevel159	OpenLevel179	Item|3532
10			OpenLevel149	OpenLevel169	Item|3531
10			OpenLevel139	OpenLevel159	Item|3530
10			OpenLevel129	OpenLevel149	Item|3529
10			OpenLevel119	OpenLevel139	Item|337
10			OpenLevel109	OpenLevel129	Item|336
10			OpenLevel99	OpenLevel119	Item|335
10			OpenLevel89	OpenLevel109	Item|334
10			OpenLevel79	OpenLevel99	Item|333
10			OpenLevel69	OpenLevel89	Item|332
10			OpenLevel59	OpenLevel79	Item|331
10				OpenLevel59	Item|912
10			OpenLevel49	OpenLevel69	Item|913
10			OpenLevel59	OpenLevel79	Item|914
10			OpenLevel69	OpenLevel89	Item|915
10			OpenLevel79	OpenLevel99	Item|916
10			OpenLevel89	OpenLevel109	Item|917
10			OpenLevel99	OpenLevel129	Item|905
10			OpenLevel109	OpenLevel149	Item|906
10			OpenLevel129	OpenLevel169	Item|918
10			OpenLevel149	OpenLevel189	Item|919
10			OpenLevel169	OpenLevel209	Item|920
10			OpenLevel189	OpenLevel229	Item|907
10			OpenLevel209	OpenLevel249	Item|923
10			OpenLevel229	OpenLevel269	Item|924
10			OpenLevel249	OpenLevel289	Item|925
10			OpenLevel269		Item|926
10			OpenLevel289		Item|927
10			OpenLevel59		Item|325
10					Item|31460
10				OpenLevel59	Item|31412
10					Item|513
11					Exp|0
11					KinContrib|0
11					TongFund|0
12					Exp|0
12			OpenLevel39	OpenLevel49	YuanBao|0
12					Coin|0
12					KinContrib|0
12			OpenLevel49		Item|412
12			OpenLevel39	OpenLevel69	Item|502
12			OpenLevel69	OpenLevel99	Item|503
12			OpenLevel99	OpenLevel129	Item|504
12			OpenLevel129	OpenLevel159	Item|505
12			OpenLevel159	OpenLevel189	Item|500
12			OpenLevel189	OpenLevel219	Item|499
12			OpenLevel219	OpenLevel249	Item|760
12			OpenLevel249	OpenLevel279	Item|761
12			OpenLevel279		Item|762
13					Exp|0
13			OpenLevel39	OpenLevel49	Item|13022
13			OpenLevel39	OpenLevel49	Item|17022
13			OpenLevel39	OpenLevel49	Item|18022
13			OpenLevel49	OpenLevel59	Item|13023
13			OpenLevel49	OpenLevel59	Item|17023
13			OpenLevel49	OpenLevel59	Item|18023
13			OpenLevel59	OpenLevel69	Item|13024
13			OpenLevel59	OpenLevel69	Item|17024
13			OpenLevel59	OpenLevel69	Item|18024
13			OpenLevel69	OpenLevel79	Item|13025
13			OpenLevel69	OpenLevel79	Item|17025
13			OpenLevel69	OpenLevel79	Item|18025
13			OpenLevel79	OpenLevel89	Item|13026
13			OpenLevel79	OpenLevel89	Item|17026
13			OpenLevel79	OpenLevel89	Item|18026
13			OpenLevel89	OpenLevel99	Item|13027
13			OpenLevel89	OpenLevel99	Item|17027
13			OpenLevel89	OpenLevel99	Item|18027
13			OpenLevel99	OpenLevel109	Item|13028
13			OpenLevel99	OpenLevel109	Item|17028
13			OpenLevel99	OpenLevel109	Item|18028
13			OpenLevel109	OpenLevel119	Item|13029
13			OpenLevel109	OpenLevel119	Item|17029
13			OpenLevel109	OpenLevel119	Item|18029
13			OpenLevel119	OpenLevel129	Item|13030
13			OpenLevel119	OpenLevel129	Item|17030
13			OpenLevel119	OpenLevel129	Item|18030
13			OpenLevel129	OpenLevel139	Item|13047
13			OpenLevel129	OpenLevel139	Item|17047
13			OpenLevel129	OpenLevel139	Item|18047
13			OpenLevel139	OpenLevel149	Item|13048
13			OpenLevel139	OpenLevel149	Item|17048
13			OpenLevel139	OpenLevel149	Item|18048
13			OpenLevel149	OpenLevel159	Item|13049
13			OpenLevel149	OpenLevel159	Item|17049
13			OpenLevel149	OpenLevel159	Item|18049
13			OpenLevel159	OpenLevel169	Item|13050
13			OpenLevel159	OpenLevel169	Item|17050
13			OpenLevel159	OpenLevel169	Item|18050
13			OpenLevel169	OpenLevel179	Item|13051
13			OpenLevel169	OpenLevel179	Item|17051
13			OpenLevel169	OpenLevel179	Item|18051
13			OpenLevel179	OpenLevel189	Item|13052
13			OpenLevel179	OpenLevel189	Item|17052
13			OpenLevel179	OpenLevel189	Item|18052
13			OpenLevel189	OpenLevel199	Item|13053
13			OpenLevel189	OpenLevel199	Item|17053
13			OpenLevel189	OpenLevel199	Item|18053
13			OpenLevel199	OpenLevel209	Item|13054
13			OpenLevel199	OpenLevel209	Item|17054
13			OpenLevel199	OpenLevel209	Item|18054
13			OpenLevel209	OpenLevel219	Item|13095
13			OpenLevel209	OpenLevel219	Item|17095
13			OpenLevel209	OpenLevel219	Item|18095
13			OpenLevel219	OpenLevel229	Item|13096
13			OpenLevel219	OpenLevel229	Item|17096
13			OpenLevel219	OpenLevel229	Item|18096
13			OpenLevel229	OpenLevel239	Item|13097
13			OpenLevel229	OpenLevel239	Item|17097
13			OpenLevel229	OpenLevel239	Item|18097
13			OpenLevel239	OpenLevel249	Item|13098
13			OpenLevel239	OpenLevel249	Item|17098
13			OpenLevel239	OpenLevel249	Item|18098
13			OpenLevel249	OpenLevel259	Item|13099
13			OpenLevel249	OpenLevel259	Item|17099
13			OpenLevel249	OpenLevel259	Item|18099
13			OpenLevel259	OpenLevel269	Item|13100
13			OpenLevel259	OpenLevel269	Item|17100
13			OpenLevel259	OpenLevel269	Item|18100
13			OpenLevel269	OpenLevel279	Item|13101
13			OpenLevel269	OpenLevel279	Item|17101
13			OpenLevel269	OpenLevel279	Item|18101
13			OpenLevel279	OpenLevel289	Item|13102
13			OpenLevel279	OpenLevel289	Item|17102
13			OpenLevel279	OpenLevel289	Item|18102
13			OpenLevel289	OpenLevel299	Item|13103
13			OpenLevel289	OpenLevel299	Item|17103
13			OpenLevel289	OpenLevel299	Item|18103
13			OpenLevel299		Item|13104
13			OpenLevel299		Item|17104
13			OpenLevel299		Item|18104
13			OpenLevel89	OpenLevel109	Item|33000
13			OpenLevel109	OpenLevel129	Item|33001
13			OpenLevel129	OpenLevel149	Item|33002
13			OpenLevel149	OpenLevel169	Item|33003
13			OpenLevel169	OpenLevel189	Item|33004
13			OpenLevel189	OpenLevel209	Item|33005
13			OpenLevel209	OpenLevel229	Item|33006
13			OpenLevel229	OpenLevel249	Item|33007
13			OpenLevel249	OpenLevel269	Item|33008
13			OpenLevel269	OpenLevel289	Item|33009
13			OpenLevel289		Item|32999
13			OpenLevel139		Item|80000
13			OpenLevel139		Item|80300
13					Item|104
13					Item|201
13					Item|901
14					Exp|0
15					Exp|0
15					YuanBao|0
15					Coin|0
15					XiaoYaoRepute|0
15					TongFund|0
15					Item|30517
15				OpenDay2B	Item|209
15					Item|102
15			OpenDay2B		Item|201
15			OpenLevel129		Item|3008
15					Item|30513
15					Item|30512
15					Item|30506
15					Item|30507
16					Exp|0
16					Coin|0
16					TongFund|0
16			OpenLevel119		Item|35297
16					Item|501
16					Item|3001
16					Item|3002
17			OpenLevel39	OpenLevel49	Item|209
17			OpenLevel79		Item|20380
17			OpenLevel49		Item|31001
17			OpenLevel49		Item|412
17			OpenLevel39	OpenLevel69	Item|502
17			OpenLevel69	OpenLevel99	Item|503
17			OpenLevel99	OpenLevel129	Item|504
17			OpenLevel129	OpenLevel159	Item|505
17			OpenLevel159	OpenLevel189	Item|500
17			OpenLevel189	OpenLevel219	Item|499
17			OpenLevel219	OpenLevel249	Item|760
17			OpenLevel249	OpenLevel279	Item|761
17			OpenLevel279		Item|762
17			OpenLevel39	OpenLevel49	Item|901
17					Exp|0
17					Coin|0
18			OpenLevel49H		Exp|0
18			OpenLevel49H		Coin|0
18			OpenLevel49H		KinContrib|0
18			OpenLevel49H		Item|201
18			OpenLevel49H		Item|30037
19					Coin|0
19					Item|208
19					Item|105
20					KinContrib|0
21			OpenLevel79		Item|20380
21			OpenLevel89	OpenLevel109	Item|33000
21			OpenLevel109	OpenLevel129	Item|33001
21			OpenLevel129	OpenLevel149	Item|33002
21			OpenLevel149	OpenLevel169	Item|33003
21			OpenLevel169	OpenLevel189	Item|33004
21			OpenLevel189	OpenLevel209	Item|33005
21			OpenLevel209	OpenLevel229	Item|33006
21			OpenLevel229	OpenLevel249	Item|33007
21			OpenLevel249	OpenLevel269	Item|33008
21			OpenLevel269	OpenLevel289	Item|33009
21			OpenLevel289		Item|32999
21			OpenLevel89		Item|33013
21			OpenLevel89		Item|33011
21			OpenLevel89		Item|33014
21			OpenLevel49		Item|412
21				OpenLevel89	Item|3001
21				OpenLevel89	Item|3002
21				OpenLevel49	Item|3003
21			OpenLevel69	OpenLevel89	Item|503
21			OpenLevel39	OpenLevel69	Item|502
21					Exp|0
21				OpenLevel89	Coin|0
22					TongFund|0
22			OpenLevel39	OpenLevel49	Item|13022
22			OpenLevel39	OpenLevel49	Item|17022
22			OpenLevel39	OpenLevel49	Item|18022
22			OpenLevel49	OpenLevel59	Item|13023
22			OpenLevel49	OpenLevel59	Item|17023
22			OpenLevel49	OpenLevel59	Item|18023
22			OpenLevel59	OpenLevel69	Item|13024
22			OpenLevel59	OpenLevel69	Item|17024
22			OpenLevel59	OpenLevel69	Item|18024
22			OpenLevel69	OpenLevel79	Item|13025
22			OpenLevel69	OpenLevel79	Item|17025
22			OpenLevel69	OpenLevel79	Item|18025
22			OpenLevel79	OpenLevel89	Item|13026
22			OpenLevel79	OpenLevel89	Item|17026
22			OpenLevel79	OpenLevel89	Item|18026
22			OpenLevel89	OpenLevel99	Item|13027
22			OpenLevel89	OpenLevel99	Item|17027
22			OpenLevel89	OpenLevel99	Item|18027
22			OpenLevel99	OpenLevel109	Item|13028
22			OpenLevel99	OpenLevel109	Item|17028
22			OpenLevel99	OpenLevel109	Item|18028
22			OpenLevel109	OpenLevel119	Item|13029
22			OpenLevel109	OpenLevel119	Item|17029
22			OpenLevel109	OpenLevel119	Item|18029
22			OpenLevel119	OpenLevel129	Item|13030
22			OpenLevel119	OpenLevel129	Item|17030
22			OpenLevel119	OpenLevel129	Item|18030
22			OpenLevel129	OpenLevel139	Item|18047
22			OpenLevel129	OpenLevel139	Item|13047
22			OpenLevel129	OpenLevel139	Item|17047
22			OpenLevel139	OpenLevel149	Item|18048
22			OpenLevel139	OpenLevel149	Item|13048
22			OpenLevel139	OpenLevel149	Item|17048
22			OpenLevel149	OpenLevel159	Item|18049
22			OpenLevel149	OpenLevel159	Item|13049
22			OpenLevel149	OpenLevel159	Item|17049
22			OpenLevel159	OpenLevel169	Item|18050
22			OpenLevel159	OpenLevel169	Item|13050
22			OpenLevel159	OpenLevel169	Item|17050
22			OpenLevel169	OpenLevel179	Item|18051
22			OpenLevel169	OpenLevel179	Item|13051
22			OpenLevel169	OpenLevel179	Item|17051
22			OpenLevel179	OpenLevel189	Item|18052
22			OpenLevel179	OpenLevel189	Item|13052
22			OpenLevel179	OpenLevel189	Item|17052
22			OpenLevel189	OpenLevel199	Item|18053
22			OpenLevel189	OpenLevel199	Item|13053
22			OpenLevel189	OpenLevel199	Item|17053
22			OpenLevel199	OpenLevel209	Item|18054
22			OpenLevel199	OpenLevel209	Item|13054
22			OpenLevel199	OpenLevel209	Item|17054
22			OpenLevel209	OpenLevel219	Item|18095
22			OpenLevel209	OpenLevel219	Item|13095
22			OpenLevel209	OpenLevel219	Item|17095
22			OpenLevel219	OpenLevel229	Item|18096
22			OpenLevel219	OpenLevel229	Item|13096
22			OpenLevel219	OpenLevel229	Item|17096
22			OpenLevel229	OpenLevel239	Item|18097
22			OpenLevel229	OpenLevel239	Item|13097
22			OpenLevel229	OpenLevel239	Item|17097
22			OpenLevel239	OpenLevel249	Item|18098
22			OpenLevel239	OpenLevel249	Item|13098
22			OpenLevel239	OpenLevel249	Item|17098
22			OpenLevel249	OpenLevel259	Item|18099
22			OpenLevel249	OpenLevel259	Item|13099
22			OpenLevel249	OpenLevel259	Item|17099
22			OpenLevel259	OpenLevel269	Item|18100
22			OpenLevel259	OpenLevel269	Item|13100
22			OpenLevel259	OpenLevel269	Item|17100
22			OpenLevel269	OpenLevel279	Item|18101
22			OpenLevel269	OpenLevel279	Item|13101
22			OpenLevel269	OpenLevel279	Item|17101
22			OpenLevel279	OpenLevel289	Item|18102
22			OpenLevel279	OpenLevel289	Item|13102
