Key	HelpKey	_Desc	Type	PreviewFrame1	PreviewTime1	PreviewFrame2	PreviewTime2	PreviewFrame3	PreviewTime3	TimeFrame1	TimeDes1_1	TimeDes1_2	TimeFrame2	TimeDes2_1	TimeDes2_2	TimeFrame3	TimeDes3_1	TimeDes3_2	Desc
MultiPvPFinal	MultiPvPHelp	<i18n=2894>	<i18n=15982>		<i18n=12927>						<i18n=19170>	 21:30							<i18n=3398>
BattleHuqi	BattleHuqiHelp	<i18n=32945>	<i18n=11778>		<i18n=10113>						<i18n=34739>	 10:25, 16:25,21:55	OpenLevel59	<i18n=34739>	 10:25, 16:25, 21:55				<i18n=34740>
Darting	YunBiao	<i18n=36670>	<i18n=15982>		<i18n=12927>					OpenLevel119	<i18n=13432>	19:00							<i18n=37645>
Qiancengta	LevelTowerHelp	<i18n=37459>	<i18n=15982>		<i18n=9365>					OpenLevel59	<i18n=9365>								<i18n=37880>
GlobalShiYueDao	ShiYueDaoHelp	<i18n=39277>	<i18n=15982>		<i18n=12927>					OpenLevel69	<i18n=39424>	 10:00, 14:00, 18:00, 22:30	OpenLevel99	<i18n=684>	 10:00, 14:00, 18:00, 22:30				<i18n=31526>
HanHaiMiCheng	HanHaiMiChengHelp	<i18n=43296>	<i18n=15982>		<i18n=12927>					OpenLevel99	<i18n=43429>	21:00	OpenLevel99	<i18n=43429>	21:00				<i18n=43426>
Blessing	BlessingHelp1	<i18n=45145>	<i18n=11778>		<i18n=9365>					OpenLevel59	<i18n=684>								<i18n=45858>
JiangHuZhuJiu	JiangHuZhuJiu	<i18n=45977>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=47661>
LoulanMiZong	LoulanMiZong	<i18n=46096>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=48736>
TwoAreaBattle	TwoAreaBattle	<i18n=46909>	<i18n=帮会>		<i18n=12927>					OpenLevel99	<i18n=3003>	 21:30							<i18n=48750>
MultiFactionFight	MultiFactionFight	<i18n=56758>	<i18n=10213>		<i18n=12927>					OpenLevel89	<i18n=34739>	 21:00							<i18n=57471>
QianQiongGong	DigTreasureHelp	<i18n=56975>	<i18n=10213>		<i18n=9365>						<i18n=9365>								<i18n=56975>
GlobalDomainBattle	GlobalDomainBattleHelp	<i18n=57755>	<i18n=帮会>		<i18n=12927>					OpenLevel89	<i18n=3954>	 20:55							<i18n=8252>
ShouWeiXiangYang	ShouWeiXiangYangHelp	<i18n=68831>	<i18n=帮会>		<i18n=12927>					OpenLevel119	<i18n=43429>	 21:30							<i18n=69110>
XiaKeDao	XiaKeDaoHelp	<i18n=73680>	<i18n=10213>		<i18n=10113>					OpenLevel89	<i18n=82192>	8:00-23:59							<i18n=75434>
XiaKeDaoZone	XiaKeDaoHelp	<i18n=76789>	<i18n=10213>		<i18n=10113>					OpenLevel89	<i18n=82191>	8:00-23:59							<i18n=75434>
FengHuoKuangMai	FengHuoKuangMaiHelp	<i18n=84348>	<i18n=56130>		<i18n=12927>					OpenLevel79	<i18n=34739>	 21:30							<i18n=85042>
