nBlessingId	szBlessingName	szBlessingType	szDesc	szToDo
44442	<i18n=40175>	<i18n=40242>	<i18n=40247>	<i18n=45478>
44443	<i18n=40270>	<i18n=40242>	<i18n=40325>	<i18n=45389>
44445	<i18n=40255>	<i18n=40242>	<i18n=40321>	<i18n=45464>
55551	<i18n=40274>	<i18n=40242>	<i18n=40201>	<i18n=45460>
55552	<i18n=40143>	<i18n=40242>	<i18n=40309>	<i18n=45410>
55553	<i18n=40191>	<i18n=40242>	<i18n=40305>	<i18n=45432>
55554	<i18n=40290>	<i18n=40242>	<i18n=40304>	<i18n=45477>
11111	<i18n=40164>	<i18n=13430>	<i18n=40269>	<i18n=45468>
22222	<i18n=40348>	<i18n=13430>	<i18n=40203>	<i18n=45400>
33333	<i18n=40190>	<i18n=13430>	<i18n=40231>	<i18n=45415>
44444	<i18n=40334>	<i18n=13430>	<i18n=40353>	<i18n=45458>
55555	<i18n=40296>	<i18n=13430>	<i18n=40195>	<i18n=45429>
