nTemplateId	nBaseAttrNum	nBaseAttrGroupId	nExtAttrNum	nExtAttrGroupId	nOrder	nSeries	nFightPower
254110	1	4110	2	4110	10	4	7593
254111	1	4111	2	4111	11	4	8732
254112	1	4112	2	4112	12	4	9999
254113	1	4113	2	4113	13	4	11399
254114	1	4114	2	4114	14	4	12938
254115	1	4115	2	4115	15	4	14620
254116	1	4116	2	4116	16	4	16521
254117	1	4117	2	4117	17	4	18669
254118	1	4118	2	4118	18	4	21096
254119	1	4119	2	4119	19	4	23840
254120	1	4120	2	4120	20	4	26940
254201	1	4201	3	4201	1	4	1800
254202	1	4202	3	4202	2	4	2160
254203	1	4203	3	4203	3	4	2592
254204	1	4204	3	4204	4	4	3111
254205	1	4205	3	4205	5	4	3734
254206	1	4206	3	4206	6	4	4481
254207	1	4207	3	4207	7	4	5333
254208	1	4208	3	4208	8	4	6293
254209	1	4209	3	4209	9	4	7363
254210	1	4210	3	4210	10	4	8542
254211	1	4211	3	4211	11	4	9824
254212	1	4212	3	4212	12	4	11249
254213	1	4213	3	4213	13	4	12824
254214	1	4214	3	4214	14	4	14555
254215	1	4215	3	4215	15	4	16448
254216	1	4216	3	4216	16	4	18586
254217	1	4217	3	4217	17	4	21003
254218	1	4218	3	4218	18	4	23733
254219	1	4219	3	4219	19	4	26820
254220	1	4220	3	4220	20	4	30307
254301	2	4301	4	4301	1	4	2000
254302	2	4302	4	4302	2	4	2400
254303	2	4303	4	4303	3	4	2880
254304	2	4304	4	4304	4	4	3457
254305	2	4305	4	4305	5	4	4149
254306	2	4306	4	4306	6	4	4979
254307	2	4307	4	4307	7	4	5926
254308	2	4308	4	4308	8	4	6993
254309	2	4309	4	4309	9	4	8182
254310	2	4310	4	4310	10	4	9492
254311	2	4311	4	4311	11	4	10916
254312	2	4312	4	4312	12	4	12499
254313	2	4313	4	4313	13	4	14249
254314	2	4314	4	4314	14	4	16173
254315	2	4315	4	4315	15	4	18276
254316	2	4316	4	4316	16	4	20652
254317	2	4317	4	4317	17	4	23337
254318	2	4318	4	4318	18	4	26371
254319	2	4319	4	4319	19	4	29800
254320	2	4320	4	4320	20	4	33675
255101	1	5101	2	5101	1	5	1600
255102	1	5102	2	5102	2	5	1920
255103	1	5103	2	5103	3	5	2304
255104	1	5104	2	5104	4	5	2765
255105	1	5105	2	5105	5	5	3319
255106	1	5106	2	5106	6	5	3983
255107	1	5107	2	5107	7	5	4740
255108	1	5108	2	5108	8	5	5594
255109	1	5109	2	5109	9	5	6545
255110	1	5110	2	5110	10	5	7593
255111	1	5111	2	5111	11	5	8732
255112	1	5112	2	5112	12	5	9999
255113	1	5113	2	5113	13	5	11399
255114	1	5114	2	5114	14	5	12938
255115	1	5115	2	5115	15	5	14620
255116	1	5116	2	5116	16	5	16521
255117	1	5117	2	5117	17	5	18669
255118	1	5118	2	5118	18	5	21096
255119	1	5119	2	5119	19	5	23840
255120	1	5120	2	5120	20	5	26940
255201	1	5201	3	5201	1	5	1800
255202	1	5202	3	5202	2	5	2160
255203	1	5203	3	5203	3	5	2592
255204	1	5204	3	5204	4	5	3111
255205	1	5205	3	5205	5	5	3734
255206	1	5206	3	5206	6	5	4481
255207	1	5207	3	5207	7	5	5333
255208	1	5208	3	5208	8	5	6293
255209	1	5209	3	5209	9	5	7363
255210	1	5210	3	5210	10	5	8542
255211	1	5211	3	5211	11	5	9824
255212	1	5212	3	5212	12	5	11249
255213	1	5213	3	5213	13	5	12824
255214	1	5214	3	5214	14	5	14555
255215	1	5215	3	5215	15	5	16448
255216	1	5216	3	5216	16	5	18586
255217	1	5217	3	5217	17	5	21003
255218	1	5218	3	5218	18	5	23733
255219	1	5219	3	5219	19	5	26820
255220	1	5220	3	5220	20	5	30307
255301	2	5301	4	5301	1	5	2000
255302	2	5302	4	5302	2	5	2400
255303	2	5303	4	5303	3	5	2880
255304	2	5304	4	5304	4	5	3457
255305	2	5305	4	5305	5	5	4149
255306	2	5306	4	5306	6	5	4979
255307	2	5307	4	5307	7	5	5926
255308	2	5308	4	5308	8	5	6993
255309	2	5309	4	5309	9	5	8182
255310	2	5310	4	5310	10	5	9492
255311	2	5311	4	5311	11	5	10916
255312	2	5312	4	5312	12	5	12499
255313	2	5313	4	5313	13	5	14249
255314	2	5314	4	5314	14	5	16173
255315	2	5315	4	5315	15	5	18276
255316	2	5316	4	5316	16	5	20652
255317	2	5317	4	5317	17	5	23337
255318	2	5318	4	5318	18	5	26371
255319	2	5319	4	5319	19	5	29800
255320	2	5320	4	5320	20	5	33675
