nGroupId	nAttrId	nAttrValueMin1	nAttrValueMin2	nAttrValueMin3	nAttrValueMax1	nAttrValueMax2	nAttrValueMax3	FightPower	nWeight
1304	16	1000	27		1000	32		1000	120000
1304	45	27			32			1000	120000
1304	44	108			129			1000	120000
1305	56	8			9			1000	60000
1305	39	33			39			1000	80000
1305	38	33			39			1000	80000
1305	11	33		33	39		39	1000	100000
1305	25	660			792			1000	100000
1305	42	33			39			1000	100000
1305	27	165			198			1000	120000
1305	16	1000	33		1000	39		1000	120000
1305	45	33			39			1000	120000
1305	44	132			158			1000	120000
1306	56	9			11			1000	60000
1306	39	39			46			1000	80000
1306	38	39			46			1000	80000
1306	11	39		39	46		46	1000	100000
1306	25	780			936			1000	100000
1306	42	39			46			1000	100000
1306	27	195			234			1000	120000
1306	16	1000	39		1000	46		1000	120000
1306	45	39			46			1000	120000
1306	44	156			187			1000	120000
1307	56	11			14			1000	60000
1307	39	47			56			1000	80000
1307	38	47			56			1000	80000
1307	11	47		47	56		56	1000	100000
1307	25	940			1128			1000	100000
1307	42	47			56			1000	100000
1307	27	235			282			1000	120000
1307	16	1000	47		1000	56		1000	120000
1307	45	47			56			1000	120000
1307	44	188			225			1000	120000
1308	56	13			16			1000	60000
1308	39	55			66			1000	80000
1308	38	55			66			1000	80000
1308	11	55		55	66		66	1000	100000
1308	25	1100			1320			1000	100000
1308	42	55			66			1000	100000
1308	27	275			330			1000	120000
1308	16	1000	55		1000	66		1000	120000
1308	45	55			66			1000	120000
1308	44	220			264			1000	120000
1309	56	16			19			1000	60000
1309	39	65			78			1000	80000
1309	38	65			78			1000	80000
1309	11	65		65	78		78	1000	100000
1309	25	1300			1560			1000	100000
1309	42	65			78			1000	100000
1309	27	325			390			1000	120000
1309	16	1000	65		1000	78		1000	120000
1309	45	65			78			1000	120000
1309	44	260			312			1000	120000
1310	56	18			22			1000	60000
1310	39	75			90			1000	80000
1310	38	75			90			1000	80000
1310	11	75		75	90		90	1000	100000
1310	25	1500			1800			1000	100000
1310	42	75			90			1000	100000
1310	27	375			450			1000	120000
1310	16	1000	75		1000	90		1000	120000
1310	45	75			90			1000	120000
1310	44	300			360			1000	120000
1311	56	21			25			1000	60000
1311	39	86			103			1000	80000
1311	38	86			103			1000	80000
1311	11	86		86	103		103	1000	100000
1311	25	1720			2064			1000	100000
1311	42	86			103			1000	100000
1311	27	430			516			1000	120000
1311	16	1000	86		1000	103		1000	120000
1311	45	86			103			1000	120000
1311	44	344			412			1000	120000
1312	56	24			29			1000	60000
1312	39	99			118			1000	80000
1312	38	99			118			1000	80000
1312	11	99		99	118		118	1000	100000
1312	25	1980			2376			1000	100000
1312	42	99			118			1000	100000
1312	27	495			594			1000	120000
1312	16	1000	99		1000	118		1000	120000
1312	45	99			118			1000	120000
1312	44	396			475			1000	120000
1313	56	28			33			1000	60000
1313	39	113			135			1000	80000
1313	38	113			135			1000	80000
1313	11	113		113	135		135	1000	100000
1313	25	2260			2712			1000	100000
1313	42	113			135			1000	100000
1313	27	565			678			1000	120000
1313	16	1000	113		1000	135		1000	120000
1313	45	113			135			1000	120000
1313	44	452			542			1000	120000
1314	56	32			38			1000	60000
1314	39	128			153			1000	80000
1314	38	128			153			1000	80000
1314	11	128		128	153		153	1000	100000
1314	25	2560			3072			1000	100000
1314	42	128			153			1000	100000
1314	27	640			768			1000	120000
1314	16	1000	128		1000	153		1000	120000
1314	45	128			153			1000	120000
1314	44	512			614			1000	120000
1315	56	36			43			1000	60000
1315	39	145			174			1000	80000
1315	38	145			174			1000	80000
1315	11	145		145	174		174	1000	100000
1315	25	2900			3480			1000	100000
1315	42	145			174			1000	100000
1315	27	725			870			1000	120000
1315	16	1000	145		1000	174		1000	120000
1315	45	145			174			1000	120000
1315	44	580			696			1000	120000
1316	56	40			48			1000	60000
1316	39	163			195			1000	80000
1316	38	163			195			1000	80000
1316	11	163		163	195		195	1000	100000
1316	25	3260			3912			1000	100000
1316	42	163			195			1000	100000
1316	27	815			978			1000	120000
1316	16	1000	163		1000	195		1000	120000
1316	45	163			195			1000	120000
1316	44	652			782			1000	120000
1317	56	46			55			1000	60000
1317	39	185			222			1000	80000
1317	38	185			222			1000	80000
1317	11	185		185	222		222	1000	100000
1317	25	3700			4440			1000	100000
1317	42	185			222			1000	100000
1317	27	925			1110			1000	120000
1317	16	1000	185		1000	222		1000	120000
1317	45	185			222			1000	120000
1317	44	740			888			1000	120000
1318	56	52			62			1000	60000
1318	39	209			250			1000	80000
1318	38	209			250			1000	80000
1318	11	209		209	250		250	1000	100000
1318	25	4180			5016			1000	100000
1318	42	209			250			1000	100000
1318	27	1045			1254			1000	120000
1318	16	1000	209		1000	250		1000	120000
1318	45	209			250			1000	120000
1318	44	836			1003			1000	120000
1319	56	59			70			1000	60000
1319	39	236			283			1000	80000
1319	38	236			283			1000	80000
1319	11	236		236	283		283	1000	100000
1319	25	4720			5664			1000	100000
1319	42	236			283			1000	100000
1319	27	1180			1416			1000	120000
1319	16	1000	236		1000	283		1000	120000
1319	45	236			283			1000	120000
1319	44	944			1132			1000	120000
1320	56	66			80			1000	60000
1320	39	267			320			1000	80000
1320	38	267			320			1000	80000
1320	11	267		267	320		320	1000	100000
1320	25	5340			6408			1000	100000
1320	42	267			320			1000	100000
1320	27	1335			1602			1000	120000
1320	16	1000	267		1000	320		1000	120000
1320	45	267			320			1000	120000
1320	44	1068			1281			1000	120000
2101	53	3			3			1000	60000
2101	13	12			14			1000	80000
2101	12	12			14			1000	80000
2101	11	12		12	14		14	1000	100000
2101	25	256			288			1000	100000
2101	33	25			28			1000	100000
2101	28	64			72			1000	120000
2101	17	1000	12		1000	14		1000	120000
2101	26	256			288			1000	120000
2101	24	12			14			1000	120000
2102	53	3			4			1000	60000
2102	13	15			17			1000	80000
2102	12	15			17			1000	80000
2102	11	15		15	17		17	1000	100000
2102	25	304			342			1000	100000
2102	33	30			34			1000	100000
2102	28	76			85			1000	120000
2102	17	1000	15		1000	17		1000	120000
2102	26	304			342			1000	120000
2102	24	15			17			1000	120000
2103	53	4			5			1000	60000
2103	13	18			20			1000	80000
2103	12	18			20			1000	80000
2103	11	18		18	20		20	1000	100000
2103	25	368			414			1000	100000
2103	33	36			41			1000	100000
2103	28	92			103			1000	120000
2103	17	1000	18		1000	20		1000	120000
2103	26	368			414			1000	120000
2103	24	18			20			1000	120000
2104	53	5			6			1000	60000
2104	13	21			24			1000	80000
2104	12	21			24			1000	80000
2104	11	21		21	24		24	1000	100000
2104	25	432			486			1000	100000
2104	33	43			48			1000	100000
2104	28	108			121			1000	120000
2104	17	1000	21		1000	24		1000	120000
2104	26	432			486			1000	120000
2104	24	21			24			1000	120000
2105	53	6			7			1000	60000
2105	13	26			29			1000	80000
2105	12	26			29			1000	80000
2105	11	26		26	29		29	1000	100000
2105	25	528			594			1000	100000
2105	33	52			59			1000	100000
2105	28	132			148			1000	120000
2105	17	1000	26		1000	29		1000	120000
2105	26	528			594			1000	120000
2105	24	26			29			1000	120000
2106	53	7			8			1000	60000
2106	13	31			35			1000	80000
2106	12	31			35			1000	80000
2106	11	31		31	35		35	1000	100000
2106	25	624			702			1000	100000
2106	33	62			70			1000	100000
2106	28	156			175			1000	120000
2106	17	1000	31		1000	35		1000	120000
2106	26	624			702			1000	120000
2106	24	31			35			1000	120000
2107	53	9			10			1000	60000
2107	13	37			42			1000	80000
2107	12	37			42			1000	80000
2107	11	37		37	42		42	1000	100000
2107	25	752			846			1000	100000
2107	33	75			84			1000	100000
2107	28	188			211			1000	120000
2107	17	1000	37		1000	42		1000	120000
2107	26	752			846			1000	120000
2107	24	37			42			1000	120000
2108	53	11			12			1000	60000
2108	13	44			49			1000	80000
2108	12	44			49			1000	80000
2108	11	44		44	49		49	1000	100000
2108	25	880			990			1000	100000
2108	33	88			99			1000	100000
2108	28	220			247			1000	120000
2108	17	1000	44		1000	49		1000	120000
2108	26	880			990			1000	120000
2108	24	44			49			1000	120000
2109	53	13			14			1000	60000
2109	13	52			58			1000	80000
2109	12	52			58			1000	80000
2109	11	52		52	58		58	1000	100000
2109	25	1040			1170			1000	100000
2109	33	104			117			1000	100000
2109	28	260			292			1000	120000
2109	17	1000	52		1000	58		1000	120000
2109	26	1040			1170			1000	120000
2109	24	52			58			1000	120000
2110	53	15			16			1000	60000
2110	13	60			67			1000	80000
2110	12	60			67			1000	80000
2110	11	60		60	67		67	1000	100000
2110	25	1200			1350			1000	100000
2110	33	120			135			1000	100000
2110	28	300			337			1000	120000
2110	17	1000	60		1000	67		1000	120000
2110	26	1200			1350			1000	120000
2110	24	60			67			1000	120000
2111	53	17			19			1000	60000
2111	13	68			77			1000	80000
2111	12	68			77			1000	80000
2111	11	68		68	77		77	1000	100000
2111	25	1376			1548			1000	100000
2111	33	137			154			1000	100000
2111	28	344			387			1000	120000
2111	17	1000	68		1000	77		1000	120000
2111	26	1376			1548			1000	120000
2111	24	68			77			1000	120000
2112	53	19			22			1000	60000
2112	13	79			89			1000	80000
2112	12	79			89			1000	80000
2112	11	79		79	89		89	1000	100000
2112	25	1584			1782			1000	100000
2112	33	158			178			1000	100000
2112	28	396			445			1000	120000
2112	17	1000	79		1000	89		1000	120000
2112	26	1584			1782			1000	120000
2112	24	79			89			1000	120000
2113	53	22			25			1000	60000
2113	13	90			101			1000	80000
2113	12	90			101			1000	80000
2113	11	90		90	101		101	1000	100000
2113	25	1808			2034			1000	100000
2113	33	180			203			1000	100000
2113	28	452			508			1000	120000
2113	17	1000	90		1000	101		1000	120000
2113	26	1808			2034			1000	120000
2113	24	90			101			1000	120000
2114	53	25			28			1000	60000
2114	13	102			115			1000	80000
2114	12	102			115			1000	80000
2114	11	102		102	115		115	1000	100000
2114	25	2048			2304			1000	100000
2114	33	204			230			1000	100000
2114	28	512			576			1000	120000
2114	17	1000	102		1000	115		1000	120000
2114	26	2048			2304			1000	120000
2114	24	102			115			1000	120000
2115	53	29			32			1000	60000
2115	13	116			130			1000	80000
2115	12	116			130			1000	80000
2115	11	116		116	130		130	1000	100000
2115	25	2320			2610			1000	100000
2115	33	232			261			1000	100000
2115	28	580			652			1000	120000
2115	17	1000	116		1000	130		1000	120000
2115	26	2320			2610			1000	120000
2115	24	116			130			1000	120000
2116	53	32			36			1000	60000
2116	13	130			146			1000	80000
2116	12	130			146			1000	80000
2116	11	130		130	146		146	1000	100000
2116	25	2608			2934			1000	100000
2116	33	260			293			1000	100000
2116	28	652			733			1000	120000
2116	17	1000	130		1000	146		1000	120000
2116	26	2608			2934			1000	120000
2116	24	130			146			1000	120000
2117	53	37			41			1000	60000
2117	13	148			166			1000	80000
2117	12	148			166			1000	80000
2117	11	148		148	166		166	1000	100000
2117	25	2960			3330			1000	100000
2117	33	296			333			1000	100000
2117	28	740			832			1000	120000
2117	17	1000	148		1000	166		1000	120000
2117	26	2960			3330			1000	120000
2117	24	148			166			1000	120000
2118	53	41			47			1000	60000
2118	13	167			188			1000	80000
2118	12	167			188			1000	80000
2118	11	167		167	188		188	1000	100000
2118	25	3344			3762			1000	100000
2118	33	334			376			1000	100000
2118	28	836			940			1000	120000
2118	17	1000	167		1000	188		1000	120000
2118	26	3344			3762			1000	120000
2118	24	167			188			1000	120000
2119	53	47			53			1000	60000
2119	13	188			212			1000	80000
2119	12	188			212			1000	80000
2119	11	188		188	212		212	1000	100000
2119	25	3776			4248			1000	100000
2119	33	377			424			1000	100000
2119	28	944			1062			1000	120000
2119	17	1000	188		1000	212		1000	120000
2119	26	3776			4248			1000	120000
2119	24	188			212			1000	120000
2120	53	53			60			1000	60000
2120	13	213			240			1000	80000
2120	12	213			240			1000	80000
2120	11	213		213	240		240	1000	100000
2120	25	4272			4806			1000	100000
2120	33	427			480			1000	100000
2120	28	1068			1201			1000	120000
2120	17	1000	213		1000	240		1000	120000
2120	26	4272			4806			1000	120000
2120	24	213			240			1000	120000
2201	53	3			4			1000	60000
2201	13	14			16			1000	80000
2201	12	14			16			1000	80000
2201	11	14		14	16		16	1000	100000
2201	25	288			320			1000	100000
2201	33	28			32			1000	100000
2201	28	72			80			1000	120000
2201	17	1000	14		1000	16		1000	120000
2201	26	288			320			1000	120000
2201	24	14			16			1000	120000
2202	53	4			4			1000	60000
2202	13	17			19			1000	80000
2202	12	17			19			1000	80000
2202	11	17		17	19		19	1000	100000
2202	25	342			380			1000	100000
2202	33	34			38			1000	100000
2202	28	85			95			1000	120000
2202	17	1000	17		1000	19		1000	120000
2202	26	342			380			1000	120000
2202	24	17			19			1000	120000
2203	53	5			5			1000	60000
2203	13	20			23			1000	80000
2203	12	20			23			1000	80000
2203	11	20		20	23		23	1000	100000
2203	25	414			460			1000	100000
2203	33	41			46			1000	100000
2203	28	103			115			1000	120000
2203	17	1000	20		1000	23		1000	120000
2203	26	414			460			1000	120000
2203	24	20			23			1000	120000
2204	53	6			6			1000	60000
2204	13	24			27			1000	80000
2204	12	24			27			1000	80000
2204	11	24		24	27		27	1000	100000
2204	25	486			540			1000	100000
2204	33	48			54			1000	100000
2204	28	121			135			1000	120000
2204	17	1000	24		1000	27		1000	120000
2204	26	486			540			1000	120000
2204	24	24			27			1000	120000
2205	53	7			8			1000	60000
2205	13	29			33			1000	80000
2205	12	29			33			1000	80000
2205	11	29		29	33		33	1000	100000
2205	25	594			660			1000	100000
2205	33	59			66			1000	100000
2205	28	148			165			1000	120000
2205	17	1000	29		1000	33		1000	120000
2205	26	594			660			1000	120000
2205	24	29			33			1000	120000
2206	53	8			9			1000	60000
2206	13	35			39			1000	80000
2206	12	35			39			1000	80000
2206	11	35		35	39		39	1000	100000
2206	25	702			780			1000	100000
