nAttrId	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
94	strength_v	9	10				
95	strength_v	11	13				
96	strength_v	15	17				
97	strength_v	19	23				
98	strength_v	23	27				
99	strength_v	27	32				
100	strength_v	33	38				
101	dexterity_v	1	2				
102	dexterity_v	2	3				
103	dexterity_v	5	6				
104	dexterity_v	9	10				
105	dexterity_v	11	13				
106	dexterity_v	15	17				
107	dexterity_v	19	23				
108	dexterity_v	23	27				
109	dexterity_v	27	32				
110	dexterity_v	33	38				
111	vitality_v	1	2				
112	vitality_v	2	3				
113	vitality_v	5	6				
114	vitality_v	9	10				
115	vitality_v	11	13				
116	vitality_v	15	17				
117	vitality_v	19	23				
118	vitality_v	23	27				
119	vitality_v	27	32				
120	vitality_v	33	38				
121	all_series_resist_v	1	2				
122	all_series_resist_v	2	3				
123	all_series_resist_v	5	6				
124	all_series_resist_v	9	10				
125	all_series_resist_v	11	13				
126	all_series_resist_v	15	17				
127	all_series_resist_v	19	23				
128	all_series_resist_v	23	27				
129	all_series_resist_v	27	32				
130	all_series_resist_v	33	38				
131	deadlystrike_damage_v	1	2				
132	deadlystrike_damage_v	2	3				
133	deadlystrike_damage_v	5	6				
134	deadlystrike_damage_v	9	10				
135	deadlystrike_damage_v	11	13				
136	deadlystrike_damage_v	15	17				
137	deadlystrike_damage_v	19	23				
138	deadlystrike_damage_v	23	27				
139	deadlystrike_damage_v	27	32				
140	deadlystrike_damage_v	33	38				
141	deadlystrike_v	1	2				
142	deadlystrike_v	2	3				
143	deadlystrike_v	5	6				
144	deadlystrike_v	9	10				
145	deadlystrike_v	11	13				
146	deadlystrike_v	15	17				
147	deadlystrike_v	19	23				
148	deadlystrike_v	23	27				
149	deadlystrike_v	27	32				
150	deadlystrike_v	33	38				
151	ignore_defense_v	1	2				
152	ignore_defense_v	2	3				
153	ignore_defense_v	5	6				
154	ignore_defense_v	9	10				
155	ignore_defense_v	11	13				
156	ignore_defense_v	15	17				
157	ignore_defense_v	19	23				
158	ignore_defense_v	23	27				
159	ignore_defense_v	27	32				
160	ignore_defense_v	33	38				
161	defense_v	1	2				
162	defense_v	2	3				
163	defense_v	5	6				
164	defense_v	9	10				
165	defense_v	11	13				
166	defense_v	15	17				
167	defense_v	19	23				
168	defense_v	23	27				
169	defense_v	27	32				
170	defense_v	33	38				
171	attackrating_v	1	2				
172	attackrating_v	2	3				
173	attackrating_v	5	6				
174	attackrating_v	9	10				
175	attackrating_v	11	13				
176	attackrating_v	15	17				
177	attackrating_v	19	23				
178	attackrating_v	23	27				
179	attackrating_v	27	32				
180	attackrating_v	33	38				
181	energy_v	1	2				
182	energy_v	2	3				
183	energy_v	5	6				
184	energy_v	9	10				
185	energy_v	11	13				
186	energy_v	15	17				
187	energy_v	19	23				
188	energy_v	23	27				
189	energy_v	27	32				
190	energy_v	33	38				
191	stealmana_v	4	5				
192	stealmana_v	5	6				
193	stealmana_v	11	13				
194	stealmana_v	18	21				
195	stealmana_v	24	28				
196	stealmana_v	31	36				
197	stealmana_v	39	46				
198	stealmana_v	47	55				
199	stealmana_v	56	66				
200	stealmana_v	66	77				
201	steallife_v	4	5				
202	steallife_v	5	6				
203	steallife_v	11	13				
204	steallife_v	18	21				
205	steallife_v	24	28				
206	steallife_v	31	36				
207	steallife_v	39	46				
208	steallife_v	47	55				
209	steallife_v	56	66				
210	steallife_v	66	77				
211	ignore_metal_resist_v	100	100	1	2		
212	ignore_metal_resist_v	100	100	2	3		
213	ignore_metal_resist_v	100	100	5	6		
214	ignore_metal_resist_v	100	100	9	10		
215	ignore_metal_resist_v	100	100	11	13		
216	ignore_metal_resist_v	100	100	15	17		
217	ignore_metal_resist_v	100	100	19	23		
218	ignore_metal_resist_v	100	100	23	27		
219	ignore_metal_resist_v	100	100	27	32		
220	ignore_metal_resist_v	100	100	33	38		
221	ignore_wood_resist_v	100	100	1	2		
222	ignore_wood_resist_v	100	100	2	3		
223	ignore_wood_resist_v	100	100	5	6		
224	ignore_wood_resist_v	100	100	9	10		
225	ignore_wood_resist_v	100	100	11	13		
226	ignore_wood_resist_v	100	100	15	17		
227	ignore_wood_resist_v	100	100	19	23		
228	ignore_wood_resist_v	100	100	23	27		
229	ignore_wood_resist_v	100	100	27	32		
230	ignore_wood_resist_v	100	100	33	38		
231	ignore_water_resist_v	100	100	1	2		
232	ignore_water_resist_v	100	100	2	3		
233	ignore_water_resist_v	100	100	5	6		
234	ignore_water_resist_v	100	100	9	10		
235	ignore_water_resist_v	100	100	11	13		
236	ignore_water_resist_v	100	100	15	17		
237	ignore_water_resist_v	100	100	19	23		
238	ignore_water_resist_v	100	100	23	27		
239	ignore_water_resist_v	100	100	27	32		
240	ignore_water_resist_v	100	100	33	38		
241	ignore_fire_resist_v	100	100	1	2		
242	ignore_fire_resist_v	100	100	2	3		
243	ignore_fire_resist_v	100	100	5	6		
244	ignore_fire_resist_v	100	100	9	10		
245	ignore_fire_resist_v	100	100	11	13		
246	ignore_fire_resist_v	100	100	15	17		
247	ignore_fire_resist_v	100	100	19	23		
248	ignore_fire_resist_v	100	100	23	27		
249	ignore_fire_resist_v	100	100	27	32		
250	ignore_fire_resist_v	100	100	33	38		
251	ignore_earth_resist_v	100	100	1	2		
252	ignore_earth_resist_v	100	100	2	3		
253	ignore_earth_resist_v	100	100	5	6		
254	ignore_earth_resist_v	100	100	9	10		
255	ignore_earth_resist_v	100	100	11	13		
256	ignore_earth_resist_v	100	100	15	17		
257	ignore_earth_resist_v	100	100	19	23		
258	ignore_earth_resist_v	100	100	23	27		
259	ignore_earth_resist_v	100	100	27	32		
260	ignore_earth_resist_v	100	100	33	38		
261	metal_resist_v	12	14				
262	metal_resist_v	14	16				
263	metal_resist_v	29	34				
264	metal_resist_v	45	52				
265	metal_resist_v	61	71				
266	metal_resist_v	79	92				
267	metal_resist_v	99	115				
268	metal_resist_v	119	139				
269	metal_resist_v	142	165				
270	metal_resist_v	167	195				
271	wood_resist_v	12	14				
272	wood_resist_v	14	16				
273	wood_resist_v	29	34				
274	wood_resist_v	45	52				
275	wood_resist_v	61	71				
276	wood_resist_v	79	92				
277	wood_resist_v	99	115				
278	wood_resist_v	119	139				
279	wood_resist_v	142	165				
280	wood_resist_v	167	195				
281	water_resist_v	12	14				
282	water_resist_v	14	16				
283	water_resist_v	29	34				
284	water_resist_v	45	52				
285	water_resist_v	61	71				
286	water_resist_v	79	92				
287	water_resist_v	99	115				
288	water_resist_v	119	139				
289	water_resist_v	142	165				
290	water_resist_v	167	195				
291	fire_resist_v	12	14				
292	fire_resist_v	14	16				
293	fire_resist_v	29	34				
294	fire_resist_v	45	52				
295	fire_resist_v	61	71				
296	fire_resist_v	79	92				
297	fire_resist_v	99	115				
298	fire_resist_v	119	139				
299	fire_resist_v	142	165				
300	fire_resist_v	167	195				
301	earth_resist_v	12	14				
302	earth_resist_v	14	16				
303	earth_resist_v	29	34				
304	earth_resist_v	45	52				
305	earth_resist_v	61	71				
306	earth_resist_v	79	92				
307	earth_resist_v	99	115				
308	earth_resist_v	119	139				
309	earth_resist_v	142	165				
310	earth_resist_v	167	195				
311	lifemax_v	50	58				
312	lifemax_v	60	70				
313	lifemax_v	119	139				
314	lifemax_v	181	212				
315	lifemax_v	246	287				
316	lifemax_v	317	370				
317	lifemax_v	395	460				
318	lifemax_v	480	560				
319	lifemax_v	571	666				
320	lifemax_v	671	783				
321	manamax_v	50	58				
322	manamax_v	60	70				
323	manamax_v	119	139				
324	manamax_v	181	212				
325	manamax_v	246	287				
326	manamax_v	317	370				
327	manamax_v	395	460				
328	manamax_v	480	560				
329	manamax_v	571	666				
330	manamax_v	671	783				
331	basic_damage_v	2	4	0	0	2	4
332	basic_damage_v	3	5	0	0	3	5
333	basic_damage_v	7	9	0	0	7	9
334	basic_damage_v	10	14	0	0	10	14
335	basic_damage_v	14	18	0	0	14	18
336	basic_damage_v	18	24	0	0	18	24
337	basic_damage_v	23	29	0	0	23	29
338	basic_damage_v	27	35	0	0	27	35
339	basic_damage_v	33	41	0	0	33	41
340	basic_damage_v	39	49	0	0	39	49
341	ignore_all_resist_v	100	100	2	4		
342	ignore_all_resist_v	100	100	3	5		
343	ignore_all_resist_v	100	100	7	9		
344	ignore_all_resist_v	100	100	10	14		
345	ignore_all_resist_v	100	100	14	18		
346	ignore_all_resist_v	100	100	18	24		
347	ignore_all_resist_v	100	100	23	29		
348	ignore_all_resist_v	100	100	27	35		
349	ignore_all_resist_v	100	100	33	41		
350	ignore_all_resist_v	100	100	39	49		
351	allsect_metaldamage_v	2	4				
352	allsect_metaldamage_v	3	5				
353	allsect_metaldamage_v	7	9				
354	allsect_metaldamage_v	10	14				
355	allsect_metaldamage_v	14	18				
356	allsect_metaldamage_v	18	24				
357	allsect_metaldamage_v	23	29				
358	allsect_metaldamage_v	27	35				
359	allsect_metaldamage_v	33	41				
360	allsect_metaldamage_v	39	49				
361	allsect_wooddamage_v	2	4				
362	allsect_wooddamage_v	3	5				
363	allsect_wooddamage_v	7	9				
364	allsect_wooddamage_v	10	14				
365	allsect_wooddamage_v	14	18				
366	allsect_wooddamage_v	18	24				
367	allsect_wooddamage_v	23	29				
368	allsect_wooddamage_v	27	35				
369	allsect_wooddamage_v	33	41				
370	allsect_wooddamage_v	39	49				
371	allsect_waterdamage_v	2	4				
372	allsect_waterdamage_v	3	5				
373	allsect_waterdamage_v	7	9				
374	allsect_waterdamage_v	10	14				
375	allsect_waterdamage_v	14	18				
376	allsect_waterdamage_v	18	24				
377	allsect_waterdamage_v	23	29				
378	allsect_waterdamage_v	27	35				
379	allsect_waterdamage_v	33	41				
380	allsect_waterdamage_v	39	49				
381	allsect_firedamage_v	2	4				
382	allsect_firedamage_v	3	5				
383	allsect_firedamage_v	7	9				
384	allsect_firedamage_v	10	14				
385	allsect_firedamage_v	14	18				
386	allsect_firedamage_v	18	24				
387	allsect_firedamage_v	23	29				
388	allsect_firedamage_v	27	35				
389	allsect_firedamage_v	33	41				
390	allsect_firedamage_v	39	49				
391	allsect_earthdamage_v	2	4				
392	allsect_earthdamage_v	3	5				
393	allsect_earthdamage_v	7	9				
394	allsect_earthdamage_v	10	14				
395	allsect_earthdamage_v	14	18				
396	allsect_earthdamage_v	18	24				
397	allsect_earthdamage_v	23	29				
398	allsect_earthdamage_v	27	35				
399	allsect_earthdamage_v	33	41				
400	allsect_earthdamage_v	39	49				
401	weaken_deadlystrike_damage_v	2	4				
402	weaken_deadlystrike_damage_v	3	5				
403	weaken_deadlystrike_damage_v	7	9				
404	weaken_deadlystrike_damage_v	10	14				
405	weaken_deadlystrike_damage_v	14	18				
406	weaken_deadlystrike_damage_v	18	24				
407	weaken_deadlystrike_damage_v	23	29				
408	weaken_deadlystrike_damage_v	27	35				
409	weaken_deadlystrike_damage_v	33	41				
410	weaken_deadlystrike_damage_v	39	49				
411	weaken_deadlystrike_v	2	4				
412	weaken_deadlystrike_v	3	5				
413	weaken_deadlystrike_v	7	9				
414	weaken_deadlystrike_v	10	14				
415	weaken_deadlystrike_v	14	18				
416	weaken_deadlystrike_v	18	24				
417	weaken_deadlystrike_v	23	29				
418	weaken_deadlystrike_v	27	35				
419	weaken_deadlystrike_v	33	41				
420	weaken_deadlystrike_v	39	49				
421	strength_v	2	4				
422	strength_v	3	5				
423	strength_v	7	9				
424	strength_v	10	14				
425	strength_v	14	18				
426	strength_v	18	24				
427	strength_v	23	29				
428	strength_v	27	35				
429	strength_v	33	41				
430	strength_v	39	49				
431	dexterity_v	2	4				
432	dexterity_v	3	5				
433	dexterity_v	7	9				
434	dexterity_v	10	14				
435	dexterity_v	14	18				
436	dexterity_v	18	24				
437	dexterity_v	23	29				
438	dexterity_v	27	35				
439	dexterity_v	33	41				
440	dexterity_v	39	49				
441	vitality_v	2	4				
442	vitality_v	3	5				
443	vitality_v	7	9				
444	vitality_v	10	14				
445	vitality_v	14	18				
446	vitality_v	18	24				
447	vitality_v	23	29				
448	vitality_v	27	35				
449	vitality_v	33	41				
450	vitality_v	39	49				
451	all_series_resist_v	2	4				
452	all_series_resist_v	3	5				
453	all_series_resist_v	7	9				
454	all_series_resist_v	10	14				
455	all_series_resist_v	14	18				
456	all_series_resist_v	18	24				
457	all_series_resist_v	23	29				
458	all_series_resist_v	27	35				
459	all_series_resist_v	33	41				
460	all_series_resist_v	39	49				
461	deadlystrike_damage_v	2	4				
462	deadlystrike_damage_v	3	5				
463	deadlystrike_damage_v	7	9				
464	deadlystrike_damage_v	10	14				
465	deadlystrike_damage_v	14	18				
466	deadlystrike_damage_v	18	24				
467	deadlystrike_damage_v	23	29				
468	deadlystrike_damage_v	27	35				
469	deadlystrike_damage_v	33	41				
470	deadlystrike_damage_v	39	49				
471	deadlystrike_v	2	4				
472	deadlystrike_v	3	5				
473	deadlystrike_v	7	9				
474	deadlystrike_v	10	14				
475	deadlystrike_v	14	18				
476	deadlystrike_v	18	24				
477	deadlystrike_v	23	29				
478	deadlystrike_v	27	35				
479	deadlystrike_v	33	41				
480	deadlystrike_v	39	49				
481	ignore_defense_v	2	4				
482	ignore_defense_v	3	5				
483	ignore_defense_v	7	9				
484	ignore_defense_v	10	14				
485	ignore_defense_v	14	18				
486	ignore_defense_v	18	24				
487	ignore_defense_v	23	29				
488	ignore_defense_v	27	35				
489	ignore_defense_v	33	41				
490	ignore_defense_v	39	49				
491	defense_v	2	4				
492	defense_v	3	5				
493	defense_v	7	9				
494	defense_v	10	14				
495	defense_v	14	18				
496	defense_v	18	24				
497	defense_v	23	29				
498	defense_v	27	35				
499	defense_v	33	41				
500	defense_v	39	49				
501	attackrating_v	2	4				
502	attackrating_v	3	5				
503	attackrating_v	7	9				
504	attackrating_v	10	14				
505	attackrating_v	14	18				
506	attackrating_v	18	24				
507	attackrating_v	23	29				
508	attackrating_v	27	35				
509	attackrating_v	33	41				
510	attackrating_v	39	49				
511	energy_v	2	4				
512	energy_v	3	5				
513	energy_v	7	9				
514	energy_v	10	14				
515	energy_v	14	18				
516	energy_v	18	24				
517	energy_v	23	29				
518	energy_v	27	35				
519	energy_v	33	41				
520	energy_v	39	49				
521	stealmana_v	6	8				
522	stealmana_v	7	9				
523	stealmana_v	14	18				
524	stealmana_v	21	27				
525	stealmana_v	28	36				
526	stealmana_v	37	47				
527	stealmana_v	46	58				
528	stealmana_v	56	70				
529	stealmana_v	67	83				
530	stealmana_v	79	97				
531	steallife_v	6	8				
532	steallife_v	7	9				
533	steallife_v	14	18				
534	steallife_v	21	27				
535	steallife_v	28	36				
536	steallife_v	37	47				
537	steallife_v	46	58				
538	steallife_v	56	70				
539	steallife_v	67	83				
540	steallife_v	79	97				
541	ignore_metal_resist_v	100	100	2	4		
542	ignore_metal_resist_v	100	100	3	5		
543	ignore_metal_resist_v	100	100	7	9		
544	ignore_metal_resist_v	100	100	10	14		
545	ignore_metal_resist_v	100	100	14	18		
546	ignore_metal_resist_v	100	100	18	24		
547	ignore_metal_resist_v	100	100	23	29		
548	ignore_metal_resist_v	100	100	27	35		
549	ignore_metal_resist_v	100	100	33	41		
550	ignore_metal_resist_v	100	100	39	49		
551	ignore_wood_resist_v	100	100	2	4		
552	ignore_wood_resist_v	100	100	3	5		
553	ignore_wood_resist_v	100	100	7	9		
554	ignore_wood_resist_v	100	100	10	14		
555	ignore_wood_resist_v	100	100	14	18		
556	ignore_wood_resist_v	100	100	18	24		
557	ignore_wood_resist_v	100	100	23	29		
558	ignore_wood_resist_v	100	100	27	35		
559	ignore_wood_resist_v	100	100	33	41		
560	ignore_wood_resist_v	100	100	39	49		
561	ignore_water_resist_v	100	100	2	4		
562	ignore_water_resist_v	100	100	3	5		
563	ignore_water_resist_v	100	100	7	9		
564	ignore_water_resist_v	100	100	10	14		
565	ignore_water_resist_v	100	100	14	18		
566	ignore_water_resist_v	100	100	18	24		
567	ignore_water_resist_v	100	100	23	29		
568	ignore_water_resist_v	100	100	27	35		
569	ignore_water_resist_v	100	100	33	41		
570	ignore_water_resist_v	100	100	39	49		
571	ignore_fire_resist_v	100	100	2	4		
572	ignore_fire_resist_v	100	100	3	5		
573	ignore_fire_resist_v	100	100	7	9		
574	ignore_fire_resist_v	100	100	10	14		
575	ignore_fire_resist_v	100	100	14	18		
576	ignore_fire_resist_v	100	100	18	24		
577	ignore_fire_resist_v	100	100	23	29		
578	ignore_fire_resist_v	100	100	27	35		
579	ignore_fire_resist_v	100	100	33	41		
580	ignore_fire_resist_v	100	100	39	49		
581	ignore_earth_resist_v	100	100	2	4		
582	ignore_earth_resist_v	100	100	3	5		
583	ignore_earth_resist_v	100	100	7	9		
584	ignore_earth_resist_v	100	100	10	14		
585	ignore_earth_resist_v	100	100	14	18		
586	ignore_earth_resist_v	100	100	18	24		
587	ignore_earth_resist_v	100	100	23	29		
588	ignore_earth_resist_v	100	100	27	35		
589	ignore_earth_resist_v	100	100	33	41		
590	ignore_earth_resist_v	100	100	39	49		
591	metal_resist_v	15	19				
592	metal_resist_v	18	22				
593	metal_resist_v	35	43				
594	metal_resist_v	54	66				
595	metal_resist_v	72	90				
596	metal_resist_v	93	115				
597	metal_resist_v	117	143				
598	metal_resist_v	141	173				
599	metal_resist_v	168	206				
600	metal_resist_v	198	242				
601	wood_resist_v	15	19				
602	wood_resist_v	18	22				
603	wood_resist_v	35	43				
604	wood_resist_v	54	66				
605	wood_resist_v	72	90				
606	wood_resist_v	93	115				
607	wood_resist_v	117	143				
608	wood_resist_v	141	173				
609	wood_resist_v	168	206				
610	wood_resist_v	198	242				
611	water_resist_v	15	19				
612	water_resist_v	18	22				
613	water_resist_v	35	43				
614	water_resist_v	54	66				
615	water_resist_v	72	90				
616	water_resist_v	93	115				
617	water_resist_v	117	143				
618	water_resist_v	141	173				
619	water_resist_v	168	206				
620	water_resist_v	198	242				
621	fire_resist_v	15	19				
622	fire_resist_v	18	22				
623	fire_resist_v	35	43				
624	fire_resist_v	54	66				
625	fire_resist_v	72	90				
626	fire_resist_v	93	115				
627	fire_resist_v	117	143				
628	fire_resist_v	141	173				
629	fire_resist_v	168	206				
630	fire_resist_v	198	242				
631	earth_resist_v	15	19				
632	earth_resist_v	18	22				
633	earth_resist_v	35	43				
634	earth_resist_v	54	66				
635	earth_resist_v	72	90				
636	earth_resist_v	93	115				
637	earth_resist_v	117	143				
638	earth_resist_v	141	173				
639	earth_resist_v	168	206				
640	earth_resist_v	198	242				
641	lifemax_v	59	73				
642	lifemax_v	71	87				
643	lifemax_v	141	173				
644	lifemax_v	215	263				
645	lifemax_v	290	356				
646	lifemax_v	374	458				
647	lifemax_v	466	570				
648	lifemax_v	566	692				
649	lifemax_v	674	824				
650	lifemax_v	791	967				
651	manamax_v	59	73				
652	manamax_v	71	87				
653	manamax_v	141	173				
654	manamax_v	215	263				
655	manamax_v	290	356				
656	manamax_v	374	458				
657	manamax_v	466	570				
658	manamax_v	566	692				
659	manamax_v	674	824				
660	manamax_v	791	967				
661	basic_damage_v	38	45	0	0	38	45
662	basic_damage_v	44	51	0	0	44	51
663	basic_damage_v	50	58	0	0	50	58
664	basic_damage_v	55	65	0	0	55	65
665	basic_damage_v	63	73	0	0	63	73
666	basic_damage_v	70	81	0	0	70	81
667	basic_damage_v	77	90	0	0	77	90
668	basic_damage_v	85	99	0	0	85	99
669	ignore_all_resist_v	100	100	38	45		
670	ignore_all_resist_v	100	100	44	51		
671	ignore_all_resist_v	100	100	50	58		
672	ignore_all_resist_v	100	100	55	65		
673	ignore_all_resist_v	100	100	63	73		
674	ignore_all_resist_v	100	100	70	81		
675	ignore_all_resist_v	100	100	77	90		
676	ignore_all_resist_v	100	100	85	99		
677	allsect_metaldamage_v	38	45				
678	allsect_metaldamage_v	44	51				
679	allsect_metaldamage_v	50	58				
680	allsect_metaldamage_v	55	65				
681	allsect_metaldamage_v	63	73				
682	allsect_metaldamage_v	70	81				
683	allsect_metaldamage_v	77	90				
684	allsect_metaldamage_v	85	99				
685	allsect_wooddamage_v	38	45				
686	allsect_wooddamage_v	44	51				
687	allsect_wooddamage_v	50	58				
688	allsect_wooddamage_v	55	65				
689	allsect_wooddamage_v	63	73				
690	allsect_wooddamage_v	70	81				
691	allsect_wooddamage_v	77	90				
692	allsect_wooddamage_v	85	99				
693	allsect_waterdamage_v	38	45				
694	allsect_waterdamage_v	44	51				
695	allsect_waterdamage_v	50	58				
696	allsect_waterdamage_v	55	65				
697	allsect_waterdamage_v	63	73				
698	allsect_waterdamage_v	70	81				
699	allsect_waterdamage_v	77	90				
700	allsect_waterdamage_v	85	99				
701	allsect_firedamage_v	38	45				
702	allsect_firedamage_v	44	51				
703	allsect_firedamage_v	50	58				
704	allsect_firedamage_v	55	65				
705	allsect_firedamage_v	63	73				
706	allsect_firedamage_v	70	81				
707	allsect_firedamage_v	77	90				
708	allsect_firedamage_v	85	99				
709	allsect_earthdamage_v	38	45				
710	allsect_earthdamage_v	44	51				
711	allsect_earthdamage_v	50	58				
712	allsect_earthdamage_v	55	65				
713	allsect_earthdamage_v	63	73				
714	allsect_earthdamage_v	70	81				
715	allsect_earthdamage_v	77	90				
716	allsect_earthdamage_v	85	99				
717	weaken_deadlystrike_damage_v	38	45				
718	weaken_deadlystrike_damage_v	44	51				
719	weaken_deadlystrike_damage_v	50	58				
720	weaken_deadlystrike_damage_v	55	65				
721	weaken_deadlystrike_damage_v	63	73				
722	weaken_deadlystrike_damage_v	70	81				
723	weaken_deadlystrike_damage_v	77	90				
724	weaken_deadlystrike_damage_v	85	99				
725	weaken_deadlystrike_v	38	45				
726	weaken_deadlystrike_v	44	51				
727	weaken_deadlystrike_v	50	58				
728	weaken_deadlystrike_v	55	65				
729	weaken_deadlystrike_v	63	73				
730	weaken_deadlystrike_v	70	81				
731	weaken_deadlystrike_v	77	90				
732	weaken_deadlystrike_v	85	99				
733	strength_v	38	45				
734	strength_v	44	51				
735	strength_v	50	58				
736	strength_v	55	65				
737	strength_v	63	73				
738	strength_v	70	81				
739	strength_v	77	90				
740	strength_v	85	99				
741	dexterity_v	38	45				
742	dexterity_v	44	51				
743	dexterity_v	50	58				
744	dexterity_v	55	65				
745	dexterity_v	63	73				
746	dexterity_v	70	81				
747	dexterity_v	77	90				
748	dexterity_v	85	99				
749	vitality_v	38	45				
750	vitality_v	44	51				
751	vitality_v	50	58				
752	vitality_v	55	65				
753	vitality_v	63	73				
754	vitality_v	70	81				
755	vitality_v	77	90				
756	vitality_v	85	99				
757	all_series_resist_v	38	45				
758	all_series_resist_v	44	51				
759	all_series_resist_v	50	58				
760	all_series_resist_v	55	65				
761	all_series_resist_v	63	73				
762	all_series_resist_v	70	81				
763	all_series_resist_v	77	90				
764	all_series_resist_v	85	99				
765	deadlystrike_damage_v	38	45				
766	deadlystrike_damage_v	44	51				
767	deadlystrike_damage_v	50	58				
768	deadlystrike_damage_v	55	65				
769	deadlystrike_damage_v	63	73				
770	deadlystrike_damage_v	70	81				
771	deadlystrike_damage_v	77	90				
772	deadlystrike_damage_v	85	99				
773	deadlystrike_v	38	45				
774	deadlystrike_v	44	51				
775	deadlystrike_v	50	58				
776	deadlystrike_v	55	65				
777	deadlystrike_v	63	73				
778	deadlystrike_v	70	81				
779	deadlystrike_v	77	90				
780	deadlystrike_v	85	99				
781	ignore_defense_v	38	45				
782	ignore_defense_v	44	51				
783	ignore_defense_v	50	58				
784	ignore_defense_v	55	65				
785	ignore_defense_v	63	73				
786	ignore_defense_v	70	81				
787	ignore_defense_v	77	90				
788	ignore_defense_v	85	99				
789	defense_v	38	45				
790	defense_v	44	51				
791	defense_v	50	58				
792	defense_v	55	65				
793	defense_v	63	73				
794	defense_v	70	81				
795	defense_v	77	90				
796	defense_v	85	99				
797	attackrating_v	38	45				
798	attackrating_v	44	51				
799	attackrating_v	50	58				
800	attackrating_v	55	65				
801	attackrating_v	63	73				
802	attackrating_v	70	81				
803	attackrating_v	77	90				
804	attackrating_v	85	99				
805	energy_v	38	45				
