nParamId	nAwardKey	nWeight	nStep	nMaxNum	nMaxStep	nSaveId
6	70	140000	1			4
6	71	180000	1			5
6	72	10000	51			6
6	73	150000	1			7
6	74	150000	1			8
6	75	80000	1			9
6	76	20000	1			10
6	78	10000	71	1	200	12
6	85	30000	1			13
6	80	50000	1			14
6	81	40000	1			15
7	69	120000	1			3
7	70	120000	1			4
7	71	160000	1			5
7	72	10000	51			6
7	73	130000	1			7
7	74	130000	1			8
7	75	80000	1			9
7	76	20000	1			10
7	78	10000	71	1	200	12
7	86	20000	1			13
7	80	40000	1			14
7	81	40000	1			15
7	82	80000	1			16
7	83	40000	1			17
8	87	100000	1			3
8	88	100000	1			4
8	89	120000	1			5
8	90	80000	1			6
8	91	10000	51			7
8	92	120000	1			8
8	93	120000	1			9
8	94	80000	1			10
8	95	80000	1			11
8	96	20000	1			12
8	97	40000	1		200	13
8	98	100000	1			14
8	99	30000	1			15
8	100	0	1			16
8	101	0	1			17
8	102	0	1			18
8	103	0	1			19
9	87	90000	1			3
9	88	90000	1			4
9	89	120000	1			5
9	90	80000	1			6
9	91	10000	51			7
9	92	120000	1			8
9	93	120000	1			9
9	94	80000	1			10
9	95	70000	1			11
9	96	20000	1			12
9	97	40000	1		200	13
9	98	70000	1			14
9	104	30000	1			15
9	100	60000	1			16
9	101	0	1			17
9	102	0	1			18
9	103	0	1			19
10	87	80000	1			3
10	88	80000	1			4
10	89	110000	1			5
10	90	80000	1			6
10	91	10000	51			7
10	92	110000	1			8
10	93	110000	1			9
10	94	70000	1			10
10	95	70000	1			11
10	96	20000	1			12
10	97	40000	1		200	13
10	98	60000	1			14
10	105	30000	1			15
10	100	80000	1			16
10	101	50000	1			17
10	102	0	1			18
10	103	0	1			19
11	87	60000	1			3
11	88	60000	1			4
11	89	100000	1			5
11	90	70000	1			6
11	91	10000	51			7
11	92	100000	1			8
11	93	100000	1			9
11	94	70000	1			10
11	95	60000	1			11
11	96	20000	1			12
11	97	40000	1		200	13
11	98	50000	1			14
11	106	30000	1			15
11	100	80000	1			16
11	101	50000	1			17
11	102	50000	1			18
11	103	50000	1			19
14	129	100000	1			3
14	131	135000	1			4
14	132	80000	1			5
14	133	10000	1			6
14	134	5000	51			7
14	136	140000	1			8
14	137	120000	1			9
14	138	80000	1			10
14	139	80000	1			11
14	140	20000	1			12
14	141	80000	1			13
14	142	100000	1			14
14	143	50000	1			15
15	129	80000	1			3
15	130	80000	1			4
15	131	105000	1			5
15	132	70000	1			6
15	133	10000	1			7
15	134	5000	51			8
15	136	110000	1			9
15	137	110000	1			10
15	138	70000	1			11
15	139	70000	1			12
15	140	20000	1			13
15	141	70000	1			14
15	142	70000	1			15
15	148	50000	1			16
15	144	80000	1			17
16	129	80000	1			3
16	130	80000	1			4
16	131	105000	1			5
16	132	80000	1			6
16	133	10000	1			7
16	134	5000	51			8
16	136	110000	1			9
16	138	80000	1			10
16	139	80000	1			11
16	140	20000	1			12
16	141	70000	1			13
16	142	70000	1			14
16	149	50000	1			15
16	144	80000	1			16
16	148	80000	1			17
17	129	80000	1			3
17	130	80000	1			4
17	132	87500	1			5
17	133	10000	1			6
17	135	2500	51			7
17	151	100000	1			8
17	138	80000	1			9
17	139	80000	1			10
17	140	20000	1			11
17	141	70000	1			12
17	150	50000	1			13
17	144	80000	1			14
17	145	80000	1			15
17	146	60000	1			16
17	147	60000	1			17
17	152	60000	1			18
20	175	100000	1			3
20	176	135000	1			4
20	177	80000	1			5
20	178	10000	1			6
20	179	5000	51			7
20	180	140000	1			8
20	181	120000	1			9
20	182	80000	1			10
20	183	80000	1			11
20	184	20000	1			12
20	185	80000	1			13
20	186	100000	1			14
20	187	50000	1			15
21	188	80000	1			3
21	189	80000	1			4
21	190	105000	1			5
21	191	70000	1			6
21	192	10000	1			7
21	193	5000	51			8
21	194	110000	1			9
21	195	110000	1			10
21	196	70000	1			11
21	197	70000	1			12
21	198	20000	1			13
21	199	70000	1			14
21	200	70000	1			15
21	201	50000	1			16
21	202	80000	1			17
22	203	80000	1			3
22	204	80000	1			4
22	205	105000	1			5
22	206	80000	1			6
22	207	10000	1			7
22	208	5000	51			8
22	209	110000	1			9
22	210	80000	1			10
22	211	80000	1			11
22	212	20000	1			12
22	213	70000	1			13
22	214	70000	1			14
22	215	50000	1			15
22	216	80000	1			16
22	217	80000	1			17
23	218	80000	1			3
23	219	80000	1			4
23	220	87500	1			5
23	221	10000	1			6
23	222	2500	51			7
23	223	100000	1			8
23	224	80000	1			9
23	225	80000	1			10
23	226	20000	1			11
23	227	70000	1			12
23	228	50000	1			13
23	229	80000	1			14
23	230	80000	1			15
23	231	80000	1			16
23	232	40000	1			17
23	233	60000	1			18
24	234	80000	1			3
24	235	80000	1			4
24	236	87500	1			5
24	237	10000	1			6
24	238	2500	51			7
24	239	100000	1			8
24	240	80000	1			9
24	241	80000	1			10
24	242	20000	1			11
24	243	70000	1			12
24	244	50000	1			13
24	245	80000	1			14
24	246	80000	1			15
24	247	80000	1			16
24	248	40000	1			17
24	249	60000	1			18
27	276	100000	1			3
27	277	135000	1			4
27	278	80000	1			5
27	279	10000	1			6
27	280	5000	51			7
27	281	140000	1			8
27	282	120000	1			9
27	283	80000	1			10
27	284	80000	1			11
27	285	20000	1			12
27	286	80000	1			13
27	287	100000	1			14
27	288	50000	1			15
28	289	80000	1			3
28	290	80000	1			4
28	291	105000	1			5
28	292	70000	1			6
28	293	10000	1			7
28	294	5000	51			8
28	295	110000	1			9
28	296	110000	1			10
28	297	70000	1			11
28	298	70000	1			12
28	299	20000	1			13
28	300	70000	1			14
28	301	70000	1			15
28	302	50000	1			16
28	303	80000	1			17
29	304	80000	1			3
29	305	80000	1			4
29	306	105000	1			5
29	307	80000	1			6
29	308	10000	1			7
29	309	5000	51			8
29	310	110000	1			9
29	311	80000	1			10
29	312	80000	1			11
29	313	20000	1			12
29	314	70000	1			13
29	315	70000	1			14
29	316	50000	1			15
29	317	80000	1			16
29	318	80000	1			17
30	321	45000	1			5
30	322	10000	1			6
30	323	5000	51			7
30	324	120000	1			8
30	325	100000	1			9
30	326	80000	1			10
30	327	20000	1			11
30	328	100000	1			12
30	329	60000	1			13
30	330	100000	1			14
30	331	100000	1			15
30	332	100000	1			16
30	333	60000	1			17
30	334	100000	1			18
31	337	45000	1			5
31	338	10000	1			6
31	339	5000	51			7
31	340	120000	1			8
31	341	100000	1			9
31	342	80000	1			10
31	343	20000	1			11
31	344	100000	1			12
31	345	60000	1			13
31	346	100000	1			14
31	347	100000	1			15
31	348	100000	1			16
31	349	60000	1			17
31	350	100000	1			18
33	366	100000	1			3
33	367	135000	1			4
33	368	80000	1			5
33	369	10000	1			6
33	370	5000	50			7
33	371	140000	1			8
33	372	120000	1			9
33	373	80000	1			10
33	374	80000	1			11
33	375	20000	1			12
33	376	80000	1			13
33	377	100000	1			14
33	378	50000	1			15
34	379	80000	1			3
34	380	80000	1			4
34	381	105000	1			5
34	382	70000	1			6
34	383	10000	1			7
34	384	5000	50			8
34	385	110000	1			9
34	386	110000	1			10
34	387	70000	1			11
34	388	70000	1			12
34	389	20000	1			13
34	390	70000	1			14
34	391	70000	1			15
34	392	50000	1			16
34	393	80000	1			17
35	394	80000	1			3
35	395	80000	1			4
35	396	105000	1			5
35	397	80000	1			6
35	398	10000	1			7
35	399	5000	50			8
35	400	110000	1			9
35	401	80000	1			10
35	402	80000	1			11
35	403	20000	1			12
35	404	70000	1			13
35	405	70000	1			14
35	406	50000	1			15
35	407	80000	1			16
35	408	80000	1			17
36	409	45000	1			3
36	410	10000	1			4
36	411	5000	50			5
36	412	120000	1			6
36	413	80000	1			7
36	414	20000	1			8
36	415	100000	1			9
36	416	60000	1			10
36	417	100000	1			11
36	418	100000	1			12
36	419	60000	1			13
36	420	100000	1			14
36	421	60000	1			15
36	422	40000	1			16
36	423	100000	1			17
37	424	45000	1			3
37	425	10000	1			4
37	426	5000	50			5
37	427	120000	1			6
37	428	20000	1			7
37	429	100000	1			8
37	430	60000	1			9
37	431	110000	1			10
37	432	110000	1			11
37	433	80000	1			12
37	434	110000	1			13
37	435	60000	1			14
37	436	60000	1			15
37	437	110000	1			16
38	453	100000	1			3
38	455	135000	1			4
38	456	80000	1			5
38	457	10000	1			6
38	458	5000	51			7
38	460	140000	1			8
38	462	120000	1			9
38	463	80000	1			10
38	464	80000	1			11
38	465	20000	1			12
38	466	80000	1			13
38	467	100000	1			14
38	468	50000	1			15
39	453	80000	1			3
39	454	80000	1			4
39	455	105000	1			5
39	456	70000	1			6
39	457	10000	1			7
39	458	5000	51			8
39	460	110000	1			9
39	462	110000	1			10
39	463	70000	1			11
39	464	70000	1			12
39	465	20000	1			13
39	466	70000	1			14
39	467	70000	1			15
39	469	50000	1			16
39	474	80000	1			17
40	453	80000	1			3
40	454	80000	1			4
40	455	105000	1			5
40	456	80000	1			6
40	457	10000	1			7
40	458	5000	51			8
40	460	110000	1			9
40	463	80000	1			10
40	464	80000	1			11
40	465	20000	1			12
40	466	70000	1			13
40	467	70000	1			14
40	470	50000	1			15
40	474	80000	1			16
40	475	80000	1			17
41	456	45000	1			3
41	457	10000	1			4
41	459	5000	51			5
41	461	120000	1			6
41	464	80000	1			7
41	465	20000	1			8
41	466	100000	1			9
41	471	60000	1			10
41	474	100000	1			11
41	475	100000	1			12
41	476	60000	1			13
41	477	100000	1			14
41	478	60000	1			15
41	479	40000	1			16
41	480	100000	1			17
42	456	45000	1			3
42	457	10000	1			4
42	459	5000	51			5
42	461	120000	1			6
42	465	30000	1			7
42	466	110000	1			8
42	472	60000	1			9
42	474	110000	1			10
42	475	110000	1			11
42	476	80000	1			12
42	477	110000	1			13
42	478	60000	1			14
42	479	40000	1			15
42	480	110000	1			16
43	456	45000	1			3
43	457	10000	1			4
43	459	5000	51			5
43	461	120000	1			6
43	465	30000	1			7
43	466	110000	1			8
43	473	60000	1			9
43	474	110000	1			10
43	475	110000	1			11
43	476	80000	1			12
43	477	110000	1			13
43	478	60000	1			14
43	479	40000	1			15
43	480	110000	1			16
44	482	100000	1			3
44	484	135000	1			4
44	485	80000	1			5
44	486	10000	1			6
44	487	5000	51			7
44	488	140000	1			8
44	490	120000	1			9
44	491	80000	1			10
44	492	80000	1			11
44	493	20000	1			12
44	494	80000	1			13
44	495	100000	1			14
44	496	50000	1			15
45	482	80000	1			3
45	483	80000	1			4
45	484	105000	1			5
45	485	70000	1			6
45	486	10000	1			7
45	487	5000	51			8
45	488	110000	1			9
45	490	110000	1			10
45	491	70000	1			11
45	492	70000	1			12
45	493	20000	1			13
45	494	70000	1			14
45	495	70000	1			15
45	497	50000	1			16
45	502	80000	1			17
46	482	80000	1			3
46	483	80000	1			4
46	484	105000	1			5
46	485	80000	1			6
46	486	10000	1			7
46	487	5000	51			8
46	488	110000	1			9
46	491	80000	1			10
46	492	80000	1			11
46	493	20000	1			12
46	494	70000	1			13
46	495	70000	1			14
46	498	50000	1			15
46	502	80000	1			16
46	503	80000	1			17
47	485	45000	1			3
47	486	10000	1			4
47	487	5000	51			5
47	489	120000	1			6
47	492	80000	1			7
47	493	20000	1			8
47	494	100000	1			9
47	499	60000	1			10
47	502	100000	1			11
47	503	100000	1			12
47	504	60000	1			13
47	505	100000	1			14
47	506	60000	1			15
47	507	40000	1			16
47	508	100000	1			17
48	485	45000	1			3
48	486	10000	1			4
48	487	5000	51			5
48	489	100000	1			6
48	493	30000	1			7
48	494	100000	1			8
48	500	60000	1			9
48	502	100000	1			10
48	503	100000	1			11
48	504	80000	1			12
48	505	100000	1			13
48	506	50000	1			14
48	507	40000	1			15
48	508	100000	1			16
48	509	80000	1			17
49	485	45000	1			3
49	486	10000	1			4
49	487	5000	51			5
49	489	100000	1			6
49	493	30000	1			7
49	494	100000	1			8
49	501	60000	1			9
49	502	100000	1			10
49	503	100000	1			11
49	504	80000	1			12
49	505	100000	1			13
49	506	50000	1			14
49	507	40000	1			15
49	508	100000	1			16
49	509	80000	1			17
50	482	100000	1			3
50	484	135000	1			4
50	485	80000	1			5
50	486	10000	1			6
50	487	5000	51			7
50	488	140000	1			8
50	490	120000	1			9
50	491	80000	1			10
50	492	80000	1			11
50	493	20000	1			12
50	494	80000	1			13
50	495	100000	1			14
50	496	50000	1			15
51	482	80000	1			3
51	483	80000	1			4
51	484	105000	1			5
51	485	70000	1			6
51	486	10000	1			7
51	487	5000	51			8
51	488	110000	1			9
51	490	110000	1			10
51	491	70000	1			11
51	492	70000	1			12
51	493	20000	1			13
51	494	70000	1			14
51	495	70000	1			15
51	497	50000	1			16
51	502	80000	1			17
52	482	80000	1			3
52	483	80000	1			4
52	484	105000	1			5
52	485	80000	1			6
52	486	10000	1			7
52	487	5000	51			8
52	488	110000	1			9
52	491	80000	1			10
52	492	80000	1			11
52	493	20000	1			12
52	494	70000	1			13
52	495	70000	1			14
52	498	50000	1			15
52	502	80000	1			16
52	503	80000	1			17
53	485	45000	1			3
53	486	10000	1			4
53	487	5000	51			5
53	489	120000	1			6
53	492	80000	1			7
53	493	20000	1			8
53	494	100000	1			9
53	499	60000	1			10
53	502	100000	1			11
53	503	100000	1			12
53	504	60000	1			13
53	505	100000	1			14
53	506	60000	1			15
53	507	40000	1			16
53	508	100000	1			17
54	485	45000	1			3
54	486	10000	1			4
54	487	5000	51			5
54	489	100000	1			6
54	493	30000	1			7
54	494	100000	1			8
54	500	60000	1			9
54	502	100000	1			10
54	503	100000	1			11
54	504	80000	1			12
54	505	100000	1			13
54	506	50000	1			14
54	507	40000	1			15
54	508	100000	1			16
54	509	80000	1			17
55	485	45000	1			3
55	486	10000	1			4
55	487	5000	51			5
55	489	100000	1			6
55	493	30000	1			7
55	494	100000	1			8
55	501	60000	1			9
55	502	100000	1			10
55	503	100000	1			11
55	504	80000	1			12
55	505	100000	1			13
55	506	50000	1			14
55	507	40000	1			15
55	508	100000	1			16
55	509	80000	1			17
56	510	70000	1			3
56	511	80000	1			4
56	512	100000	1			5
56	513	110000	1			6
56	514	75000	1			7
56	515	10000	1			8
56	516	5000	1			9
56	517	100000	1			10
56	518	100000	1			11
56	519	60000	1			12
56	520	100000	1			13
56	521	80000	1			14
56	522	40000	1			15
56	523	70000	1			16
57	610	80000	1			3
57	612	135000	1			4
57	613	80000	1			5
57	614	10000	1			6
57	615	5000	1			7
57	616	140000	1			8
57	618	120000	1			9
57	619	80000	1			10
57	620	80000	1			11
57	621	20000	1			12
57	622	80000	1			13
57	623	110000	1			14
57	624	60000	1			15
58	610	80000	1			3
58	611	80000	1			4
58	612	105000	1			5
58	613	70000	1			6
58	614	10000	1			7
58	615	5000	1			8
58	616	110000	1			9
58	618	100000	1			10
58	619	70000	1			11
58	620	70000	1			12
58	621	20000	1			13
58	622	70000	1			14
58	623	70000	1			15
58	625	60000	1			16
58	631	80000	1			17
59	610	80000	1			3
59	611	80000	1			4
59	612	105000	1			5
59	613	70000	1			6
59	614	10000	1			7
59	615	5000	1			8
59	616	110000	1			9
59	619	80000	1			11
59	620	80000	1			12
59	621	20000	1			13
59	622	70000	1			14
59	623	70000	1			15
59	626	60000	1			16
59	631	80000	1			17
59	632	80000	1			18
60	613	45000	1			3
60	614	10000	1			4
60	615	5000	1			5
60	617	120000	1			6
60	620	80000	1			7
60	621	20000	1			8
60	622	100000	1			9
60	627	80000	1			10
60	631	100000	1			11
60	632	100000	1			12
60	633	60000	1			13
60	634	100000	1			14
60	635	50000	1			15
60	636	30000	1			16
60	637	100000	1			17
61	613	45000	1			3
61	614	10000	1			4
61	615	5000	1			5
61	617	100000	1			6
61	621	30000	1			7
61	622	100000	1			8
61	628	80000	1			9
61	631	100000	1			10
61	632	100000	1			11
61	633	80000	1			12
61	634	100000	1			13
61	635	40000	1			14
61	636	30000	1			15
61	637	100000	1			16
61	638	80000	1			17
62	613	45000	1			3
62	614	10000	1			4
62	615	5000	1			5
62	617	100000	1			6
62	621	30000	1			7
62	622	100000	1			8
62	629	80000	1			9
62	631	100000	1			10
62	632	100000	1			11
62	633	80000	1			12
62	634	100000	1			13
62	635	40000	1			14
62	636	30000	1			15
62	637	100000	1			16
62	638	80000	1			17
63	613	45000	1			3
63	614	10000	1			4
63	615	5000	1			5
63	617	100000	1			6
63	621	30000	1			7
63	622	100000	1			8
63	630	80000	1			9
63	631	100000	1			10
63	632	100000	1			11
63	633	80000	1			12
63	634	100000	1			13
63	635	40000	1			14
63	636	30000	1			15
63	637	100000	1			16
63	638	80000	1			17
68	754	80000	1			3
68	755	135000	1			4
68	756	80000	1			5
68	757	10000	1			6
68	758	5000	1			7
68	759	140000	1			8
68	760	120000	1			9
68	761	80000	1			10
68	762	80000	1			11
68	763	20000	1			12
68	764	80000	1			13
68	765	110000	1			14
68	766	60000	1			15
69	767	80000	1			3
69	768	80000	1			4
69	769	105000	1			5
69	770	70000	1			6
69	771	10000	1			7
69	772	5000	1			8
69	773	110000	1			9
69	774	100000	1			10
69	775	70000	1			11
69	776	70000	1			12
69	777	20000	1			13
69	778	70000	1			14
69	779	70000	1			15
69	780	60000	1			16
69	781	80000	1			17
70	782	80000	1			3
70	783	80000	1			4
70	784	105000	1			5
70	785	70000	1			6
70	786	10000	1			7
70	787	5000	1			8
70	788	110000	1			9
70	789	80000	1			10
70	790	80000	1			11
70	791	20000	1			12
70	792	70000	1			13
70	793	70000	1			14
70	794	60000	1			15
70	795	80000	1			16
70	796	80000	1			17
71	797	45000	1			3
71	798	10000	1			4
71	799	5000	1			5
71	800	100000	1			6
71	801	80000	1			7
71	802	20000	1			8
71	803	70000	1			9
71	804	80000	1			10
71	805	100000	1			11
71	806	100000	1			12
71	807	60000	1			13
71	808	100000	1			14
71	809	50000	1			15
71	810	30000	1			16
71	811	100000	1			17
71	812	50000	1			18
72	813	45000	1			3
72	814	10000	1			4
72	815	5000	1			5
72	816	100000	1			6
72	817	30000	1			7
72	818	70000	1			8
72	819	80000	1			9
72	820	100000	1			10
72	821	100000	1			11
72	822	60000	1			12
72	823	100000	1			13
72	824	40000	1			14
72	825	30000	1			15
72	826	100000	1			16
72	827	50000	1			17
72	828	80000	1			18
73	829	45000	1			3
73	830	10000	1			4
73	831	5000	1			5
73	832	100000	1			6
73	833	30000	1			7
73	834	70000	1			8
73	835	80000	1			9
73	836	100000	1			10
73	837	100000	1			11
73	838	60000	1			12
73	839	100000	1			13
73	840	40000	1			14
73	841	30000	1			15
73	842	100000	1			16
73	843	50000	1			17
73	844	80000	1			18
74	845	45000	1			3
74	846	10000	1			4
74	847	5000	1			5
74	848	100000	1			6
74	849	30000	1			7
74	850	70000	1			8
74	851	80000	1			9
74	852	100000	1			10
74	853	100000	1			11
74	854	60000	1			12
74	855	100000	1			13
74	856	40000	1			14
74	857	30000	1			15
74	858	100000	1			16
74	859	50000	1			17
74	860	80000	1			18
