nConfigId	nAwardLinkKey	szTimeFrameStart	szTimeFrameEnd	nShowAwardKey	nWorthCountText
1	6	OpenLevel69	OpenLevel99	35	17175
1	6	OpenLevel99	OpenLevel129	36	18000
1	6	OpenLevel129	OpenLevel159	37	20000
1	6	OpenLevel159	OpenLevel189	38	22000
1	6	OpenLevel189	OpenLevel219	381	23000
1	6	OpenLevel219	OpenLevel249	382	23000
1	6	OpenLevel249		383	23000
2	1	OpenLevel39	OpenLevel49	5	650
2	1	OpenLevel49	OpenLevel69	6	680
2	1	OpenLevel69		7	700
2	2	OpenLevel39	OpenLevel49	8	1380
2	2	OpenLevel49	OpenLevel69	9	1380
2	2	OpenLevel69		10	1400
2	3	OpenLevel39	OpenLevel49	11	1500
2	3	OpenLevel49	OpenLevel69	12	1600
2	3	OpenLevel69		13	1700
2	4	OpenLevel39	OpenLevel49	14	3800
2	4	OpenLevel49	OpenLevel59	15	4200
2	4	OpenLevel59	OpenLevel69	16	4500
2	4	OpenLevel69	OpenLevel79	17	4500
2	4	OpenLevel79		18	4800
3	1			7	530
3	2			8	1300
3	3	OpenLevel39	OpenLevel49	9	1650
3	3	OpenLevel49	OpenLevel69	10	1650
3	3	OpenLevel69		11	1640
3	4	OpenLevel39	OpenLevel49	12	3750
3	4	OpenLevel49	OpenLevel59	13	4250
3	4	OpenLevel59	OpenLevel69	14	4250
3	4	OpenLevel69	OpenLevel79	15	4000
3	4	OpenLevel79	OpenLevel89	16	4600
3	4	OpenLevel89		17	4600
3	5	OpenLevel39	OpenLevel69	18	4690
3	5	OpenLevel69		19	5440
3	6	OpenLevel39	OpenLevel49	20	6880
3	6	OpenLevel49	OpenLevel59	21	7880
3	6	OpenLevel59	OpenLevel69	22	7880
3	6	OpenLevel69	OpenLevel79	23	7380
3	6	OpenLevel79	OpenLevel89	24	8580
3	6	OpenLevel89		25	8580
4	1			7	580
4	2			8	1300
4	3	OpenLevel39	OpenLevel49	9	1700
4	3	OpenLevel49	OpenLevel69	10	1700
4	3	OpenLevel69		11	1800
4	4	OpenLevel39	OpenLevel49	12	3800
4	4	OpenLevel49	OpenLevel59	13	4300
4	4	OpenLevel59	OpenLevel69	14	4300
4	4	OpenLevel69	OpenLevel79	15	4300
4	4	OpenLevel79	OpenLevel89	16	4600
4	4	OpenLevel89	OpenLevel99	17	4600
4	4	OpenLevel99		18	4900
4	5	OpenLevel39	OpenLevel69	19	4700
4	5	OpenLevel69		20	4500
4	6	OpenLevel39	OpenLevel49	21	7400
4	6	OpenLevel49	OpenLevel59	22	7900
4	6	OpenLevel59	OpenLevel69	23	7900
4	6	OpenLevel69	OpenLevel79	24	7400
4	6	OpenLevel79	OpenLevel89	25	8000
4	6	OpenLevel89	OpenLevel99	26	8000
4	6	OpenLevel99		27	8400
5	1			7	650
5	2			8	1300
5	3	OpenLevel39	OpenLevel49	9	1700
5	3	OpenLevel49	OpenLevel69	10	1700
5	3	OpenLevel69		11	1750
5	4	OpenLevel39	OpenLevel49	12	3800
5	4	OpenLevel49	OpenLevel59	13	4300
5	4	OpenLevel59	OpenLevel69	14	4300
5	4	OpenLevel69	OpenLevel79	15	4300
5	4	OpenLevel79	OpenLevel89	16	4600
5	4	OpenLevel89	OpenLevel99	17	4600
5	4	OpenLevel99		18	5500
5	5	OpenLevel39	OpenLevel69	19	4700
5	5	OpenLevel69	OpenLevel99	20	5100
5	5	OpenLevel99		21	5100
5	6	OpenLevel39	OpenLevel49	22	8000
5	6	OpenLevel49	OpenLevel59	23	9000
5	6	OpenLevel59	OpenLevel69	24	9000
5	6	OpenLevel69	OpenLevel79	25	9600
5	6	OpenLevel79	OpenLevel89	26	10800
5	6	OpenLevel89	OpenLevel99	27	10800
5	6	OpenLevel99		28	12000
6	1			7	690
6	2			8	1300
6	3	OpenLevel39	OpenLevel49	9	1700
6	3	OpenLevel49	OpenLevel69	10	1700
6	3	OpenLevel69		11	1750
6	4	OpenLevel39	OpenLevel49	12	3800
6	4	OpenLevel49	OpenLevel59	13	4300
6	4	OpenLevel59	OpenLevel69	14	4300
6	4	OpenLevel69	OpenLevel79	15	4300
6	4	OpenLevel79	OpenLevel89	16	4600
6	4	OpenLevel89	OpenLevel99	17	4600
6	4	OpenLevel99	OpenLevel109	18	5500
6	4	OpenLevel109		19	5500
6	5	OpenLevel39	OpenLevel69	20	4800
6	5	OpenLevel69	OpenLevel99	21	5100
6	5	OpenLevel99		22	5100
6	6	OpenLevel39	OpenLevel49	23	8000
6	6	OpenLevel49	OpenLevel59	24	9000
6	6	OpenLevel59	OpenLevel69	25	9000
6	6	OpenLevel69	OpenLevel79	26	9600
6	6	OpenLevel79	OpenLevel89	27	10800
6	6	OpenLevel89	OpenLevel99	28	10800
6	6	OpenLevel99	OpenLevel109	29	12000
6	6	OpenLevel109		30	12000
7	1			8	700
7	2			9	1400
7	3	OpenLevel39	OpenLevel69	10	1700
7	3	OpenLevel69	OpenLevel99	11	2000
7	3	OpenLevel99		12	2200
7	4	OpenLevel39	OpenLevel49	13	4300
7	4	OpenLevel49	OpenLevel59	14	4300
7	4	OpenLevel59	OpenLevel69	15	4300
7	4	OpenLevel69	OpenLevel79	16	4300
7	4	OpenLevel79	OpenLevel89	17	4600
7	4	OpenLevel89	OpenLevel99	18	4600
7	4	OpenLevel99	OpenLevel109	19	5400
7	4	OpenLevel109		20	5400
7	5	OpenLevel39	OpenLevel69	21	4800
7	5	OpenLevel69	OpenLevel99	22	5100
7	5	OpenLevel99		23	5100
7	6	OpenLevel39	OpenLevel49	24	8500
7	6	OpenLevel49	OpenLevel59	25	9000
7	6	OpenLevel59	OpenLevel69	26	9000
7	6	OpenLevel69	OpenLevel79	27	9600
7	6	OpenLevel79	OpenLevel89	28	10800
7	6	OpenLevel89	OpenLevel99	29	10800
7	6	OpenLevel99	OpenLevel109	30	12000
7	6	OpenLevel109		31	12000
7	7	OpenLevel39	OpenLevel69	32	9500
7	7	OpenLevel69	OpenLevel89	33	11800
7	7	OpenLevel89	OpenLevel109	34	12800
7	7	OpenLevel109		35	14800
8	1			7	720
8	2			8	2800
8	3	OpenLevel39	OpenLevel49	9	4880
8	3	OpenLevel49	OpenLevel59	10	4880
8	3	OpenLevel59	OpenLevel69	11	4880
8	3	OpenLevel69	OpenLevel79	12	4880
8	3	OpenLevel79	OpenLevel89	13	4980
8	3	OpenLevel89	OpenLevel99	14	4980
8	3	OpenLevel99	OpenLevel109	15	5500
8	3	OpenLevel109		16	5500
8	4	OpenLevel39	OpenLevel59	17	6080
8	4	OpenLevel59	OpenLevel69	18	6080
8	4	OpenLevel69	OpenLevel79	19	6680
8	4	OpenLevel79	OpenLevel89	20	6680
8	4	OpenLevel89	OpenLevel99	21	6680
8	4	OpenLevel99		22	7200
8	5	OpenLevel39	OpenLevel49	23	9060
8	5	OpenLevel49	OpenLevel59	24	9600
8	5	OpenLevel59	OpenLevel69	25	9600
8	5	OpenLevel69	OpenLevel79	26	9600
8	5	OpenLevel79	OpenLevel89	27	10800
8	5	OpenLevel89	OpenLevel99	28	10800
8	5	OpenLevel99	OpenLevel109	29	11500
8	5	OpenLevel109		30	11500
8	6	OpenLevel39	OpenLevel69	31	11500
8	6	OpenLevel69	OpenLevel89	32	12000
8	6	OpenLevel89	OpenLevel109	33	12800
8	6	OpenLevel109		34	12800
9	1			7	710
9	2	OpenLevel39	OpenLevel69	8	800
9	2	OpenLevel69	OpenLevel99	9	820
9	2	OpenLevel99		10	950
9	3	OpenLevel39	OpenLevel49	11	4875
9	3	OpenLevel49	OpenLevel59	12	4875
9	3	OpenLevel59	OpenLevel69	13	5125
9	3	OpenLevel69	OpenLevel79	14	5125
9	3	OpenLevel79	OpenLevel89	15	5725
9	3	OpenLevel89	OpenLevel99	16	5725
9	3	OpenLevel99	OpenLevel109	17	6875
9	3	OpenLevel109		18	6875
9	4	OpenLevel39	OpenLevel59	19	7500
9	4	OpenLevel59	OpenLevel69	20	7800
9	4	OpenLevel69	OpenLevel79	21	7940
9	4	OpenLevel79	OpenLevel89	22	8000
9	4	OpenLevel89	OpenLevel99	23	8050
9	4	OpenLevel99		24	8200
9	5	OpenLevel39	OpenLevel49	25	9040
9	5	OpenLevel49	OpenLevel59	26	9540
9	5	OpenLevel59	OpenLevel69	27	9540
9	5	OpenLevel69	OpenLevel79	28	9540
9	5	OpenLevel79	OpenLevel89	29	10740
9	5	OpenLevel89	OpenLevel99	30	10740
9	5	OpenLevel99	OpenLevel109	31	11540
9	5	OpenLevel109		32	11540
9	6	OpenLevel39	OpenLevel69	33	12500
9	6	OpenLevel69	OpenLevel89	34	12500
9	6	OpenLevel89	OpenLevel99	35	12950
9	6	OpenLevel99	OpenLevel109	36	12950
9	6	OpenLevel109		37	13350
10	1			7	710
10	2			8	2800
10	3	OpenLevel39	OpenLevel49	11	4875
10	3	OpenLevel49	OpenLevel59	12	4875
10	3	OpenLevel59	OpenLevel69	13	5125
10	3	OpenLevel69	OpenLevel79	14	5125
10	3	OpenLevel79	OpenLevel89	15	5725
10	3	OpenLevel89	OpenLevel99	16	5725
10	3	OpenLevel99	OpenLevel109	17	6875
10	3	OpenLevel109		18	6875
10	4	OpenLevel39	OpenLevel69	19	7500
10	4	OpenLevel69	OpenLevel99	20	7800
10	4	OpenLevel99		21	7940
10	5	OpenLevel39	OpenLevel49	25	9040
10	5	OpenLevel49	OpenLevel59	26	9540
10	5	OpenLevel59	OpenLevel69	27	9540
10	5	OpenLevel69	OpenLevel79	28	9540
10	5	OpenLevel79	OpenLevel89	29	10740
10	5	OpenLevel89	OpenLevel99	30	10740
10	5	OpenLevel99	OpenLevel109	31	11540
10	5	OpenLevel109		32	11540
10	6	OpenLevel39	OpenLevel69	33	12500
10	6	OpenLevel69	OpenLevel89	34	12500
10	6	OpenLevel89	OpenLevel99	35	12950
10	6	OpenLevel99	OpenLevel109	36	12950
10	6	OpenLevel109		37	13350
11	1			7	710
11	2			8	2800
11	3	OpenLevel39	OpenLevel49	11	4875
11	3	OpenLevel49	OpenLevel59	12	4875
11	3	OpenLevel59	OpenLevel69	13	5125
11	3	OpenLevel69	OpenLevel79	14	5125
11	3	OpenLevel79	OpenLevel89	15	5725
11	3	OpenLevel89	OpenLevel99	16	5725
11	3	OpenLevel99	OpenLevel109	17	6875
11	3	OpenLevel109	OpenLevel129	18	6875
11	3	OpenLevel129		19	6875
11	4	OpenLevel39	OpenLevel69	20	7500
11	4	OpenLevel69	OpenLevel99	21	7800
11	4	OpenLevel99		22	7940
11	5	OpenLevel39	OpenLevel49	25	9040
11	5	OpenLevel49	OpenLevel59	26	9540
11	5	OpenLevel59	OpenLevel69	27	9540
11	5	OpenLevel69	OpenLevel79	28	9540
11	5	OpenLevel79	OpenLevel89	29	10740
11	5	OpenLevel89	OpenLevel99	30	10740
11	5	OpenLevel99	OpenLevel109	31	11540
11	5	OpenLevel109	OpenLevel129	32	11540
11	5	OpenLevel129		33	11540
11	6	OpenLevel39	OpenLevel69	34	12500
11	6	OpenLevel69	OpenLevel89	35	12500
11	6	OpenLevel89	OpenLevel99	36	12950
11	6	OpenLevel99	OpenLevel109	37	12950
11	6	OpenLevel109	OpenLevel129	38	13350
11	6	OpenLevel129		39	13550
12	1			7	710
12	2			8	2780
12	3	OpenLevel39	OpenLevel49	9	4875
12	3	OpenLevel49	OpenLevel59	10	4875
12	3	OpenLevel59	OpenLevel69	11	5125
12	3	OpenLevel69	OpenLevel79	12	5125
12	3	OpenLevel79	OpenLevel89	13	5725
12	3	OpenLevel89	OpenLevel99	14	5725
12	3	OpenLevel99	OpenLevel109	15	6875
12	3	OpenLevel109	OpenLevel129	16	6875
12	3	OpenLevel129		17	6875
12	4	OpenLevel39	OpenLevel69	18	6025
12	4	OpenLevel69	OpenLevel99	19	6650
12	4	OpenLevel99		20	7150
12	5	OpenLevel39	OpenLevel49	21	11040
12	5	OpenLevel49	OpenLevel59	22	11040
12	5	OpenLevel59	OpenLevel69	23	11040
12	5	OpenLevel69	OpenLevel79	24	11040
12	5	OpenLevel79	OpenLevel89	25	11640
12	5	OpenLevel89	OpenLevel99	26	11640
12	5	OpenLevel99	OpenLevel109	27	12540
12	5	OpenLevel109	OpenLevel129	28	12540
12	5	OpenLevel129		29	12540
12	6	OpenLevel39	OpenLevel69	30	11750
12	6	OpenLevel69	OpenLevel89	31	11950
12	6	OpenLevel89	OpenLevel109	32	13000
12	6	OpenLevel109	OpenLevel129	33	13350
12	6	OpenLevel129		34	13550
14	1			7	710
14	2			8	2780
14	3	OpenLevel39	OpenLevel49	9	4875
14	3	OpenLevel49	OpenLevel59	10	4875
14	3	OpenLevel59	OpenLevel69	11	5125
14	3	OpenLevel69	OpenLevel79	12	5125
14	3	OpenLevel79	OpenLevel89	13	5725
14	3	OpenLevel89	OpenLevel99	14	5725
14	3	OpenLevel99	OpenLevel109	15	6875
14	3	OpenLevel109	OpenLevel129	16	6875
14	3	OpenLevel129	OpenLevel149	17	6875
14	3	OpenLevel149		171	6875
14	4	OpenLevel39	OpenLevel69	18	6025
14	4	OpenLevel69	OpenLevel99	19	7650
14	4	OpenLevel99	OpenLevel139	20	8400
14	4	OpenLevel139		21	9150
14	5	OpenLevel39	OpenLevel59	22	11088
14	5	OpenLevel59	OpenLevel79	23	11088
14	5	OpenLevel79	OpenLevel99	24	11450
14	5	OpenLevel99	OpenLevel119	25	12000
14	5	OpenLevel119	OpenLevel139	26	12400
14	5	OpenLevel139	OpenLevel149	27	12400
14	5	OpenLevel149		271	12400
14	6	OpenLevel39	OpenLevel59	28	16632
14	6	OpenLevel59	OpenLevel79	29	16632
14	6	OpenLevel79	OpenLevel89	30	17175
14	6	OpenLevel89	OpenLevel99	31	17175
14	6	OpenLevel99	OpenLevel119	32	18000
14	6	OpenLevel119		33	18000
18	1			7	710
18	2			8	2780
18	3	OpenLevel39	OpenLevel49	9	4875
18	3	OpenLevel49	OpenLevel59	10	4875
18	3	OpenLevel59	OpenLevel69	11	5125
18	3	OpenLevel69	OpenLevel79	12	5125
18	3	OpenLevel79	OpenLevel89	13	5725
18	3	OpenLevel89	OpenLevel99	14	5725
18	3	OpenLevel99	OpenLevel109	15	6875
18	3	OpenLevel109	OpenLevel129	16	6875
18	3	OpenLevel129	OpenLevel149	17	6875
18	3	OpenLevel149		171	6875
18	4	OpenLevel39	OpenLevel69	18	6025
18	4	OpenLevel69	OpenLevel99	19	7650
18	4	OpenLevel99	OpenLevel139	20	8400
18	4	OpenLevel139		21	9150
18	5	OpenLevel39	OpenLevel59	22	11088
18	5	OpenLevel59	OpenLevel79	23	11088
18	5	OpenLevel79	OpenLevel99	24	11450
18	5	OpenLevel99	OpenLevel119	25	12000
18	5	OpenLevel119	OpenLevel139	26	12400
18	5	OpenLevel139	OpenLevel149	27	12400
18	5	OpenLevel149	OpenLevel159	271	12400
18	5	OpenLevel159		272	12400
18	6	OpenLevel39	OpenLevel59	28	16632
18	6	OpenLevel59	OpenLevel79	29	16632
18	6	OpenLevel79	OpenLevel89	30	17175
18	6	OpenLevel89	OpenLevel99	31	17175
18	6	OpenLevel99	OpenLevel119	32	18000
18	6	OpenLevel119		33	18000
20	1			1	685
20	2			2	2850
20	3	OpenLevel39	OpenLevel49	10	4875
20	3	OpenLevel49	OpenLevel59	11	5000
20	3	OpenLevel59	OpenLevel69	12	5000
20	3	OpenLevel69	OpenLevel79	13	5000
20	3	OpenLevel79	OpenLevel89	14	6200
20	3	OpenLevel89	OpenLevel99	15	6450
20	3	OpenLevel99	OpenLevel109	16	8250
20	3	OpenLevel109	OpenLevel129	17	8250
20	3	OpenLevel129	OpenLevel149	18	8750
20	3	OpenLevel149		19	9350
20	4	OpenLevel39	OpenLevel69	20	6325
20	4	OpenLevel69	OpenLevel99	21	8575
20	4	OpenLevel99	OpenLevel129	22	10125
20	4	OpenLevel129	OpenLevel159	23	10875
20	4	OpenLevel159		24	11625
20	5	OpenLevel39	OpenLevel69	25	11588
20	5	OpenLevel69	OpenLevel99	26	12200
20	5	OpenLevel99	OpenLevel129	27	12950
20	5	OpenLevel129	OpenLevel139	28	13700
20	5	OpenLevel139	OpenLevel149	29	14700
20	5	OpenLevel149	OpenLevel159	30	14700
20	5	OpenLevel159		31	15450
20	6	OpenLevel39	OpenLevel69	32	16632
20	6	OpenLevel69	OpenLevel99	33	17175
20	6	OpenLevel99	OpenLevel129	34	18000
20	6	OpenLevel129	OpenLevel159	35	20000
20	6	OpenLevel159		36	22000
21	1			7	685
21	2			8	2850
21	3		OpenLevel49	9	4880
21	3	OpenLevel49	OpenLevel59	10	5000
21	3	OpenLevel59	OpenLevel69	11	5000
21	3	OpenLevel69	OpenLevel79	12	5000
21	3	OpenLevel79	OpenLevel89	13	6200
21	3	OpenLevel89	OpenLevel99	14	6500
21	3	OpenLevel99	OpenLevel109	15	8250
21	3	OpenLevel109	OpenLevel129	16	8250
21	3	OpenLevel129	OpenLevel149	17	8800
21	3	OpenLevel149	OpenLevel169	18	9350
21	3	OpenLevel169		19	9800
21	4		OpenLevel69	20	6500
21	4	OpenLevel69	OpenLevel99	21	8600
21	4	OpenLevel99	OpenLevel129	22	10200
21	4	OpenLevel129	OpenLevel159	23	11000
21	4	OpenLevel159		24	11800
21	5		OpenLevel69	25	11600
21	5	OpenLevel69	OpenLevel99	26	12200
21	5	OpenLevel99	OpenLevel129	27	13000
21	5	OpenLevel129	OpenLevel139	28	13800
21	5	OpenLevel139	OpenLevel149	29	14800
21	5	OpenLevel149	OpenLevel159	30	14800
21	5	OpenLevel159	OpenLevel169	31	15500
21	5	OpenLevel169		32	15500
21	6		OpenLevel69	33	14500
21	6	OpenLevel69	OpenLevel99	34	15000
21	6	OpenLevel99	OpenLevel129	35	15800
21	6	OpenLevel129	OpenLevel159	36	17000
21	6	OpenLevel159		37	17800
22	1			7	685
22	2			8	2850
22	3		OpenLevel49	9	4880
22	3	OpenLevel49	OpenLevel59	10	5000
22	3	OpenLevel59	OpenLevel69	11	5000
22	3	OpenLevel69	OpenLevel79	12	5000
22	3	OpenLevel79	OpenLevel89	13	6200
22	3	OpenLevel89	OpenLevel99	14	6500
22	3	OpenLevel99	OpenLevel109	15	8250
22	3	OpenLevel109	OpenLevel129	16	8250
22	3	OpenLevel129	OpenLevel149	17	8800
22	3	OpenLevel149	OpenLevel169	18	9350
22	3	OpenLevel169		19	9800
22	4		OpenLevel69	20	6500
22	4	OpenLevel69	OpenLevel99	21	8600
22	4	OpenLevel99	OpenLevel129	22	10200
22	4	OpenLevel129	OpenLevel159	23	11000
22	4	OpenLevel159		24	11800
22	5		OpenLevel69	25	11600
22	5	OpenLevel69	OpenLevel99	26	12200
22	5	OpenLevel99	OpenLevel129	27	13000
22	5	OpenLevel129	OpenLevel139	28	13800
22	5	OpenLevel139	OpenLevel149	29	14800
22	5	OpenLevel149	OpenLevel159	30	14800
22	5	OpenLevel159	OpenLevel169	31	15500
22	5	OpenLevel169		32	15500
22	6		OpenLevel69	33	14500
22	6	OpenLevel69	OpenLevel99	34	15000
22	6	OpenLevel99	OpenLevel129	35	15800
22	6	OpenLevel129	OpenLevel159	36	17000
22	6	OpenLevel159		37	17800
24	1			7	800
24	2			8	2900
24	3		OpenLevel49	9	4880
24	3	OpenLevel49	OpenLevel59	10	5000
24	3	OpenLevel59	OpenLevel69	11	5000
24	3	OpenLevel69	OpenLevel79	12	5000
24	3	OpenLevel79	OpenLevel89	13	5500
24	3	OpenLevel89	OpenLevel99	14	5500
24	3	OpenLevel99	OpenLevel109	15	7300
24	3	OpenLevel109	OpenLevel129	16	7400
24	3	OpenLevel129	OpenLevel149	17	7900
24	3	OpenLevel149	OpenLevel169	18	8500
24	3	OpenLevel169	OpenLevel189	19	8900
24	3	OpenLevel189		191	10050
24	4		OpenLevel69	20	6500
24	4	OpenLevel69	OpenLevel99	21	8600
24	4	OpenLevel99	OpenLevel129	22	10200
24	4	OpenLevel129	OpenLevel159	23	11000
24	4	OpenLevel159	OpenLevel189	24	11800
24	4	OpenLevel189		241	12600
24	5		OpenLevel69	25	11600
24	5	OpenLevel69	OpenLevel99	26	12200
24	5	OpenLevel99	OpenLevel129	27	13000
24	5	OpenLevel129	OpenLevel139	28	13800
24	5	OpenLevel139	OpenLevel149	29	14800
24	5	OpenLevel149	OpenLevel159	30	14800
24	5	OpenLevel159	OpenLevel169	31	15500
24	5	OpenLevel169	OpenLevel179	32	15500
24	5	OpenLevel179	OpenLevel189	33	15500
24	5	OpenLevel189	OpenLevel199	331	17000
24	5	OpenLevel199		332	17000
24	6		OpenLevel69	34	14000
24	6	OpenLevel69	OpenLevel99	35	15000
24	6	OpenLevel99	OpenLevel129	36	16000
24	6	OpenLevel129	OpenLevel159	37	17000
24	6	OpenLevel159	OpenLevel189	38	18000
24	6	OpenLevel189		381	19000
26	1			7	800
26	2			8	2900
26	3		OpenLevel49	9	4880
26	3	OpenLevel49	OpenLevel59	10	5000
26	3	OpenLevel59	OpenLevel69	11	5000
26	3	OpenLevel69	OpenLevel79	12	5000
26	3	OpenLevel79	OpenLevel89	13	5500
26	3	OpenLevel89	OpenLevel99	14	5500
26	3	OpenLevel99	OpenLevel109	15	7300
26	3	OpenLevel109	OpenLevel129	16	7400
26	3	OpenLevel129	OpenLevel149	17	7900
26	3	OpenLevel149	OpenLevel169	18	8500
26	3	OpenLevel169	OpenLevel189	19	8900
26	3	OpenLevel189		191	10050
26	4		OpenLevel69	20	6500
26	4	OpenLevel69	OpenLevel99	21	8600
26	4	OpenLevel99	OpenLevel129	22	10200
26	4	OpenLevel129	OpenLevel159	23	11000
26	4	OpenLevel159	OpenLevel189	24	11800
26	4	OpenLevel189		241	12600
26	5		OpenLevel69	25	11600
26	5	OpenLevel69	OpenLevel99	26	12200
26	5	OpenLevel99	OpenLevel129	27	13000
26	5	OpenLevel129	OpenLevel139	28	13800
26	5	OpenLevel139	OpenLevel149	29	14800
26	5	OpenLevel149	OpenLevel159	30	14800
26	5	OpenLevel159	OpenLevel169	31	15500
26	5	OpenLevel169	OpenLevel179	32	15500
26	5	OpenLevel179	OpenLevel189	33	15500
26	5	OpenLevel189	OpenLevel199	331	17000
26	5	OpenLevel199		332	17000
26	6		OpenLevel69	34	14000
26	6	OpenLevel69	OpenLevel99	35	15000
26	6	OpenLevel99	OpenLevel129	36	16000
26	6	OpenLevel129	OpenLevel159	37	17000
26	6	OpenLevel159	OpenLevel189	38	18000
26	6	OpenLevel189		381	19000
27	1			7	800
27	2			8	2900
27	3		OpenLevel49	9	4880
27	3	OpenLevel49	OpenLevel59	10	5000
27	3	OpenLevel59	OpenLevel69	11	5000
27	3	OpenLevel69	OpenLevel79	12	5000
27	3	OpenLevel79	OpenLevel89	13	5500
27	3	OpenLevel89	OpenLevel99	14	5500
27	3	OpenLevel99	OpenLevel109	15	7300
27	3	OpenLevel109	OpenLevel129	16	7400
27	3	OpenLevel129	OpenLevel149	17	7900
27	3	OpenLevel149	OpenLevel169	18	8500
27	3	OpenLevel169	OpenLevel189	19	8900
27	3	OpenLevel189	OpenLevel209	191	10050
27	3	OpenLevel209		192	10300
27	4		OpenLevel69	20	6500
27	4	OpenLevel69	OpenLevel99	21	8600
27	4	OpenLevel99	OpenLevel129	22	10200
27	4	OpenLevel129	OpenLevel159	23	11000
27	4	OpenLevel159	OpenLevel189	24	11800
27	4	OpenLevel189	OpenLevel219	241	12600
27	4	OpenLevel219		242	12600
27	5		OpenLevel69	25	11600
27	5	OpenLevel69	OpenLevel99	26	12200
27	5	OpenLevel99	OpenLevel129	27	13000
27	5	OpenLevel129	OpenLevel139	28	13800
27	5	OpenLevel139	OpenLevel149	29	14800
27	5	OpenLevel149	OpenLevel159	30	14800
27	5	OpenLevel159	OpenLevel169	31	15500
27	5	OpenLevel169	OpenLevel179	32	15500
27	5	OpenLevel179	OpenLevel189	33	15500
27	5	OpenLevel189	OpenLevel199	331	17000
27	5	OpenLevel199	OpenLevel209	332	17000
27	5	OpenLevel209	OpenLevel219	333	17000
27	5	OpenLevel219		334	17550
27	6		OpenLevel69	34	16632
27	6	OpenLevel69	OpenLevel99	35	17175
27	6	OpenLevel99	OpenLevel129	36	18000
27	6	OpenLevel129	OpenLevel159	37	20000
27	6	OpenLevel159	OpenLevel189	38	22000
27	6	OpenLevel189	OpenLevel219	381	23000
27	6	OpenLevel219		382	23000
28	1			393	800
28	2			394	2900
28	3			395	4880
