nGiftType	nGiftId	szGiftName	nAwardId	nAwardKey	szTimeFrame	nGiftTriggerParam	nGiftLifeTime	szMoneyType	nPrice	nFullPrice	nMaxBuyCount
4	2	<i18n=19158>	1071	1		1500	10800	Gold	28	280	1
4	3	<i18n=19164>	1071	1		3000	10800	Gold	28	280	1
4	4	<i18n=19155>	1071	1		5500	10800	Gold	28	280	1
4	5	<i18n=19146>	1071	1		9500	10800	Gold	28	280	1
4	6	<i18n=19147>	1071	1		14500	10800	Gold	28	280	1
4	7	<i18n=19161>	1071	1		20500	10800	Gold	28	280	1
4	8	<i18n=19162>	1071	1		28000	10800	Gold	28	280	1
4	9	<i18n=19156>	1071	1		37000	10800	Gold	28	280	1
4	10	<i18n=19153>	1071	1		47000	10800	Gold	28	280	1
4	11	<i18n=19154>	1071	1		58500	10800	Gold	28	280	1
4	12	<i18n=19143>	1071	1		71500	10800	Gold	28	280	1
5	1	<i18n=19359>	1087	1		10	10800	Gold	100	1000	1
5	2	<i18n=19354>	1087	2		100	10800	Gold	200	2000	1
5	3	<i18n=19353>	1087	2		200	10800	Gold	200	2000	1
5	4	<i18n=19373>	1087	2		300	10800	Gold	200	2000	1
5	5	<i18n=19362>	1087	2		400	10800	Gold	200	2000	1
5	6	<i18n=19358>	1087	2		500	10800	Gold	200	2000	1
6	1	<i18n=19361>	1088	1		810	10800	Gold	28	280	1
6	2	<i18n=19355>	1088	1		2834	10800	Gold	28	280	1
6	3	<i18n=19356>	1088	1		6075	10800	Gold	28	280	1
6	4	<i18n=19372>	1088	2		12285	10800	Gold	48	480	1
6	5	<i18n=19357>	1088	2		18360	10800	Gold	48	480	1
6	6	<i18n=19352>	1088	2		25650	10800	Gold	48	480	1
6	7	<i18n=19369>	1088	3		36450	10800	Gold	68	680	1
6	8	<i18n=19365>	1088	3		44550	10800	Gold	68	680	1
6	9	<i18n=19363>	1088	3		52650	10800	Gold	68	680	1
6	10	<i18n=19368>	1088	4		63450	10800	Gold	88	880	1
6	11	<i18n=19370>	1088	4		71550	10800	Gold	88	880	1
6	12	<i18n=19367>	1088	4		79650	10800	Gold	88	880	1
6	13	<i18n=19371>	1088	5		90450	10800	Gold	128	1280	1
6	14	<i18n=19364>	1088	5		98550	10800	Gold	128	1280	1
6	15	<i18n=19360>	1088	5		106650	10800	Gold	128	1280	1
8	1	<i18n=30469>	1159	1		10000	10800	Gold	20	200	1
8	2	<i18n=30475>	1159	2		110000	10800	Gold	40	400	1
8	3	<i18n=30496>	1159	3		210000	10800	Gold	60	600	1
8	4	<i18n=30492>	1159	4		310000	10800	Gold	80	800	1
8	5	<i18n=30508>	1159	5		410000	10800	Gold	100	1000	1
8	6	<i18n=30489>	1159	6		510000	10800	Gold	120	1200	1
8	7	<i18n=30461>	1159	7		610000	10800	Gold	140	1400	1
8	8	<i18n=30477>	1159	8		710000	10800	Gold	160	1600	1
8	9	<i18n=30505>	1159	9		810000	10800	Gold	180	1800	1
8	10	<i18n=30456>	1159	10		910000	10800	Gold	200	2000	1
8	11	<i18n=30474>	1159	10		1010000	10800	Gold	200	2000	1
8	12	<i18n=30501>	1159	10		1110000	10800	Gold	200	2000	1
8	13	<i18n=30500>	1159	10		1210000	10800	Gold	200	2000	1
8	14	<i18n=30516>	1159	10		1310000	10800	Gold	200	2000	1
8	15	<i18n=30488>	1159	10		1410000	10800	Gold	200	2000	1
8	16	<i18n=30490>	1159	10		1510000	10800	Gold	200	2000	1
8	17	<i18n=30481>	1159	10		1610000	10800	Gold	200	2000	1
8	18	<i18n=30476>	1159	10		1710000	10800	Gold	200	2000	1
9	1	<i18n=30470>	1160	1		10	10800	Gold	36	360	1
9	2	<i18n=30519>	1160	1		110	10800	Gold	36	360	1
9	3	<i18n=30462>	1160	1		210	10800	Gold	36	360	1
9	4	<i18n=30487>	1160	2		310	10800	Gold	66	660	1
9	5	<i18n=30486>	1160	2		410	10800	Gold	66	660	1
9	6	<i18n=30480>	1160	2		510	10800	Gold	66	660	1
9	7	<i18n=30520>	1160	3		610	10800	Gold	138	1380	1
9	8	<i18n=30482>	1160	3		710	10800	Gold	138	1380	1
9	9	<i18n=30502>	1160	4		810	10800	Gold	208	2080	1
9	10	<i18n=30458>	1160	4		910	10800	Gold	208	2080	1
