nBuffId	nSkillId	szTimeFrame	nStartLevel	nAddLevel	nMaxLevel
24	11186	OpenLevel289	18	1	48
24	11186	OpenLevel299	19	1	49
25	11187	OpenLevel119	10	1	99
25	11187	OpenLevel129	2	1	32
25	11187	OpenLevel139	3	1	33
25	11187	OpenLevel149	4	1	34
25	11187	OpenLevel159	5	1	35
25	11187	OpenLevel169	6	1	36
25	11187	OpenLevel179	7	1	37
25	11187	OpenLevel189	8	1	38
25	11187	OpenLevel199	9	1	39
25	11187	OpenLevel209	10	1	40
25	11187	OpenLevel219	11	1	41
25	11187	OpenLevel229	12	1	42
25	11187	OpenLevel239	13	1	43
25	11187	OpenLevel249	14	1	44
25	11187	OpenLevel259	15	1	45
25	11187	OpenLevel269	16	1	46
25	11187	OpenLevel279	17	1	47
25	11187	OpenLevel289	18	1	48
25	11187	OpenLevel299	19	1	49
26	11188	OpenLevel119	10	1	99
26	11188	OpenLevel129	2	1	32
26	11188	OpenLevel139	3	1	33
26	11188	OpenLevel149	4	1	34
26	11188	OpenLevel159	5	1	35
26	11188	OpenLevel169	6	1	36
26	11188	OpenLevel179	7	1	37
26	11188	OpenLevel189	8	1	38
26	11188	OpenLevel199	9	1	39
26	11188	OpenLevel209	10	1	40
26	11188	OpenLevel219	11	1	41
26	11188	OpenLevel229	12	1	42
26	11188	OpenLevel239	13	1	43
26	11188	OpenLevel249	14	1	44
26	11188	OpenLevel259	15	1	45
26	11188	OpenLevel269	16	1	46
26	11188	OpenLevel279	17	1	47
26	11188	OpenLevel289	18	1	48
26	11188	OpenLevel299	19	1	49
