NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=9151>	9027	50		20428	93218	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		20507	96331	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		21690	98099	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		23093	97179	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		19150	99694	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		22586	99106	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		21753	93626	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		22933	94983	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		29241	118035	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		27464	119255	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		25621	119154	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		24948	116591	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		26262	112534	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		26368	114214	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		28610	114316	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		30214	115135	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		29913	116975	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		26140	117608	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		28490	117303	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		27382	116087	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		27613	113376	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		44417	99464	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45398	98762	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45411	95928	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		46133	94199	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		49099	94871	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		48654	96353	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		48307	99746	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		47738	95511	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		46662	96980	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		48293	93970	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35286	69687	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		32542	66773	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		31248	69142	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		31405	66463	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		33203	64494	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		32585	69655	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		34167	68104	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35400	66685	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		34918	71758	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35187	64748	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		14464	76521	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		18208	73412	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		14407	69960	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		17878	71415	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		16372	74514	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		17746	75570	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		14013	71923	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		16141	69947	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		24984	56646	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		22219	58812	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		43944	47061	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		27725	55527	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		23399	60165	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		24916	60118	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		26493	55147	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		27541	58281	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		26525	59982	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		23578	58211	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		23570	55652	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		44024	55206	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		42110	55043	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		41525	52805	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		42143	47118	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		44125	49142	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		45451	48321	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		45524	50131	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		45556	53338	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		44264	52760	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		42811	51168	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		40667	54043	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56317	41757	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56167	39374	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		54370	38102	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		55092	35752	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56796	34026	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		59360	33971	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		61176	35889	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		57583	37952	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		60837	38745	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		58377	41759	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56138	36339	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		59064	36035	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		79465	31986	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		78040	28129	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		76593	24613	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		78989	24335	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		80569	25330	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		80934	28019	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		76545	30047	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		79386	29932	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		76561	26645	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		79415	26330	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56197	71075	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		54459	71048	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		53208	70049	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		52759	67799	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		53264	65865	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		54761	64906	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56390	64865	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		55383	67604	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		57722	68170	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56191	69247	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		54300	69152	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		57223	70055	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		54283	66289	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		56532	66527	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		98947	38059	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97238	37545	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		95518	35697	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97223	29931	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100309	30073	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97645	31785	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		101993	35626	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97545	35261	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100151	35460	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		89031	46384	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100370	31935	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		109219	111468	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107992	111851	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		106276	111129	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105740	109208	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105757	106348	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		109229	104670	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110670	110754	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107169	106596	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107578	104766	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		108414	108077	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107256	109639	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		94590	112904	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		96303	110396	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100594	111930	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97575	113708	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		99161	111920	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		94444	115398	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100543	113962	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		98810	117381	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		98923	115562	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		96272	112287	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		98753	110259	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107346	85550	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		108793	79600	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105790	82862	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107192	77692	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		109115	77801	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		104148	81064	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110293	82739	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		108820	83124	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		109021	85119	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105773	84795	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105953	79663	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		115637	71471	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		113787	67801	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110633	69522	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		115285	69599	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		112707	65972	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110846	66912	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		115520	65702	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		111910	64337	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		113838	71829	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		117279	69850	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		112629	69589	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		117331	67144	0	0	191	-1	0	0			1		maplevel150	
<i18n=7210>	7254	1		25143	102034	0	0	160	-1	0	0			1		
<i18n=9780>	7256	1		20326	86097	0	0	191	-1	0	0			1		
<i18n=12802>	7255	1		25071	86290	0	0	191	-1	0	0			1	
<i18n=12802>	7255	1		24748	83200	0	0	191	-1	0	0			1	
<i18n=12802>	7255	1		26229	83979	0	0	191	-1	0	0			1	
<i18n=5444>	10000	1		69874	117478	0	0	191	-1	0	0			1	
<i18n=5600>	7261	1		66103	115988	0	0	191	-1	0	0			1	
<i18n=6984>	7039	1		83072	87526	0	0	191	-1	0	0			1	
<i18n=14943>	12081	1		12252	56997	0	0	191	-1	0	0				
<i18n=9151>	9027	50		21178	99807	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		33171	105430	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		29740	113196	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		12273	73314	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		14166	74497	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		15315	73123	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		16502	71495	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		12635	71070	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		26218	58367	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		23381	53681	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		25378	53361	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		22275	55994	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		41461	48895	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		40061	49093	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		39846	52029	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		27180	53580	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		59123	39372	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		59884	41136	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		55154	40154	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		77617	32148	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		74763	28848	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		75121	26064	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		74821	31590	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		80743	30473	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100824	37519	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		99103	33728	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		95699	32133	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		102387	32980	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		101918	30809	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		111999	71374	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		115945	63718	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		113912	63600	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		116847	64641	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		104284	83406	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110345	80399	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		105232	78372	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		107351	81458	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		95636	117052	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		100481	116095	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		96343	115343	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		109774	106383	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		111124	108331	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		110722	105831	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		46990	99086	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		44150	95494	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		47949	97530	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45599	100282	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		43872	97428	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36698	68382	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36239	70798	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36768	66050	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		31895	71281	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		25054	114156	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		42889	128444	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45733	128250	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		44235	129810	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45636	126351	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		47212	130107	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		46485	131941	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		42914	131345	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		46899	127327	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		41625	127623	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		41714	132302	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		43643	133136	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		43606	126351	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45464	131468	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		45310	133217	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		19110	98122	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		41015	130011	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		12624	75532	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		87910	102825	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		89825	103406	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		91602	102678	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		91105	100982	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		91282	97538	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		88624	100950	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		89793	99114	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		87195	97383	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		92951	100566	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		86958	100528	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		88674	97526	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		91828	95906	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		88793	95628	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		92986	97994	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		86469	52500	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		91486	53099	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		89261	50122	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		92487	51288	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		87017	47012	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		92545	48125	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		90335	51438	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		90583	48103	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		88151	53667	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		87884	51604	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		89909	53833	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		87922	48486	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		85703	49715	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		90687	46591	0	0	191	-1	0	0			1		maplevel150	
<i18n=1830>	3156	55	5	45311	114768	0	0	191	-1	0	0				
<i18n=6310>	3157	55	5	16397	115215	0	0	191	-1	0	0				
<i18n=3771>	3158	55	5	87789	88170	0	0	191	-1	0	0				
<i18n=2892>	3159	55	5	29776	120616	0	0	191	-1	0	0				
<i18n=10371>	3160	55	5	90474	113630	0	0	191	-1	0	0				
<i18n=14845>	3161	55	5	40265	83838	0	0	191	-1	0	0				
<i18n=14249>	3162	55	5	108935	54669	0	0	191	-1	0	0				
<i18n=8491>	3163	55	5	117680	102063	0	0	191	-1	0	0				
<i18n=8373>	3164	55	5	50645	55947	0	0	191	-1	0	0				
<i18n=3672>	3165	55	5	37838	111181	0	0	191	-1	0	0				
<i18n=16003>	3166	55	5	51861	109142	0	0	191	-1	0	0				
<i18n=12156>	3167	55	5	95899	52229	0	0	191	-1	0	0				
<i18n=12953>	10010	1		53760	123739	0	0	191	-1	0	0				
<i18n=15565>	7186	50		79836	72478	0	0	191	-1	0	0			1	
<i18n=271>	7160	50		29619	75435	0	0	191	-1	0	0			1	
<i18n=17699>	7187	50		26730	70834	0	0	191	-1	0	0			1	
<i18n=17699>	7187	50		25867	69790	0	0	191	-1	0	0			1	
<i18n=17699>	7187	50		24803	70676	0	0	191	-1	0	0			1	
<i18n=1684>	7197	50		72585	68552	0	0	191	-1	0	0			1	
<i18n=1690>	7198	50		95868	61151	0	0	191	-1	0	0			1	
<i18n=7291>	9025	50		57667	66088	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		33640	71846	0	0	191	-1	0	0			1		maplevel150	
