nIndex	nTemplateId	nPrevValue	nNextValue	nAwardId	nAwardKey
76	30900	5	5	1001	261
77	30900	6	9	1001	264
78	30901	5	5	1001	260
79	30901	6	9	1001	263
80	30902	5	5	1001	259
81	30902	6	9	1001	262
82	30913	5	5	1001	265
83	30913	6	9	1001	266
84	20375	5	5	1001	267
85	20375	6	9	1001	268
86	508	5	5	1001	269
87	508	6	9	1001	270
88	31515	5	5	1001	296
89	31515	6	9	1001	299
90	31516	5	5	1001	295
91	31516	6	9	1001	298
92	31517	5	5	1001	294
93	31517	6	9	1001	297
94	31518	5	5	1001	302
95	31518	6	9	1001	305
96	31519	5	5	1001	301
97	31519	6	9	1001	304
98	31520	5	5	1001	300
99	31520	6	9	1001	303
100	31521	5	5	1001	308
101	31521	6	9	1001	311
102	31522	5	5	1001	307
103	31522	6	9	1001	310
104	31523	5	5	1001	306
105	31523	6	9	1001	309
106	31524	5	5	1001	314
107	31524	6	9	1001	317
108	31525	5	5	1001	313
109	31525	6	9	1001	316
110	31526	5	5	1001	312
111	31526	6	9	1001	315
112	31527	5	5	1001	320
113	31527	6	9	1001	323
114	31528	5	5	1001	319
115	31528	6	9	1001	322
116	31529	5	5	1001	318
117	31529	6	9	1001	321
118	31530	5	5	1001	326
119	31530	6	9	1001	329
120	31531	5	5	1001	325
121	31531	6	9	1001	328
122	31532	5	5	1001	324
123	31532	6	9	1001	327
124	31533	5	5	1001	330
125	31533	6	9	1001	335
126	31534	5	5	1001	331
127	31534	6	9	1001	336
128	31535	5	5	1001	332
129	31535	6	9	1001	337
130	31536	5	5	1001	333
131	31536	6	9	1001	338
132	31537	5	5	1001	334
133	31537	6	9	1001	339
134	31539	5	5	1001	355
135	31539	6	9	1001	368
136	31540	5	5	1001	356
137	31540	6	9	1001	369
138	31541	5	5	1001	357
139	31541	6	9	1001	370
140	31542	5	5	1001	358
141	31542	6	9	1001	371
142	31543	5	5	1001	359
143	31543	6	9	1001	372
144	31544	5	5	1001	360
145	31544	6	9	1001	373
146	31545	5	5	1001	361
147	31545	6	9	1001	374
148	31546	5	5	1001	362
149	31546	6	9	1001	375
150	31547	5	5	1001	363
151	31547	6	9	1001	376
152	31548	5	5	1001	364
153	31548	6	9	1001	377
154	31549	5	5	1001	365
155	31549	6	9	1001	378
156	31550	5	5	1001	366
157	31550	6	9	1001	379
158	31551	5	5	1001	367
159	31551	6	9	1001	380
160	31569	5	5	1001	421
161	31569	6	9	1001	425
162	31570	5	5	1001	422
163	31570	6	9	1001	426
164	31571	5	5	1001	423
165	31571	6	9	1001	427
166	31572	5	5	1001	424
167	31572	6	9	1001	428
168	31600	5	9	1001	454
169	2019	5	5	1001	455
170	2019	6	7	1001	456
171	2019	8	9	1001	457
172	31640	5	9	1001	489
173	31641	5	9	1001	491
174	2025	5	5	1001	497
175	2025	6	7	1001	501
176	2025	8	9	1001	505
177	2026	5	5	1001	498
178	2026	6	7	1001	502
179	2026	8	9	1001	506
180	2027	5	5	1001	499
181	2027	6	7	1001	503
182	2027	8	9	1001	507
183	2028	5	5	1001	500
184	2028	6	7	1001	504
185	2028	8	9	1001	508
186	33014	5	5	1001	517
187	33014	6	7	1001	518
188	33014	8	9	1001	519
189	650266	5	5	1001	534
190	650266	6	9	1001	534
191	650267	5	5	1001	533
192	650267	6	9	1001	533
193	650268	5	5	1001	532
194	650268	6	9	1001	532
195	650269	5	5	1001	537
196	650269	6	9	1001	537
197	650270	5	5	1001	536
198	650270	6	9	1001	536
199	650271	5	5	1001	535
200	650271	6	9	1001	535
201	650272	5	5	1001	540
202	650272	6	9	1001	540
203	650273	5	5	1001	539
204	650273	6	9	1001	539
205	650274	5	5	1001	538
206	650274	6	9	1001	538
207	650275	5	5	1001	543
208	650275	6	9	1001	543
209	650276	5	5	1001	542
210	650276	6	9	1001	542
211	650277	5	5	1001	541
212	650277	6	9	1001	541
213	1198	5	9	1136	2
214	650279	5	5	1001	564
215	650279	6	9	1001	564
216	650280	5	5	1001	563
217	650280	6	9	1001	563
218	650281	5	5	1001	562
219	650281	6	9	1001	562
220	650282	5	5	1001	567
221	650282	6	9	1001	567
222	650283	5	5	1001	566
223	650283	6	9	1001	566
224	650284	5	5	1001	565
225	650284	6	9	1001	565
226	650285	5	5	1001	570
227	650285	6	9	1001	570
228	650286	5	5	1001	569
229	650286	6	9	1001	569
230	650287	5	5	1001	568
231	650287	6	9	1001	568
232	650288	5	5	1001	573
233	650288	6	9	1001	573
234	650289	5	5	1001	572
235	650289	6	9	1001	572
236	650290	5	5	1001	571
237	650290	6	9	1001	571
240	35160	5	9	1001	711
241	671660	5	5	1001	718
242	671660	6	9	1001	720
243	671661	5	5	1001	719
244	671661	6	9	1001	721
245	671840	5	5	1001	909
246	671840	6	7	1001	912
247	671840	8	9	1001	915
248	671841	5	5	1001	910
249	671841	6	7	1001	913
250	671841	8	9	1001	916
251	671842	5	5	1001	911
252	671842	6	7	1001	914
253	671842	8	9	1001	917
254	671849	5	5	1001	959
255	671849	6	9	1001	959
256	671850	5	5	1001	958
257	671850	6	9	1001	958
258	671851	5	5	1001	957
259	671851	6	9	1001	957
260	671852	5	5	1001	962
261	671852	6	9	1001	962
262	671853	5	5	1001	961
263	671853	6	9	1001	961
264	671854	5	5	1001	960
265	671854	6	9	1001	960
266	671855	5	5	1001	965
267	671855	6	9	1001	965
268	671856	5	5	1001	964
269	671856	6	9	1001	964
270	671857	5	5	1001	963
271	671857	6	9	1001	963
272	671858	5	5	1001	968
273	671858	6	9	1001	968
274	671859	5	5	1001	967
275	671859	6	9	1001	967
276	671860	5	5	1001	966
277	671860	6	9	1001	966
278	671861	5	5	1001	971
279	671861	6	9	1001	971
280	671862	5	5	1001	970
281	671862	6	9	1001	970
282	671863	5	5	1001	969
283	671863	6	9	1001	969
284	671864	5	5	1001	974
285	671864	6	9	1001	974
286	671865	5	5	1001	973
287	671865	6	9	1001	973
288	671866	5	5	1001	972
289	671866	6	9	1001	972
290	671870	5	5	1001	989
291	671870	6	9	1001	989
292	671871	5	5	1001	988
293	671871	6	9	1001	988
294	671872	5	5	1001	987
295	671872	6	9	1001	987
296	671873	5	5	1001	992
297	671873	6	9	1001	992
298	671874	5	5	1001	991
299	671874	6	9	1001	991
300	671875	5	5	1001	990
301	671875	6	9	1001	990
302	671876	5	5	1001	995
303	671876	6	9	1001	995
304	671877	5	5	1001	994
305	671877	6	9	1001	994
306	671878	5	5	1001	993
307	671878	6	9	1001	993
308	671879	5	5	1001	998
309	671879	6	9	1001	998
310	671880	5	5	1001	997
311	671880	6	9	1001	997
312	671881	5	5	1001	996
313	671881	6	9	1001	996
314	671895	5	5	1001	1007
315	671895	6	9	1001	1008
324	671680	5	5	1001	1065
325	671680	6	9	1001	1068
326	671681	5	5	1001	1064
327	671681	6	9	1001	1067
328	671682	5	5	1001	1063
329	671682	6	9	1001	1066
330	671683	5	5	1001	1071
331	671683	6	9	1001	1074
332	671684	5	5	1001	1070
333	671684	6	9	1001	1073
334	671685	5	5	1001	1069
335	671685	6	9	1001	1072
336	671686	5	5	1001	1077
337	671686	6	9	1001	1080
338	671687	5	5	1001	1076
339	671687	6	9	1001	1079
340	671688	5	5	1001	1075
341	671688	6	9	1001	1078
342	671800	5	9	1001	1081
343	671801	5	9	1001	1082
344	671802	5	9	1001	1083
345	671712	5	9	1001	1090
346	671713	5	9	1001	1091
347	671714	5	9	1001	1092
348	671816	5	9	1001	1084
349	671817	5	9	1001	1086
350	671818	5	9	1001	1088
351	671813	5	9	1001	1085
352	671814	5	9	1001	1087
353	671815	5	9	1001	1089
354	672100	5	5	1001	1106
355	672100	6	9	1001	1103
356	672099	5	5	1001	1149
357	672099	6	9	1001	1150
358	672101	5	5	1001	1107
359	672101	6	9	1001	1104
360	672102	5	5	1001	1108
361	672102	6	9	1001	1105
362	35348	5	5	1001	1115
363	35348	6	9	1001	1122
364	35349	5	5	1001	1116
365	35349	6	9	1001	1123
366	35350	5	5	1001	1117
367	35350	6	9	1001	1124
368	35351	5	5	1001	1118
369	35351	6	9	1001	1125
370	35352	5	5	1001	1119
371	35352	6	9	1001	1126
372	35353	5	5	1001	1120
373	35353	6	9	1001	1127
374	35354	5	5	1001	1121
375	35354	6	9	1001	1128
378	672164	5	5	1001	1156
379	672164	6	9	1001	1154
380	4009	5	9	1001	1175
393	671707	5	9	1001	1231
394	671708	5	9	1001	1232
395	671709	5	9	1001	1233
453	1657	5	9	1001	1242
454	3011	5	5	1001	1247
455	3011	6	9	1001	1248
456	3010	5	9	1001	1393
457	672559	5	9	1001	1332
458	19988	5	5	1001	1359
459	19988	6	9	1001	1360
460	19989	5	5	1001	1362
461	19989	6	9	1001	1363
462	19990	5	5	1001	1365
463	19990	6	9	1001	1366
464	19991	5	5	1001	1368
465	19991	6	9	1001	1369
466	19992	5	5	1001	1371
467	19992	6	9	1001	1372
468	19993	5	5	1001	1374
469	19993	6	9	1001	1375
470	19994	5	5	1001	1377
471	19994	6	9	1001	1378
472	19995	5	5	1001	1380
473	19995	6	9	1001	1381
474	19996	5	5	1001	1383
475	19996	6	9	1001	1384
476	19997	5	5	1001	1386
477	19997	6	9	1001	1387
484	1827	5	9	1001	1955
485	35668	5	9	1001	1961
486	673518	5	5	1001	2033
487	673518	6	9	1001	2036
488	673519	5	5	1001	2032
489	673519	6	9	1001	2035
490	673520	5	5	1001	2031
491	673520	6	9	1001	2034
492	673521	5	5	1001	2039
493	673521	6	9	1001	2042
494	673522	5	5	1001	2038
495	673522	6	9	1001	2041
496	673523	5	5	1001	2037
497	673523	6	9	1001	2040
498	673524	5	5	1001	2045
499	673524	6	9	1001	2048
500	673525	5	5	1001	2044
501	673525	6	9	1001	2047
502	673526	5	5	1001	2043
503	673526	6	9	1001	2046
504	673527	5	9	1001	2049
505	673528	5	9	1001	2050
506	673529	5	9	1001	2051
507	30968	5	5	1001	2070
508	30968	6	7	1001	2071
509	30968	8	9	1001	2072
510	30969	5	5	1001	2073
511	30969	6	7	1001	2074
512	30969	8	9	1001	2075
513	30970	5	5	1001	2073
514	30970	6	7	1001	2074
515	30970	8	9	1001	2075
516	30971	5	5	1001	2073
517	30971	6	7	1001	2074
518	30971	8	9	1001	2075
519	30972	5	5	1001	2076
520	30972	6	7	1001	2077
521	30972	8	9	1001	2078
522	30973	5	5	1001	2076
523	30973	6	7	1001	2077
524	30973	8	9	1001	2078
525	30974	5	5	1001	2076
526	30974	6	7	1001	2077
527	30974	8	9	1001	2078
528	30975	5	5	1001	2079
529	30975	6	7	1001	2080
530	30975	8	9	1001	2081
531	30976	5	5	1001	2079
532	30976	6	7	1001	2080
533	30976	8	9	1001	2081
534	30977	5	5	1001	2079
535	30977	6	7	1001	2080
536	30977	8	9	1001	2081
537	673543	5	9	1001	2144
538	673544	5	9	1001	2145
539	673545	5	9	1001	2146
540	673530	5	9	1001	2154
541	673531	5	9	1001	2155
542	673532	5	9	1001	2156
543	673597	5	9	1001	2157
544	673598	5	9	1001	2158
545	673599	5	9	1001	2159
546	673594	5	9	1001	2160
547	673595	5	9	1001	2161
548	673596	5	9	1001	2162
549	673620	5	5	1001	2164
550	673620	6	9	1001	2163
551	673621	5	5	1001	2166
552	673621	6	9	1001	2165
553	673622	5	5	1001	2168
554	673622	6	9	1001	2167
555	673623	5	5	1001	2170
556	673623	6	9	1001	2169
557	673624	5	5	1001	2172
558	673624	6	9	1001	2171
559	673625	5	5	1001	2174
560	673625	6	9	1001	2173
561	673626	5	5	1001	2176
562	673626	6	9	1001	2175
563	673633	5	5	1001	2239
564	673633	6	7	1001	2240
565	673633	8	9	1001	2241
566	673634	5	5	1001	2242
567	673634	6	7	1001	2243
568	673634	8	9	1001	2244
569	673635	5	5	1001	2245
570	673635	6	7	1001	2246
571	673635	8	9	1001	2247
572	673636	5	5	1001	2250
573	673636	6	9	1001	2250
574	673637	5	5	1001	2249
575	673637	6	9	1001	2249
576	673638	5	5	1001	2248
577	673638	6	9	1001	2248
578	673639	5	5	1001	2253
579	673639	6	9	1001	2253
580	673640	5	5	1001	2252
581	673640	6	9	1001	2252
582	673641	5	5	1001	2251
583	673641	6	9	1001	2251
584	673642	5	5	1001	2256
585	673642	6	9	1001	2256
586	673643	5	5	1001	2255
587	673643	6	9	1001	2255
588	673644	5	5	1001	2254
589	673644	6	9	1001	2254
590	673645	5	5	1001	2259
591	673645	6	9	1001	2259
592	673646	5	5	1001	2258
593	673646	6	9	1001	2258
594	673647	5	5	1001	2257
595	673647	6	9	1001	2257
596	673648	5	5	1001	2262
597	673648	6	9	1001	2262
598	673649	5	5	1001	2261
599	673649	6	9	1001	2261
600	673650	5	5	1001	2260
601	673650	6	9	1001	2260
602	673651	5	5	1001	2265
603	673651	6	9	1001	2265
604	673652	5	5	1001	2264
605	673652	6	9	1001	2264
606	673653	5	5	1001	2263
607	673653	6	9	1001	2263
608	673654	5	5	1001	2268
609	673654	6	9	1001	2268
610	673655	5	5	1001	2267
611	673655	6	9	1001	2267
612	673656	5	5	1001	2266
613	673656	6	9	1001	2266
614	673657	5	5	1001	2271
615	673657	6	9	1001	2271
616	673658	5	5	1001	2270
617	673658	6	9	1001	2270
618	673659	5	5	1001	2269
619	673659	6	9	1001	2269
620	673660	5	5	1001	2274
621	673660	6	9	1001	2274
622	673661	5	5	1001	2273
623	673661	6	9	1001	2273
624	673662	5	5	1001	2272
625	673662	6	9	1001	2272
626	673663	5	5	1001	2277
627	673663	6	9	1001	2277
628	673664	5	5	1001	2276
629	673664	6	9	1001	2276
630	673665	5	5	1001	2275
631	673665	6	9	1001	2275
632	673666	5	5	1001	2280
633	673666	6	9	1001	2280
634	673667	5	5	1001	2279
635	673667	6	9	1001	2279
636	673668	5	5	1001	2278
637	673668	6	9	1001	2278
638	673669	5	5	1001	2283
639	673669	6	9	1001	2283
640	673670	5	5	1001	2282
641	673670	6	9	1001	2282
642	673671	5	5	1001	2281
643	673671	6	9	1001	2281
644	673672	5	5	1001	2286
645	673672	6	9	1001	2286
646	673673	5	5	1001	2285
647	673673	6	9	1001	2285
648	673674	5	5	1001	2284
649	673674	6	9	1001	2284
650	673549	5	9	1001	2287
651	673550	5	9	1001	2288
652	673551	5	9	1001	2289
653	3020	5	5	1001	2314
654	3020	6	7	1001	2315
655	3020	8	9	1001	2316
656	673834	5	5	1001	2322
657	673834	6	9	1001	2324
658	673836	5	5	1001	2323
659	673836	6	9	1001	2325
660	2503	5	5	1001	2487
661	2503	6	7	1001	2488
662	2503	8	9	1001	2489
