nID	szSubKind	nParamOne
174	EquipJingZhuKeepFail	3
175	EquipJingZhuKeepFail	4
176	EquipJingZhuKeepFail	5
177	EquipJingZhuKeepFail	6
178	EquipJingZhuKeepFail	7
179	EquipJingZhu_LevelAll	-1
185	EquipEnhanceFailureWithBigRatio	950014
186	EquipEnhanceSuccessWithSmallRatio	700014
187	EquipEnhanceFailure	-1
188	EquipEnhanceLevelAll	-1
194	EquipEnhanceLevel	4
195	EquipEnhanceLevel	8
196	EquipEnhanceLevel	10
197	EquipEnhanceLevel	12
198	EquipEnhanceLevel	14
199	EquipEnhanceLevel	16
200	EquipEnhance	-1
201	EquipJingZhu	-1
202	EquipForge	-1
203	EquipForgeAttrNum	6
204	EquipForgeAttrColor	6
205	EquipForgeAttrFullColor	4
206	EquipForgeAttrFullColorAll	4
207	EquipStonePutOn	-1
208	EquipStonePutOnLevel	1
209	EquipStonePutOnLevel	2
210	EquipStonePutOnLevel	3
211	EquipStonePutOnLevel	4
212	EquipStonePutOnLevel	5
213	EquipStonePutOnLevel	6
214	EquipStonePutOnLevel	7
215	EquipStoneForgeTwoAttr	-1
216	EquipStonePutOnLevelDoubleAttr	3
217	EquipStonePutOnLevelDoubleAttr	4
218	EquipStonePutOnLevelDoubleAttr	5
219	EquipStonePutOnLevelDoubleAttr	6
220	EquipStonePutOnLevelDoubleAttr	7
221	ActivePoint_FullDay	-1
222	ActivePointFullDayContinuous	3
223	ActivePointFullDayContinuous	7
224	ActivePointFullDayContinuous	15
225	ActivePointFullDayContinuous	30
226	MultiPVPChampion	-1
227	MultiPVPRiseRank	8
228	MultiPVPRiseRank	4
229	MultiPVPPreAlone	-1
230	MultiPVPJoin	-1
236	DomainBattle_JoinCount	-1
237	BaiHuTang_JoinCount	-1
238	KinLevel_JoinCount	-1
239	WearMantle	-1
240	GuanFuTongJiCompleted	-1
241	WearFashion	-1
242	TongChallengeRank	500
243	TongChallengeRank	1000
244	MakeEquipWithLifeSkill	4
245	VipLevel	-1
246	DailyGiftBuyTime	-1
247	BuyMonthCard	-1
248	BuyWeekCard	-1
249	LouLanComplete	-1
250	PartnerPickWithQuality	2
251	PartnerPickWithBetterQuality	3
252	RandItemCostItemCost	20381
253	RandItemCostItemCost	20383
254	StoneMaterialItemCost	506
255	JoinShiYueDao	-1
256	SingleCommerceTask	-1
257	JoinZhaiXingLou	-1
258	EquipJingZhuLevel	5
259	EquipJingZhuLevel	20
260	EquipJingZhuLevel	40
261	EquipJingZhuLevel	60
262	EquipJingZhuLevel	80
263	EquipJingZhuLevel	100
264	XoYoGameRecord	-1
265	QinShiHuangLingQSHKill	-1
266	QinShiHuangLingLeaderKill	-1
267	QinShiHuangLingQSHFirstAttack	-1
268	EntryHanWuThirdPhase	-1
269	WinInHanWu	-1
270	HanWuWinTeamByOneSurvive	-1
271	PartnerGetWithQuality	2
272	PartnerGetWithBetterQuality	3
273	JoinHanWu	-1
274	JoinMultiFactionFight	-1
