nRecipeId	szName	szDescParam	szIcon	nEquipPos	nSkill	nLevel	szCurrencyType	nCost	szCurrencyType2	nCost2	nMaterialId	nMaterialCount	nProduct1Id	nProduct1Rate	nProduct2Id	nProduct2Rate	nProduct3Id	nProduct3Rate	nGuaranteedProductId	nOtherId	nOtherNums	nOtherRate
16	<i18n=14434>	75	UI/icon/item/equip/armor/obj-armor03.png	1	2	6	JingHuo	300	Coin	600	121	3	11006	760000	11016	200000	11026	40000	11026	146	3	400000
17	<i18n=9897>	85	UI/icon/item/equip/armor/obj-armor19.png	1	2	7	JingHuo	330	Coin	660	122	3	11007	760000	11017	200000	11027	40000	11027	146	3	400000
18	<i18n=11726>	95	UI/icon/item/equip/armor/obj-armor04.png	1	2	8	JingHuo	360	Coin	720	123	3	11008	760000	11018	200000	11028	40000	11028	146	3	400000
19	<i18n=4821>	105	UI/icon/item/equip/armor/obj-armor20.png	1	2	9	JingHuo	390	Coin	780	124	3	11009	760000	11019	200000	11029	40000	11029	146	3	400000
20	<i18n=6265>	115	UI/icon/item/equip/armor/obj-armor05.png	1	2	10	JingHuo	420	Coin	840	125	3	11010	760000	11020	200000	11030	40000	11030	146	4	400000
21	<i18n=1667>	2	UI/icon/item/equip/necklace/obj-neck11.png	6	3	1	JingHuo	50	Coin	100	126	2	16001	760000	16011	200000	16021	40000	16021	156	1	400000
22	<i18n=10193>	32	UI/icon/item/equip/necklace/obj-neck12.png	6	3	2	JingHuo	60	Coin	120	127	2	16002	760000	16012	200000	16022	40000	16022	156	2	400000
23	<i18n=2374>	42	UI/icon/item/equip/necklace/obj-neck13.png	6	3	3	JingHuo	100	Coin	200	128	2	16003	760000	16013	200000	16023	40000	16023	156	2	400000
24	<i18n=8848>	52	UI/icon/item/equip/necklace/obj-neck14.png	6	3	4	JingHuo	160	Coin	320	129	2	16004	760000	16014	200000	16024	40000	16024	156	2	400000
25	<i18n=12157>	62	UI/icon/item/equip/necklace/obj-neck15.png	6	3	5	JingHuo	180	Coin	360	130	2	16005	760000	16015	200000	16025	40000	16025	156	2	400000
26	<i18n=16335>	72	UI/icon/item/equip/necklace/obj-neck16.png	6	3	6	JingHuo	200	Coin	400	131	2	16006	760000	16016	200000	16026	40000	16026	156	3	400000
27	<i18n=2259>	82	UI/icon/item/equip/necklace/obj-neck17.png	6	3	7	JingHuo	220	Coin	440	132	2	16007	760000	16017	200000	16027	40000	16027	156	3	400000
28	<i18n=12556>	92	UI/icon/item/equip/necklace/obj-neck18.png	6	3	8	JingHuo	240	Coin	480	133	2	16008	760000	16018	200000	16028	40000	16028	156	3	400000
29	<i18n=7689>	102	UI/icon/item/equip/necklace/obj-neck19.png	6	3	9	JingHuo	260	Coin	520	134	2	16009	760000	16019	200000	16029	40000	16029	156	3	400000
30	<i18n=1615>	112	UI/icon/item/equip/necklace/obj-neck20.png	6	3	10	JingHuo	280	Coin	560	135	2	16010	760000	16020	200000	16030	40000	16030	156	4	400000
31	<i18n=5810>	4	UI/icon/item/equip/ring/obj-ring06.png	7	3	1	JingHuo	50	Coin	100	126	2	17001	760000	17011	200000	17021	40000	17021	156	1	400000
32	<i18n=7162>	34	UI/icon/item/equip/ring/obj-ring01.png	7	3	2	JingHuo	60	Coin	120	127	2	17002	760000	17012	200000	17022	40000	17022	156	2	400000
33	<i18n=960>	44	UI/icon/item/equip/ring/obj-ring07.png	7	3	3	JingHuo	100	Coin	200	128	2	17003	760000	17013	200000	17023	40000	17023	156	2	400000
34	<i18n=16278>	54	UI/icon/item/equip/ring/obj-ring02.png	7	3	4	JingHuo	160	Coin	320	129	2	17004	760000	17014	200000	17024	40000	17024	156	2	400000
35	<i18n=15726>	64	UI/icon/item/equip/ring/obj-ring08.png	7	3	5	JingHuo	180	Coin	360	130	2	17005	760000	17015	200000	17025	40000	17025	156	2	400000
36	<i18n=7390>	74	UI/icon/item/equip/ring/obj-ring03.png	7	3	6	JingHuo	200	Coin	400	131	2	17006	760000	17016	200000	17026	40000	17026	156	3	400000
37	<i18n=10514>	84	UI/icon/item/equip/ring/obj-ring09.png	7	3	7	JingHuo	220	Coin	440	132	2	17007	760000	17017	200000	17027	40000	17027	156	3	400000
38	<i18n=10783>	94	UI/icon/item/equip/ring/obj-ring04.png	7	3	8	JingHuo	240	Coin	480	133	2	17008	760000	17018	200000	17028	40000	17028	156	3	400000
39	<i18n=5563>	104	UI/icon/item/equip/ring/obj-ring10.png	7	3	9	JingHuo	260	Coin	520	134	2	17009	760000	17019	200000	17029	40000	17029	156	3	400000
40	<i18n=8382>	114	UI/icon/item/equip/ring/obj-ring05.png	7	3	10	JingHuo	280	Coin	560	135	2	17010	760000	17020	200000	17030	40000	17030	156	4	400000
41	<i18n=8505>	6	UI/icon/item/equip/pendant/obj-waist11.png	8	3	1	JingHuo	50	Coin	100	126	2	19001	760000	19011	200000	19021	40000	19021	156	1	400000
42	<i18n=4612>	36	UI/icon/item/equip/pendant/obj-waist12.png	8	3	2	JingHuo	60	Coin	120	127	2	19002	760000	19012	200000	19022	40000	19022	156	2	400000
43	<i18n=6252>	46	UI/icon/item/equip/pendant/obj-waist13.png	8	3	3	JingHuo	100	Coin	200	128	2	19003	760000	19013	200000	19023	40000	19023	156	2	400000
44	<i18n=15041>	56	UI/icon/item/equip/pendant/obj-waist14.png	8	3	4	JingHuo	160	Coin	320	129	2	19004	760000	19014	200000	19024	40000	19024	156	2	400000
45	<i18n=5454>	66	UI/icon/item/equip/pendant/obj-waist15.png	8	3	5	JingHuo	180	Coin	360	130	2	19005	760000	19015	200000	19025	40000	19025	156	2	400000
46	<i18n=5737>	76	UI/icon/item/equip/pendant/obj-waist16.png	8	3	6	JingHuo	200	Coin	400	131	2	19006	760000	19016	200000	19026	40000	19026	156	3	400000
47	<i18n=15953>	86	UI/icon/item/equip/pendant/obj-waist17.png	8	3	7	JingHuo	220	Coin	440	132	2	19007	760000	19017	200000	19027	40000	19027	156	3	400000
48	<i18n=8047>	96	UI/icon/item/equip/pendant/obj-waist18.png	8	3	8	JingHuo	240	Coin	480	133	2	19008	760000	19018	200000	19028	40000	19028	156	3	400000
49	<i18n=11448>	106	UI/icon/item/equip/pendant/obj-waist19.png	8	3	9	JingHuo	260	Coin	520	134	2	19009	760000	19019	200000	19029	40000	19029	156	3	400000
50	<i18n=3346>	116	UI/icon/item/equip/pendant/obj-waist20.png	8	3	10	JingHuo	280	Coin	560	135	2	19010	760000	19020	200000	19030	40000	19030	156	4	400000
51	<i18n=7067>	8	UI/icon/item/equip/amulet/shipin06.png	9	3	1	JingHuo	50	Coin	100	126	2	18001	760000	18011	200000	18021	40000	18021	156	1	400000
52	<i18n=6168>	38	UI/icon/item/equip/amulet/shipin01.png	9	3	2	JingHuo	60	Coin	120	127	2	18002	760000	18012	200000	18022	40000	18022	156	2	400000
53	<i18n=12268>	48	UI/icon/item/equip/amulet/shipin07.png	9	3	3	JingHuo	100	Coin	200	128	2	18003	760000	18013	200000	18023	40000	18023	156	2	400000
54	<i18n=15958>	58	UI/icon/item/equip/amulet/shipin02.png	9	3	4	JingHuo	160	Coin	320	129	2	18004	760000	18014	200000	18024	40000	18024	156	2	400000
55	<i18n=10690>	68	UI/icon/item/equip/amulet/shipin08.png	9	3	5	JingHuo	180	Coin	360	130	2	18005	760000	18015	200000	18025	40000	18025	156	2	400000
56	<i18n=11609>	78	UI/icon/item/equip/amulet/shipin03.png	9	3	6	JingHuo	200	Coin	400	131	2	18006	760000	18016	200000	18026	40000	18026	156	3	400000
57	<i18n=2323>	88	UI/icon/item/equip/amulet/shipin09.png	9	3	7	JingHuo	220	Coin	440	132	2	18007	760000	18017	200000	18027	40000	18027	156	3	400000
58	<i18n=4017>	98	UI/icon/item/equip/amulet/shipin04.png	9	3	8	JingHuo	240	Coin	480	133	2	18008	760000	18018	200000	18028	40000	18028	156	3	400000
59	<i18n=11384>	108	UI/icon/item/equip/amulet/shipin10.png	9	3	9	JingHuo	260	Coin	520	134	2	18009	760000	18019	200000	18029	40000	18029	156	3	400000
60	<i18n=6376>	118	UI/icon/item/equip/amulet/shipin05.png	9	3	10	JingHuo	280	Coin	560	135	2	18010	760000	18020	200000	18030	40000	18030	156	4	400000
61	<i18n=15634>	1	UI/icon/item/equip/helm/obj-helm26.png	0	4	1	JingHuo	25	Coin	50	176	1	10001	760000	10011	200000	10021	40000	10021	166	1	400000
62	<i18n=9250>	31	UI/icon/item/equip/helm/obj-helm11.png	0	4	2	JingHuo	30	Coin	60	177	1	10002	760000	10012	200000	10022	40000	10022	166	2	400000
63	<i18n=15847>	41	UI/icon/item/equip/helm/obj-helm27.png	0	4	3	JingHuo	50	Coin	100	178	1	10003	760000	10013	200000	10023	40000	10023	166	2	400000
64	<i18n=104>	51	UI/icon/item/equip/helm/obj-helm12.png	0	4	4	JingHuo	80	Coin	160	179	1	10004	760000	10014	200000	10024	40000	10024	166	2	400000
65	<i18n=4592>	61	UI/icon/item/equip/helm/obj-helm28.png	0	4	5	JingHuo	90	Coin	180	180	1	10005	760000	10015	200000	10025	40000	10025	166	2	400000
66	<i18n=3955>	71	UI/icon/item/equip/helm/obj-helm13.png	0	4	6	JingHuo	100	Coin	200	181	1	10006	760000	10016	200000	10026	40000	10026	166	3	400000
67	<i18n=4880>	81	UI/icon/item/equip/helm/obj-helm29.png	0	4	7	JingHuo	110	Coin	220	182	1	10007	760000	10017	200000	10027	40000	10027	166	3	400000
68	<i18n=11429>	91	UI/icon/item/equip/helm/obj-helm14.png	0	4	8	JingHuo	120	Coin	240	183	1	10008	760000	10018	200000	10028	40000	10028	166	3	400000
69	<i18n=6512>	101	UI/icon/item/equip/helm/obj-helm30.png	0	4	9	JingHuo	130	Coin	260	184	1	10009	760000	10019	200000	10029	40000	10029	166	3	400000
70	<i18n=4212>	111	UI/icon/item/equip/helm/obj-helm15.png	0	4	10	JingHuo	140	Coin	280	185	1	10010	760000	10020	200000	10030	40000	10030	166	4	400000
71	<i18n=1462>	3	UI/icon/item/equip/cuff/obj-bangle11.png	3	4	1	JingHuo	25	Coin	50	176	1	13001	760000	13011	200000	13021	40000	13021	166	1	400000
72	<i18n=4232>	33	UI/icon/item/equip/cuff/obj-bangle12.png	3	4	2	JingHuo	30	Coin	60	177	1	13002	760000	13012	200000	13022	40000	13022	166	2	400000
73	<i18n=13839>	43	UI/icon/item/equip/cuff/obj-bangle13.png	3	4	3	JingHuo	50	Coin	100	178	1	13003	760000	13013	200000	13023	40000	13023	166	2	400000
74	<i18n=1254>	53	UI/icon/item/equip/cuff/obj-bangle14.png	3	4	4	JingHuo	80	Coin	160	179	1	13004	760000	13014	200000	13024	40000	13024	166	2	400000
75	<i18n=16440>	63	UI/icon/item/equip/cuff/obj-bangle15.png	3	4	5	JingHuo	90	Coin	180	180	1	13005	760000	13015	200000	13025	40000	13025	166	2	400000
76	<i18n=2494>	73	UI/icon/item/equip/cuff/obj-bangle16.png	3	4	6	JingHuo	100	Coin	200	181	1	13006	760000	13016	200000	13026	40000	13026	166	3	400000
77	<i18n=3233>	83	UI/icon/item/equip/cuff/obj-bangle17.png	3	4	7	JingHuo	110	Coin	220	182	1	13007	760000	13017	200000	13027	40000	13027	166	3	400000
78	<i18n=6351>	93	UI/icon/item/equip/cuff/obj-bangle18.png	3	4	8	JingHuo	120	Coin	240	183	1	13008	760000	13018	200000	13028	40000	13028	166	3	400000
79	<i18n=10445>	103	UI/icon/item/equip/cuff/obj-bangle19.png	3	4	9	JingHuo	130	Coin	260	184	1	13009	760000	13019	200000	13029	40000	13029	166	3	400000
80	<i18n=1643>	113	UI/icon/item/equip/cuff/obj-bangle20.png	3	4	10	JingHuo	140	Coin	280	185	1	13010	760000	13020	200000	13030	40000	13030	166	4	400000
81	<i18n=9453>	7	UI/icon/item/equip/belt/obj-sash01.png	2	4	1	JingHuo	25	Coin	50	176	1	12001	760000	12011	200000	12021	40000	12021	166	1	400000
82	<i18n=7322>	37	UI/icon/item/equip/belt/obj-sash02.png	2	4	2	JingHuo	30	Coin	60	177	1	12002	760000	12012	200000	12022	40000	12022	166	2	400000
83	<i18n=6389>	47	UI/icon/item/equip/belt/obj-sash03.png	2	4	3	JingHuo	50	Coin	100	178	1	12003	760000	12013	200000	12023	40000	12023	166	2	400000
84	<i18n=5574>	57	UI/icon/item/equip/belt/obj-sash04.png	2	4	4	JingHuo	80	Coin	160	179	1	12004	760000	12014	200000	12024	40000	12024	166	2	400000
85	<i18n=328>	67	UI/icon/item/equip/belt/obj-sash05.png	2	4	5	JingHuo	90	Coin	180	180	1	12005	760000	12015	200000	12025	40000	12025	166	2	400000
86	<i18n=3221>	77	UI/icon/item/equip/belt/obj-sash06.png	2	4	6	JingHuo	100	Coin	200	181	1	12006	760000	12016	200000	12026	40000	12026	166	3	400000
87	<i18n=12147>	87	UI/icon/item/equip/belt/obj-sash07.png	2	4	7	JingHuo	110	Coin	220	182	1	12007	760000	12017	200000	12027	40000	12027	166	3	400000
88	<i18n=7014>	97	UI/icon/item/equip/belt/obj-sash08.png	2	4	8	JingHuo	120	Coin	240	183	1	12008	760000	12018	200000	12028	40000	12028	166	3	400000
89	<i18n=11271>	107	UI/icon/item/equip/belt/obj-sash09.png	2	4	9	JingHuo	130	Coin	260	184	1	12009	760000	12019	200000	12029	40000	12029	166	3	400000
90	<i18n=550>	117	UI/icon/item/equip/belt/obj-sash10.png	2	4	10	JingHuo	140	Coin	280	185	1	12010	760000	12020	200000	12030	40000	12030	166	4	400000
91	<i18n=8342>	9	UI/icon/item/equip/boots/obj-shoes01.png	4	4	1	JingHuo	25	Coin	50	176	1	14001	760000	14011	200000	14021	40000	14021	166	1	400000
92	<i18n=14279>	39	UI/icon/item/equip/boots/obj-shoes02.png	4	4	2	JingHuo	30	Coin	60	177	1	14002	760000	14012	200000	14022	40000	14022	166	2	400000
93	<i18n=95>	49	UI/icon/item/equip/boots/obj-shoes03.png	4	4	3	JingHuo	50	Coin	100	178	1	14003	760000	14013	200000	14023	40000	14023	166	2	400000
94	<i18n=13397>	59	UI/icon/item/equip/boots/obj-shoes04.png	4	4	4	JingHuo	80	Coin	160	179	1	14004	760000	14014	200000	14024	40000	14024	166	2	400000
95	<i18n=14138>	69	UI/icon/item/equip/boots/obj-shoes05.png	4	4	5	JingHuo	90	Coin	180	180	1	14005	760000	14015	200000	14025	40000	14025	166	2	400000
96	<i18n=3364>	79	UI/icon/item/equip/boots/obj-shoes06.png	4	4	6	JingHuo	100	Coin	200	181	1	14006	760000	14016	200000	14026	40000	14026	166	3	400000
97	<i18n=14932>	89	UI/icon/item/equip/boots/obj-shoes07.png	4	4	7	JingHuo	110	Coin	220	182	1	14007	760000	14017	200000	14027	40000	14027	166	3	400000
98	<i18n=8167>	99	UI/icon/item/equip/boots/obj-shoes08.png	4	4	8	JingHuo	120	Coin	240	183	1	14008	760000	14018	200000	14028	40000	14028	166	3	400000
99	<i18n=4045>	109	UI/icon/item/equip/boots/obj-shoes09.png	4	4	9	JingHuo	130	Coin	260	184	1	14009	760000	14019	200000	14029	40000	14029	166	3	400000
100	<i18n=9720>	119	UI/icon/item/equip/boots/obj-shoes10.png	4	4	10	JingHuo	140	Coin	280	185	1	14010	760000	14020	200000	14030	40000	14030	166	4	400000
101	<i18n=31950>	120	UI/icon/item/equip/weapon/obj-sword11.png	5	1	11	JingHuo	750	Coin	1500	115	5	15031	760000	15039	200000	15047	40000	15047	136	4	400000
102	<i18n=31958>	130	UI/icon/item/equip/weapon/obj-sword12.png	5	1	12	JingHuo	800	Coin	1600	115	5	15032	760000	15040	200000	15048	40000	15048	136	4	400000
103	<i18n=31945>	140	UI/icon/item/equip/weapon/obj-sword13.png	5	1	13	JingHuo	850	Coin	1700	115	5	15033	760000	15041	200000	15049	40000	15049	136	4	400000
104	<i18n=31990>	150	UI/icon/item/equip/weapon/obj-sword14.png	5	1	14	JingHuo	900	Coin	1800	115	5	15034	760000	15042	200000	15050	40000	15050	136	5	400000
105	<i18n=31965>	160	UI/icon/item/equip/weapon/obj-sword15.png	5	1	15	JingHuo	950	Coin	1900	115	5	15035	760000	15043	200000	15051	40000	15051	136	5	400000
106	<i18n=31934>	170	UI/icon/item/equip/weapon/obj-sword10.png	5	1	16	JingHuo	1000	Coin	2000	115	5	15036	760000	15044	200000	15052	40000	15052	136	5	400000
107	<i18n=32000>	180	UI/icon/item/equip/weapon/obj-sword10.png	5	1	17	JingHuo	1050	Coin	2100	115	5	15037	760000	15045	200000	15053	40000	15053	136	5	400000
108	<i18n=31953>	190	UI/icon/item/equip/weapon/obj-sword10.png	5	1	18	JingHuo	1100	Coin	2200	115	5	15038	760000	15046	200000	15054	40000	15054	136	6	400000
109	<i18n=31975>	125	UI/icon/item/equip/armor/obj-armor31.png	1	2	11	JingHuo	450	Coin	900	125	3	11031	760000	11039	200000	11047	40000	11047	146	4	400000
110	<i18n=31951>	135	UI/icon/item/equip/armor/obj-armor32.png	1	2	12	JingHuo	480	Coin	960	125	3	11032	760000	11040	200000	11048	40000	11048	146	4	400000
111	<i18n=31936>	145	UI/icon/item/equip/armor/obj-armor33.png	1	2	13	JingHuo	510	Coin	1020	125	3	11033	760000	11041	200000	11049	40000	11049	146	4	400000
112	<i18n=31944>	155	UI/icon/item/equip/armor/obj-armor34.png	1	2	14	JingHuo	540	Coin	1080	125	3	11034	760000	11042	200000	11050	40000	11050	146	5	400000
113	<i18n=31982>	165	UI/icon/item/equip/armor/obj-armor35.png	1	2	15	JingHuo	570	Coin	1140	125	3	11035	760000	11043	200000	11051	40000	11051	146	5	400000
114	<i18n=31987>	175	UI/icon/item/equip/armor/obj-armor36.png	1	2	16	JingHuo	600	Coin	1200	125	3	11036	760000	11044	200000	11052	40000	11052	146	5	400000
115	<i18n=31989>	185	UI/icon/item/equip/armor/obj-armor37.png	1	2	17	JingHuo	630	Coin	1260	125	3	11037	760000	11045	200000	11053	40000	11053	146	5	400000
116	<i18n=31992>	195	UI/icon/item/equip/armor/obj-armor38.png	1	2	18	JingHuo	660	Coin	1320	125	3	11038	760000	11046	200000	11054	40000	11054	146	6	400000
117	<i18n=33553>	122	UI/icon/item/equip/necklace/obj-neck21.png	6	3	11	JingHuo	300	Coin	600	135	2	16031	760000	16039	200000	16047	40000	16047	156	4	400000
118	<i18n=33589>	132	UI/icon/item/equip/necklace/obj-neck22.png	6	3	12	JingHuo	320	Coin	640	135	2	16032	760000	16040	200000	16048	40000	16048	156	4	400000
119	<i18n=33608>	142	UI/icon/item/equip/necklace/obj-neck23.png	6	3	13	JingHuo	340	Coin	680	135	2	16033	760000	16041	200000	16049	40000	16049	156	4	400000
120	<i18n=33555>	152	UI/icon/item/equip/necklace/obj-neck24.png	6	3	14	JingHuo	360	Coin	720	135	2	16034	760000	16042	200000	16050	40000	16050	156	5	400000
121	<i18n=33562>	162	UI/icon/item/equip/necklace/obj-neck25.png	6	3	15	JingHuo	380	Coin	760	135	2	16035	760000	16043	200000	16051	40000	16051	156	5	400000
122	<i18n=33590>	172	UI/icon/item/equip/necklace/obj-neck26.png	6	3	16	JingHuo	400	Coin	800	135	2	16036	760000	16044	200000	16052	40000	16052	156	5	400000
123	<i18n=33599>	182	UI/icon/item/equip/necklace/obj-neck27.png	6	3	17	JingHuo	420	Coin	840	135	2	16037	760000	16045	200000	16053	40000	16053	156	5	400000
124	<i18n=33605>	192	UI/icon/item/equip/necklace/obj-neck28.png	6	3	18	JingHuo	440	Coin	880	135	2	16038	760000	16046	200000	16054	40000	16054	156	6	400000
125	<i18n=33623>	124	UI/icon/item/equip/ring/obj-ring11.png	7	3	11	JingHuo	300	Coin	600	135	2	17031	760000	17039	200000	17047	40000	17047	156	4	400000
126	<i18n=33598>	134	UI/icon/item/equip/ring/obj-ring12.png	7	3	12	JingHuo	320	Coin	640	135	2	17032	760000	17040	200000	17048	40000	17048	156	4	400000
127	<i18n=33618>	144	UI/icon/item/equip/ring/obj-ring13.png	7	3	13	JingHuo	340	Coin	680	135	2	17033	760000	17041	200000	17049	40000	17049	156	4	400000
128	<i18n=33593>	154	UI/icon/item/equip/ring/obj-ring14.png	7	3	14	JingHuo	360	Coin	720	135	2	17034	760000	17042	200000	17050	40000	17050	156	5	400000
129	<i18n=33543>	164	UI/icon/item/equip/ring/obj-ring15.png	7	3	15	JingHuo	380	Coin	760	135	2	17035	760000	17043	200000	17051	40000	17051	156	5	400000
130	<i18n=33551>	174	UI/icon/item/equip/ring/obj-ring16.png	7	3	16	JingHuo	400	Coin	800	135	2	17036	760000	17044	200000	17052	40000	17052	156	5	400000
131	<i18n=33542>	184	UI/icon/item/equip/ring/obj-ring17.png	7	3	17	JingHuo	420	Coin	840	135	2	17037	760000	17045	200000	17053	40000	17053	156	5	400000
132	<i18n=33619>	194	UI/icon/item/equip/ring/obj-ring18.png	7	3	18	JingHuo	440	Coin	880	135	2	17038	760000	17046	200000	17054	40000	17054	156	6	400000
133	<i18n=33610>	126	UI/icon/item/equip/pendant/obj-waist21.png	8	3	11	JingHuo	300	Coin	600	135	2	19031	760000	19039	200000	19047	40000	19047	156	4	400000
134	<i18n=33575>	136	UI/icon/item/equip/pendant/obj-waist22.png	8	3	12	JingHuo	320	Coin	640	135	2	19032	760000	19040	200000	19048	40000	19048	156	4	400000
135	<i18n=33611>	146	UI/icon/item/equip/pendant/obj-waist23.png	8	3	13	JingHuo	340	Coin	680	135	2	19033	760000	19041	200000	19049	40000	19049	156	4	400000
136	<i18n=33550>	156	UI/icon/item/equip/pendant/obj-waist24.png	8	3	14	JingHuo	360	Coin	720	135	2	19034	760000	19042	200000	19050	40000	19050	156	5	400000
137	<i18n=33577>	166	UI/icon/item/equip/pendant/obj-waist25.png	8	3	15	JingHuo	380	Coin	760	135	2	19035	760000	19043	200000	19051	40000	19051	156	5	400000
138	<i18n=33602>	176	UI/icon/item/equip/pendant/obj-waist26.png	8	3	16	JingHuo	400	Coin	800	135	2	19036	760000	19044	200000	19052	40000	19052	156	5	400000
139	<i18n=33580>	186	UI/icon/item/equip/pendant/obj-waist27.png	8	3	17	JingHuo	420	Coin	840	135	2	19037	760000	19045	200000	19053	40000	19053	156	5	400000
140	<i18n=33617>	196	UI/icon/item/equip/pendant/obj-waist28.png	8	3	18	JingHuo	440	Coin	880	135	2	19038	760000	19046	200000	19054	40000	19054	156	6	400000
141	<i18n=33591>	128	UI/icon/item/equip/amulet/shipin11.png	9	3	11	JingHuo	300	Coin	600	135	2	18031	760000	18039	200000	18047	40000	18047	156	4	400000
142	<i18n=33627>	138	UI/icon/item/equip/amulet/shipin12.png	9	3	12	JingHuo	320	Coin	640	135	2	18032	760000	18040	200000	18048	40000	18048	156	4	400000
143	<i18n=33613>	148	UI/icon/item/equip/amulet/shipin13.png	9	3	13	JingHuo	340	Coin	680	135	2	18033	760000	18041	200000	18049	40000	18049	156	4	400000
144	<i18n=33566>	158	UI/icon/item/equip/amulet/shipin14.png	9	3	14	JingHuo	360	Coin	720	135	2	18034	760000	18042	200000	18050	40000	18050	156	5	400000
145	<i18n=33606>	168	UI/icon/item/equip/amulet/shipin15.png	9	3	15	JingHuo	380	Coin	760	135	2	18035	760000	18043	200000	18051	40000	18051	156	5	400000
146	<i18n=33569>	178	UI/icon/item/equip/amulet/shipin16.png	9	3	16	JingHuo	400	Coin	800	135	2	18036	760000	18044	200000	18052	40000	18052	156	5	400000
147	<i18n=33563>	188	UI/icon/item/equip/amulet/shipin17.png	9	3	17	JingHuo	420	Coin	840	135	2	18037	760000	18045	200000	18053	40000	18053	156	5	400000
148	<i18n=33609>	198	UI/icon/item/equip/amulet/shipin18.png	9	3	18	JingHuo	440	Coin	880	135	2	18038	760000	18046	200000	18054	40000	18054	156	6	400000
149	<i18n=31962>	121	UI/icon/item/equip/helm/obj-helm31.png	0	4	11	JingHuo	150	Coin	300	185	1	10031	760000	10039	200000	10047	40000	10047	166	4	400000
150	<i18n=31998>	131	UI/icon/item/equip/helm/obj-helm32.png	0	4	12	JingHuo	160	Coin	320	185	1	10032	760000	10040	200000	10048	40000	10048	166	4	400000
151	<i18n=31938>	141	UI/icon/item/equip/helm/obj-helm33.png	0	4	13	JingHuo	170	Coin	340	185	1	10033	760000	10041	200000	10049	40000	10049	166	4	400000
152	<i18n=31957>	151	UI/icon/item/equip/helm/obj-helm34.png	0	4	14	JingHuo	180	Coin	360	185	1	10034	760000	10042	200000	10050	40000	10050	166	5	400000
153	<i18n=31960>	161	UI/icon/item/equip/helm/obj-helm35.png	0	4	15	JingHuo	190	Coin	380	185	1	10035	760000	10043	200000	10051	40000	10051	166	5	400000
154	<i18n=31933>	171	UI/icon/item/equip/helm/obj-helm36.png	0	4	16	JingHuo	200	Coin	400	185	1	10036	760000	10044	200000	10052	40000	10052	166	5	400000
