TemplateId	Name	ShowType	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	bForbidToBox
6267	<i18n=298>		36	49029	49029		ComposeMeterial	99	<i18n=7172>	320000	7	7	320000	4	72		999											
6268	<i18n=14962>		36	49033	49033		ComposeMeterial	99	<i18n=6175>	480000	8	7	480000	4	72		999											
6284	<i18n=10858>		36	49020	49020		ComposeMeterial	99	<i18n=7173>	80000	4	7	80000	4	58		999											
6285	<i18n=12474>		36	49004	49004		ComposeMeterial	99	<i18n=5003>	160000	5	7	160000	4	68		999											
6286	<i18n=12881>		36	49028	49028		ComposeMeterial	99	<i18n=9869>	240000	6	7	240000	4	78		999											
6287	<i18n=1184>		36	49032	49032		ComposeMeterial	99	<i18n=3694>	320000	7	7	320000	4	78		999											
6288	<i18n=1352>		36	49036	49036		ComposeMeterial	99	<i18n=1952>	480000	8	7	480000	4	78		999											
6304	<i18n=13115>	9704	36				ComposeMeterial	99	<i18n=2768>	40000	4	7	40000	4	59		999											
6305	<i18n=15892>	9705	36				ComposeMeterial	99	<i18n=4107>	80000	5	7	80000	4	69		999											
6306	<i18n=8111>	9706	36				ComposeMeterial	99	<i18n=5425>	120000	6	7	120000	4	79		999											
6307	<i18n=7518>	9707	36				ComposeMeterial	99	<i18n=9477>	160000	7	7	160000	4	79		999											
6308	<i18n=5809>	9708	36				ComposeMeterial	99	<i18n=12748>	240000	8	7	240000	4	79		999											
6324	<i18n=14257>	8704	36				ComposeMeterial	99	<i18n=9053>	40000	4	7	40000	4	57		999											
6325	<i18n=168>	8705	36				ComposeMeterial	99	<i18n=6014>	80000	5	7	80000	4	67		999											
6326	<i18n=14324>	8706	36				ComposeMeterial	99	<i18n=3486>	120000	6	7	120000	4	77		999											
6327	<i18n=7898>	8707	36				ComposeMeterial	99	<i18n=15727>	160000	7	7	160000	4	77		999											
6328	<i18n=7900>	8708	36				ComposeMeterial	99	<i18n=14778>	240000	8	7	240000	4	77		999											
6344	<i18n=16101>	5704	36				ComposeMeterial	99	<i18n=8168>	40000	4	7	40000	4	51		999											
6345	<i18n=6054>	5705	36				ComposeMeterial	99	<i18n=6904>	80000	5	7	80000	4	61		999											
6346	<i18n=12468>	5706	36				ComposeMeterial	99	<i18n=3650>	120000	6	7	120000	4	71		999											
6347	<i18n=9663>	5707	36				ComposeMeterial	99	<i18n=15894>	160000	7	7	160000	4	71		999											
6348	<i18n=6653>	5708	36				ComposeMeterial	99	<i18n=14990>	240000	8	7	240000	4	71		999											
6364	<i18n=8258>	7704	36				ComposeMeterial	99	<i18n=4863>	40000	4	7	40000	4	53		999											
6365	<i18n=935>	7705	36				ComposeMeterial	99	<i18n=2014>	80000	5	7	80000	4	63		999											
6366	<i18n=12230>	7706	36				ComposeMeterial	99	<i18n=7561>	120000	6	7	120000	4	73		999											
6367	<i18n=2274>	7707	36				ComposeMeterial	99	<i18n=11623>	160000	7	7	160000	4	73		999											
6368	<i18n=3494>	7708	36				ComposeMeterial	99	<i18n=10689>	240000	8	7	240000	4	73		999											
6384	<i18n=14205>		36	49019	49019		ComposeMeterial	99	<i18n=8534>	80000	4	7	80000	4	56		999											
6385	<i18n=14259>		36	49003	49003		ComposeMeterial	99	<i18n=6802>	160000	5	7	160000	4	66		999											
6386	<i18n=6936>		36	49027	49027		ComposeMeterial	99	<i18n=3762>	240000	6	7	240000	4	76		999											
6387	<i18n=560>		36	49031	49031		ComposeMeterial	99	<i18n=16249>	320000	7	7	320000	4	76		999											
6388	<i18n=904>		36	49035	49035		ComposeMeterial	99	<i18n=15088>	480000	8	7	480000	4	76		999											
6404	<i18n=11686>	1804	36				ComposeMeterial	99	<i18n=5009>	180000	4	7	180000	6	50		999											
6405	<i18n=559>	1805	36				ComposeMeterial	99	<i18n=643>	300000	5	7	300000	6	60		999											
6406	<i18n=8926>	1806	36				ComposeMeterial	99	<i18n=6031>	450000	6	7	450000	6	70		999											
6407	<i18n=19>	1807	36				ComposeMeterial	99	<i18n=8907>	600000	7	7	600000	6	70		999											
6408	<i18n=5055>	1808	36				ComposeMeterial	99	<i18n=5473>	810000	8	7	810000	6	70		999											
6424	<i18n=3365>	6804	36				ComposeMeterial	99	<i18n=7059>	180000	4	7	180000	6	55		999											
6425	<i18n=8524>	6805	36				ComposeMeterial	99	<i18n=10975>	300000	5	7	300000	6	65		999											
6426	<i18n=7687>	6806	36				ComposeMeterial	99	<i18n=4077>	450000	6	7	450000	6	75		999											
6427	<i18n=15114>	6807	36				ComposeMeterial	99	<i18n=2702>	600000	7	7	600000	6	75		999											
6428	<i18n=3961>	6808	36				ComposeMeterial	99	<i18n=3454>	810000	8	7	810000	6	75		999											
6444	<i18n=11434>		36	49018	49018		ComposeMeterial	99	<i18n=9548>	120000	4	7	120000	6	54		999											
6445	<i18n=10434>		36	49002	49002		ComposeMeterial	99	<i18n=5139>	200000	5	7	200000	6	64		999											
6446	<i18n=15729>		36	49026	49026		ComposeMeterial	99	<i18n=16041>	300000	6	7	300000	6	74		999											
6447	<i18n=15928>		36	49030	49030		ComposeMeterial	99	<i18n=13423>	400000	7	7	400000	6	74		999											
6448	<i18n=2421>		36	49034	49034		ComposeMeterial	99	<i18n=760>	540000	8	7	540000	6	74		999											
6464	<i18n=16386>		36	49017	49017		ComposeMeterial	99	<i18n=7971>	120000	4	7	120000	6	52		999											
6465	<i18n=12690>		36	49001	49001		ComposeMeterial	99	<i18n=11898>	200000	5	7	200000	6	62		999											
6466	<i18n=6607>		36	49025	49025		ComposeMeterial	99	<i18n=1122>	300000	6	7	300000	6	72		999											
6467	<i18n=13457>		36	49029	49029		ComposeMeterial	99	<i18n=3597>	400000	7	7	400000	6	72		999											
6468	<i18n=9316>		36	49033	49033		ComposeMeterial	99	<i18n=2308>	540000	8	7	540000	6	72		999											
6484	<i18n=12139>		36	49020	49020		ComposeMeterial	99	<i18n=8592>	120000	4	7	120000	6	58		999											
6485	<i18n=3723>		36	49004	49004		ComposeMeterial	99	<i18n=7571>	200000	5	7	200000	6	68		999											
6486	<i18n=2425>		36	49028	49028		ComposeMeterial	99	<i18n=15737>	300000	6	7	300000	6	78		999											
6487	<i18n=5849>		36	49032	49032		ComposeMeterial	99	<i18n=7860>	400000	7	7	400000	6	78		999											
6488	<i18n=12590>		36	49036	49036		ComposeMeterial	99	<i18n=11687>	540000	8	7	540000	6	78		999											
6504	<i18n=11372>	9804	36				ComposeMeterial	99	<i18n=2380>	60000	4	7	60000	6	59		999											
6505	<i18n=3562>	9805	36				ComposeMeterial	99	<i18n=14420>	100000	5	7	100000	6	69		999											
6506	<i18n=5720>	9806	36				ComposeMeterial	99	<i18n=8766>	150000	6	7	150000	6	79		999											
6507	<i18n=6125>	9807	36				ComposeMeterial	99	<i18n=6133>	200000	7	7	200000	6	79		999											
6508	<i18n=2426>	9808	36				ComposeMeterial	99	<i18n=8043>	270000	8	7	270000	6	79		999											
6524	<i18n=14453>	8804	36				ComposeMeterial	99	<i18n=16176>	60000	4	7	60000	6	57		999											
6525	<i18n=4262>	8805	36				ComposeMeterial	99	<i18n=3577>	100000	5	7	100000	6	67		999											
6526	<i18n=169>	8806	36				ComposeMeterial	99	<i18n=9322>	150000	6	7	150000	6	77		999											
6527	<i18n=6565>	8807	36				ComposeMeterial	99	<i18n=11865>	200000	7	7	200000	6	77		999											
6528	<i18n=4477>	8808	36				ComposeMeterial	99	<i18n=10613>	270000	8	7	270000	6	77		999											
6544	<i18n=337>	5804	36				ComposeMeterial	99	<i18n=11365>	60000	4	7	60000	6	51		999											
6545	<i18n=10272>	5805	36				ComposeMeterial	99	<i18n=7438>	100000	5	7	100000	6	61		999											
6546	<i18n=10643>	5806	36				ComposeMeterial	99	<i18n=14164>	150000	6	7	150000	6	71		999											
6547	<i18n=12551>	5807	36				ComposeMeterial	99	<i18n=15701>	200000	7	7	200000	6	71		999											
6548	<i18n=1086>	5808	36				ComposeMeterial	99	<i18n=14912>	270000	8	7	270000	6	71		999											
6564	<i18n=7901>	7804	36				ComposeMeterial	99	<i18n=1116>	60000	4	7	60000	6	53		999											
6565	<i18n=4970>	7805	36				ComposeMeterial	99	<i18n=13701>	100000	5	7	100000	6	63		999											
6566	<i18n=9974>	7806	36				ComposeMeterial	99	<i18n=7937>	150000	6	7	150000	6	73		999											
6567	<i18n=3071>	7807	36				ComposeMeterial	99	<i18n=5408>	200000	7	7	200000	6	73		999											
6568	<i18n=8963>	7808	36				ComposeMeterial	99	<i18n=8839>	270000	8	7	270000	6	73		999											
6584	<i18n=14539>		36	49019	49019		ComposeMeterial	99	<i18n=9807>	120000	4	7	120000	6	56		999											
6585	<i18n=1928>		36	49003	49003		ComposeMeterial	99	<i18n=5846>	200000	5	7	200000	6	66		999											
6586	<i18n=8772>		36	49027	49027		ComposeMeterial	99	<i18n=15776>	300000	6	7	300000	6	76		999											
6587	<i18n=14191>		36	49031	49031		ComposeMeterial	99	<i18n=14134>	400000	7	7	400000	6	76		999											
6588	<i18n=11573>		36	49035	49035		ComposeMeterial	99	<i18n=17>	540000	8	7	540000	6	76		999											
