Stage	StageName	FightPower	AwardType	AwardId	Count	UserValueKey	TimeFrame
15	15	1800000	Item	901	200	43	OpenLevel89
15	15	1850000	Item	31001	20	44	OpenLevel89
15	15	1900000	YuanBao		250	45	OpenLevel89
16	16	1950000	Item	211	1	46	OpenLevel89
16	16	2000000	YuanBao		200	47	OpenLevel89
16	16	2050000	Coin		22000	48	OpenLevel89
17	17	2100000	Item	3001	200	49	OpenLevel89
17	17	2150000	Item	3002	20	50	OpenLevel89
17	17	2200000	Item	201	50	51	OpenLevel89
18	18	2250000	Item	901	200	52	OpenLevel89
18	18	2300000	Item	31001	25	53	OpenLevel89
18	18	2350000	YuanBao		300	54	OpenLevel89
19	19	2400000	Item	211	1	55	OpenLevel89
19	19	2450000	YuanBao		200	56	OpenLevel89
19	19	2500000	Coin		22000	57	OpenLevel89
20	20	2600000	Item	3001	200	58	OpenLevel89
20	20	2700000	Item	3002	20	59	OpenLevel99
20	20	2800000	Item	201	50	60	OpenLevel99
21	21	2900000	Item	901	200	61	OpenLevel99
21	21	3000000	Item	31001	25	62	OpenLevel99
21	21	3100000	YuanBao		300	63	OpenLevel99
22	22	3200000	Item	211	1	64	OpenLevel99
22	22	3300000	YuanBao		200	65	OpenLevel99
22	22	3400000	Coin		22000	66	OpenLevel99
23	23	3500000	Item	3001	200	67	OpenLevel99
23	23	3600000	Item	3002	20	68	OpenLevel99
23	23	3700000	Item	201	50	69	OpenLevel99
24	24	3800000	Item	901	200	70	OpenLevel99
24	24	3900000	Item	31001	25	71	OpenLevel109
24	24	4000000	YuanBao		300	72	OpenLevel109
25	25	4100000	Item	211	1	73	OpenLevel109
25	25	4200000	YuanBao		200	74	OpenLevel109
25	25	4300000	Coin		22000	75	OpenLevel109
26	26	4400000	Item	3001	200	76	OpenLevel109
26	26	4500000	Item	3002	20	77	OpenLevel109
26	26	4600000	Item	201	50	78	OpenLevel109
27	27	4700000	Item	901	200	79	OpenLevel109
27	27	4800000	Item	31001	25	80	OpenLevel109
27	27	4900000	YuanBao		300	81	OpenLevel109
28	28	5000000	Item	211	1	82	OpenLevel109
28	28	5100000	YuanBao		300	83	OpenLevel109
28	28	5200000	Coin		30000	84	OpenLevel109
29	29	5300000	Item	33010	10	85	OpenLevel109
29	29	5400000	Item	202	10	86	OpenLevel109
29	29	5500000	Item	901	188	87	OpenLevel119
30	30	5600000	YuanBao		300	88	OpenLevel119
30	30	5700000	Coin		30000	89	OpenLevel119
30	30	5800000	Item	33010	10	90	OpenLevel119
31	31	5900000	Item	901	200	91	OpenLevel119
31	31	6000000	Item	31001	25	92	OpenLevel129
31	31	6100000	Item	3002	20	93	OpenLevel129
32	32	6200000	Item	211	1	94	OpenLevel129
32	32	6300000	Item	33010	10	95	OpenLevel129
32	32	6400000	Item	202	10	96	OpenLevel129
33	33	6500000	Item	901	200	97	OpenLevel129
33	33	6600000	Coin		30000	98	OpenLevel129
33	33	6700000	Item	3002	20	99	OpenLevel129
34	34	6800000	Item	33010	10	100	OpenLevel139
34	34	6900000	YuanBao		300	101	OpenLevel139
34	34	7000000	Item	31001	25	102	OpenLevel139
35	35	7100000	Coin		30000	103	OpenLevel139
35	35	7200000	Item	202	10	104	OpenLevel139
35	35	7300000	Item	901	200	105	OpenLevel149
36	36	7400000	YuanBao		300	106	OpenLevel149
36	36	7500000	Item	211	1	107	OpenLevel149
36	36	7600000	Item	3002	20	108	OpenLevel149
37	37	7700000	Item	402	1	109	OpenLevel149
37	37	7800000	Item	33010	10	110	OpenLevel149
37	37	7900000	Item	671601	8	111	OpenLevel149
38	38	8000000	Item	3006	2	112	OpenLevel149
38	38	8100000	Item	202	10	113	OpenLevel159
38	38	8200000	YuanBao		300	114	OpenLevel159
39	39	8300000	Item	901	200	115	OpenLevel159
39	39	8400000	Coin		30000	116	OpenLevel159
39	39	8500000	Item	3006	2	117	OpenLevel159
40	40	8600000	Item	671601	8	118	OpenLevel159
40	40	8700000	Item	31001	25	119	OpenLevel159
40	40	8800000	Item	33011	10	120	OpenLevel159
41	41	8900000	Item	35301	10	121	OpenLevel169
41	41	9000000	Item	402	1	122	OpenLevel169
41	41	9100000	Item	33010	10	123	OpenLevel169
42	42	9200000	Item	901	200	124	OpenLevel169
42	42	9300000	YuanBao		300	125	OpenLevel169
42	42	9400000	Item	202	10	126	OpenLevel169
43	43	9500000	Item	3002	20	127	OpenLevel169
43	43	9600000	Item	671601	8	128	OpenLevel169
43	43	9700000	Item	3006	2	129	OpenLevel179
44	44	9800000	Coin		30000	130	OpenLevel179
44	44	9900000	Item	31001	25	131	OpenLevel179
44	44	10000000	Item	33011	10	132	OpenLevel179
45	45	10100000	Item	402	1	133	OpenLevel179
45	45	10200000	Item	35301	10	134	OpenLevel179
45	45	10300000	YuanBao		300	135	OpenLevel189
46	46	10400000	Item	901	200	136	OpenLevel189
46	46	10500000	Item	3002	20	137	OpenLevel189
46	46	10600000	Item	202	10	138	OpenLevel189
47	47	10700000	Item	671601	8	139	OpenLevel189
47	47	10800000	Item	31001	25	140	OpenLevel189
47	47	10900000	Item	3006	2	141	OpenLevel199
48	48	11000000	Item	33011	10	142	OpenLevel199
48	48	11100000	Item	33010	10	143	OpenLevel199
48	48	11200000	Item	402	1	144	OpenLevel199
49	49	11300000	Item	901	200	145	OpenLevel199
49	49	11400000	Coin		30000	146	OpenLevel199
49	49	11500000	Item	671601	8	147	OpenLevel199
50	50	11600000	Item	211	1	148	OpenLevel199
50	50	11700000	YuanBao		300	149	OpenLevel199
50	50	11800000	Item	3006	2	150	OpenLevel199
51	51	11900000	Item	35301	10	151	OpenLevel199
51	51	12000000	Item	202	10	152	OpenLevel199
51	51	99999999	Item	202	10	153	OpenLevel299
