NpcResId	NpcResFile	NpcShadowResFile	DialogRadius	HeadTextHeight	HeadTextScale	BloodBarHeight	SelectEffectScale	Scale	ShowBoxCollider	BoxColliderSizeX	BoxColliderSizeY	BoxColliderPosX	BoxColliderPosY
29	Npc/passerby020/passerby020.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
100	Npc/critter119/critter119.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
101	Npc/passerby207/passerby207.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
102	Npc/passerby133/passerby133.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
103	Npc/passerby183/passerby183.asset		3	0.7	0.008	1.1	1.5		1	0.6	1	0	0.4
500	Npc/passerby271/passerby271.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
1000	Npc/ani008/ani008.asset	Npc/ani008/ani008_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
1001	Npc/ani018/ani018.asset	Npc/ani018/ani018_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
1002	Npc/ani019/ani019.asset	Npc/ani019/ani019_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
1003	Npc/ani013/ani013.asset	Npc/ani013/ani013_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3000	Npc/enemy165/enemy165.asset	Npc/enemy165/enemy165_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3001	Npc/enemy081/enemy081.asset	Npc/enemy081/enemy081_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3002	Npc/enemy082/enemy082.asset	Npc/enemy082/enemy082_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3003	Npc/enemy083/enemy083.asset	Npc/enemy083/enemy083_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3004	Npc/enemy084/enemy084.asset	Npc/enemy084/enemy084_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3005	Npc/enemy085/enemy085.asset		3	2.2	0.008	2.05	0		1	0.6	1	0	0.4
3006	Npc/enemy086/enemy086.asset	Npc/enemy086/enemy086_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3007	Npc/enemy087/enemy087.asset	Npc/enemy087/enemy087_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3008	Npc/enemy088/enemy088.asset	Npc/enemy088/enemy088_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3009	Npc/enemy089/enemy089.asset	Npc/enemy089/enemy089_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3010	Npc/enemy090/enemy090.asset		3	2.2	0.008	2.05	0		1	0.6	1	0	0.4
3011	Npc/enemy264/enemy264.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3012	Npc/enemy184/enemy184.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3013	Npc/enemy202/enemy202.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3014	Npc/enemy070/enemy070.asset	Npc/enemy070/enemy070_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3015	Npc/enemy020/enemy020.asset	Npc/enemy020/enemy020_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3016	Npc/boss018a/boss018a.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3017	Npc/passerby547/passerby547.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3018	Npc/enemy246/enemy246.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3019	Npc/enemy008/enemy008.asset	Npc/enemy008/enemy008_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3020	Npc/enemy265/enemy265.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3021	Npc/enemy068/enemy068.asset	Npc/enemy068/enemy068_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3022	Npc/enemy166/enemy166.asset	Npc/enemy166/enemy166_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3023	Npc/enemy008/enemy008.asset	Npc/enemy008/enemy008_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3024	Npc/boss018/boss018.asset	Npc/boss018/boss018_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3025	Npc/enemy108/enemy108.asset	Npc/enemy108/enemy108_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3026	Npc/enemy139/enemy139.asset	Npc/enemy139/enemy139_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3027	Npc/enemy139/enemy139.asset	Npc/enemy139/enemy139_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3028	Npc/enemy104/enemy104.asset	Npc/enemy104/enemy104_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3029	Npc/enemy105/enemy105.asset	Npc/enemy105/enemy105_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3030	Npc/enemy132/enemy132.asset	Npc/enemy132/enemy132_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3031	Npc/enemy141/enemy141.asset	Npc/enemy141/enemy141_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3032	Npc/enemy143/enemy143.asset	Npc/enemy143/enemy143_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3033	Npc/enemy142/enemy142.asset	Npc/enemy142/enemy142_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3034	Npc/enemy043/enemy043.asset	Npc/enemy043/enemy043_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3035	Npc/enemy002/enemy002.asset	Npc/enemy002/enemy002_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3036	Npc/enemy043/enemy043.asset	Npc/enemy043/enemy043_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3037	Npc/enemy002/enemy002.asset	Npc/enemy002/enemy002_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3038	Npc/enemy043/enemy043.asset	Npc/enemy043/enemy043_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3039	Npc/enemy002/enemy002.asset	Npc/enemy002/enemy002_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3040	Npc/enemy134/enemy134.asset	Npc/enemy134/enemy134_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3041	Npc/enemy145/enemy145.asset	Npc/enemy145/enemy145_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3042	Npc/enemy099/enemy099.asset	Npc/enemy099/enemy099_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3043	Npc/enemy105/enemy105.asset	Npc/enemy105/enemy105_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3044	Npc/enemy125/enemy125.asset	Npc/enemy125/enemy125_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3045	Npc/enemy082/enemy082.asset	Npc/enemy082/enemy082_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3046	Npc/enemy126/enemy126.asset	Npc/enemy126/enemy126_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3047	Npc/ani005/ani005.asset	Npc/ani005/ani005_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3048	Npc/enemy099/enemy099.asset	Npc/enemy099/enemy099_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3049	Npc/enemy099/enemy099.asset	Npc/enemy099/enemy099_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3050	Npc/passerby167/passerby167.asset		3	0.7	0.008	1.1	0		1	0.6	1	0	0.4
3051	Npc/enemy095/enemy095.asset	Npc/enemy095/enemy095_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3052	Npc/enemy127/enemy127.asset	Npc/enemy127/enemy127_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3053	Npc/enemy127/enemy127.asset	Npc/enemy127/enemy127_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3054	Npc/enemy096/enemy096.asset	Npc/enemy096/enemy096_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3055	Npc/enemy096/enemy096.asset	Npc/enemy096/enemy096_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3056	Npc/enemy099/enemy099.asset	Npc/enemy099/enemy099_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3057	Npc/enemy116/enemy116.asset	Npc/enemy116/enemy116_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3058	Npc/enemy124/enemy124.asset	Npc/enemy124/enemy124_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3059	Npc/enemy113/enemy113.asset	Npc/enemy113/enemy113_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3060	Npc/boss018/boss018.asset	Npc/boss018/boss018_shadow.asset	3	2.1	0.008	2	1.5		1	0.6	1	0	0.4
3061	Npc/enemy101/enemy101.asset	Npc/enemy101/enemy101_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3062	Npc/enemy103/enemy103.asset	Npc/enemy103/enemy103_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3063	Npc/enemy129/enemy129.asset	Npc/enemy129/enemy129_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3064	Npc/enemy129/enemy129.asset	Npc/enemy129/enemy129_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3065	Npc/enemy011/enemy011.asset	Npc/enemy011/enemy011_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3066	Npc/ani015/ani015.asset	Npc/ani015/ani015_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3067	Npc/enemy010/enemy010.asset	Npc/enemy010/enemy010_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3068	Npc/ani001/ani001.asset	Npc/ani001/ani001_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3069	Npc/ani003/ani003.asset	Npc/ani003/ani003_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3070	Npc/enemy151/enemy151.asset	Npc/enemy151/enemy151_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3071	Npc/enemy138/enemy138.asset	Npc/enemy138/enemy138_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3072	Npc/enemy074/enemy074.asset	Npc/enemy074/enemy074_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3073	Npc/enemy117/enemy117.asset	Npc/enemy117/enemy117_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3074	Npc/passerby075/passerby075.asset	Npc/passerby075/passerby075_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3075	Npc/passerby106/passerby106.asset	Npc/passerby106/passerby106_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3076	Npc/passerby015/passerby015.asset	Npc/passerby015/passerby015_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3077	Npc/enemy168/enemy168.asset	Npc/enemy168/enemy168_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3078	Npc/enemy016/enemy016.asset	Npc/enemy016/enemy016_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3079	Npc/passerby142/passerby142.asset	Npc/passerby142/passerby142_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3080	Npc/critter092/critter092.asset	Npc/critter092/critter092_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3081	Npc/enemy066/enemy066.asset	Npc/enemy066/enemy066_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3082	Npc/passerby191/passerby191.asset	Npc/passerby191/passerby191_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3083	Npc/passerby190/passerby190.asset	Npc/passerby190/passerby190_shadow.asset	3	0.8	0.008	1.3	0		1	0.6	1	0	0.4
3084	Npc/passerby219/passerby219.asset	Npc/passerby219/passerby219_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3085	Npc/passerby220/passerby220.asset	Npc/passerby220/passerby220_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
3086	Npc/boss019/boss019.asset		3	1.5	0.008	1.3	0	0.55	1	0.6	1	0	0.4
3087	Npc/boss018/boss018.asset	Npc/boss018/boss018_shadow.asset	3	1.2	0.008	1.1	0	0.55	1	0.6	1	0	0.4
3490	Npc/boss033/boss033.asset		3	2.2	0.008	2.05	1.5	1.22	1	0.6	1	0	0.4
3491	Npc/enemy127a/enemy127a.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3492	NPC/enemy069large/enemy069large.asset	NPC/enemy069large/enemy069large_shadow.asset	3	2.2	0.008	2.05	1.5	0.84	1	0.6	1	0	0.4
3493	Npc/enemy174a/enemy174a.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3494	Npc/enemy174b/enemy174b.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3495	Npc/enemy174c/enemy174c.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3496	Npc/enemy174d/enemy174d.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3497	Npc/enemy174e/enemy174e.asset		3	2.6	0.008	2.5	1.5		1	0.6	1	0	0.4
3498	Npc/enemy174f/enemy174f.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3499	Npc/enemy174g/enemy174g.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3500	Npc/enemy174h/enemy174h.asset		3	1.6	0.008	1.5	1.5		1	0.6	1	0	0.4
3516	Npc/enemy173a/enemy173a.asset	Npc/enemy173a/enemy173a_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3519	Npc/enemy085/enemy085.asset	Npc/enemy085/enemy085_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3520	Npc/enemy222a/enemy222a.asset	Npc/enemy222a/enemy222a_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3521	Npc/enemy048a/enemy048a.asset	Npc/enemy048a/enemy048a_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3522	Npc/enemy090/enemy090.asset	Npc/enemy090/enemy090_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
3523	NPC/enemy245/enemy245.asset	NPC/enemy245/enemy245_shadow.asset	3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6000	Npc/boss017/boss017.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6001	Npc/boss013/boss013.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6002	Npc/boss018/boss018.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6003	Npc/boss015/boss015.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6004	Npc/boss014/boss014.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6005	Npc/boss019/boss019.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6006	Npc/boss020/boss020.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6007	Npc/passerby035/passerby035.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6008	Npc/boss022/boss022.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6009	Npc/boss023/boss023.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6010	Npc/passerby033/passerby033.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6011	Npc/passerby065/passerby065.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6012	Npc/boss028/boss028.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6013	Npc/boss024/boss024.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6014	Npc/boss027/boss027.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6015	Npc/enemy096/enemy096.asset	Npc/enemy096/enemy096_shadow.asset	3	1.5	0.008	1.3	0		1	0.6	1	0	0.4
6016	Npc/enemy099/enemy099.asset	Npc/enemy099/enemy099_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
6017	Npc/enemy116/enemy116.asset	Npc/enemy116/enemy116_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
6018	Npc/boss024/boss024.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6019	Npc/boss027/boss027.asset		3	2.2	0.008	2.05	1.5		1	0.6	1	0	0.4
6105	Npc/enemy106/enemy106.asset	Npc/enemy106/enemy106_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
6108	Npc/boss029/boss029.asset	Npc/boss029/boss029_shadow.asset	3	2.4	0.008	2.25	1.5	0.9	1	0.6	1	0	0.4
6109	Npc/boss028/boss028.asset	Npc/boss028/boss028_shadow.asset	3	1.7	0.008	1.55	1.5	0.7	1	0.6	1	0	0.4
6110	Npc/boss018/boss018.asset	Npc/boss018/boss018_shadow.asset	3	1.7	0.008	1.55	1.5	0.8	1	0.6	1	0	0.4
6111	Npc/enemy018/enemy018.asset	Npc/enemy018/enemy018_shadow.asset	3	1.7	0.008	1.55	1.5	1.3	1	0.6	1	0	0.4
6112	Npc/boss030/boss030.asset	Npc/boss030/boss030_shadow.asset	3	1.7	0.008	1.55	1.5	1.3	1	0.6	1	0	0.4
6113	Npc/enemy104/enemy104.asset	Npc/enemy104/enemy104_shadow.asset	3	1.7	0.008	1.55	1.5	1.3	1	0.6	1	0	0.4
6114	Npc/boss032/boss032.asset	Npc/boss032/boss032_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
6124	Npc/boss031/boss031.asset	Npc/boss031/boss031_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7000	Npc/enemy148/enemy148.asset	Npc/enemy148/enemy148_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7001	Npc/enemy079/enemy079.asset	Npc/enemy079/enemy079_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7002	Npc/enemy001/enemy001.asset	Npc/enemy001/enemy001_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7003	Npc/enemy007/enemy007.asset	Npc/enemy007/enemy007_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7004	Npc/enemy019/enemy019.asset	Npc/enemy019/enemy019_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7005	Npc/enemy163/enemy163.asset	Npc/enemy163/enemy163_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7006	Npc/enemy013/enemy013.asset	Npc/enemy013/enemy013_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7007	Npc/enemy025/enemy025.asset	Npc/enemy025/enemy025_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7008	Npc/enemy031/enemy031.asset	Npc/enemy031/enemy031_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7009	Npc/passerby016/passerby016.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7010	Npc/enemy043/enemy043.asset	Npc/enemy043/enemy043_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7011	Npc/enemy037/enemy037.asset	Npc/enemy037/enemy037_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7012	Npc/enemy055/enemy055.asset	Npc/enemy055/enemy055_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7013	Npc/enemy049/enemy049.asset	Npc/enemy049/enemy049_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7014	Npc/passerby153/passerby153.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7015	Npc/passerby044/passerby044.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7016	Npc/passerby054/passerby054.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7017	Npc/passerby054/passerby054.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7018	Npc/passerby054/passerby054.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7019	Npc/passerby054/passerby054.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7020	Npc/passerby009/passerby009.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7021	Npc/enemy148/enemy148.asset	Npc/enemy148/enemy148_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7022	Npc/passerby167/passerby167.asset		3	0.7	0.008	1.1	1.5		1	0.6	1	0	0.4
7023	Npc/passerby167/passerby167.asset		3	0.7	0.008	1.1	0		1	0.6	1	0	0.4
7024	Npc/passerby167/passerby167.asset		3	0.7	0.008	1.1	0		1	0.6	1	0	0.4
7025	Npc/passerby005/passerby005.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7026	Npc/enemy063/enemy063.asset	Npc/enemy063/enemy063_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7027	Npc/passerby016/passerby016.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7028	Npc/passerby117/passerby117.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7029	Npc/enemy127/enemy127.asset	Npc/enemy127/enemy127_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7030	Npc/enemy122/enemy122.asset	Npc/enemy122/enemy122_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7031	Npc/enemy130/enemy130.asset	Npc/enemy130/enemy130_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7032	Npc/enemy116/enemy116.asset	Npc/enemy116/enemy116_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7033	Npc/enemy081/enemy081.asset	Npc/enemy081/enemy081_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7034	Npc/enemy081/enemy081.asset	Npc/enemy081/enemy081_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7035	Npc/enemy081/enemy081.asset	Npc/enemy081/enemy081_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7036	Npc/passerby062/passerby062.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7037	Npc/enemy006/enemy006.asset	Npc/enemy006/enemy006_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7038	Npc/enemy004/enemy004.asset	Npc/enemy004/enemy004_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7039	Npc/passerby010/passerby010.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7040	Npc/enemy116/enemy116.asset	Npc/enemy116/enemy116_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7041	Npc/enemy002/enemy002.asset	Npc/enemy002/enemy002_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7042	Npc/enemy127/enemy127.asset	Npc/enemy127/enemy127_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7043	Npc/enemy005/enemy005.asset	Npc/enemy005/enemy005_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7044	Npc/enemy040/enemy040.asset	Npc/enemy040/enemy040_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7045	Npc/passerby016/passerby016.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
