NpcResId	stand	run	death	wound	sit	attack1	attack2	magic	jump	randomattack	fastattack
3053	20	12	18	15	10	14	14	14	27	15	14
3054	20	12	18	15	10	14	14	14	27	15	14
3055	20	12	18	15	10	14	14	14	27	15	14
3056	20	12	18	15	10	14	14	14	27	15	14
3057	20	12	18	15	10	14	14	14	27	15	14
3058	20	12	18	15	10	14	14	14	27	15	14
3059	20	12	18	15	10	14	14	14	27	15	14
3060	20	12	18	15	10	14	14	14	27	15	14
3061	20	12	18	15	10	14	14	14	27	15	14
3062	20	12	18	15	10	14	14	14	27	15	14
3063	20	12	18	15	10	14	14	14	27	15	14
3064	20	12	18	15	10	14	14	14	27	15	14
3065	20	12	18	15	10	14	14	14	27	15	14
3066	20	12	18	15	10	14	14	14	27	15	14
3067	20	12	18	15	10	14	14	14	27	15	14
3068	20	12	18	15	10	14	14	14	27	15	14
3069	20	12	18	15	10	14	14	14	27	15	14
3070	20	12	18	15	10	14	14	14	27	15	14
3071	20	12	18	15	10	14	14	14	27	15	14
3072	20	12	18	15	10	14	14	14	27	15	14
3073	20	12	18	15	10	14	14	14	27	15	14
3074	20	12	18	15	10	14	14	14	27	15	14
3075	20	12	18	15	10	14	14	14	27	15	14
3076	20	12	18	15	10	14	14	14	27	15	14
3077	20	12	18	15	10	14	14	14	27	15	14
3078	20	12	18	15	10	14	14	14	27	15	14
3079	20	12	18	15	10	14	14	14	27	15	14
3080	20	12	18	15	10	14	14	14	27	15	14
3081	20	12	18	15	10	14	14	14	27	15	14
3082	20	12	18	15	10	14	14	14	27	15	14
3083	20	12	18	15	10	14	14	14	27	15	14
3084	20	12	18	15	10	14	14	14	27	15	14
3085	20	12	18	15	10	14	14	14	27	15	14
3086	20	12	18	15	10	14	14	14	27	15	14
3087	20	12	18	15	10	14	14	14	27	15	14
3490	20	12	18	15	10	14	14	14	27	15	14
3491	20	12	18	15	10	14	14	14	27	15	14
3492	20	12	18	15	10	14	14	14	27	15	14
3493	20	12	18	15	10	14	14	14	27	15	14
3494	20	12	18	15	10	14	14	14	27	15	14
3495	20	12	18	15	10	14	14	14	27	15	14
3496	20	12	18	15	10	14	14	14	27	15	14
3497	20	12	18	15	10	14	14	14	27	15	14
3498	20	12	18	15	10	14	14	14	27	15	14
3499	20	12	18	15	10	14	14	14	27	15	14
3500	20	12	18	15	10	14	14	14	27	15	14
3516	20	12	18	15	10	14	14	14	27	15	14
3519	20	12	18	15	10	14	14	14	27	15	14
3520	20	12	18	15	10	14	14	14	27	15	14
3521	20	12	18	15	10	14	14	14	27	15	14
3522	20	12	18	15	10	14	14	14	27	15	14
3523	20	12	18	15	10	14	14	14	27	15	14
6000	20	12	18	15	10	14	14	14	27	15	14
6001	20	12	18	15	10	14	14	14	27	15	14
6002	20	12	18	15	10	14	14	14	27	15	14
6003	20	12	18	15	10	14	14	14	27	15	14
6004	20	12	18	15	10	14	14	14	27	15	14
6005	20	12	18	15	10	14	14	14	27	15	14
6006	20	12	18	15	10	14	14	14	27	15	14
6007	20	12	18	15	10	14	14	14	27	15	14
6008	20	12	18	15	10	14	14	14	27	15	14
6009	20	12	18	15	10	14	14	14	27	15	14
6010	20	12	18	15	10	14	14	14	27	15	14
6011	20	12	18	15	10	14	14	14	27	15	14
6012	20	12	18	15	10	14	14	14	27	15	14
6013	20	12	18	15	10	14	14	14	27	15	14
6014	20	12	18	15	10	14	14	14	27	15	14
6015	20	12	18	15	10	14	14	14	27	15	14
6016	20	12	18	15	10	14	14	14	27	15	14
6017	20	12	18	15	10	14	14	14	27	15	14
6018	20	12	18	15	10	14	14	14	27	15	14
6019	20	12	18	15	10	14	14	14	27	15	14
6105	20	12	18	15	10	14	14	14	27	15	14
6108	20	12	18	15	10	14	14	14	27	15	14
6109	20	12	18	15	10	14	14	14	27	15	14
6110	20	12	18	15	10	14	14	14	27	15	14
6111	20	12	18	15	10	14	14	14	27	15	14
6112	20	12	18	15	10	14	14	14	27	15	14
6113	20	12	18	15	10	14	14	14	27	15	14
6114	20	12	18	15	10	14	14	14	27	15	14
6124	20	12	18	15	10	14	14	14	27	15	14
7000	20	12	18	15	10	14	14	14	27	15	14
7001	20	12	18	15	10	14	14	14	27	15	14
7002	20	12	18	15	10	14	14	14	27	15	14
7003	20	12	18	15	10	14	14	14	27	15	14
7004	20	12	18	15	10	14	14	14	27	15	14
7005	20	12	18	15	10	14	14	14	27	15	14
7006	20	12	18	15	10	14	14	14	27	15	14
7007	20	12	18	15	10	14	14	14	27	15	14
7008	20	12	18	15	10	14	14	14	27	15	14
7009	20	12	18	15	10	14	14	14	27	15	14
7010	20	12	18	15	10	14	14	14	27	15	14
7011	20	12	18	15	10	14	14	14	27	15	14
7012	20	12	18	15	10	14	14	14	27	15	14
7013	20	12	18	15	10	14	14	14	27	15	14
7014	20	12	18	15	10	14	14	14	27	15	14
7015	20	12	18	15	10	14	14	14	27	15	14
7016	20	12	18	15	10	14	14	14	27	15	14
7017	20	12	18	15	10	14	14	14	27	15	14
7018	20	12	18	15	10	14	14	14	27	15	14
7019	20	12	18	15	10	14	14	14	27	15	14
7020	20	12	18	15	10	14	14	14	27	15	14
7021	20	12	18	15	10	14	14	14	27	15	14
7022	20	12	18	15	10	14	14	14	27	15	14
7023	20	12	18	15	10	14	14	14	27	15	14
7024	20	12	18	15	10	14	14	14	27	15	14
7025	20	12	18	15	10	14	14	14	27	15	14
7026	20	12	18	15	10	14	14	14	27	15	14
7027	20	12	18	15	10	14	14	14	27	15	14
7028	20	12	18	15	10	14	14	14	27	15	14
7029	20	12	18	15	10	14	14	14	27	15	14
7030	20	12	18	15	10	14	14	14	27	15	14
7031	20	12	18	15	10	14	14	14	27	15	14
7032	20	12	18	15	10	14	14	14	27	15	14
7033	20	12	18	15	10	14	14	14	27	15	14
7034	20	12	18	15	10	14	14	14	27	15	14
7035	20	12	18	15	10	14	14	14	27	15	14
7036	20	12	18	15	10	14	14	14	27	15	14
7037	20	12	18	15	10	14	14	14	27	15	14
7038	20	12	18	15	10	14	14	14	27	15	14
7039	20	12	18	15	10	14	14	14	27	15	14
7040	20	12	18	15	10	14	14	14	27	15	14
7041	20	12	18	15	10	14	14	14	27	15	14
7042	20	12	18	15	10	14	14	14	27	15	14
7043	20	12	18	15	10	14	14	14	27	15	14
7044	20	12	18	15	10	14	14	14	27	15	14
7045	20	12	18	15	10	14	14	14	27	15	14
7046	20	12	18	15	10	14	14	14	27	15	14
7047	20	12	18	15	10	14	14	14	27	15	14
7048	20	12	18	15	10	14	14	14	27	15	14
7049	20	12	18	15	10	14	14	14	27	15	14
7050	20	12	18	15	10	14	14	14	27	15	14
7051	20	12	18	15	10	14	14	14	27	15	14
7052	20	12	18	15	10	14	14	14	27	15	14
7053	20	12	18	15	10	14	14	14	27	15	14
7054	20	12	18	15	10	14	14	14	27	15	14
7055	20	12	18	15	10	14	14	14	27	15	14
7056	20	12	18	15	10	14	14	14	27	15	14
7057	20	12	18	15	10	14	14	14	27	15	14
7058	20	12	18	15	10	14	14	14	27	15	14
7059	20	12	18	15	10	14	14	14	27	15	14
7060	20	12	18	15	10	14	14	14	27	15	14
7061	20	12	18	15	10	14	14	14	27	15	14
7062	20	12	18	15	10	14	14	14	27	15	14
7063	20	12	18	15	10	14	14	14	27	15	14
7064	20	12	18	15	10	14	14	14	27	15	14
7065	20	12	18	15	10	14	14	14	27	15	14
7066	20	12	18	15	10	14	14	14	27	15	14
7067	20	12	18	15	10	14	14	14	27	15	14
7068	20	12	18	15	10	14	14	14	27	15	14
7069	20	12	18	15	10	14	14	14	27	15	14
7070	20	12	18	15	10	14	14	14	27	15	14
7071	20	12	18	15	10	14	14	14	27	15	14
7072	20	12	18	15	10	14	14	14	27	15	14
7073	20	12	18	15	10	14	14	14	27	15	14
7074	20	12	18	15	10	14	14	14	27	15	14
7075	20	12	18	15	10	14	14	14	27	15	14
7076	20	12	18	15	10	14	14	14	27	15	14
7077	20	12	18	15	10	14	14	14	27	15	14
7078	20	12	18	15	10	14	14	14	27	15	14
7079	20	12	18	15	10	14	14	14	27	15	14
7080	20	12	18	15	10	14	14	14	27	15	14
7081	20	12	18	15	10	14	14	14	27	15	14
7082	20	12	18	15	10	14	14	14	27	15	14
7083	20	12	18	15	10	14	14	14	27	15	14
7084	20	12	18	15	10	14	14	14	27	15	14
7085	20	12	18	15	10	14	14	14	27	15	14
7086	20	12	18	15	10	14	14	14	27	15	14
7087	20	12	18	15	10	14	14	14	27	15	14
7088	20	12	18	15	10	14	14	14	27	15	14
7089	20	12	18	15	10	14	14	14	27	15	14
7090	20	12	18	15	10	14	14	14	27	15	14
7091	20	12	18	15	10	14	14	14	27	15	14
7092	20	12	18	15	10	14	14	14	27	15	14
7093	20	12	18	15	10	14	14	14	27	15	14
7094	20	12	18	15	10	14	14	14	27	15	14
7095	20	12	18	15	10	14	14	14	27	15	14
7096	20	12	18	15	10	14	14	14	27	15	14
7097	20	12	18	15	10	14	14	14	27	15	14
7098	20	12	18	15	10	14	14	14	27	15	14
7099	20	12	18	15	10	14	14	14	27	15	14
7100	20	12	18	15	10	14	14	14	27	15	14
7101	20	12	18	15	10	14	14	14	27	15	14
7102	20	12	18	15	10	14	14	14	27	15	14
7103	20	12	18	15	10	14	14	14	27	15	14
7104	20	12	18	15	10	14	14	14	27	15	14
7105	20	12	18	15	10	14	14	14	27	15	14
7106	20	12	18	15	10	14	14	14	27	15	14
7107	20	12	18	15	10	14	14	14	27	15	14
7108	20	12	18	15	10	14	14	14	27	15	14
7109	20	12	18	15	10	14	14	14	27	15	14
7110	20	12	18	15	10	14	14	14	27	15	14
7111	20	12	18	15	10	14	14	14	27	15	14
7112	20	12	18	15	10	14	14	14	27	15	14
7113	20	12	18	15	10	14	14	14	27	15	14
7114	20	12	18	15	10	14	14	14	27	15	14
7115	20	12	18	15	10	14	14	14	27	15	14
7116	20	12	18	15	10	14	14	14	27	15	14
7117	20	12	18	15	10	14	14	14	27	15	14
7118	20	12	18	15	10	14	14	14	27	15	14
7119	20	12	18	15	10	14	14	14	27	15	14
7120	20	12	18	15	10	14	14	14	27	15	14
7121	20	12	18	15	10	14	14	14	27	15	14
7122	20	12	18	15	10	14	14	14	27	15	14
7123	20	12	18	15	10	14	14	14	27	15	14
7124	20	12	18	15	10	14	14	14	27	15	14
7125	20	12	18	15	10	14	14	14	27	15	14
7126	20	12	18	15	10	14	14	14	27	15	14
7127	20	12	18	15	10	14	14	14	27	15	14
7128	20	12	18	15	10	14	14	14	27	15	14
7129	20	12	18	15	10	14	14	14	27	15	14
7130	20	12	18	15	10	14	14	14	27	15	14
7131	20	12	18	15	10	14	14	14	27	15	14
7132	20	12	18	15	10	14	14	14	27	15	14
7133	20	12	18	15	10	14	14	14	27	15	14
7134	20	12	18	15	10	14	14	14	27	15	14
7135	20	12	18	15	10	14	14	14	27	15	14
7136	20	12	18	15	10	14	14	14	27	15	14
7137	20	12	18	15	10	14	14	14	27	15	14
7138	20	12	18	15	10	14	14	14	27	15	14
7139	20	12	18	15	10	14	14	14	27	15	14
7140	20	12	18	15	10	14	14	14	27	15	14
7141	20	12	18	15	10	14	14	14	27	15	14
7142	20	12	18	15	10	14	14	14	27	15	14
7143	20	12	18	15	10	14	14	14	27	15	14
7144	20	12	18	15	10	14	14	14	27	15	14
7145	20	12	18	15	10	14	14	14	27	15	14
7146	20	12	18	15	10	14	14	14	27	15	14
7147	20	12	18	15	10	14	14	14	27	15	14
7148	20	12	18	15	10	14	14	14	27	15	14
7149	20	12	18	15	10	14	14	14	27	15	14
7150	20	12	18	15	10	14	14	14	27	15	14
7151	20	12	18	15	10	14	14	14	27	15	14
7152	20	12	18	15	10	14	14	14	27	15	14
7153	20	12	18	15	10	14	14	14	27	15	14
7154	20	12	18	15	10	14	14	14	27	15	14
7155	20	12	18	15	10	14	14	14	27	15	14
7156	20	12	18	15	10	14	14	14	27	15	14
7157	20	12	18	15	10	14	14	14	27	15	14
7158	20	12	18	15	10	14	14	14	27	15	14
7159	20	12	18	15	10	14	14	14	27	15	14
7160	20	12	18	15	10	14	14	14	27	15	14
7161	20	12	18	15	10	14	14	14	27	15	14
7162	20	12	18	15	10	14	14	14	27	15	14
7163	20	12	18	15	10	14	14	14	27	15	14
7164	20	12	18	15	10	14	14	14	27	15	14
7165	20	12	18	15	10	14	14	14	27	15	14
7166	20	12	18	15	10	14	14	14	27	15	14
7167	20	12	18	15	10	14	14	14	27	15	14
7168	20	12	18	15	10	14	14	14	27	15	14
7169	20	12	18	15	10	14	14	14	27	15	14
7170	20	12	18	15	10	14	14	14	27	15	14
7171	20	12	18	15	10	14	14	14	27	15	14
7172	20	12	18	15	10	14	14	14	27	15	14
7173	20	12	18	15	10	14	14	14	27	15	14
7174	20	12	18	15	10	14	14	14	27	15	14
7175	20	12	18	15	10	14	14	14	27	15	14
7176	20	12	18	15	10	14	14	14	27	15	14
7177	20	12	18	15	10	14	14	14	27	15	14
7178	20	12	18	15	10	14	14	14	27	15	14
7179	20	12	18	15	10	14	14	14	27	15	14
7180	20	12	18	15	10	14	14	14	27	15	14
7181	20	12	18	15	10	14	14	14	27	15	14
7182	20	12	18	15	10	14	14	14	27	15	14
7183	20	12	18	15	10	14	14	14	27	15	14
7184	20	12	18	15	10	14	14	14	27	15	14
7185	12	12	12	15	10	12	12	12	27	12	12
7186	12	12	12	15	10	12	12	12	27	12	12
7187	20	12	18	15	10	14	14	14	27	15	14
7188	12	12	12	15	10	12	12	12	27	12	12
7189	12	12	12	15	10	12	12	12	27	12	12
7190	20	12	18	15	10	14	14	14	27	15	14
7191	20	12	18	15	10	14	14	14	27	15	14
7192	20	12	18	15	10	14	14	14	27	15	14
7193	20	12	18	15	10	14	14	14	27	15	14
7194	20	12	18	15	10	14	14	14	27	15	14
7195	20	12	18	15	10	14	14	14	27	15	14
7196	20	12	18	15	10	14	14	14	27	15	14
7197	20	12	18	15	10	14	14	14	27	15	14
7198	20	12	18	15	10	14	14	14	27	15	14
7199	20	12	18	15	10	14	14	14	27	15	14
7200	20	12	18	15	10	14	14	14	27	15	14
7201	20	12	18	15	10	14	14	14	27	15	14
7202	20	12	18	15	10	14	14	14	27	15	14
7203	20	12	18	15	10	14	14	14	27	15	14
7204	20	12	18	15	10	14	14	14	27	15	14
7205	20	12	18	15	10	14	14	14	27	15	14
7206	20	12	18	15	10	14	14	14	27	15	14
7207	20	12	18	15	10	14	14	14	27	15	14
7208	20	12	18	15	10	14	14	14	27	15	14
7209	20	12	18	15	10	14	14	14	27	15	14
7210	20	12	18	15	10	14	14	14	27	15	14
7211	20	12	18	15	10	14	14	14	27	15	14
7313	20	12	18	15	10	14	14	14	27	15	14
7315	20	12	18	15	10	14	14	14	27	15	14
9000	12	12	12	15	10	12	12	12	27	12	12
9001	12	12	12	15	10	12	12	12	27	12	12
9004	20	12	18	15	10	14	14	14	27	15	14
9005	20	12	18	15	10	14	14	14	27	15	14
9006	20	12	18	15	10	14	14	14	27	15	14
9007	20	12	18	15	10	14	14	14	27	15	14
9008	20	12	18	15	10	14	14	14	27	15	14
9009	20	12	18	15	10	14	14	14	27	15	14
9010	20	12	18	15	10	14	14	14	27	15	14
9011	20	12	18	15	10	14	14	14	27	15	14
9012	20	12	18	15	10	14	14	14	27	15	14
9013	20	12	18	15	10	14	14	14	27	15	14
9014	20	12	18	15	10	14	14	14	27	15	14
9015	20	12	18	15	10	14	14	14	27	15	14
9016	20	12	18	15	10	14	14	14	27	15	14
9017	20	12	18	15	10	14	14	14	27	15	14
9018	20	12	18	15	10	14	14	14	27	15	14
9019	20	12	18	15	10	14	14	14	27	15	14
9020	20	12	18	15	10	14	14	14	27	15	14
9021	20	12	18	15	10	14	14	14	27	15	14
9022	20	12	18	15	10	14	14	14	27	15	14
9023	20	12	18	15	10	14	14	14	27	15	14
9024	20	12	18	15	10	14	14	14	27	15	14
9025	20	12	18	15	10	14	14	14	27	15	14
9026	20	12	18	15	10	14	14	14	27	15	14
9027	20	12	18	15	10	14	14	14	27	15	14
9028	20	12	18	15	10	14	14	14	27	15	14
9029	20	12	18	15	10	14	14	14	27	15	14
9030	20	12	18	15	10	14	14	14	27	15	14
9031	20	12	18	15	10	14	14	14	27	15	14
9032	20	12	18	15	10	14	14	14	27	15	14
9033	20	12	18	15	10	14	14	14	27	15	14
9034	20	12	18	15	10	14	14	14	27	15	14
9035	20	12	18	15	10	14	14	14	27	15	14
9036	20	12	18	15	10	14	14	14	27	15	14
9037	20	12	18	15	10	14	14	14	27	15	14
9038	20	12	18	15	10	14	14	14	27	15	14
9039	20	12	18	15	10	14	14	14	27	15	14
9040	20	12	18	15	10	14	14	14	27	15	14
9041	20	12	18	15	10	14	14	14	27	15	14
9042	20	12	18	15	10	14	14	14	27	15	14
9043	20	12	18	15	10	14	14	14	27	15	14
9044	20	12	18	15	10	14	14	14	27	15	14
9045	20	12	18	15	10	14	14	14	27	15	14
9046	20	12	18	15	10	14	14	14	27	15	14
9047	20	12	18	15	10	14	14	14	27	15	14
9048	20	12	18	15	10	14	14	14	27	15	14
9049	20	12	18	15	10	14	14	14	27	15	14
9050	20	12	18	15	10	14	14	14	27	15	14
9051	20	12	18	15	10	14	14	14	27	15	14
9052	20	12	18	15	10	14	14	14	27	15	14
9053	20	12	18	15	10	14	14	14	27	15	14
9054	20	12	18	15	10	14	14	14	27	15	14
9055	20	12	18	15	10	14	14	14	27	15	14
9056	20	12	18	15	10	14	14	14	27	15	14
9057	20	12	18	15	10	14	14	14	27	15	14
9058	20	12	18	15	10	14	14	14	27	15	14
9059	20	12	18	15	10	14	14	14	27	15	14
9060	20	12	18	15	10	14	14	14	27	15	14
9061	20	12	18	15	10	14	14	14	27	15	14
9062	20	12	18	15	10	14	14	14	27	15	14
9063	20	12	18	15	10	14	14	14	27	15	14
9064	20	12	18	15	10	14	14	14	27	15	14
9065	20	12	18	15	10	14	14	14	27	15	14
9275	20	12	18	15	10	14	14	14	27	15	14
9276	20	12	18	15	10	14	14	14	27	15	14
9277	20	12	18	15	10	14	14	14	27	15	14
9278	20	12	18	15	10	14	14	14	27	15	14
9279	20	12	18	15	10	14	14	14	27	15	14
9280	20	12	18	15	10	14	14	14	27	15	14
9281	20	12	18	15	10	14	14	14	27	15	14
9282	20	12	18	15	10	14	14	14	27	15	14
9284	20	12	18	15	10	14	14	14	27	15	14
9285	20	12	18	15	10	14	14	14	27	15	14
9286	20	12	18	15	10	14	14	14	27	15	14
9287	20	12	18	15	10	14	14	14	27	15	14
9288	20	12	18	15	10	14	14	14	27	15	14
9289	20	12	18	15	10	14	14	14	27	15	14
9290	20	12	18	15	10	14	14	14	27	15	14
9293	20	12	18	15	10	14	14	14	27	15	14
9294	20	12	18	15	10	14	14	14	27	15	14
9295	20	12	18	15	10	14	14	14	27	15	14
9296	20	12	18	15	10	14	14	14	27	15	14
9308	20	12	18	15	10	14	14	14	27	15	14
9319	20	12	18	15	10	14	14	14	27	15	14
9320	20	12	18	15	10	14	14	14	27	15	14
9321	20	12	18	15	10	14	14	14	27	15	14
9322	20	12	18	15	10	14	14	14	27	15	14
10000	12	12	12	15	10	12	12	12	27	12	12
10001	12	12	12	15	10	12	12	12	27	12	12
10002	12	12	12	15	10	12	12	12	27	12	12
11000	20	12	18	15	10	14	14	14	27	15	14
11001	20	12	18	15	10	14	14	14	27	15	14
11043	20	12	18	15	10	14	14	14	27	15	14
11100	20	12	18	15	10	14	14	14	27	15	14
11109	20	12	18	15	10	14	14	14	27	15	14
11110	20	12	18	15	10	14	14	14	27	15	14
11111	20	12	18	15	10	14	14	14	27	15	14
11112	20	12	18	15	10	14	14	14	27	15	14
11113	20	12	18	15	10	14	14	14	27	15	14
11114	20	12	18	15	10	14	14	14	27	15	14
11115	20	12	18	15	10	14	14	14	27	15	14
11116	20	12	18	15	10	14	14	14	27	15	14
11120	12	12	12	15	10	12	12	12	27	12	12
11130	20	12	18	15	10	14	14	14	27	15	14
11131	20	12	18	15	10	14	14	14	27	15	14
11132	20	12	18	15	10	14	14	14	27	15	14
11133	20	12	18	15	10	14	14	14	27	15	14
11134	20	12	18	15	10	14	14	14	27	15	14
11135	20	12	18	15	10	14	14	14	27	15	14
11136	20	12	18	15	10	14	14	14	27	15	14
11137	20	12	18	15	10	14	14	14	27	15	14
11138	20	12	18	15	10	14	14	14	27	15	14
11139	20	12	18	15	10	14	14	14	27	15	14
11140	20	12	18	15	10	14	14	14	27	15	14
11141	20	12	18	15	10	14	14	14	27	15	14
11142	20	12	18	15	10	14	14	14	27	15	14
11143	20	12	18	15	10	14	14	14	27	15	14
12001	20	12	18	15	10	14	14	14	27	15	14
12002	20	12	18	15	10	14	14	14	27	15	14
12003	20	12	18	15	10	14	14	14	27	15	14
12004	20	12	18	15	10	14	14	14	27	15	14
12005	20	12	18	15	10	14	14	14	27	15	14
12006	20	12	18	15	10	14	14	14	27	15	14
12007	20	12	18	15	10	14	14	14	27	15	14
12008	20	12	18	15	10	14	14	14	27	15	14
12009	20	12	18	15	10	14	14	14	27	15	14
12010	20	12	18	15	10	14	14	14	27	15	14
12011	20	12	18	15	10	14	14	14	27	15	14
12012	20	12	18	15	10	14	14	14	27	15	14
12013	20	12	18	15	10	14	14	14	27	15	14
12014	20	12	18	15	10	14	14	14	27	15	14
12015	20	12	18	15	10	14	14	14	27	15	14
12016	20	12	18	15	10	14	14	14	27	15	14
12017	20	12	18	15	10	14	14	14	27	15	14
12018	20	12	18	15	10	14	14	14	27	15	14
12019	20	12	18	15	10	14	14	14	27	15	14
12020	20	12	18	15	10	14	14	14	27	15	14
12021	20	12	18	15	10	14	14	14	27	15	14
12022	20	12	18	15	10	14	14	14	27	15	14
12023	20	12	18	15	10	14	14	14	27	15	14
12024	24	20	20	18	24	27	27	27	27	27	13
12025	24	20	20	18	24	27	27	27	27	27	13
12026	24	20	20	18	24	27	27	27	27	27	13
12027	24	20	20	18	24	27	27	27	27	27	13
12028	72	20	20	18	24	27	27	27	27	27	13
12029	72	20	20	18	24	27	27	27	27	27	13
12030	20	12	18	15	10	14	14	14	27	15	14
12031	20	12	18	15	10	14	14	14	27	15	14
12032	20	12	18	15	10	14	14	14	27	15	14
12033	20	12	18	15	10	14	14	14	27	15	14
12034	20	12	18	15	10	14	14	14	27	15	14
12035	20	12	18	15	10	14	14	14	27	15	14
12036	20	12	18	15	10	14	14	14	27	15	14
12037	20	12	18	15	10	14	14	14	27	15	14
12038	20	12	18	15	10	14	14	14	27	15	14
12039	20	12	18	15	10	14	14	14	27	15	14
12040	20	12	18	15	10	14	14	14	27	15	14
12041	20	12	18	15	10	14	14	14	27	15	14
12042	20	12	18	15	10	14	14	14	27	15	14
12043	20	12	18	15	10	14	14	14	27	15	14
12044	20	12	18	15	10	14	14	14	27	15	14
12045	20	12	18	15	10	14	14	14	27	15	14
12046	20	12	18	15	10	14	14	14	27	15	14
12047	20	12	18	15	10	14	14	14	27	15	14
12048	20	12	18	15	10	14	14	14	27	15	14
12257	20	12	18	15	10	14	14	14	27	15	14
12258	20	12	18	15	10	14	14	14	27	15	14
12259	20	12	18	15	10	14	14	14	27	15	14
12260	20	12	18	15	10	14	14	14	27	15	14
12261	20	12	18	15	10	14	14	14	27	15	14
