Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	IsAdd2Auction
12	Item	30953	1	OpenLevel59	OpenLevel79	0
12	Item	30517	1	OpenLevel79	OpenLevel99	0
12	Item	846	1	OpenLevel79	OpenLevel99	0
12	Item	2433	1	OpenLevel79	OpenLevel99	0
12	Item	30954	1	OpenLevel79	OpenLevel99	0
12	Item	30517	1	OpenLevel99	OpenLevel119	0
12	Item	846	1	OpenLevel99	OpenLevel119	0
12	Item	2433	1	OpenLevel99	OpenLevel119	0
12	Item	30955	1	OpenLevel99	OpenLevel119	0
12	Item	30517	1	OpenLevel119	OpenLevel139	0
12	Item	846	1	OpenLevel119	OpenLevel139	0
12	Item	2433	1	OpenLevel119	OpenLevel139	0
12	Item	30956	1	OpenLevel119	OpenLevel139	0
12	Item	30517	1	OpenLevel139	OpenLevel159	0
12	Item	846	1	OpenLevel139	OpenLevel159	0
12	Item	2433	1	OpenLevel139	OpenLevel159	0
12	Item	30957	1	OpenLevel139	OpenLevel159	0
12	Item	30517	1	OpenLevel159	OpenLevel179	0
12	Item	846	1	OpenLevel159	OpenLevel179	0
12	Item	2433	1	OpenLevel159	OpenLevel179	0
12	Item	30958	1	OpenLevel159	OpenLevel179	0
12	Item	30517	1	OpenLevel179	OpenLevel199	0
12	Item	846	1	OpenLevel179	OpenLevel199	0
12	Item	2433	1	OpenLevel179	OpenLevel199	0
12	Item	30959	1	OpenLevel179	OpenLevel199	0
12	Item	30517	1	OpenLevel199		0
12	Item	846	1	OpenLevel199		0
12	Item	2433	1	OpenLevel199		0
12	Item	30960	1	OpenLevel199		0
11	Item	30517	2		OpenLevel59	0
11	Item	846	1		OpenLevel59	0
11	Item	2433	2		OpenLevel59	0
11	Item	30942	1		OpenLevel59	0
11	Item	30517	2	OpenLevel59	OpenLevel79	0
11	Item	846	1	OpenLevel59	OpenLevel79	0
11	Item	2433	2	OpenLevel59	OpenLevel79	0
11	Item	30943	1	OpenLevel59	OpenLevel79	0
11	Item	30517	2	OpenLevel79	OpenLevel99	0
11	Item	846	1	OpenLevel79	OpenLevel99	0
11	Item	2433	2	OpenLevel79	OpenLevel99	0
11	Item	30944	1	OpenLevel79	OpenLevel99	0
11	Item	30517	2	OpenLevel99	OpenLevel119	0
11	Item	846	1	OpenLevel99	OpenLevel119	0
11	Item	2433	2	OpenLevel99	OpenLevel119	0
11	Item	30945	1	OpenLevel99	OpenLevel119	0
11	Item	30517	2	OpenLevel119	OpenLevel139	0
11	Item	846	1	OpenLevel119	OpenLevel139	0
11	Item	2433	2	OpenLevel119	OpenLevel139	0
11	Item	30946	1	OpenLevel119	OpenLevel139	0
11	Item	30517	2	OpenLevel139	OpenLevel159	0
11	Item	846	1	OpenLevel139	OpenLevel159	0
11	Item	2433	2	OpenLevel139	OpenLevel159	0
11	Item	30947	1	OpenLevel139	OpenLevel159	0
11	Item	30517	2	OpenLevel159	OpenLevel179	0
11	Item	846	1	OpenLevel159	OpenLevel179	0
11	Item	2433	2	OpenLevel159	OpenLevel179	0
11	Item	30948	1	OpenLevel159	OpenLevel179	0
11	Item	30517	2	OpenLevel179	OpenLevel199	0
11	Item	846	1	OpenLevel179	OpenLevel199	0
11	Item	2433	2	OpenLevel179	OpenLevel199	0
11	Item	30949	1	OpenLevel179	OpenLevel199	0
11	Item	30517	2	OpenLevel199		0
11	Item	846	1	OpenLevel199		0
11	Item	2433	2	OpenLevel199		0
11	Item	30950	1	OpenLevel199		0
