nAttrId	nQuality	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
14	7	ignore_defense_v	108	119				
15	1	series_abate_v	5	24				
15	2	series_abate_v	25	42				
15	3	series_abate_v	43	60				
15	4	series_abate_v	61	77				
15	5	series_abate_v	78	95				
15	6	series_abate_v	96	107				
15	7	series_abate_v	108	119				
16	1	deadlystrike_v	5	24				
16	2	deadlystrike_v	25	42				
16	3	deadlystrike_v	43	60				
16	4	deadlystrike_v	61	77				
16	5	deadlystrike_v	78	95				
16	6	deadlystrike_v	96	107				
16	7	deadlystrike_v	108	119				
17	1	deadlystrike_damage_v	5	24				
17	2	deadlystrike_damage_v	25	42				
17	3	deadlystrike_damage_v	43	60				
17	4	deadlystrike_damage_v	61	77				
17	5	deadlystrike_damage_v	78	95				
17	6	deadlystrike_damage_v	96	107				
17	7	deadlystrike_damage_v	108	119				
18	1	weaken_deadlystrike_damage_v	5	24				
18	2	weaken_deadlystrike_damage_v	25	42				
18	3	weaken_deadlystrike_damage_v	43	60				
18	4	weaken_deadlystrike_damage_v	61	77				
18	5	weaken_deadlystrike_damage_v	78	95				
18	6	weaken_deadlystrike_damage_v	96	107				
18	7	weaken_deadlystrike_damage_v	108	119				
19	1	weaken_deadlystrike_v	5	24				
19	2	weaken_deadlystrike_v	25	42				
19	3	weaken_deadlystrike_v	43	60				
19	4	weaken_deadlystrike_v	61	77				
19	5	weaken_deadlystrike_v	78	95				
19	6	weaken_deadlystrike_v	96	107				
19	7	weaken_deadlystrike_v	108	119				
20	1	attackrating_v	5	24				
20	2	attackrating_v	25	42				
20	3	attackrating_v	43	60				
20	4	attackrating_v	61	77				
20	5	attackrating_v	78	95				
20	6	attackrating_v	96	107				
20	7	attackrating_v	108	119				
21	1	energy_v	5	24				
21	2	energy_v	25	42				
21	3	energy_v	43	60				
21	4	energy_v	61	77				
21	5	energy_v	78	95				
21	6	energy_v	96	107				
21	7	energy_v	108	119				
22	1	vitality_v	5	24				
22	2	vitality_v	25	42				
22	3	vitality_v	43	60				
22	4	vitality_v	61	77				
22	5	vitality_v	78	95				
22	6	vitality_v	96	107				
22	7	vitality_v	108	119				
23	1	meleedamage_return_v	20	95				
23	2	meleedamage_return_v	96	167				
23	3	meleedamage_return_v	168	238				
23	4	meleedamage_return_v	239	310				
23	5	meleedamage_return_v	311	381				
23	6	meleedamage_return_v	382	429				
23	7	meleedamage_return_v	430	477				
24	1	rangedamage_return_v	20	95				
24	2	rangedamage_return_v	96	167				
24	3	rangedamage_return_v	168	238				
24	4	rangedamage_return_v	239	310				
24	5	rangedamage_return_v	311	381				
24	6	rangedamage_return_v	382	429				
24	7	rangedamage_return_v	430	477				
25	1	return_resist_melee_v	20	95				
25	2	return_resist_melee_v	96	167				
25	3	return_resist_melee_v	168	238				
25	4	return_resist_melee_v	239	310				
25	5	return_resist_melee_v	311	381				
25	6	return_resist_melee_v	382	429				
25	7	return_resist_melee_v	430	477				
26	1	return_resist_range_v	20	95				
26	2	return_resist_range_v	96	167				
26	3	return_resist_range_v	168	238				
26	4	return_resist_range_v	239	310				
26	5	return_resist_range_v	311	381				
26	6	return_resist_range_v	382	429				
26	7	return_resist_range_v	430	477				
27	1	manamax_v	99	477				
27	2	manamax_v	478	834				
27	3	manamax_v	835	1192				
27	4	manamax_v	1193	1549				
27	5	manamax_v	1550	1906				
27	6	manamax_v	1907	2145				
27	7	manamax_v	2146	2383				
28	1	recover_life_v	5	24	9	9		
28	2	recover_life_v	25	42	9	9		
28	3	recover_life_v	43	60	9	9		
28	4	recover_life_v	61	77	9	9		
28	5	recover_life_v	78	95	9	9		
28	6	recover_life_v	96	107	9	9		
28	7	recover_life_v	108	119	9	9		
29	1	recover_mana_v	5	24	9	9		
29	2	recover_mana_v	25	42	9	9		
29	3	recover_mana_v	43	60	9	9		
29	4	recover_mana_v	61	77	9	9		
29	5	recover_mana_v	78	95	9	9		
29	6	recover_mana_v	96	107	9	9		
29	7	recover_mana_v	108	119	9	9		
30	1	stealmana_v	10	48				
30	2	stealmana_v	49	83				
30	3	stealmana_v	84	119				
30	4	stealmana_v	120	155				
30	5	stealmana_v	156	191				
30	6	stealmana_v	192	214				
30	7	stealmana_v	215	238				
31	1	stealmana_resist_v	10	48				
31	2	stealmana_resist_v	49	83				
31	3	stealmana_resist_v	84	119				
31	4	stealmana_resist_v	120	155				
31	5	stealmana_resist_v	156	191				
31	6	stealmana_resist_v	192	214				
31	7	stealmana_resist_v	215	238				
