nAttrId	nQuality	szAttrType	nAttrValue1	nAttrValue2	nAttrValue3	_Design1	_Design2
14	5	lifemax_v	894			<i18n=36424>	<i18n=15192>
14	6	lifemax_v	1013			<i18n=36424>	<i18n=15192>
14	7	lifemax_v	1192			<i18n=36424>	<i18n=15192>
15	100	recover_life_v	30	9		<i18n=基础属性>	<i18n=5476>
15	1	recover_life_v	6	9		<i18n=36424>	<i18n=5476>
15	2	recover_life_v	15	9		<i18n=36424>	<i18n=5476>
15	3	recover_life_v	24	9		<i18n=36424>	<i18n=5476>
15	4	recover_life_v	36	9		<i18n=36424>	<i18n=5476>
15	5	recover_life_v	45	9		<i18n=36424>	<i18n=5476>
15	6	recover_life_v	51	9		<i18n=36424>	<i18n=5476>
15	7	recover_life_v	60	9		<i18n=36424>	<i18n=5476>
16	100	steallife_v	60			<i18n=基础属性>	<i18n=17707>
16	1	steallife_v	12			<i18n=36424>	<i18n=17707>
16	2	steallife_v	30			<i18n=36424>	<i18n=17707>
16	3	steallife_v	48			<i18n=36424>	<i18n=17707>
16	4	steallife_v	72			<i18n=36424>	<i18n=17707>
16	5	steallife_v	89			<i18n=36424>	<i18n=17707>
16	6	steallife_v	101			<i18n=36424>	<i18n=17707>
16	7	steallife_v	119			<i18n=36424>	<i18n=17707>
17	100	steallife_resist_v	60			<i18n=基础属性>	<i18n=36798>
17	1	steallife_resist_v	12			<i18n=36424>	<i18n=36798>
17	2	steallife_resist_v	30			<i18n=36424>	<i18n=36798>
17	3	steallife_resist_v	48			<i18n=36424>	<i18n=36798>
17	4	steallife_resist_v	72			<i18n=36424>	<i18n=36798>
17	5	steallife_resist_v	89			<i18n=36424>	<i18n=36798>
17	6	steallife_resist_v	101			<i18n=36424>	<i18n=36798>
17	7	steallife_resist_v	119			<i18n=36424>	<i18n=36798>
