nTemplateId	nStarLevel	szIteration	nRecycleMaterialId	nRecycleMaterialNum	nRandAttrGroupId	nFixedAttr1Id	nFixedAttr1MinValue1	nFixedAttr1MaxValue1	nFixedAttr1MinValue2	nFixedAttr1MaxValue2	nFixedAttr1MinValue3	nFixedAttr1MaxValue3	nFixedAttr2Id	nFixedAttr2MinValue1	nFixedAttr2MaxValue1	nFixedAttr2MinValue2	nFixedAttr2MaxValue2	nFixedAttr2MinValue3	nFixedAttr2MaxValue3	nFixedAttr3Id	nFixedAttr3MinValue1	nFixedAttr3MaxValue1	nFixedAttr3MinValue2	nFixedAttr3MaxValue2	nFixedAttr3MinValue3	nFixedAttr3MaxValue3	nFixedAttr4Id	nFixedAttr4MinValue1	nFixedAttr4MaxValue1	nFixedAttr4MinValue2	nFixedAttr4MaxValue2	nFixedAttr4MinValue3	nFixedAttr4MaxValue3
83001	1	T1	80000	2	0	20	25	30	0	0	0	0	16	25	30	0	0	0	0	15	25	30	0	0	0	0	8	25	30	0	0	0	0
83002	2	T1	80000	4	0	20	42	50	0	0	0	0	16	42	50	0	0	0	0	15	42	50	0	0	0	0	8	42	50	0	0	0	0
83003	3	T1	80000	6	0	20	58	70	0	0	0	0	16	58	70	0	0	0	0	15	58	70	0	0	0	0	8	58	70	0	0	0	0
83004	4	T1	80000	15	1	20	75	90	0	0	0	0	16	75	90	0	0	0	0	15	75	90	0	0	0	0	8	75	90	0	0	0	0
83005	5	T1	80000	50	2	20	92	109	0	0	0	0	16	92	109	0	0	0	0	15	92	109	0	0	0	0	8	92	109	0	0	0	0
83006	6	T2	80000	2	0	20	58	70	0	0	0	0	16	58	70	0	0	0	0	15	58	70	0	0	0	0	8	58	70	0	0	0	0
83007	7	T2	80000	4	0	20	75	90	0	0	0	0	16	75	90	0	0	0	0	15	75	90	0	0	0	0	8	75	90	0	0	0	0
83008	8	T2	80000	6	0	20	92	109	0	0	0	0	16	92	109	0	0	0	0	15	92	109	0	0	0	0	8	92	109	0	0	0	0
83009	9	T2	80000	15	2	20	105	126	0	0	0	0	16	105	126	0	0	0	0	15	105	126	0	0	0	0	8	105	126	0	0	0	0
83010	10	T2	80000	50	3	20	119	142	0	0	0	0	16	119	142	0	0	0	0	15	119	142	0	0	0	0	8	119	142	0	0	0	0
83011	11	T3	80000	2	0	20	92	109	0	0	0	0	16	92	109	0	0	0	0	15	92	109	0	0	0	0	8	92	109	0	0	0	0
83012	12	T3	80000	4	0	20	105	126	0	0	0	0	16	105	126	0	0	0	0	15	105	126	0	0	0	0	8	105	126	0	0	0	0
83013	13	T3	80000	6	0	20	119	142	0	0	0	0	16	119	142	0	0	0	0	15	119	142	0	0	0	0	8	119	142	0	0	0	0
83014	14	T3	80000	15	3	20	133	159	0	0	0	0	16	133	159	0	0	0	0	15	133	159	0	0	0	0	8	133	159	0	0	0	0
83015	15	T3	80000	50	4	20	147	175	0	0	0	0	16	147	175	0	0	0	0	15	147	175	0	0	0	0	8	147	175	0	0	0	0
83016	16	T4	80000	2	0	20	119	142	0	0	0	0	16	119	142	0	0	0	0	15	119	142	0	0	0	0	8	119	142	0	0	0	0
83017	17	T4	80000	4	0	20	133	159	0	0	0	0	16	133	159	0	0	0	0	15	133	159	0	0	0	0	8	133	159	0	0	0	0
83018	18	T4	80000	6	0	20	147	175	0	0	0	0	16	147	175	0	0	0	0	15	147	175	0	0	0	0	8	147	175	0	0	0	0
83019	19	T4	80000	15	4	20	160	192	0	0	0	0	16	160	192	0	0	0	0	15	160	192	0	0	0	0	8	160	192	0	0	0	0
83020	20	T4	80000	50	5	20	174	208	0	0	0	0	16	174	208	0	0	0	0	15	174	208	0	0	0	0	8	174	208	0	0	0	0
87000	5	T1	80000	100	13	1	109	119	0	0	109	119	18	2178	2376	0	0	0	0	14	100	100	109	119	0	0	25	218	238	0	0	0	0
87001	10	T2	80000	100	14	1	142	155	0	0	142	155	18	2832	3089	0	0	0	0	14	100	100	142	155	0	0	25	284	309	0	0	0	0
87002	15	T3	80000	100	15	1	175	191	0	0	175	191	18	3492	3809	0	0	0	0	14	100	100	175	191	0	0	25	350	381	0	0	0	0
87003	20	T4	80000	100	16	1	208	227	0	0	208	227	18	4152	4529	0	0	0	0	14	100	100	208	227	0	0	25	416	453	0	0	0	0
88000	5	T1	80000	100	13	17	109	119	0	0	0	0	21	109	119	0	0	0	0	24	218	238	0	0	0	0	19	2178	2376	0	0	0	0
88001	10	T2	80000	100	14	17	142	155	0	0	0	0	21	142	155	0	0	0	0	24	284	309	0	0	0	0	19	2832	3089	0	0	0	0
88002	15	T3	80000	100	15	17	175	191	0	0	0	0	21	175	191	0	0	0	0	24	350	381	0	0	0	0	19	3492	3809	0	0	0	0
88003	20	T4	80000	100	16	17	208	227	0	0	0	0	21	208	227	0	0	0	0	24	416	453	0	0	0	0	19	4152	4529	0	0	0	0
89000	5	T1	80000	100	13	20	109	119	0	0	0	0	16	109	119	0	0	0	0	15	109	119	0	0	0	0	8	109	119	0	0	0	0
89001	10	T2	80000	100	14	20	142	155	0	0	0	0	16	142	155	0	0	0	0	15	142	155	0	0	0	0	8	142	155	0	0	0	0
89002	15	T3	80000	100	15	20	175	191	0	0	0	0	16	175	191	0	0	0	0	15	175	191	0	0	0	0	8	175	191	0	0	0	0
89003	20	T4	80000	100	16	20	208	227	0	0	0	0	16	208	227	0	0	0	0	15	208	227	0	0	0	0	8	208	227	0	0	0	0
