Sex	Action	Direction	PartOrder
0	4	3	5,3,10,11,2,12,4,0,1,7,6,8,9
0	4	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	4	5	5,3,10,11,2,12,4,0,1,7,6,8,9
0	4	6	8,12,9,11,3,5,2,10,1,0,7,4,6
0	4	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	5	0	9,8,12,11,1,7,6,4,3,2,10,5,0
0	5	1	7,8,9,1,5,3,2,0,6,4
0	5	2	5,3,2,1,0,4,6
0	5	3	5,3,2,1,0,7,4,6,9,8
0	5	4	10,11,5,3,2,12,0,4,6,7,1,8,9
0	5	5	5,3,2,1,0,7,4,6,9,8
0	5	6	5,3,2,1,0,4,6
0	5	7	7,8,9,1,5,3,2,0,6,4
0	6	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	6	1	7,8,9,1,5,3,2,0,6,4
0	6	2	3,5,8,7,2,1,0,7,6,4,9
0	6	3	5,3,10,11,2,12,1,0,7,6,4,8,9
0	6	4	10,11,5,3,2,12,4,0,6,7,1,8,9
0	6	5	5,3,10,11,2,12,1,0,7,6,4,8,9
0	6	6	3,5,8,2,1,0,7,6,4,9
0	6	7	7,8,9,1,5,3,2,0,6,4
0	7	0	8,9,12,11,1,7,4,2,3,10,5,0,6
0	7	1	5,7,8,9,1,3,2,0,4,6
0	7	2	5,8,9,3,2,1,0,7,4,6
0	7	3	5,3,2,1,0,7,4,6,8,9
0	7	4	3,2,4,5,6,0,7,1,8,9
0	7	5	5,3,2,1,0,7,4,6,8,9
0	7	6	5,8,9,3,2,1,0,7,4,6
0	7	7	5,7,8,9,1,3,2,0,4,6
0	8	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	8	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	8	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	8	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	8	4	10,11,5,3,2,12,0,4,6,7,1,8,9
0	8	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	8	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	8	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	9	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	9	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	9	2	5,3,2,1,0,4,6
0	9	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	9	4	10,11,5,3,2,12,0,4,7,1,6,8,9
0	9	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	9	6	5,3,2,1,0,4,6
0	9	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	10	0	8,9,12,11,1,7,4,2,3,10,5,0,6
0	10	1	12,11,7,1,5,3,2,10,0,4,6,8,9
0	10	2	11,3,5,2,10,8,7,1,0,12,4,6,9
0	10	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	10	4	6,10,11,5,3,2,12,7,1,0,4,8,9
0	10	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	10	6	11,3,5,2,10,8,7,1,0,12,4,6,9
0	10	7	12,11,7,1,5,3,2,10,0,4,6,8,9
0	11	0	8,9,12,11,1,7,6,4,2,3,10,0,5
0	11	1	8,9,12,11,7,1,3,2,5,10,0,4,6
0	11	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	11	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	11	4	10,11,5,3,2,12,0,4,6,7,1,8,9
0	11	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	11	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	11	7	8,9,12,11,7,1,3,2,5,10,0,4,6
0	12	0	10,11,12,4,6,7,2,1,0,3,5
0	12	1	12,11,7,1,5,3,2,10,0,6,4
0	12	2	5,3,10,11,12,2,7,1,0,6,4
0	12	3	5,3,10,11,2,12,7,1,0,6,4
0	12	4	10,11,5,3,2,12,7,1,0,4,6
0	12	5	5,3,10,11,2,12,7,1,0,6,4
0	12	6	5,3,10,11,12,2,7,1,0,6,4
0	12	7	12,11,7,1,5,3,2,10,0,6,4
0	13	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	13	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	13	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	13	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	13	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	13	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	13	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	13	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	14	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	14	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	14	2	5,3,2,1,0,4,6
0	14	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	14	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	14	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	14	6	5,3,2,1,0,4,6
0	14	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	15	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	15	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	15	2	5,3,2,1,0,4,6
0	15	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	15	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	15	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	15	6	5,3,2,1,0,4,6
0	15	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	16	0	8,9,12,11,1,7,3,2,4,10,5,0,6
0	16	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	16	2	11,3,5,2,10,8,7,1,0,12,4,6,9
0	16	3	6,5,3,10,11,2,12,7,1,0,4,8,9
0	16	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	16	5	6,5,3,10,11,2,12,7,1,0,4,8,9
0	16	6	11,3,5,2,10,8,7,1,0,12,4,6,9
0	16	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	17	0	8,9,12,11,1,7,4,2,3,10,5,0,6
0	17	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	17	2	11,3,5,2,10,8,7,1,0,12,4,6,9
0	17	3	6,5,3,10,4,11,2,12,7,1,0,8,9
0	17	4	6,10,11,5,3,2,12,7,1,0,4,8,9
0	17	5	6,5,3,10,4,11,2,12,7,1,0,8,9
0	17	6	11,3,5,2,10,8,7,1,0,12,4,6,9
0	17	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	18	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	18	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	18	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	18	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	18	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	18	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	18	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	18	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	19	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	19	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	19	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	19	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	19	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	19	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	19	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	19	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	20	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	20	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	20	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	20	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	20	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	20	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	20	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	20	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	21	0	1,4,2,3,5,6,0
0	21	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	21	2	5,3,2,1,0,4,6
0	21	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	21	4	5,3,2,1,4,6,0
0	21	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	21	6	5,3,2,1,0,4,6
0	21	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	22	0	8,9,12,11,1,7,4,2,3,10,0,5,6
0	22	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	22	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	22	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	22	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	22	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	22	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	22	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	23	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	23	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	23	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	23	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	23	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	23	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	23	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	23	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	24	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	24	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	24	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	24	3	5,3,10,11,2,12,7,0,1,6,4,8,9
0	24	4	10,11,5,3,2,12,0,4,6,7,1,8,9
0	24	5	5,3,10,11,2,12,7,0,1,6,4,8,9
0	24	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	24	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	25	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	25	1	1,5,3,2,0,6,4
0	25	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	25	3	5,3,10,11,2,12,7,0,1,6,4,8,9
0	25	4	10,11,5,3,2,12,7,0,1,4,6,8,9
0	25	5	5,3,10,11,2,12,7,0,1,6,4,8,9
0	25	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	25	7	1,5,3,2,0,6,4
0	26	0	8,9,12,11,1,7,2,0,6,4,3,5,10
0	26	1	12,7,8,9,11,1,5,3,2,10,0,4,6
0	26	2	12,5,3,11,1,7,10,2,0,8,9,4,6
0	26	3	5,3,10,11,12,2,4,7,0,1,6,8,9
0	26	4	10,11,3,4,12,2,7,0,1,6,5,8,9
0	26	5	5,3,10,11,12,2,4,7,0,1,6,8,9
0	26	6	12,5,3,11,1,7,10,2,0,8,9,4,6
0	26	7	12,7,8,9,11,1,5,3,2,10,0,4,6
0	27	0	8,9,12,11,1,7,6,4,2,3,5,0,10
0	27	1	5,12,7,8,11,1,3,2,10,0,4,6
0	27	2	11,5,10,3,12,1,0,4,2,7,8,6
0	27	3	3,5,10,11,12,2,1,0,7,4,6,8
0	27	4	10,11,5,3,12,2,0,4,1,7,6
0	27	5	3,5,10,11,12,2,1,0,7,4,6,8
0	27	6	11,5,10,3,12,1,0,4,2,7,8,6
0	27	7	5,12,7,8,11,1,3,2,10,0,4,6
0	28	0	8,9,12,11,1,7,4,2,3,10,5,0,6
0	28	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	28	2	5,11,10,3,2,12,7,0,1,4,6
0	28	3	5,3,10,11,2,8,12,7,1,0,6,4,9
0	28	4	10,11,5,3,12,2,6,4,7,1,0,8,9
0	28	5	5,3,10,11,2,8,12,7,1,0,6,4,9
0	28	6	5,11,10,3,2,12,7,0,1,4,6
0	28	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	29	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	29	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	29	2	12,11,7,3,5,8,2,1,0,10,4,9,6
0	29	3	5,3,10,11,12,2,7,1,0,6,4,8,9
0	29	4	10,11,5,3,2,12,7,0,1,4,6,8,9
0	29	5	5,3,10,11,12,2,7,1,0,6,4,8,9
0	29	6	12,11,7,3,5,8,2,1,0,10,4,9,6
0	29	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	30	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	30	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	30	2	11,12,5,7,0,1,10,3,2,4,6
0	30	3	5,3,10,11,12,2,7,1,0,6,4,8,9
0	30	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	30	5	5,3,10,11,12,2,7,1,0,6,4,8,9
0	30	6	11,12,5,7,0,1,10,3,2,4,6
0	30	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	31	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	31	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	31	2	11,12,3,5,7,2,1,10,0,4,6
0	31	3	5,3,10,11,2,12,1,0,7,6,4
0	31	4	10,11,5,3,2,12,1,0,7,4,6
0	31	5	5,3,10,11,2,12,1,0,7,6,4
0	31	6	11,12,3,5,7,2,1,10,0,4,6
0	31	7	12,7,8,9,11,1,5,3,2,10,0,6,4
0	32	0	5,12,11,1,7,6,4,2,3,10,0
0	32	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	32	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	32	3	5,3,10,11,2,12,0,6,4,7,1
0	32	4	10,11,5,3,2,12,7,1,0,4,6,8,9
0	32	5	5,3,10,11,2,12,0,6,4,7,1
0	32	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	32	7	12,7,8,9,11,1,5,3,2,10,0,6,4
1	0	0	8,9,1,7,4,6,2,3,5,0
1	0	1	8,9,7,1,3,2,0,4,6,5
1	0	2	5,7,3,2,1,0,4,6,8,9
1	0	3	5,3,2,7,1,0,4,6,8,9
1	0	4	5,3,2,0,6,4,7,1,8,9
1	0	5	5,3,2,7,1,0,4,6,8,9
1	0	6	5,7,3,2,1,0,4,6,8,9
1	0	7	8,9,7,1,3,2,0,4,6,5
1	1	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	1	1	8,9,7,1,3,2,0,4,5,6
1	1	2	8,9,5,3,7,1,2,0,4,6
1	1	3	5,3,7,2,1,0,4,6,8,9
1	1	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	1	5	5,3,7,2,1,0,4,6,8,9
1	1	6	8,9,5,3,7,1,2,0,4,6
1	1	7	8,9,7,1,3,2,0,4,5,6
1	2	0	8,12,11,1,7,4,2,3,6,10,5,0,9
1	2	1	8,9,7,1,5,3,2,0,4,6
1	2	2	8,9,5,3,7,1,2,0,4,6
1	2	3	5,3,2,7,1,0,4,6,8,9
1	2	4	6,3,2,4,0,5,7,1,8,9
1	2	5	5,3,2,7,1,0,4,6,8,9
1	2	6	8,9,5,3,7,1,2,0,4,6
1	2	7	8,9,7,1,5,3,2,0,4,6
1	3	0	8,9,1,7,4,6,2,3,5,0
1	3	1	8,9,7,1,3,2,0,4,6,5
1	3	2	3,7,1,5,2,0,4,6,8,9
1	3	3	5,3,7,1,2,0,4,6,8,9
1	3	4	5,3,2,0,4,7,1,9,8,6
1	3	5	5,3,7,1,2,0,4,6,8,9
1	3	6	3,7,1,5,2,0,4,6,8,9
1	3	7	8,9,7,1,3,2,0,4,6,5
1	4	0	8,9,12,11,1,7,4,6,2,3,10,5,0
1	4	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	4	2	11,3,5,10,8,12,2,1,0,7,4,6,9
1	4	3	5,3,10,11,2,12,0,6,4,1,7,8,9
1	4	4	10,11,5,3,2,12,6,4,7,0,1,8,9
1	4	5	5,3,10,11,2,12,0,6,4,1,7,8,9
1	4	6	11,3,5,10,8,12,2,1,0,7,4,6,9
1	4	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	5	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	5	1	1,3,5,2,0,4,6
1	5	2	5,3,2,1,0,4,6
1	5	3	5,3,2,1,0,7,4,6,8,9
1	5	4	10,11,5,3,2,12,0,4,6,7,1,8,9
1	5	5	5,3,2,1,0,7,4,6,8,9
1	5	6	5,3,2,1,0,4,6
1	5	7	1,3,5,2,0,4,6
1	6	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	6	1	8,9,7,1,5,3,2,0,6,4
1	6	2	3,5,8,2,1,0,7,6,4,9
1	6	3	5,3,10,11,2,12,1,0,7,6,4,8,9
1	6	4	10,11,5,3,2,12,0,4,6,7,1,8,9
1	6	5	5,3,10,11,2,12,1,0,7,6,4,8,9
1	6	6	3,5,8,2,1,0,7,6,4,9
1	6	7	8,9,7,1,5,3,2,0,6,4
1	7	0	8,9,1,7,4,6,2,3,5,0
1	7	1	8,9,7,1,3,2,0,4,6,5
1	7	2	11,3,5,10,8,12,2,1,0,7,4,6,9
1	7	3	5,3,2,7,1,0,7,4,6,8,9
1	7	4	10,11,5,3,2,12,0,4,6,7,1,8,9
1	7	5	5,3,2,1,0,7,4,6,8,9
1	7	6	11,3,5,10,8,12,2,1,0,7,4,6,9
1	7	7	8,9,7,1,3,2,0,4,6,5
1	8	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	8	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	8	2	5,3,10,11,12,7,2,1,0,6,4,8,9
1	8	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	8	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	8	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	8	6	5,3,10,11,12,7,2,1,0,6,4,8,9
1	8	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	9	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	9	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	9	2	5,3,10,11,12,7,1,2,0,6,4,8,9
1	9	3	5,3,10,11,12,7,2,1,0,6,4,8,9
1	9	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	9	5	5,3,10,11,12,7,2,1,0,6,4,8,9
1	9	6	5,3,10,11,12,7,1,2,0,6,4,8,9
1	9	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	10	0	12,11,1,7,4,2,3,10,5,0,6,8,9
1	10	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	10	2	5,3,10,11,12,7,1,2,0,6,4,8,9
1	10	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	10	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	10	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	10	6	5,3,10,11,12,7,1,2,0,6,4,8,9
1	10	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	11	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	11	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	11	2	5,3,10,11,12,7,1,2,0,6,4,8,9
1	11	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	11	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	11	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	11	6	5,3,10,11,12,7,1,2,0,6,4,8,9
1	11	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	12	0	12,11,1,7,6,4,2,3,10,5,0
1	12	1	12,11,7,1,5,3,2,10,0,6,4
1	12	2	12,11,7,3,5,2,1,0,10,4,6
1	12	3	5,3,10,11,2,12,7,1,0,6,4
1	12	4	10,11,5,3,2,12,0,4,6,7,1
1	12	5	5,3,10,11,2,12,7,1,0,6,4
1	12	6	12,11,7,3,5,2,1,0,10,4,6
1	12	7	12,11,7,1,5,3,2,10,0,6,4
1	13	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	13	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	13	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	13	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	13	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	13	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	13	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	13	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	14	0	8,9,12,11,1,7,2,3,10,5,4,6,0
1	14	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	14	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	14	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	14	4	10,11,6,4,5,3,2,12,7,1,0,8,9
1	14	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	14	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	14	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	15	0	8,9,12,11,1,7,2,3,10,5,4,6,0
1	15	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	15	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	15	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	15	4	10,11,6,4,5,3,2,12,7,1,0,8,9
1	15	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	15	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	15	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	16	0	12,11,1,7,4,2,3,10,5,6,0,8,9
1	16	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	16	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	16	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	16	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	16	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	16	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	16	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	17	0	12,11,1,7,4,2,3,10,6,5,0,8,9
1	17	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	17	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	17	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	17	4	10,11,5,3,6,2,12,7,1,0,4,8,9
1	17	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	17	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	17	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	18	0	12,11,1,7,4,2,3,10,5,6,0,8,9
1	18	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	18	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	18	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	18	4	7,1,6,4,0,10,11,5,3,2,12,8,9
1	18	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	18	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	18	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	19	0	8,9,12,11,1,7,4,2,3,10,5,6,0
1	19	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	19	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	19	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	19	4	10,11,6,4,5,3,2,12,7,1,0,8,9
1	19	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	19	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	19	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	20	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	20	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	20	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	20	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	20	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	20	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	20	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	20	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	21	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	21	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	21	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	21	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	21	4	10,11,5,3,2,12,7,1,0,4,6,8,9
1	21	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	21	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	21	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	22	0	8,9,12,11,1,7,4,2,3,10,6,5,0
1	22	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	22	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	22	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	22	4	10,11,6,5,3,2,12,0,4,7,1,8,9
1	22	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	22	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	22	7	8,9,12,11,7,1,5,3,2,10,0,6,4
1	23	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	23	1	12,11,7,1,3,2,10,0,5,6,4,8,9
1	23	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	23	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	23	4	10,11,6,4,5,3,2,12,7,1,0,8,9
1	23	5	5,3,10,11,2,12,7,1,0,6,4,8,9
1	23	6	11,3,5,10,8,12,2,7,1,0,4,6,9
1	23	7	12,11,7,1,3,2,10,0,5,6,4,8,9
1	24	0	8,9,12,11,1,7,6,4,2,3,10,5,0
1	24	1	8,9,12,11,7,1,5,3,2,10,0,6,4
1	24	2	11,3,5,10,8,12,2,7,1,0,4,6,9
1	24	3	5,3,10,11,2,12,7,1,0,6,4,8,9
1	24	4	10,11,5,3,2,12,0,4,6,7,1,8,9
