Name	Area	Type	TrapGroup	PosX	PosY
104	1	2	7	69054	27619
105	1	2	7	67500	26529
106	1	3	1	40339	36681
107	1	3	1	40398	37586
108	1	3	2	50248	34440
109	1	3	2	50602	34754
110	1	3	3	50622	23468
111	1	3	3	51114	23468
112	1	3	4	60907	31993
113	1	3	4	60719	33170
114	1	3	5	45146	49599
115	1	3	5	46002	49814
116	1	3	6	59408	45479
117	1	3	6	60157	46549
118	1	3	7	66919	23334
119	1	3	7	67957	24189
120	2	1	1	29987	54082
121	2	1	1	32458	57894
122	2	1	1	33074	58444
123	2	1	1	33843	55817
124	2	1	1	34358	55328
125	2	1	1	32767	51817
126	2	1	1	32317	50978
127	2	1	1	30036	49499
128	2	1	1	30481	53863
129	2	1	2	25544	63626
130	2	1	2	24170	65055
131	2	1	2	24490	67036
132	2	1	2	25224	69335
133	2	1	2	27045	70038
134	2	1	2	28514	70293
135	2	1	2	29727	67546
136	2	1	2	29823	65055
137	2	1	2	27745	64921
138	2	1	3	23647	51808
139	2	1	3	23652	59223
140	2	1	3	24587	61009
141	2	1	3	24146	61400
142	2	1	3	26225	52697
143	2	1	3	25665	52389
144	2	1	3	19568	54169
145	2	1	3	19690	53515
146	2	1	3	19991	54021
147	2	1	4	24757	43187
148	2	1	4	20130	44872
149	2	1	4	22946	41486
150	2	1	4	22756	43585
151	2	1	4	22680	40793
152	2	1	4	26068	39880
153	2	1	4	25651	40635
154	2	1	4	26460	40756
155	2	1	4	20755	45048
156	2	1	5	26361	33618
157	2	1	5	25337	35348
158	2	1	5	25719	36344
159	2	1	5	26359	37932
160	2	1	5	27641	37920
161	2	1	5	28941	36761
162	2	1	5	29343	34751
163	2	1	5	28699	33086
164	2	1	5	27682	33174
165	2	1	6	32061	47095
166	2	1	6	33076	45249
167	2	1	6	31620	37328
168	2	1	6	32253	41186
169	2	1	6	30711	38817
170	2	1	6	28893	40777
171	2	1	6	31061	41478
172	2	1	6	32062	45676
173	2	1	6	29322	39019
174	2	2	1	30428	54551
175	2	2	1	31853	55258
176	2	2	1	33920	54796
177	2	2	1	32078	62061
178	2	2	1	32272	52042
179	2	2	1	30526	50137
180	2	2	2	26313	64937
181	2	2	2	25535	66057
182	2	2	2	25681	67519
183	2	2	2	26973	68445
184	2	2	2	28217	68503
185	2	2	2	28626	66636
186	2	2	3	22331	55903
187	2	2	3	24113	58783
188	2	2	3	25779	53211
189	2	2	3	24017	50853
190	2	2	3	23321	51220
191	2	2	3	23102	54448
192	2	2	4	20559	44217
193	2	2	4	20739	42495
194	2	2	4	23511	37021
195	2	2	4	19956	42641
196	2	2	4	23287	36229
197	2	2	4	20550	41923
198	2	2	5	26356	35543
199	2	2	5	27170	36858
200	2	2	5	28175	36693
201	2	2	5	28799	35285
202	2	2	5	27942	34124
203	2	2	5	26915	34103
204	2	2	6	30356	40515
205	2	2	6	31797	38901
206	2	2	6	32052	42563
207	2	2	6	33857	44735
208	2	2	6	32325	44015
209	2	2	6	33084	43724
210	2	3	1	31823	54813
211	2	3	1	32421	54780
212	2	3	2	26745	66474
213	2	3	2	27549	67004
214	2	3	3	21920	55615
215	2	3	3	23069	54863
216	2	3	4	23227	40876
217	2	3	4	23813	36260
218	2	3	5	27113	35232
219	2	3	5	27958	35586
220	2	3	6	31647	40290
221	2	3	6	32843	42615
222	3	1	1	73739	48840
223	3	1	1	73317	49412
224	3	1	1	71227	47631
225	3	1	1	70111	43531
226	3	1	1	70470	40250
227	3	1	1	71652	38198
228	3	1	1	72043	38613
229	3	1	1	75980	50470
230	3	1	1	70857	48320
231	3	1	2	73184	36965
232	3	1	2	82410	34910
233	3	1	2	81505	38272
234	3	1	2	80623	37784
235	3	1	2	77181	33251
236	3	1	2	79466	32864
237	3	1	2	73568	35162
238	3	1	2	72879	36388
239	3	1	2	76244	30104
240	3	1	3	81089	31451
241	3	1	3	80524	31079
242	3	1	3	81464	30874
243	3	1	3	80831	30764
244	3	1	3	84706	31018
245	3	1	3	85475	36393
246	3	1	3	86302	43112
247	3	1	3	86530	39347
248	3	1	3	86951	39499
249	3	1	4	91305	56824
250	3	1	4	93021	56602
251	3	1	4	94259	55966
252	3	1	4	93590	50977
253	3	1	4	90995	49467
254	3	1	4	87673	49727
255	3	1	4	88369	50251
256	3	1	4	92381	53831
257	3	1	4	94125	52351
258	3	1	5	91254	67721
259	3	1	5	92134	68525
260	3	1	5	94293	68350
261	3	1	5	94747	66013
262	3	1	5	94656	64809
263	3	1	5	93296	64454
264	3	1	5	90979	64446
265	3	1	5	90800	65822
266	3	1	5	90324	67067
267	3	1	6	80228	46622
268	3	1	6	79716	44367
269	3	1	6	79832	48951
270	3	1	6	84832	46637
271	3	1	6	78377	47389
272	3	1	6	81240	39029
273	3	1	6	78251	43182
274	3	1	6	76770	45265
275	3	1	6	80680	48448
276	3	2	1	71478	48690
277	3	2	1	69994	44934
278	3	2	1	76546	49608
279	3	2	1	70735	41094
280	3	2	1	71142	40475
281	3	2	1	74169	49669
282	3	2	2	75978	30778
283	3	2	2	80643	38649
284	3	2	2	81489	34189
285	3	2	2	77730	33413
286	3	2	2	73907	35588
287	3	2	2	79526	33414
288	3	2	3	82630	32292
289	3	2	3	83082	31794
290	3	2	3	85323	31083
291	3	2	3	84921	34187
292	3	2	3	85868	43017
293	3	2	3	85630	35784
294	3	2	4	92310	55475
295	3	2	4	93542	53711
296	3	2	4	91438	49925
297	3	2	4	88520	49475
298	3	2	4	90844	50449
299	3	2	4	91999	52447
300	3	2	5	91469	66129
301	3	2	5	92865	67513
302	3	2	5	93327	68888
303	3	2	5	93907	67410
304	3	2	5	93254	65559
305	3	2	5	92097	65016
306	3	2	6	78090	46362
307	3	2	6	78157	44891
308	3	2	6	79061	47749
309	3	2	6	85331	47096
310	3	2	6	79737	45748
311	3	2	6	77285	47785
312	3	3	1	70671	44442
313	3	3	1	75979	49336
314	3	3	2	77542	32451
315	3	3	2	75601	29898
316	3	3	3	83063	32710
317	3	3	3	84853	31928
318	3	3	4	92997	52376
319	3	3	4	91968	51038
320	3	3	5	92400	66586
321	3	3	5	93935	66198
322	3	3	6	78716	49174
323	3	3	6	85391	45620
324	4	1	1	44396	63320
325	4	1	1	44810	64574
326	4	1	1	44398	64201
327	4	1	1	49924	68574
328	4	1	1	48586	60700
329	4	1	1	51014	59340
330	4	1	1	45410	64563
331	4	1	1	47505	65783
332	4	1	1	50364	59159
333	4	1	2	37659	75500
334	4	1	2	39268	78623
335	4	1	2	39839	78104
336	4	1	2	42792	81884
337	4	1	2	45165	83180
338	4	1	2	44850	82425
339	4	1	2	42372	77400
340	4	1	2	41032	80243
341	4	1	2	38096	75077
342	4	1	3	53057	77326
343	4	1	3	50821	81502
344	4	1	3	55429	74570
345	4	1	3	54182	90090
346	4	1	3	53724	89750
347	4	1	3	50444	85573
348	4	1	3	47922	83958
349	4	1	3	46843	81573
350	4	1	3	52580	76868
351	4	1	4	56900	91312
352	4	1	4	57163	90649
353	4	1	4	59251	91322
354	4	1	4	64834	87485
355	4	1	4	64799	86097
356	4	1	4	67229	83438
357	4	1	4	66732	83100
358	4	1	4	68550	80612
359	4	1	4	67847	79993
360	4	1	5	56849	77868
361	4	1	5	58297	79286
362	4	1	5	60294	78213
363	4	1	5	60741	76842
364	4	1	5	60234	75471
365	4	1	5	59083	75269
366	4	1	5	60007	66790
367	4	1	5	60202	67565
368	4	1	5	60670	66970
369	4	1	6	75074	71125
370	4	1	6	75038	65819
371	4	1	6	74383	71301
372	4	1	6	77346	73804
373	4	1	6	78552	67784
374	4	1	6	75095	66608
375	4	1	6	78200	70112
376	4	1	6	72279	71699
377	4	1	6	76810	74159
378	4	2	1	46927	62289
379	4	2	1	44185	65305
380	4	2	1	50202	67588
381	4	2	1	48328	61180
382	4	2	1	48071	60475
383	4	2	1	50236	58453
384	4	2	2	38451	75588
385	4	2	2	39815	78923
386	4	2	2	41639	79684
387	4	2	2	43574	81083
388	4	2	2	42809	80849
389	4	2	2	36939	71968
390	4	2	3	47450	84030
391	4	2	3	51008	85908
392	4	2	3	50937	86748
393	4	2	3	53766	71351
394	4	2	3	51651	82277
395	4	2	3	47428	81919
396	4	2	4	59257	90715
397	4	2	4	65612	88013
398	4	2	4	65560	86695
399	4	2	4	66167	87098
400	4	2	4	65697	85564
401	4	2	4	61858	89917
402	4	2	5	57668	78908
403	4	2	5	59267	79366
404	4	2	5	57299	70185
405	4	2	5	59802	71172
406	4	2	5	59156	71287
407	4	2	5	59416	70416
408	4	2	6	74854	72142
409	4	2	6	77824	67661
410	4	2	6	71844	71292
411	4	2	6	77793	66488
412	4	2	6	77378	70313
413	4	2	6	74411	66450
414	4	3	1	48075	65320
415	4	3	1	46516	61863
416	4	3	2	41907	76788
417	4	3	2	41352	79269
418	4	3	3	48097	84596
419	4	3	3	51443	85304
420	4	3	4	59153	89941
421	4	3	4	61895	89049
422	4	3	5	56654	70361
423	4	3	5	56698	73349
424	4	3	6	77459	74610
425	4	3	6	77593	71103
426	5	1	1	20819	95450
427	5	1	1	27904	86124
428	5	1	1	26404	82748
429	5	1	1	27061	82584
430	5	1	1	29002	88136
431	5	1	1	27563	84887
432	5	1	1	25337	88106
433	5	1	1	19988	95003
434	5	1	1	26617	81906
435	5	1	2	19515	83375
436	5	1	2	18923	83006
437	5	1	2	18634	81214
438	5	1	2	19238	80554
439	5	1	2	22005	76718
440	5	1	2	22155	77277
441	5	1	2	24245	79785
442	5	1	2	24642	79525
443	5	1	2	19839	81587
444	5	1	3	10908	98503
445	5	1	3	11522	99809
446	5	1	3	13890	103269
447	5	1	3	14252	102450
448	5	1	3	12558	97933
449	5	1	3	14815	97631
450	5	1	3	12529	97048
451	5	1	3	11200	95978
452	5	1	3	10883	96852
453	5	1	4	15956	108490
454	5	1	4	17961	108833
455	5	1	4	19029	107928
456	5	1	4	18221	105668
457	5	1	4	15592	107444
458	5	1	4	15327	105984
459	5	1	4	15992	104764
460	5	1	4	16758	105054
461	5	1	4	19372	106981
462	5	1	5	27046	96561
463	5	1	5	24054	98869
464	5	1	5	23373	91965
465	5	1	5	22783	91486
466	5	1	5	22777	102512
467	5	1	5	23032	103401
468	5	1	5	26674	97073
469	5	1	5	29137	95500
470	5	1	5	29441	94700
471	5	2	1	24850	88175
472	5	2	1	25173	88757
473	5	2	1	28257	85477
474	5	2	1	27329	85633
475	5	2	1	30909	89943
476	5	2	1	28754	89109
477	5	2	2	18742	81952
478	5	2	2	20200	83137
479	5	2	2	20757	82000
480	5	2	2	20308	80682
481	5	2	2	22414	79178
482	5	2	2	22891	79599
483	5	2	3	11548	98072
484	5	2	3	13725	102120
485	5	2	3	11639	96693
486	5	2	3	15223	98256
487	5	2	3	12638	95449
488	5	2	3	15443	97467
489	5	2	4	16266	107511
490	5	2	4	17114	108834
491	5	2	4	18672	106789
492	5	2	4	17665	106466
493	5	2	4	16892	106135
494	5	2	4	16070	106328
495	5	2	5	23041	92846
496	5	2	5	24071	100053
497	5	2	5	24548	99321
498	5	2	5	29631	95688
499	5	2	5	26190	96967
500	5	2	5	26446	96314
501	5	3	1	28132	84828
502	5	3	1	30670	89352
503	5	3	2	20766	81222
504	5	3	2	22506	79729
505	5	3	3	12117	99370
506	5	3	3	13076	96766
507	5	3	4	17028	107447
508	5	3	4	17820	107267
509	5	3	5	22466	92334
510	5	3	5	23616	99677
511	6	1	1	87490	78023
512	6	1	1	89189	77314
513	6	1	1	89024	78212
514	6	1	1	88761	82684
515	6	1	1	89029	85047
516	6	1	1	88237	85480
517	6	1	1	87268	85206
518	6	1	1	86215	84673
519	6	1	1	86853	83861
520	6	1	2	80819	93843
521	6	1	2	81992	96472
522	6	1	2	83255	97641
523	6	1	2	87192	100750
524	6	1	2	86644	100141
525	6	1	2	82605	95584
526	6	1	2	80943	92160
527	6	1	2	80717	91006
528	6	1	2	81407	94554
529	6	1	3	83212	110094
530	6	1	3	84290	110580
531	6	1	3	85174	109484
532	6	1	3	85913	108443
533	6	1	3	85471	106657
534	6	1	3	84393	104354
535	6	1	3	83112	104812
536	6	1	3	82174	105811
537	6	1	3	81732	107843
538	6	1	4	70642	103408
539	6	1	4	72176	104909
540	6	1	4	73912	106796
541	6	1	4	78267	103977
542	6	1	4	77909	103467
543	6	1	4	75700	105369
544	6	1	4	72658	103345
545	6	1	4	70877	102397
546	6	1	4	70064	103914
547	6	1	5	73441	97025
548	6	1	5	76303	99883
549	6	1	5	78244	101582
550	6	1	5	79963	103317
551	6	1	5	81379	100112
552	6	1	5	78709	100055
553	6	1	5	76726	98093
554	6	1	5	75860	98160
555	6	1	5	76338	98784
556	6	2	1	87961	84747
557	6	2	1	89306	85708
558	6	2	1	87772	82707
559	6	2	1	88534	78806
560	6	2	1	87877	78601
561	6	2	1	88155	83576
562	6	2	2	80845	95162
563	6	2	2	82611	97090
564	6	2	2	86166	99317
565	6	2	2	86196	98363
566	6	2	2	81571	92901
567	6	2	2	82215	93015
568	6	2	3	82345	109090
569	6	2	3	84078	108258
570	6	2	3	84999	107669
571	6	2	3	85492	105403
572	6	2	3	83717	106085
573	6	2	3	82006	106581
574	6	2	4	71670	104160
575	6	2	4	73349	105750
576	6	2	4	75369	105925
577	6	2	4	74412	105753
578	6	2	4	72704	104353
579	6	2	4	72010	103307
580	6	2	5	76786	99103
581	6	2	5	78135	100142
582	6	2	5	81822	100520
583	6	2	5	81134	102308
584	6	2	5	79002	100816
585	6	2	5	77982	100867
586	6	3	1	88556	81559
587	6	3	1	87846	81705
588	6	3	2	80326	94773
589	6	3	2	83137	96356
590	6	3	3	83318	107470
591	6	3	3	84549	106237
592	6	3	4	73854	104749
593	6	3	4	73847	105664
594	6	3	5	75753	99235
595	6	3	5	78834	101695
596	7	1	1	39993	95881
597	7	1	1	38383	95866
598	7	1	1	38967	92756
599	7	1	1	41136	90997
600	7	1	1	38050	94858
601	7	1	1	43152	96107
602	7	1	1	43769	96344
603	7	1	1	43444	95357
604	7	1	1	39421	91883
605	7	1	2	48741	98726
606	7	1	2	46423	113938
607	7	1	2	44306	99080
608	7	1	2	49868	100638
609	7	1	2	51699	98230
610	7	1	2	51259	94961
611	7	1	2	50142	94881
612	7	1	2	49702	94316
613	7	1	2	44772	98773
614	7	1	3	55427	102487
615	7	1	3	55200	101680
616	7	1	3	57164	100435
617	7	1	3	58897	100452
618	7	1	3	59354	97756
619	7	1	3	65151	101127
620	7	1	3	65590	103830
621	7	1	3	65461	100129
622	7	1	3	59336	100183
623	7	1	4	59649	111661
624	7	1	4	57328	113384
625	7	1	4	61886	108729
626	7	1	4	60636	106596
627	7	1	4	64824	106338
628	7	1	4	64282	107277
629	7	1	4	62269	104620
630	7	1	4	58222	110253
631	7	1	4	60109	111822
632	7	1	5	42881	115382
633	7	1	5	43474	116317
634	7	1	5	44442	117917
635	7	1	5	45880	116226
636	7	1	5	48874	112396
637	7	1	5	46956	114697
638	7	1	5	47120	113704
639	7	1	5	43942	114611
640	7	1	5	42040	110691
641	7	1	6	37444	105404
642	7	1	6	37426	109621
643	7	1	6	38811	107827
644	7	1	6	39297	106556
645	7	1	6	39413	108534
646	7	1	6	40476	107764
647	7	1	6	38160	107942
648	7	1	6	36318	97861
649	7	1	6	35773	98695
650	7	2	1	39956	95230
651	7	2	1	40672	95275
652	7	2	1	41392	91609
653	7	2	1	42207	94166
654	7	2	1	39679	92908
655	7	2	1	38570	94919
656	7	2	2	47054	100709
657	7	2	2	48583	97723
658	7	2	2	51841	97393
659	7	2	2	49110	98014
660	7	2	2	50778	95172
661	7	2	2	46670	99879
662	7	2	3	55786	101856
663	7	2	3	56978	99569
664	7	2	3	57471	99897
665	7	2	3	65005	103180
666	7	2	3	59138	98666
667	7	2	3	64782	102133
668	7	2	4	61098	108681
669	7	2	4	57874	112968
670	7	2	4	60344	107199
671	7	2	4	62622	105528
672	7	2	4	62959	104281
673	7	2	4	58398	109556
674	7	2	5	45453	118755
675	7	2	5	46778	116432
676	7	2	5	46437	117789
677	7	2	5	48495	111531
678	7	2	5	44944	115198
679	7	2	5	41533	111568
680	7	2	6	37415	107136
681	7	2	6	38565	109466
682	7	2	6	36797	108175
683	7	2	6	39908	109785
684	7	2	6	36602	96718
685	7	2	6	34875	98602
686	7	3	1	41779	90955
687	7	3	1	42094	93547
688	7	3	2	46477	101082
689	7	3	2	51336	97572
690	7	3	3	59344	100664
691	7	3	3	58773	97989
692	7	3	4	60058	106524
693	7	3	4	61374	109354
694	7	3	5	44710	116449
695	7	3	5	45219	114013
696	7	3	6	36641	106379
697	7	3	6	38381	106201
698	1	1	8	42159	27217
699	1	1	8	41368	30341
700	1	1	8	39604	43954
701	1	1	8	41019	46469
702	1	1	8	50041	45778
703	1	1	8	48627	43263
704	1	1	8	48092	40559
705	1	1	8	55610	32206
706	1	1	8	57395	30696
707	1	1	9	52794	37356
708	1	1	9	55026	39553
709	1	1	9	56193	40583
710	1	1	9	64604	43055
711	1	1	9	65566	39622
712	1	1	9	66252	36601
713	1	1	9	67282	33442
714	1	1	9	54511	52874
715	1	1	9	56365	51500
716	1	2	8	57566	50333
717	1	2	8	44906	29331
718	1	2	8	46468	31295
719	1	2	8	47673	32009
720	1	2	8	51111	28872
721	1	2	8	50830	27252
722	1	2	9	63299	24197
723	1	2	9	64577	22327
724	1	2	9	63017	47767
725	1	2	9	49694	47773
726	1	2	9	49888	43888
727	1	2	9	39478	42179
728	1	3	8	54666	52045
729	1	3	8	55365	53366
730	1	3	9	63872	45520
731	1	3	9	67213	30836
732	2	1	7	22186	51062
733	2	1	7	21951	51911
734	2	1	7	18128	51333
735	2	1	7	22117	48276
736	2	1	7	22419	44743
737	2	1	7	24366	42999
738	2	1	7	21228	48731
739	2	1	7	19336	47557
740	2	1	7	21547	47750
741	2	2	7	19003	48135
742	2	2	7	19657	48389
743	2	2	7	21552	51254
744	2	2	7	18722	51056
745	2	2	7	18272	50250
746	2	2	7	21781	49037
747	2	3	7	22915	44522
748	2	3	7	24775	42502
749	2	1	8	28832	51873
750	2	1	8	27203	53819
751	2	1	8	28460	51522
752	2	1	8	29072	51189
753	2	1	8	27448	49069
754	2	1	8	27639	49901
755	2	1	8	28014	49053
756	2	1	8	27011	54790
757	2	1	8	27724	54575
758	2	2	8	29968	50247
759	2	2	8	38819	55313
760	2	2	8	35920	53737
761	2	2	8	31410	62008
762	2	2	8	36238	54833
763	2	2	8	38709	54587
764	2	3	8	39157	54172
765	2	3	8	36725	53829
766	3	1	7	80529	57235
767	3	1	7	82704	59883
768	3	1	7	83738	63020
769	3	1	7	83030	58518
770	3	1	7	82330	59069
771	3	1	7	81009	58119
772	3	1	7	79495	53795
773	3	1	7	79107	54446
774	3	1	7	78372	51694
775	3	2	7	83953	63453
776	3	2	7	84733	62716
777	3	2	7	84935	61646
778	3	2	7	84508	61465
779	3	2	7	83379	59292
780	3	2	7	80329	58473
781	3	3	7	79621	54629
782	3	3	7	77634	51902
783	3	1	8	86119	71002
784	3	1	8	87257	70112
785	3	1	8	86088	70011
786	3	1	8	87219	69187
787	3	1	8	87743	66187
788	3	1	8	88483	65934
789	3	1	8	88682	64813
790	3	1	8	87179	65109
791	3	1	8	85520	61584
792	3	2	8	87432	64074
793	3	2	8	88144	63741
794	3	2	8	84439	60451
795	3	2	8	89347	60280
796	3	2	8	85002	60557
797	3	2	8	89962	60496
798	3	3	8	89983	58221
799	3	3	8	90460	58368
800	4	1	7	65974	60363
801	4	1	7	53000	71204
802	4	1	7	63438	66531
803	4	1	7	64652	63129
804	4	1	7	64038	62570
805	4	1	7	64106	65692
806	4	1	7	66313	61451
807	4	1	7	51595	69194
808	4	1	7	64435	67214
809	4	2	7	53456	70646
810	4	2	7	65457	61237
811	4	2	7	51310	69612
812	4	2	7	69824	61345
813	4	2	7	69864	62042
814	4	2	7	69337	61625
815	4	3	7	72581	63199
816	4	3	7	72138	63960
817	4	1	8	36574	71318
818	4	1	8	37173	71216
819	4	1	8	37167	68521
820	4	1	8	37611	68814
821	4	1	8	38638	64264
822	4	1	8	39128	64625
823	4	1	8	40187	62938
824	4	1	8	40438	62504
825	4	1	8	40597	60665
826	4	2	8	41148	60447
827	4	2	8	42450	59031
828	4	2	8	42729	58669
829	4	2	8	43061	61086
830	4	2	8	42795	62279
831	4	2	8	42606	61664
832	4	3	8	43509	61683
833	4	3	8	43381	62186
834	5	1	6	17099	96281
835	5	1	6	17566	95288
836	5	1	6	17887	97739
837	5	1	6	18908	96572
838	5	1	6	17946	96631
839	5	1	6	19871	100190
840	5	1	6	20572	99665
841	5	1	6	19317	98148
842	5	1	6	19959	99373
843	5	2	6	20688	101883
844	5	2	6	20630	103108
845	5	2	6	20134	104742
846	5	2	6	22469	103423
847	5	2	6	21826	101241
848	5	2	6	21797	99899
849	5	3	6	22176	98498
850	5	3	6	20717	98148
851	5	1	7	14496	93411
852	5	1	7	14884	93121
853	5	1	7	15049	93891
854	5	1	7	15860	91205
855	5	1	7	16179	90915
856	5	1	7	16150	88537
857	5	1	7	16643	87783
858	5	1	7	17397	87725
859	5	1	7	18238	88827
860	5	2	7	17629	89523
861	5	2	7	17078	89581
862	5	2	7	17223	88711
863	5	2	7	17948	86565
864	5	2	7	18905	86275
865	5	2	7	20976	87490
866	5	3	7	19427	85289
867	5	3	7	20877	86797
868	5	1	8	31412	92925
869	5	1	8	31436	92013
870	5	1	8	31820	91342
871	5	1	8	32371	90958
872	5	1	8	32537	86392
873	5	1	8	33173	86064
874	5	1	8	33732	84339
875	5	1	8	32555	82664
876	5	1	8	31801	83261
877	5	2	8	33243	83541
878	5	2	8	31113	82389
879	5	2	8	30106	81658
880	5	2	8	30102	83268
881	5	2	8	31456	85474
882	5	2	8	32625	84640
883	5	3	8	30579	84915
884	5	3	8	33047	81534
885	6	1	6	70287	100874
886	6	1	6	70707	101453
887	6	1	6	71338	100797
888	6	1	6	71160	100344
889	6	1	6	72163	99124
890	6	1	6	72589	99191
891	6	1	6	73925	97065
892	6	1	6	72464	98750
893	6	1	6	74261	96516
894	6	2	6	74632	95927
895	6	2	6	75573	95728
896	6	2	6	76061	96228
897	6	2	6	76726	94756
898	6	2	6	77513	93882
899	6	2	6	79064	92782
900	6	3	6	79416	93359
901	6	3	6	79601	92719
902	6	1	7	86216	89739
903	6	1	7	90995	91389
904	6	1	7	91629	91677
905	6	1	7	92156	92335
906	6	1	7	91231	94100
907	6	1	7	89906	96815
908	6	1	7	89407	97828
909	6	1	7	88691	97990
910	6	1	7	88389	97035
911	6	2	7	89454	96023
912	6	2	7	90159	95682
913	6	2	7	88159	95873
914	6	2	7	91489	92815
915	6	2	7	90561	92750
916	6	2	7	87176	91055
917	6	3	7	89095	95179
918	6	3	7	91999	93501
919	6	1	8	82880	89801
920	6	1	8	82825	89080
921	6	1	8	83153	89429
922	6	1	8	84848	88402
923	6	1	8	84487	87484
924	6	1	8	87706	88170
925	6	1	8	85230	86412
926	6	1	8	85154	87571
927	6	1	8	87617	91386
928	6	2	8	88662	91309
929	6	2	8	85985	89289
930	6	2	8	84759	86948
931	6	2	8	87735	89424
932	6	2	8	88216	89439
933	6	2	8	88476	88862
934	6	3	8	88216	88143
935	6	3	8	87477	88702
936	7	1	7	61747	97651
937	7	1	7	62055	99970
938	7	1	7	61374	101922
939	7	1	7	61612	100461
940	7	1	7	61433	99751
941	7	1	7	61589	96595
942	7	1	7	62153	96773
943	7	1	7	53132	101660
944	7	1	7	52417	103189
945	7	2	7	50374	100548
946	7	2	7	50073	101281
947	7	2	7	61382	102901
948	7	2	7	60952	102319
949	7	2	7	63575	100412
950	7	2	7	50597	101259
951	7	3	7	52682	102255
952	7	3	7	53072	103430
953	7	1	8	63564	99361
954	7	1	8	64045	99803
955	7	1	8	65044	107615
956	7	1	8	56448	111724
957	7	1	8	56807	111217
958	7	1	8	54676	109523
959	7	1	8	55327	110774
960	7	1	8	55244	109890
961	7	1	8	54697	111299
962	7	2	8	54168	110715
963	7	2	8	52119	111908
964	7	2	8	51500	112513
965	7	2	8	51742	111141
966	7	2	8	51305	111020
967	7	2	8	49056	111586
968	7	3	8	50995	111850
969	7	3	8	54129	109946
