Id	AwardFile	IsAddByMemberNum	_Design	_DesignType
18	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=16361>	<i18n=武林高手>
19	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=8841>	<i18n=武林高手>
20	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=13565>	<i18n=武林高手>
21	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=3647>	<i18n=武林高手>
22	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75bh.lua	1	<i18n=15681>	<i18n=武林高手>
23	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75bh.lua	1	<i18n=12378>	<i18n=武林高手>
24	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75bh.lua	1	<i18n=13262>	<i18n=武林高手>
25	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75bh.lua	1	<i18n=7025>	<i18n=武林高手>
26	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75bh.lua	1	<i18n=1697>	<i18n=武林高手>
27	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95bh.lua	1	<i18n=1823>	<i18n=武林高手>
28	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95bh.lua	1	<i18n=15638>	<i18n=武林高手>
29	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95bh.lua	1	<i18n=7170>	<i18n=武林高手>
30	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95bh.lua	1	<i18n=7909>	<i18n=武林高手>
31	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95bh.lua	1	<i18n=8674>	<i18n=武林高手>
32	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=8674>	<i18n=武林高手>
33	Setting/AwardKinSpecial/Award/Activities/GlobalBaiHuTang/GlobalBaiHuTang.lua	1	<i18n=6245>	<i18n=3873>
34	Setting/AwardKinSpecial/Award/Activities/GlobalBaiHuTang/GlobalBaiHuTang1.lua	1	<i18n=6245>	<i18n=869>
35	Setting/AwardKinSpecial/Award/Activities/TongChallenge/TongChallenge.lua	1	<i18n=14852>	<i18n=14852>
36	Setting/AwardKinSpecial/Award/Activities/DomainBattle/DomainBattleOnce.lua	1	<i18n=11953>	<i18n=13266>
37	Setting/AwardKinSpecial/Award/Activities/DomainBattle/DomainBattleDaily.lua	1	<i18n=39>	<i18n=13266>
38	Setting/AwardKinSpecial/Award/Activities/LaoDongHonor/LaoDongHonor.lua		<i18n=19499>	<i18n=19499>
39	Setting/AwardKinSpecial/Award/Activities/QinShiHuangLing/QinShiHuangLing.lua	1	<i18n=20017>	<i18n=20017>
40	Setting/AwardKinSpecial/Award/Activities/SummerAwards/SummerAwards.lua		<i18n=23646>	<i18n=23646>
41	Setting/AwardKinSpecial/Award/Activities/KeYiMen/KeYiMen.lua	1	<i18n=24754>	<i18n=24754>
42	Setting/AwardKinSpecial/Award/Activities/TieFuCheng/TieFuCheng.lua	1	<i18n=28671>	<i18n=28671>
43	Setting/AwardKinSpecial/Award/Activities/BangHuiZhengDuoSai/BangHuiZhengDuoSai.lua	1	<i18n=30795>	<i18n=30795>
44	Setting/AwardKinSpecial/Award/Activities/ShuangYuZhengFeng/ShuangYuZhengFeng.lua	1	<i18n=46909>	<i18n=46909>
45	Setting/AwardKinSpecial/Award/Activities/ShouWeiXiangYang/ShouWeiXiangYang.lua	1	<i18n=68831>	<i18n=68831>
47	Setting/AwardKinSpecial/Award/Activities/FengHuoKuangMai/FengHuoKuangMai.lua	1	<i18n=84348>	<i18n=84348>
