nId	szName	szIconPath	szSkillDesc	szAttrib	szAttribValue1	szAttribValue2	szAttribValue3	szAttribValue4	szAttribValue5	szAttribValue6	szAttribValue7	szAttribValue8	szAttribValue9	szAttribValue10	szAttribValue11	szAttribValue12	szAttribValue13	szAttribValue14	szAttribValue15	szAttribValue16	szAttribValue17	szAttribValue18	nSkillBookId
14	<i18n=7667>	UI/icon/item/partner/xxjn5.png	<i18n=530>	earth_resist_v	50,0,0	110,0,0	180,0,0	255,0,0	345,0,0	450,0,0	550,0,0	663,0,0	788,0,0	913,0,0	1038,0,0	1163,0,0	1288,0,0	1413,0,0	1538,0,0	1663,0,0	1788,0,0	1913,0,0	3514
15	<i18n=7910>	UI/icon/item/partner/xxjn4.png	<i18n=13676>	lifemax_v	200,0,0	440,0,0	720,0,0	1020,0,0	1380,0,0	1800,0,0	2200,0,0	2650,0,0	3150,0,0	3650,0,0	4150,0,0	4650,0,0	5150,0,0	5650,0,0	6150,0,0	6650,0,0	7150,0,0	7650,0,0	3515
16	<i18n=5937>	UI/icon/item/partner/xxjn4.png	<i18n=13007>	lifemax_q	8,0,0	18,0,0	29,0,0	41,0,0	55,0,0	72,0,0	88,0,0	106,0,0	126,0,0	146,0,0	166,0,0	186,0,0	206,0,0	226,0,0	246,0,0	266,0,0	286,0,0	306,0,0	3516
17	<i18n=11748>	UI/icon/item/partner/xxjn4.png	<i18n=8686>	recover_life_v	10,9,0	22,9,0	36,9,0	51,9,0	69,9,0	90,9,0	110,9,0	133,9,0	158,9,0	183,9,0	208,9,0	233,9,0	258,9,0	283,9,0	308,9,0	333,9,0	358,9,0	383,9,0	3517
18	<i18n=15711>	UI/icon/item/partner/xxjn3.png	<i18n=3634>	defense_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3518
19	<i18n=3458>	UI/icon/item/partner/xxjn3.png	<i18n=12070>	ignore_defense_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3519
20	<i18n=152>	UI/icon/item/partner/xxjn2.png	<i18n=15475>	deadlystrike_damage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3520
21	<i18n=15933>	UI/icon/item/partner/xxjn2.png	<i18n=12359>	deadlystrike_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3521
22	<i18n=1154>	UI/icon/item/partner/xxjn3.png	<i18n=7733>	weaken_deadlystrike_damage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3522
23	<i18n=9016>	UI/icon/item/partner/xxjn2.png	<i18n=5630>	weaken_deadlystrike_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3523
24	<i18n=8064>	UI/icon/item/partner/xxjn6.png	<i18n=2468>	ignore_metal_resist_v	100,10,0	100,22,0	100,36,0	100,51,0	100,69,0	100,90,0	100,110,0	100,133,0	100,158,0	100,183,0	100,208,0	100,233,0	100,258,0	100,283,0	100,308,0	100,333,0	100,358,0	100,383,0	3524
25	<i18n=8296>	UI/icon/item/partner/xxjn6.png	<i18n=5458>	ignore_wood_resist_v	100,10,0	100,22,0	100,36,0	100,51,0	100,69,0	100,90,0	100,110,0	100,133,0	100,158,0	100,183,0	100,208,0	100,233,0	100,258,0	100,283,0	100,308,0	100,333,0	100,358,0	100,383,0	3525
26	<i18n=3518>	UI/icon/item/partner/xxjn6.png	<i18n=14509>	ignore_water_resist_v	100,10,0	100,22,0	100,36,0	100,51,0	100,69,0	100,90,0	100,110,0	100,133,0	100,158,0	100,183,0	100,208,0	100,233,0	100,258,0	100,283,0	100,308,0	100,333,0	100,358,0	100,383,0	3526
27	<i18n=1635>	UI/icon/item/partner/xxjn6.png	<i18n=3566>	ignore_fire_resist_v	100,10,0	100,22,0	100,36,0	100,51,0	100,69,0	100,90,0	100,110,0	100,133,0	100,158,0	100,183,0	100,208,0	100,233,0	100,258,0	100,283,0	100,308,0	100,333,0	100,358,0	100,383,0	3527
28	<i18n=10579>	UI/icon/item/partner/xxjn6.png	<i18n=1190>	ignore_earth_resist_v	100,10,0	100,22,0	100,36,0	100,51,0	100,69,0	100,90,0	100,110,0	100,133,0	100,158,0	100,183,0	100,208,0	100,233,0	100,258,0	100,283,0	100,308,0	100,333,0	100,358,0	100,383,0	3528
