nId	szName	szTimeFrame	nValue	nSeries	nAiType	_nAiTypeName	nGrowthType	nQualityLevel	nNpcTemplateId	nBaseSkillId	nitemid	nHide	tbnStarUpCostParIdList1	tbnStarUpCostParIdList2	tbnStarUpCostParIdList3	tbnStarUpCostParIdList4	tbnStarUpCostParIdList5	tbnStarUpCostParIdList6	tbnStarUpCostParIdList7	tbnStarUpCostParIdList8	tbnStarUpCostParIdList9	tbnStarUpCostParIdList10	tbnStarUpCostParIdList11	tbnStarUpCostParIdList12	nProtectSkillId	nJueXingSkillId
30	<i18n=9144>	OpenLevel39	240	1	5	<i18n=16994>	1	3	12030	7022	3130		30	30	30	30	30	30	30	30	30	30	30	30	8027	17
31	<i18n=8346>	OpenLevel39	210	1	14	<i18n=16990>	2	4	12031	7032	3131		31	31	31	31	31	31	31	31	31	31	31	31	8028	0
32	<i18n=7916>	OpenLevel39	210	2	6	<i18n=8384>	5	4	12032	7033	3132		32	32	32	32	32	32	32	32	32	32	32	32	8024	0
33	<i18n=15415>	OpenLevel39	210	2	3	<i18n=16996>	1	4	12033	7034	3133		33	33	33	33	33	33	33	33	33	33	33	33	8029	0
34	<i18n=10827>	OpenLevel39	210	1	7	<i18n=16988>	4	4	12034	7035	3134		34	34	34	34	34	34	34	34	34	34	34	34	8027	0
35	<i18n=1203>	OpenLevel39	210	3	2	<i18n=3929>	1	4	12035	7036	3135		35	35	35	35	35	35	35	35	35	35	35	35	8023	0
36	<i18n=13128>	OpenLevel39	210	5	11	<i18n=16995>	6	4	12036	7037	3136		36	36	36	36	36	36	36	36	36	36	36	36	8026	0
37	<i18n=11410>	OpenLevel39	210	3	2	<i18n=3929>	3	4	12037	7039	3137		37	37	37	37	37	37	37	37	37	37	37	37	8022	0
38	<i18n=3612>	OpenLevel39	210	5	14	<i18n=16990>	3	4	12038	7040	3138		38	38	38	38	38	38	38	38	38	38	38	38	8030	0
39	<i18n=11482>	OpenLevel39	210	4	14	<i18n=16990>	4	4	12039	7041	3139		39	39	39	39	39	39	39	39	39	39	39	39	8031	0
40	<i18n=15578>	OpenLevel39	210	4	12	<i18n=6119>	5	4	12040	7042	3140		40	40	40	40	40	40	40	40	40	40	40	40	8025	0
41	<i18n=16423>	OpenLevel39	210	5	8	<i18n=14688>	3	4	12041	7014	3141		41	41	41	41	41	41	41	41	41	41	41	41	8015	0
42	<i18n=6196>	OpenLevel39	210	1	4	<i18n=16997>	4	4	12042	7001	3142		42	42	42	42	42	42	42	42	42	42	42	42	8032	0
43	<i18n=3997>	OpenLevel39	210	4	9	<i18n=16986>	5	4	12043	7033	3143		43	43	43	43	43	43	43	43	43	43	43	43	8021	0
44	<i18n=8513>	OpenLevel39	210	3	10	<i18n=16991>	1	4	12044	7030	3144		44	44	44	44	44	44	44	44	44	44	44	44	8012	0
45	<i18n=10126>	OpenLevel39	210	2	8	<i18n=14688>	5	4	12045	7010	3145		45	45	45	45	45	45	45	45	45	45	45	45	8017	0
46	<i18n=11368>	OpenLevel39	210	1	4	<i18n=16997>	2	4	12046	7007	3146		46	46	46	46	46	46	46	46	46	46	46	46	8002	0
47	<i18n=15794>	OpenLevel39	210	5	5	<i18n=16994>	6	4	12047	7013	3147		47	47	47	47	47	47	47	47	47	47	47	47	8019	0
48	<i18n=12325>	OpenLevel39	210	3	7	<i18n=16988>	3	4	12048	7036	3148		48	48	48	48	48	48	48	48	48	48	48	48	8020	0
49	<i18n=14854>	OpenLevel39	180	2	16	<i18n=16984>	4	5	12049	7044	3149		49	49	49	49	49	49	49	49	49	49	49	49	8033	0
50	<i18n=5283>	OpenLevel39	180	2	16	<i18n=16984>	6	5	12050	7044	3150		50	50	50	50	50	50	50	50	50	50	50	50	8034	0
51	<i18n=1861>	OpenLevel39	180	1	16	<i18n=16984>	5	5	12051	7043	3151		51	51	51	51	51	51	51	51	51	51	51	51	8035	0
52	<i18n=944>	OpenLevel39	180	4	2	<i18n=3929>	2	5	12052	7046	3152		52	52	52	52	52	52	52	52	52	52	52	52	8036	0
53	<i18n=12187>	OpenLevel39	180	4	2	<i18n=3929>	6	5	12053	7046	3153		53	53	53	53	53	53	53	53	53	53	53	53	8037	0
54	<i18n=13051>	OpenLevel39	180	5	4	<i18n=16997>	3	5	12054	7047	3154		54	54	54	54	54	54	54	54	54	54	54	54	8038	0
55	<i18n=4713>	OpenLevel39	180	1	4	<i18n=16997>	3	5	12055	7043	3155		55	55	55	55	55	55	55	55	55	55	55	55	8039	0
56	<i18n=12705>	OpenLevel39	180	5	16	<i18n=16984>	2	5	12056	7047	3156		56	56	56	56	56	56	56	56	56	56	56	56	8040	0
57	<i18n=13164>	OpenLevel39	180	3	15	<i18n=16987>	1	5	12057	7045	3157		57	57	57	57	57	57	57	57	57	57	57	57	8041	0
58	<i18n=5047>	OpenLevel39	180	3	6	<i18n=8384>	1	5	12058	7045	3158		58	58	58	58	58	58	58	58	58	58	58	58	8042	0
59	<i18n=11027>	OpenLevel39	180	2	1	<i18n=16992>	4	5	12059	7044	3159		59	59	59	59	59	59	59	59	59	59	59	59	8043	0
60	<i18n=6881>	OpenLevel39	180	4	15	<i18n=16987>	2	5	12060	7046	3160		60	60	60	60	60	60	60	60	60	60	60	60	8044	0
61	<i18n=4811>	OpenLevel39	180	3	1	<i18n=16992>	1	5	12061	7045	3161		61	61	61	61	61	61	61	61	61	61	61	61	8045	0
62	<i18n=8596>	OpenLevel39	180	3	1	<i18n=16992>	1	5	12062	7045	3162		62	62	62	62	62	62	62	62	62	62	62	62	8046	0
63	<i18n=11843>	OpenLevel39	180	5	1	<i18n=16992>	3	5	12063	7047	3163		63	63	63	63	63	63	63	63	63	63	63	63	8047	0
64	<i18n=2516>	OpenLevel39	180	2	4	<i18n=16997>	4	5	12064	7044	3164		64	64	64	64	64	64	64	64	64	64	64	64	8048	0
65	<i18n=8852>	OpenLevel39	180	4	15	<i18n=16987>	6	5	12065	7046	3165		65	65	65	65	65	65	65	65	65	65	65	65	8049	0
66	<i18n=2899>	OpenLevel39	180	1	4	<i18n=16997>	3	5	12066	7043	3166		66	66	66	66	66	66	66	66	66	66	66	66	8032	0
67	<i18n=6984>	OpenLevel159	360	1	3	<i18n=16996>	1	1	11998	10350	3167		67	67	67	67	67	67	67	67	67	67	67	67	8050	31
68	<i18n=8672>	OpenLevel159	360	5	14	<i18n=16990>	5	1	11999	10342	3168		68	68	68	68	68	68	68	68	68	68	68	68	8051	32
69	<i18n=11823>	OpenLevel159	360	2	12	<i18n=6119>	3	1	12000	10344	3169		69	69	69	69	69	69	69	69	69	69	69	69	8052	33
