nLevel	nSSS	nSSS_Base	nSS	nSS_Base	nS	nS_Base	nA	nA_Base	nB	nB_Base
78	253500000	11000	211250000	11000	169000000	11000	147875000	11000	126750000	11000
79	262500000	11000	218750000	11000	175000000	11000	153125000	11000	131250000	11000
80	274500000	13000	228750000	13000	183000000	13000	160125000	13000	137250000	13000
81	286500000	13000	238750000	13000	191000000	13000	167125000	13000	143250000	13000
82	298500000	13000	248750000	13000	199000000	13000	174125000	13000	149250000	13000
83	310500000	13000	258750000	13000	207000000	13000	181125000	13000	155250000	13000
84	322500000	13000	268750000	13000	215000000	13000	188125000	13000	161250000	13000
85	334500000	13000	278750000	13000	223000000	13000	195125000	13000	167250000	13000
86	346500000	13000	288750000	13000	231000000	13000	202125000	13000	173250000	13000
87	358500000	13000	298750000	13000	239000000	13000	209125000	13000	179250000	13000
88	370500000	13000	308750000	13000	247000000	13000	216125000	13000	185250000	13000
89	382500000	13000	318750000	13000	255000000	13000	223125000	13000	191250000	13000
90	397500000	14000	331250000	14000	265000000	14000	231875000	14000	198750000	14000
91	412500000	14000	343750000	14000	275000000	14000	240625000	14000	206250000	14000
92	427500000	14000	356250000	14000	285000000	14000	249375000	14000	213750000	14000
93	442500000	14000	368750000	14000	295000000	14000	258125000	14000	221250000	14000
94	457500000	14000	381250000	14000	305000000	14000	266875000	14000	228750000	14000
95	472500000	14000	393750000	14000	315000000	14000	275625000	14000	236250000	14000
96	487500000	14000	406250000	14000	325000000	14000	284375000	14000	243750000	14000
97	502500000	14000	418750000	14000	335000000	14000	293125000	14000	251250000	14000
98	517500000	14000	431250000	14000	345000000	14000	301875000	14000	258750000	14000
99	532500000	14000	443750000	14000	355000000	14000	310625000	14000	266250000	14000
100	555000000	15000	462500000	15000	370000000	15000	323750000	15000	277500000	15000
101	570000000	15000	475000000	15000	380000000	15000	332500000	15000	285000000	15000
102	585000000	15000	487500000	15000	390000000	15000	341250000	15000	292500000	15000
103	600000000	15000	500000000	15000	400000000	15000	350000000	15000	300000000	15000
104	615000000	15000	512500000	15000	410000000	15000	358750000	15000	307500000	15000
105	630000000	15000	525000000	15000	420000000	15000	367500000	15000	315000000	15000
106	645000000	15000	537500000	15000	430000000	15000	376250000	15000	322500000	15000
107	660000000	15000	550000000	15000	440000000	15000	385000000	15000	330000000	15000
108	675000000	15000	562500000	15000	450000000	15000	393750000	15000	337500000	15000
109	690000000	15000	575000000	15000	460000000	15000	402500000	15000	345000000	15000
110	705000000	18000	587500000	18000	470000000	18000	411250000	18000	352500000	18000
111	720000000	18000	600000000	18000	480000000	18000	420000000	18000	360000000	18000
112	735000000	18000	612500000	18000	490000000	18000	428750000	18000	367500000	18000
113	750000000	18000	625000000	18000	500000000	18000	437500000	18000	375000000	18000
114	765000000	18000	637500000	18000	510000000	18000	446250000	18000	382500000	18000
115	780000000	18000	650000000	18000	520000000	18000	455000000	18000	390000000	18000
116	795000000	18000	662500000	18000	530000000	18000	463750000	18000	397500000	18000
117	810000000	18000	675000000	18000	540000000	18000	472500000	18000	405000000	18000
118	825000000	18000	687500000	18000	550000000	18000	481250000	18000	412500000	18000
119	840000000	18000	700000000	18000	560000000	18000	490000000	18000	420000000	18000
120	855000000	22000	712500000	22000	570000000	22000	498750000	22000	427500000	22000
121	870000000	22000	725000000	22000	580000000	22000	507500000	22000	435000000	22000
122	885000000	22000	737500000	22000	590000000	22000	516250000	22000	442500000	22000
123	900000000	22000	750000000	22000	600000000	22000	525000000	22000	450000000	22000
124	915000000	22000	762500000	22000	610000000	22000	533750000	22000	457500000	22000
125	930000000	22000	775000000	22000	620000000	22000	542500000	22000	465000000	22000
126	945000000	22000	787500000	22000	630000000	22000	551250000	22000	472500000	22000
127	960000000	22000	800000000	22000	640000000	22000	560000000	22000	480000000	22000
128	975000000	22000	812500000	22000	650000000	22000	568750000	22000	487500000	22000
129	990000000	22000	825000000	22000	660000000	22000	577500000	22000	495000000	22000
130	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
131	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
132	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
133	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
134	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
135	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
136	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
137	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
138	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
139	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
140	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
141	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
142	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
143	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
144	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
145	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
146	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
147	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
148	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
149	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
150	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
151	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
152	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
153	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
154	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
155	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
156	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
157	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
158	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
159	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
160	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
161	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
162	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
163	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
164	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
165	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
166	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
167	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
168	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
169	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
170	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
171	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
172	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
173	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
174	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
175	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
176	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
177	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
178	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
179	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
180	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
181	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
182	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
183	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
184	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
185	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
186	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
187	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
188	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
189	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
190	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
191	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
192	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
193	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
194	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
195	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
196	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
197	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
198	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
199	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
200	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
201	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
202	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
203	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
204	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
205	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
206	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
207	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
208	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
209	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
210	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
211	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
212	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
213	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
214	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
215	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
216	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
217	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
218	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
219	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
220	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
221	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
222	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
223	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
224	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
225	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
226	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
227	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
228	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
229	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
230	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
231	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
232	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
233	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
234	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
235	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
236	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
237	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
238	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
239	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
240	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
241	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
242	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
243	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
244	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
245	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
246	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
247	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
248	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
249	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
250	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
251	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
252	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
253	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
254	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
255	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
256	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
257	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
258	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
259	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
260	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
261	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
262	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
263	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
264	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
265	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
266	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
267	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
268	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
269	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
270	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
271	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
272	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
273	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
274	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
275	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
276	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
277	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
278	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
279	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
280	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
281	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
282	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
283	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
284	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
285	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
286	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
287	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
288	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
289	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
290	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
291	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
292	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
293	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
294	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
295	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
296	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
297	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
298	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
299	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
300	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
301	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
302	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
303	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
304	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
305	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
306	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
307	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
308	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
309	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
310	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
311	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
312	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
313	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
314	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
315	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
316	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
317	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
318	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
319	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
320	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
321	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
322	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
323	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
324	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
325	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
326	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
327	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
328	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
329	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
330	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
331	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
332	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
333	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
334	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
335	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
336	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
337	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
338	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
339	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
340	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
341	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
342	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
343	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
344	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
345	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
346	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
347	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
348	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
349	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
350	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
351	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
352	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
353	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
354	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
355	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
356	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
357	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
358	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
359	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
360	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
361	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
362	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
363	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
364	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
365	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
366	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
367	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
368	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
369	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
370	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
371	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
372	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
373	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
374	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
375	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
376	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
377	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
