nSkillBookId	szName	nType	nSeries	nSkillId	nLevelupId	nLevelValue1	nLevelValue2	nLevelValue3	nLevelValue4	nLevelValue5	nLevelValue6	nLevelValue7	nLevelValue8	nLevelValue9	nLevelValue10	nLevelValue11	nLevelValue12	nLevelValue13	nLevelValue14	nLevelValue15	nLevelValue16	nLevelValue17	nLevelValue18	nGradeupId	nGradeValue1	nGradeValue2	nGradeValue3	nGradeValue4	nGradeValue5	nGradeValue6	nGradeValue7	nGradeValue8	nGradeValue9	nGradeValue10	nGradeValue11	nGradeValue12	nGradeValue13	nGradeValue14	nGradeValue15	nGradeValue16	nGradeValue17	nGradeValue18	nRemnantsReturnCount
3518	<i18n=15711>	10	0	18	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3518	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3519	<i18n=3458>	11	0	19	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3520	<i18n=152>	12	0	20	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3521	<i18n=15933>	13	0	21	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3522	<i18n=1154>	14	0	22	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3523	<i18n=9016>	15	0	23	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3524	<i18n=8064>	16	1	24	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3525	<i18n=8296>	16	2	25	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3526	<i18n=3518>	16	3	26	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3527	<i18n=1635>	16	4	27	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3528	<i18n=10579>	16	5	28	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
