nGroupId	nOrder	nIndex	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3	nCompareIndex	nReference	tbnColorList	FightPower	nAttrTypeWeight
1	2	11	meleedamage_return_v	198	297					1	297	60|80|100	1485	120
1	2	12	attackrating_v	50	75					1	75	60|80|100	1500	120
1	2	13	lifemax_v	990	1485					1	1485	60|80|100	1485	100
1	2	14	manamax_v	990	1485					1	1485	60|80|100	1485	120
1	2	15	metal_resist_v	248	371					1	371	60|80|100	1484	100
1	2	16	stealmana_v	100	149					1	149	60|80|100	1490	120
1	2	17	steallife_v	100	149					1	149	60|80|100	1490	100
1	2	18	recover_life_v	50	75	9	9			1	75	60|80|100	1500	100
1	2	19	recover_mana_v	50	75	9	9			1	75	60|80|100	1500	120
1	2	20	lifereplenish_w	396	594					1	594	60|80|100	1485	100
1	2	21	manareplenish_w	396	594					1	594	60|80|100	1485	120
1	2	22	weaken_deadlystrike_damage_v	50	75					1	75	60|80|100	1500	100
1	2	23	weaken_deadlystrike_v	50	75					1	75	60|80|100	1500	100
1	2	24	defense_v	50	75					1	75	60|80|100	1500	100
1	2	25	vitality_v	50	75					1	75	60|80|100	1500	100
1	2	26	energy_v	50	75					1	75	60|80|100	1500	100
1	2	27	return_resist_range_v	198	297					1	297	60|80|100	1485	120
1	2	28	return_resist_melee_v	198	297					1	297	60|80|100	1485	120
1	3	1	physical_metaldamage_v	57	86					1	86	60|80|100	1720	50
1	3	2	energy_metaldamage_v	57	86					1	86	60|80|100	1720	50
1	3	3	basic_damage_v	57	86			57	86	1	86	60|80|100	1720	50
1	3	4	deadlystrike_damage_v	57	86					1	86	60|80|100	1720	50
1	3	5	deadlystrike_v	57	86					1	86	60|80|100	1720	50
1	3	6	strength_v	57	86					1	86	60|80|100	1720	50
1	3	7	dexterity_v	57	86					1	86	60|80|100	1720	50
1	3	8	ignore_metal_resist_v	100	100	57	86			2	100	60|80|100	2000	100
1	3	9	ignore_defense_v	57	86					1	86	60|80|100	1720	50
1	3	10	rangedamage_return_v	228	342					1	342	60|80|100	1710	120
1	3	11	meleedamage_return_v	228	342					1	342	60|80|100	1710	120
1	3	12	attackrating_v	57	86					1	86	60|80|100	1720	120
1	3	13	lifemax_v	1139	1708					1	1708	60|80|100	1708	100
1	3	14	manamax_v	1139	1708					1	1708	60|80|100	1708	120
1	3	15	metal_resist_v	285	428					1	428	60|80|100	1712	100
1	3	16	stealmana_v	114	171					1	171	60|80|100	1710	120
1	3	17	steallife_v	114	171					1	171	60|80|100	1710	100
1	3	18	recover_life_v	57	86	9	9			1	86	60|80|100	1720	100
1	3	19	recover_mana_v	57	86	9	9			1	86	60|80|100	1720	120
1	3	20	lifereplenish_w	456	683					1	683	60|80|100	1708	100
1	3	21	manareplenish_w	456	683					1	683	60|80|100	1708	120
1	3	22	weaken_deadlystrike_damage_v	57	86					1	86	60|80|100	1720	100
1	3	23	weaken_deadlystrike_v	57	86					1	86	60|80|100	1720	100
1	3	24	defense_v	57	86					1	86	60|80|100	1720	100
1	3	25	vitality_v	57	86					1	86	60|80|100	1720	100
1	3	26	energy_v	57	86					1	86	60|80|100	1720	100
1	3	27	return_resist_range_v	228	342					1	342	60|80|100	1710	120
1	3	28	return_resist_melee_v	228	342					1	342	60|80|100	1710	120
1	4	1	physical_metaldamage_v	66	99					1	99	60|80|100	1980	50
1	4	2	energy_metaldamage_v	66	99					1	99	60|80|100	1980	50
1	4	3	basic_damage_v	66	99			66	99	1	99	60|80|100	1980	50
1	4	4	deadlystrike_damage_v	66	99					1	99	60|80|100	1980	50
1	4	5	deadlystrike_v	66	99					1	99	60|80|100	1980	50
1	4	6	strength_v	66	99					1	99	60|80|100	1980	50
1	4	7	dexterity_v	66	99					1	99	60|80|100	1980	50
1	4	8	ignore_metal_resist_v	100	100	66	99			2	100	60|80|100	2000	100
1	4	9	ignore_defense_v	66	99					1	99	60|80|100	1980	50
1	4	10	rangedamage_return_v	262	393					1	393	60|80|100	1965	120
1	4	11	meleedamage_return_v	262	393					1	393	60|80|100	1965	120
1	4	12	attackrating_v	66	99					1	99	60|80|100	1980	120
1	4	13	lifemax_v	1309	1964					1	1964	60|80|100	1964	100
1	4	14	manamax_v	1309	1964					1	1964	60|80|100	1964	120
1	4	15	metal_resist_v	328	491					1	491	60|80|100	1964	100
1	4	16	stealmana_v	132	197					1	197	60|80|100	1970	120
1	4	17	steallife_v	132	197					1	197	60|80|100	1970	100
1	4	18	recover_life_v	66	99	9	9			1	99	60|80|100	1980	100
1	4	19	recover_mana_v	66	99	9	9			1	99	60|80|100	1980	120
1	4	20	lifereplenish_w	524	785					1	785	60|80|100	1963	100
1	4	21	manareplenish_w	524	785					1	785	60|80|100	1963	120
1	4	22	weaken_deadlystrike_damage_v	66	99					1	99	60|80|100	1980	100
1	4	23	weaken_deadlystrike_v	66	99					1	99	60|80|100	1980	100
1	4	24	defense_v	66	99					1	99	60|80|100	1980	100
1	4	25	vitality_v	66	99					1	99	60|80|100	1980	100
1	4	26	energy_v	66	99					1	99	60|80|100	1980	100
1	4	27	return_resist_range_v	262	393					1	393	60|80|100	1965	120
1	4	28	return_resist_melee_v	262	393					1	393	60|80|100	1965	120
1	5	1	physical_metaldamage_v	76	113					1	113	60|80|100	2260	50
1	5	2	energy_metaldamage_v	76	113					1	113	60|80|100	2260	50
1	5	3	basic_damage_v	76	113			76	113	1	113	60|80|100	2260	50
1	5	4	deadlystrike_damage_v	76	113					1	113	60|80|100	2260	50
1	5	5	deadlystrike_v	76	113					1	113	60|80|100	2260	50
1	5	6	strength_v	76	113					1	113	60|80|100	2260	50
1	5	7	dexterity_v	76	113					1	113	60|80|100	2260	50
1	5	8	ignore_metal_resist_v	100	100	76	113			2	113	60|80|100	2000	100
1	5	9	ignore_defense_v	76	113					1	113	60|80|100	2260	50
1	5	10	rangedamage_return_v	301	452					1	452	60|80|100	2260	120
1	5	11	meleedamage_return_v	301	452					1	452	60|80|100	2260	120
1	5	12	attackrating_v	76	113					1	113	60|80|100	2260	120
1	5	13	lifemax_v	1505	2258					1	2258	60|80|100	2258	100
1	5	14	manamax_v	1505	2258					1	2258	60|80|100	2258	120
1	5	15	metal_resist_v	376	564					1	564	60|80|100	2256	100
1	5	16	stealmana_v	151	226					1	226	60|80|100	2260	120
1	5	17	steallife_v	151	226					1	226	60|80|100	2260	100
1	5	18	recover_life_v	76	113	9	9			1	113	60|80|100	2260	100
1	5	19	recover_mana_v	76	113	9	9			1	113	60|80|100	2260	120
1	5	20	lifereplenish_w	602	903					1	903	60|80|100	2258	100
1	5	21	manareplenish_w	602	903					1	903	60|80|100	2258	120
1	5	22	weaken_deadlystrike_damage_v	76	113					1	113	60|80|100	2260	100
1	5	23	weaken_deadlystrike_v	76	113					1	113	60|80|100	2260	100
1	5	24	defense_v	76	113					1	113	60|80|100	2260	100
1	5	25	vitality_v	76	113					1	113	60|80|100	2260	100
1	5	26	energy_v	76	113					1	113	60|80|100	2260	100
1	5	27	return_resist_range_v	301	452					1	452	60|80|100	2260	120
1	5	28	return_resist_melee_v	301	452					1	452	60|80|100	2260	120
1	6	1	physical_metaldamage_v	87	130					1	130	60|80|100	2600	50
1	6	2	energy_metaldamage_v	87	130					1	130	60|80|100	2600	50
1	6	3	basic_damage_v	87	130			87	130	1	130	60|80|100	2600	50
1	6	4	deadlystrike_damage_v	87	130					1	130	60|80|100	2600	50
1	6	5	deadlystrike_v	87	130					1	130	60|80|100	2600	50
1	6	6	strength_v	87	130					1	130	60|80|100	2600	50
1	6	7	dexterity_v	87	130					1	130	60|80|100	2600	50
1	6	8	ignore_metal_resist_v	100	100	87	130			2	130	60|80|100	2000	100
1	6	9	ignore_defense_v	87	130					1	130	60|80|100	2600	50
1	6	10	rangedamage_return_v	347	520					1	520	60|80|100	2600	120
1	6	11	meleedamage_return_v	347	520					1	520	60|80|100	2600	120
1	6	12	attackrating_v	87	130					1	130	60|80|100	2600	120
1	6	13	lifemax_v	1731	2596					1	2596	60|80|100	2596	100
1	6	14	manamax_v	1731	2596					1	2596	60|80|100	2596	120
1	6	15	metal_resist_v	433	650					1	650	60|80|100	2600	100
1	6	16	stealmana_v	173	260					1	260	60|80|100	2600	120
1	6	17	steallife_v	173	260					1	260	60|80|100	2600	100
1	6	18	recover_life_v	87	130	9	9			1	130	60|80|100	2600	100
1	6	19	recover_mana_v	87	130	9	9			1	130	60|80|100	2600	120
1	6	20	lifereplenish_w	692	1038					1	1038	60|80|100	2595	100
1	6	21	manareplenish_w	692	1038					1	1038	60|80|100	2595	120
1	6	22	weaken_deadlystrike_damage_v	87	130					1	130	60|80|100	2600	100
1	6	23	weaken_deadlystrike_v	87	130					1	130	60|80|100	2600	100
1	6	24	defense_v	87	130					1	130	60|80|100	2600	100
1	6	25	vitality_v	87	130					1	130	60|80|100	2600	100
1	6	26	energy_v	87	130					1	130	60|80|100	2600	100
1	6	27	return_resist_range_v	347	520					1	520	60|80|100	2600	120
1	6	28	return_resist_melee_v	347	520					1	520	60|80|100	2600	120
1	7	1	physical_metaldamage_v	96	143					1	143	60|80|100	2860	50
1	7	2	energy_metaldamage_v	96	143					1	143	60|80|100	2860	50
1	7	3	basic_damage_v	96	143			96	143	1	143	60|80|100	2860	50
1	7	4	deadlystrike_damage_v	96	143					1	143	60|80|100	2860	50
1	7	5	deadlystrike_v	96	143					1	143	60|80|100	2860	50
1	7	6	strength_v	96	143					1	143	60|80|100	2860	50
1	7	7	dexterity_v	96	143					1	143	60|80|100	2860	50
1	7	8	ignore_metal_resist_v	100	100	96	143			2	143	60|80|100	2000	100
1	7	9	ignore_defense_v	96	143					1	143	60|80|100	2860	50
1	7	10	rangedamage_return_v	381	572					1	572	60|80|100	2860	120
1	7	11	meleedamage_return_v	381	572					1	572	60|80|100	2860	120
1	7	12	attackrating_v	96	143					1	143	60|80|100	2860	120
1	7	13	lifemax_v	1904	2856					1	2856	60|80|100	2856	100
1	7	14	manamax_v	1904	2856					1	2856	60|80|100	2856	120
1	7	15	metal_resist_v	476	714					1	714	60|80|100	2856	100
1	7	16	stealmana_v	191	286					1	286	60|80|100	2860	120
1	7	17	steallife_v	191	286					1	286	60|80|100	2860	100
1	7	18	recover_life_v	96	143	9	9			1	143	60|80|100	2860	100
1	7	19	recover_mana_v	96	143	9	9			1	143	60|80|100	2860	120
1	7	20	lifereplenish_w	762	1143					1	1143	60|80|100	2858	100
1	7	21	manareplenish_w	762	1143					1	1143	60|80|100	2858	120
1	7	22	weaken_deadlystrike_damage_v	96	143					1	143	60|80|100	2860	100
1	7	23	weaken_deadlystrike_v	96	143					1	143	60|80|100	2860	100
1	7	24	defense_v	96	143					1	143	60|80|100	2860	100
1	7	25	vitality_v	96	143					1	143	60|80|100	2860	100
1	7	26	energy_v	96	143					1	143	60|80|100	2860	100
1	7	27	return_resist_range_v	381	572					1	572	60|80|100	2860	120
1	7	28	return_resist_melee_v	381	572					1	572	60|80|100	2860	120
1	8	1	physical_metaldamage_v	105	158					1	158	60|80|100	3160	50
1	8	2	energy_metaldamage_v	105	158					1	158	60|80|100	3160	50
1	8	3	basic_damage_v	105	158			105	158	1	158	60|80|100	3160	50
1	8	4	deadlystrike_damage_v	105	158					1	158	60|80|100	3160	50
1	8	5	deadlystrike_v	105	158					1	158	60|80|100	3160	50
1	8	6	strength_v	105	158					1	158	60|80|100	3160	50
1	8	7	dexterity_v	105	158					1	158	60|80|100	3160	50
1	8	8	ignore_metal_resist_v	100	100	105	158			2	158	60|80|100	2000	100
1	8	9	ignore_defense_v	105	158					1	158	60|80|100	3160	50
1	8	10	rangedamage_return_v	420	629					1	629	60|80|100	3145	120
1	8	11	meleedamage_return_v	420	629					1	629	60|80|100	3145	120
1	8	12	attackrating_v	105	158					1	158	60|80|100	3160	120
1	8	13	lifemax_v	2095	3142					1	3142	60|80|100	3142	100
1	8	14	manamax_v	2095	3142					1	3142	60|80|100	3142	120
1	8	15	metal_resist_v	524	785					1	785	60|80|100	3140	100
1	8	16	stealmana_v	210	315					1	315	60|80|100	3150	120
1	8	17	steallife_v	210	315					1	315	60|80|100	3150	100
1	8	18	recover_life_v	105	158	9	9			1	158	60|80|100	3160	100
1	8	19	recover_mana_v	105	158	9	9			1	158	60|80|100	3160	120
1	8	20	lifereplenish_w	838	1257					1	1257	60|80|100	3143	100
1	8	21	manareplenish_w	838	1257					1	1257	60|80|100	3143	120
1	8	22	weaken_deadlystrike_damage_v	105	158					1	158	60|80|100	3160	100
1	8	23	weaken_deadlystrike_v	105	158					1	158	60|80|100	3160	100
1	8	24	defense_v	105	158					1	158	60|80|100	3160	100
1	8	25	vitality_v	105	158					1	158	60|80|100	3160	100
1	8	26	energy_v	105	158					1	158	60|80|100	3160	100
1	8	27	return_resist_range_v	420	629					1	629	60|80|100	3145	120
1	8	28	return_resist_melee_v	420	629					1	629	60|80|100	3145	120
1	9	1	physical_metaldamage_v	116	173					1	173	60|80|100	3460	50
1	9	2	energy_metaldamage_v	116	173					1	173	60|80|100	3460	50
1	9	3	basic_damage_v	116	173			116	173	1	173	60|80|100	3460	50
1	9	4	deadlystrike_damage_v	116	173					1	173	60|80|100	3460	50
1	9	5	deadlystrike_v	116	173					1	173	60|80|100	3460	50
1	9	6	strength_v	116	173					1	173	60|80|100	3460	50
1	9	7	dexterity_v	116	173					1	173	60|80|100	3460	50
1	9	8	ignore_metal_resist_v	100	100	116	173			2	173	60|80|100	2000	100
1	9	9	ignore_defense_v	116	173					1	173	60|80|100	3460	50
1	9	10	rangedamage_return_v	461	692					1	692	60|80|100	3460	120
1	9	11	meleedamage_return_v	461	692					1	692	60|80|100	3460	120
1	9	12	attackrating_v	116	173					1	173	60|80|100	3460	120
1	9	13	lifemax_v	2304	3455					1	3455	60|80|100	3455	100
1	9	14	manamax_v	2304	3455					1	3455	60|80|100	3455	120
1	9	15	metal_resist_v	576	864					1	864	60|80|100	3456	100
1	9	16	stealmana_v	231	346					1	346	60|80|100	3460	120
1	9	17	steallife_v	231	346					1	346	60|80|100	3460	100
1	9	18	recover_life_v	116	173	9	9			1	173	60|80|100	3460	100
1	9	19	recover_mana_v	116	173	9	9			1	173	60|80|100	3460	120
1	9	20	lifereplenish_w	922	1383					1	1383	60|80|100	3458	100
1	9	21	manareplenish_w	922	1383					1	1383	60|80|100	3458	120
1	9	22	weaken_deadlystrike_damage_v	116	173					1	173	60|80|100	3460	100
1	9	23	weaken_deadlystrike_v	116	173					1	173	60|80|100	3460	100
1	9	24	defense_v	116	173					1	173	60|80|100	3460	100
1	9	25	vitality_v	116	173					1	173	60|80|100	3460	100
1	9	26	energy_v	116	173					1	173	60|80|100	3460	100
1	9	27	return_resist_range_v	461	692					1	692	60|80|100	3460	120
1	9	28	return_resist_melee_v	461	692					1	692	60|80|100	3460	120
1	10	1	physical_metaldamage_v	127	190					1	190	60|80|100	3800	50
1	10	2	energy_metaldamage_v	127	190					1	190	60|80|100	3800	50
1	10	3	basic_damage_v	127	190			127	190	1	190	60|80|100	3800	50
1	10	4	deadlystrike_damage_v	127	190					1	190	60|80|100	3800	50
1	10	5	deadlystrike_v	127	190					1	190	60|80|100	3800	50
1	10	6	strength_v	127	190					1	190	60|80|100	3800	50
1	10	7	dexterity_v	127	190					1	190	60|80|100	3800	50
1	10	8	ignore_metal_resist_v	100	100	127	190			2	190	60|80|100	2000	100
1	10	9	ignore_defense_v	127	190					1	190	60|80|100	3800	50
1	10	10	rangedamage_return_v	507	760					1	760	60|80|100	3800	120
1	10	11	meleedamage_return_v	507	760					1	760	60|80|100	3800	120
1	10	12	attackrating_v	127	190					1	190	60|80|100	3800	120
1	10	13	lifemax_v	2534	3801					1	3801	60|80|100	3801	100
1	10	14	manamax_v	2534	3801					1	3801	60|80|100	3801	120
1	10	15	metal_resist_v	634	951					1	951	60|80|100	3804	100
1	10	16	stealmana_v	254	381					1	381	60|80|100	3810	120
1	10	17	steallife_v	254	381					1	381	60|80|100	3810	100
1	10	18	recover_life_v	127	190	9	9			1	190	60|80|100	3800	100
1	10	19	recover_mana_v	127	190	9	9			1	190	60|80|100	3800	120
1	10	20	lifereplenish_w	1014	1521					1	1521	60|80|100	3803	100
1	10	21	manareplenish_w	1014	1521					1	1521	60|80|100	3803	120
1	10	22	weaken_deadlystrike_damage_v	127	190					1	190	60|80|100	3800	100
1	10	23	weaken_deadlystrike_v	127	190					1	190	60|80|100	3800	100
1	10	24	defense_v	127	190					1	190	60|80|100	3800	100
1	10	25	vitality_v	127	190					1	190	60|80|100	3800	100
1	10	26	energy_v	127	190					1	190	60|80|100	3800	100
1	10	27	return_resist_range_v	507	760					1	760	60|80|100	3800	120
1	10	28	return_resist_melee_v	507	760					1	760	60|80|100	3800	120
1	11	1	physical_metaldamage_v	140	209					1	209	60|80|100	4180	50
1	11	2	energy_metaldamage_v	140	209					1	209	60|80|100	4180	50
1	11	3	basic_damage_v	140	209			140	209	1	209	60|80|100	4180	50
1	11	4	deadlystrike_damage_v	140	209					1	209	60|80|100	4180	50
1	11	5	deadlystrike_v	140	209					1	209	60|80|100	4180	50
1	11	6	strength_v	140	209					1	209	60|80|100	4180	50
1	11	7	dexterity_v	140	209					1	209	60|80|100	4180	50
1	11	8	ignore_metal_resist_v	100	100	140	209			2	209	60|80|100	2000	100
1	11	9	ignore_defense_v	140	209					1	209	60|80|100	4180	50
1	11	10	rangedamage_return_v	558	837					1	837	60|80|100	4185	120
1	11	11	meleedamage_return_v	558	837					1	837	60|80|100	4185	120
1	11	12	attackrating_v	140	209					1	209	60|80|100	4180	120
1	11	13	lifemax_v	2788	4181					1	4181	60|80|100	4181	100
1	11	14	manamax_v	2788	4181					1	4181	60|80|100	4181	120
1	11	15	metal_resist_v	697	1046					1	1046	60|80|100	4184	100
1	11	16	stealmana_v	279	418					1	418	60|80|100	4180	120
1	11	17	steallife_v	279	418					1	418	60|80|100	4180	100
1	11	18	recover_life_v	140	209	9	9			1	209	60|80|100	4180	100
1	11	19	recover_mana_v	140	209	9	9			1	209	60|80|100	4180	120
1	11	20	lifereplenish_w	1116	1673					1	1673	60|80|100	4183	100
1	11	21	manareplenish_w	1116	1673					1	1673	60|80|100	4183	120
1	11	22	weaken_deadlystrike_damage_v	140	209					1	209	60|80|100	4180	100
1	11	23	weaken_deadlystrike_v	140	209					1	209	60|80|100	4180	100
1	11	24	defense_v	140	209					1	209	60|80|100	4180	100
1	11	25	vitality_v	140	209					1	209	60|80|100	4180	100
1	11	26	energy_v	140	209					1	209	60|80|100	4180	100
1	11	27	return_resist_range_v	558	837					1	837	60|80|100	4185	120
1	11	28	return_resist_melee_v	558	837					1	837	60|80|100	4185	120
1	12	1	physical_metaldamage_v	152	228					1	228	60|80|100	4560	50
1	12	2	energy_metaldamage_v	152	228					1	228	60|80|100	4560	50
1	12	3	basic_damage_v	152	228			152	228	1	228	60|80|100	4560	50
1	12	4	deadlystrike_damage_v	152	228					1	228	60|80|100	4560	50
1	12	5	deadlystrike_v	152	228					1	228	60|80|100	4560	50
1	12	6	strength_v	152	228					1	228	60|80|100	4560	50
1	12	7	dexterity_v	152	228					1	228	60|80|100	4560	50
1	12	8	ignore_metal_resist_v	100	100	152	228			2	228	60|80|100	2000	100
1	12	9	ignore_defense_v	152	228					1	228	60|80|100	4560	50
1	12	10	rangedamage_return_v	608	912					1	912	60|80|100	4560	120
1	12	11	meleedamage_return_v	608	912					1	912	60|80|100	4560	120
1	12	12	attackrating_v	152	228					1	228	60|80|100	4560	120
1	12	13	lifemax_v	3041	4562					1	4562	60|80|100	4562	100
1	12	14	manamax_v	3041	4562					1	4562	60|80|100	4562	120
1	12	15	metal_resist_v	760	1140					1	1140	60|80|100	4560	100
1	12	16	stealmana_v	304	456					1	456	60|80|100	4560	120
1	12	17	steallife_v	304	456					1	456	60|80|100	4560	100
1	12	18	recover_life_v	152	228	9	9			1	228	60|80|100	4560	100
1	12	19	recover_mana_v	152	228	9	9			1	228	60|80|100	4560	120
1	12	20	lifereplenish_w	1216	1824					1	1824	60|80|100	4560	100
1	12	21	manareplenish_w	1216	1824					1	1824	60|80|100	4560	120
1	12	22	weaken_deadlystrike_damage_v	152	228					1	228	60|80|100	4560	100
1	12	23	weaken_deadlystrike_v	152	228					1	228	60|80|100	4560	100
1	12	24	defense_v	152	228					1	228	60|80|100	4560	100
1	12	25	vitality_v	152	228					1	228	60|80|100	4560	100
1	12	26	energy_v	152	228					1	228	60|80|100	4560	100
1	12	27	return_resist_range_v	608	912					1	912	60|80|100	4560	120
1	12	28	return_resist_melee_v	608	912					1	912	60|80|100	4560	120
1	13	1	physical_metaldamage_v	160	240					1	240	60|80|100	4800	50
1	13	2	energy_metaldamage_v	160	240					1	240	60|80|100	4800	50
1	13	3	basic_damage_v	160	240			160	240	1	240	60|80|100	4800	50
1	13	4	deadlystrike_damage_v	160	240					1	240	60|80|100	4800	50
1	13	5	deadlystrike_v	160	240					1	240	60|80|100	4800	50
1	13	6	strength_v	160	240					1	240	60|80|100	4800	50
1	13	7	dexterity_v	160	240					1	240	60|80|100	4800	50
1	13	8	ignore_metal_resist_v	100	100	160	240			2	240	60|80|100	2000	100
1	13	9	ignore_defense_v	160	240					1	240	60|80|100	4800	50
1	13	10	rangedamage_return_v	639	958					1	958	60|80|100	4790	120
1	13	11	meleedamage_return_v	639	958					1	958	60|80|100	4790	120
1	13	12	attackrating_v	160	240					1	240	60|80|100	4800	120
1	13	13	lifemax_v	3193	4790					1	4790	60|80|100	4790	100
1	13	14	manamax_v	3193	4790					1	4790	60|80|100	4790	120
1	13	15	metal_resist_v	799	1198					1	1198	60|80|100	4792	100
1	13	16	stealmana_v	320	479					1	479	60|80|100	4790	120
1	13	17	steallife_v	320	479					1	479	60|80|100	4790	100
1	13	18	recover_life_v	160	240	9	9			1	240	60|80|100	4800	100
1	13	19	recover_mana_v	160	240	9	9			1	240	60|80|100	4800	120
1	13	20	lifereplenish_w	1277	1916					1	1916	60|80|100	4790	100
1	13	21	manareplenish_w	1277	1916					1	1916	60|80|100	4790	120
1	13	22	weaken_deadlystrike_damage_v	160	240					1	240	60|80|100	4800	100
1	13	23	weaken_deadlystrike_v	160	240					1	240	60|80|100	4800	100
1	13	24	defense_v	160	240					1	240	60|80|100	4800	100
1	13	25	vitality_v	160	240					1	240	60|80|100	4800	100
1	13	26	energy_v	160	240					1	240	60|80|100	4800	100
1	13	27	return_resist_range_v	639	958					1	958	60|80|100	4790	120
1	13	28	return_resist_melee_v	639	958					1	958	60|80|100	4790	120
1	14	1	physical_metaldamage_v	168	251					1	251	60|80|100	5020	50
1	14	2	energy_metaldamage_v	168	251					1	251	60|80|100	5020	50
1	14	3	basic_damage_v	168	251			168	251	1	251	60|80|100	5020	50
1	14	4	deadlystrike_damage_v	168	251					1	251	60|80|100	5020	50
1	14	5	deadlystrike_v	168	251					1	251	60|80|100	5020	50
1	14	6	strength_v	168	251					1	251	60|80|100	5020	50
1	14	7	dexterity_v	168	251					1	251	60|80|100	5020	50
1	14	8	ignore_metal_resist_v	100	100	168	251			2	251	60|80|100	2000	100
1	14	9	ignore_defense_v	168	251					1	251	60|80|100	5020	50
1	14	10	rangedamage_return_v	671	1006					1	1006	60|80|100	5030	120
1	14	11	meleedamage_return_v	671	1006					1	1006	60|80|100	5030	120
1	14	12	attackrating_v	168	251					1	251	60|80|100	5020	120
1	14	13	lifemax_v	3351	5026					1	5026	60|80|100	5026	100
1	14	14	manamax_v	3351	5026					1	5026	60|80|100	5026	120
1	14	15	metal_resist_v	838	1257					1	1257	60|80|100	5028	100
1	14	16	stealmana_v	336	503					1	503	60|80|100	5030	120
1	14	17	steallife_v	336	503					1	503	60|80|100	5030	100
1	14	18	recover_life_v	168	251	9	9			1	251	60|80|100	5020	100
1	14	19	recover_mana_v	168	251	9	9			1	251	60|80|100	5020	120
1	14	20	lifereplenish_w	1340	2010					1	2010	60|80|100	5025	100
1	14	21	manareplenish_w	1340	2010					1	2010	60|80|100	5025	120
1	14	22	weaken_deadlystrike_damage_v	168	251					1	251	60|80|100	5020	100
1	14	23	weaken_deadlystrike_v	168	251					1	251	60|80|100	5020	100
1	14	24	defense_v	168	251					1	251	60|80|100	5020	100
1	14	25	vitality_v	168	251					1	251	60|80|100	5020	100
1	14	26	energy_v	168	251					1	251	60|80|100	5020	100
1	14	27	return_resist_range_v	671	1006					1	1006	60|80|100	5030	120
1	14	28	return_resist_melee_v	671	1006					1	1006	60|80|100	5030	120
1	15	1	physical_metaldamage_v	176	263					1	263	60|80|100	5260	50
1	15	2	energy_metaldamage_v	176	263					1	263	60|80|100	5260	50
1	15	3	basic_damage_v	176	263			176	263	1	263	60|80|100	5260	50
1	15	4	deadlystrike_damage_v	176	263					1	263	60|80|100	5260	50
1	15	5	deadlystrike_v	176	263					1	263	60|80|100	5260	50
1	15	6	strength_v	176	263					1	263	60|80|100	5260	50
