nId	nPartnerId	nOrder	tbnWeight	tbnMingXiaQuality	tbnActivityQuality	nMaterialsId	nConsumeNum	nYuanQiNum	nIsBind	tbnItemId
39	4	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671506|671006|670506|661306
40	4	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671507|671007|670507|661307
41	4	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671508|671008|670508|661308
42	4	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671509|671009|670509|661309
43	4	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671510|671010|670510|661310
44	4	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671511|671011|670511|661311
45	5	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671301|670801|670301|660601
46	5	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671302|670802|670302|660602
47	5	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671303|670803|670303|660603
48	5	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671304|670804|670304|660604
49	5	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671305|670805|670305|660605
50	5	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671306|670806|670306|660606
51	5	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671307|670807|670307|660607
52	5	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671308|670808|670308|660608
53	5	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671309|670809|670309|660609
54	5	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671310|670810|670310|660610
55	5	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671311|670811|670311|660611
56	6	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671101|670601|670101|660201
57	6	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671102|670602|670102|660202
58	6	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671103|670603|670103|660203
59	6	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671104|670604|670104|660204
60	6	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671105|670605|670105|660205
61	6	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671106|670606|670106|660206
62	6	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671107|670607|670107|660207
63	6	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671108|670608|670108|660208
64	6	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671109|670609|670109|660209
65	6	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671110|670610|670110|660210
66	6	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671111|670611|670111|660211
67	7	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671401|670901|670401|661001
68	7	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671402|670902|670402|661002
69	7	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671403|670903|670403|661003
70	7	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671404|670904|670404|661004
71	7	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671405|670905|670405|661005
72	7	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671406|670906|670406|661006
73	7	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671407|670907|670407|661007
74	7	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671408|670908|670408|661008
75	7	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671409|670909|670409|661009
76	7	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671410|670910|670410|661010
77	7	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671411|670911|670411|661011
78	8	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671201|670701|670201|660401
79	8	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671202|670702|670202|660402
80	8	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671203|670703|670203|660403
81	8	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671204|670704|670204|660404
82	8	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671205|670705|670205|660405
83	8	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671206|670706|670206|660406
84	8	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671207|670707|670207|660407
85	8	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671208|670708|670208|660408
86	8	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671209|670709|670209|660409
87	8	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671210|670710|670210|660410
88	8	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671211|670711|670211|660411
89	9	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671301|670801|670301|660701
90	9	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671302|670802|670302|660702
91	9	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671303|670803|670303|660703
92	9	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671304|670804|670304|660704
93	9	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671305|670805|670305|660705
94	9	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671306|670806|670306|660706
95	9	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671307|670807|670307|660707
96	9	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671308|670808|670308|660708
97	9	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671309|670809|670309|660709
98	9	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671310|670810|670310|660710
99	9	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671311|670811|670311|660711
100	10	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671401|670901|670401|661101
101	10	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671402|670902|670402|661102
102	10	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671403|670903|670403|661103
103	10	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671404|670904|670404|661104
104	10	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671405|670905|670405|661105
105	10	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671406|670906|670406|661106
106	10	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671407|670907|670407|661107
107	10	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671408|670908|670408|661108
108	10	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671409|670909|670409|661109
109	10	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671410|670910|670410|661110
110	10	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671411|670911|670411|661111
111	11	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671201|670701|670201|660501
112	11	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671202|670702|670202|660502
113	11	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671203|670703|670203|660503
114	11	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671204|670704|670204|660504
115	11	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671205|670705|670205|660505
116	11	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671206|670706|670206|660506
117	11	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671207|670707|670207|660507
118	11	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671208|670708|670208|660508
119	11	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671209|670709|670209|660509
120	11	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671210|670710|670210|660510
121	11	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671211|670711|670211|660511
122	12	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671301|670801|670301|660801
123	12	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671302|670802|670302|660802
124	12	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671303|670803|670303|660803
125	12	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671304|670804|670304|660804
126	12	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671305|670805|670305|660805
127	12	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671306|670806|670306|660806
128	12	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671307|670807|670307|660807
129	12	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671308|670808|670308|660808
130	12	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671309|670809|670309|660809
131	12	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671310|670810|670310|660810
132	12	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671311|670811|670311|660811
133	13	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671401|670901|670401|661201
134	13	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671402|670902|670402|661202
135	13	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671403|670903|670403|661203
136	13	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671404|670904|670404|661204
137	13	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671405|670905|670405|661205
138	13	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671406|670906|670406|661206
139	13	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671407|670907|670407|661207
140	13	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671408|670908|670408|661208
141	13	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671409|670909|670409|661209
142	13	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671410|670910|670410|661210
143	13	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671411|670911|670411|661211
144	14	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671201|670701
145	14	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671202|670702
146	14	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671203|670703
147	14	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671204|670704
148	14	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671205|670705
149	14	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671206|670706
150	14	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671207|670707
151	14	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671208|670708
152	14	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671209|670709
153	14	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671210|670710
154	14	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671211|670711
155	15	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671301|670801
156	15	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671302|670802
157	15	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671303|670803
158	15	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671304|670804
159	15	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671305|670805
160	15	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671306|670806
161	15	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671307|670807
162	15	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671308|670808
163	15	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671309|670809
164	15	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671310|670810
165	15	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671311|670811
166	16	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671501|671001
167	16	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671502|671002
168	16	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671503|671003
169	16	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671504|671004
170	16	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671505|671005
171	16	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671506|671006
172	16	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671507|671007
173	16	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671508|671008
174	16	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671509|671009
175	16	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671510|671010
176	16	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671511|671011
177	17	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671101|670601
178	17	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671102|670602
179	17	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671103|670603
180	17	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671104|670604
181	17	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671105|670605
182	17	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671106|670606
183	17	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671107|670607
184	17	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671108|670608
185	17	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671109|670609
186	17	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671110|670610
187	17	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671111|670611
188	18	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671201|670701
189	18	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671202|670702
190	18	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671203|670703
191	18	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671204|670704
192	18	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671205|670705
193	18	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671206|670706
194	18	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671207|670707
195	18	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671208|670708
196	18	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671209|670709
197	18	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671210|670710
198	18	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671211|670711
199	19	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671101|670601
200	19	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671102|670602
201	19	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671103|670603
202	19	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671104|670604
203	19	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671105|670605
204	19	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671106|670606
205	19	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671107|670607
206	19	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671108|670608
207	19	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671109|670609
208	19	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671110|670610
209	19	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671111|670611
210	20	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671401|670901
211	20	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671402|670902
212	20	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671403|670903
213	20	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671404|670904
214	20	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671405|670905
215	20	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671406|670906
216	20	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671407|670907
217	20	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671408|670908
218	20	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671409|670909
219	20	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671410|670910
220	20	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671411|670911
221	21	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671201|670701
222	21	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671202|670702
223	21	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671203|670703
224	21	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671204|670704
225	21	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671205|670705
226	21	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671206|670706
227	21	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671207|670707
228	21	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671208|670708
229	21	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671209|670709
230	21	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671210|670710
231	21	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671211|670711
232	22	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671501|671001
233	22	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671502|671002
234	22	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671503|671003
235	22	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671504|671004
236	22	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671505|671005
237	22	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671506|671006
238	22	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671507|671007
239	22	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671508|671008
240	22	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671509|671009
241	22	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671510|671010
242	22	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671511|671011
243	23	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671301|670801
244	23	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671302|670802
245	23	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671303|670803
246	23	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671304|670804
247	23	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671305|670805
248	23	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671306|670806
249	23	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671307|670807
250	23	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671308|670808
251	23	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671309|670809
252	23	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671310|670810
253	23	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671311|670811
254	24	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671401|670901
255	24	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671402|670902
256	24	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671403|670903
257	24	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671404|670904
258	24	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671405|670905
259	24	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671406|670906
260	24	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671407|670907
