nId	nHole	nEnhanceLevel	nNeedExp	nMaterialsNum	nDoublePro	nDoubleAddPro	nFiveFoldPro	nFiveAddPro	nSilver	nStar	nAttrNum	szAttribType1	tbnAttribValue1	szAttribType2	tbnAttribValue2	FightPower
26	9	26	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	315|0|0	lifemax_q	251.9|0|0	9400
27	9	27	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	325|0|0	lifemax_q	260.2|0|0	9800
28	9	28	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	336|0|0	lifemax_q	268.6|0|0	10200
29	9	29	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	346|0|0	lifemax_q	276.9|0|0	10600
30	9	30	400	3	200000	100000	100000	50000	3000	3	2	allsect_metaldamage_v	383|0|0	lifemax_q	306|0|0	11000
31	9	31	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	395|0|0	lifemax_q	315.6|0|0	11500
32	9	32	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	407|0|0	lifemax_q	325.2|0|0	12000
33	9	33	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	419|0|0	lifemax_q	334.8|0|0	12500
34	9	34	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	431|0|0	lifemax_q	344.4|0|0	13000
35	9	35	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	443|0|0	lifemax_q	354|0|0	13500
36	9	36	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	455|0|0	lifemax_q	363.6|0|0	14000
37	9	37	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	467|0|0	lifemax_q	373.2|0|0	14500
38	9	38	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	479|0|0	lifemax_q	382.8|0|0	15000
39	9	39	500	4	200000	100000	100000	50000	4000	3	2	allsect_metaldamage_v	491|0|0	lifemax_q	392.4|0|0	15500
40	9	40	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	533|0|0	lifemax_q	426|0|0	16000
41	9	41	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	544|0|0	lifemax_q	430.4|0|0	16500
42	9	42	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	555|0|0	lifemax_q	434.8|0|0	17000
43	9	43	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	566|0|0	lifemax_q	439.2|0|0	17500
44	9	44	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	577|0|0	lifemax_q	443.6|0|0	18000
45	9	45	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	588|0|0	lifemax_q	448|0|0	18500
46	9	46	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	599|0|0	lifemax_q	452.4|0|0	19000
47	9	47	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	610|0|0	lifemax_q	456.8|0|0	19500
48	9	48	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	621|0|0	lifemax_q	461.2|0|0	20000
49	9	49	500	4	200000	100000	100000	50000	4000	4	2	allsect_metaldamage_v	632|0|0	lifemax_q	465.6|0|0	20500
50	9	50	500	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	670|0|0	lifemax_q	481|0|0	21000
51	9	51	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	682|0|0	lifemax_q	485.8|0|0	21600
52	9	52	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	694|0|0	lifemax_q	490.6|0|0	22200
53	9	53	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	706|0|0	lifemax_q	495.4|0|0	22800
54	9	54	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	718|0|0	lifemax_q	500.2|0|0	23400
55	9	55	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	730|0|0	lifemax_q	505|0|0	24000
56	9	56	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	742|0|0	lifemax_q	509.8|0|0	24600
57	9	57	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	754|0|0	lifemax_q	514.6|0|0	25200
58	9	58	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	766|0|0	lifemax_q	519.4|0|0	25800
59	9	59	600	4	200000	100000	100000	50000	4000	5	2	allsect_metaldamage_v	778|0|0	lifemax_q	524.2|0|0	26400
60	9	60	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	820|0|0	lifemax_q	541|0|0	27000
61	9	61	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	831|0|0	lifemax_q	545.3|0|0	27600
62	9	62	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	842|0|0	lifemax_q	549.7|0|0	28200
63	9	63	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	852|0|0	lifemax_q	554|0|0	28800
64	9	64	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	863|0|0	lifemax_q	558.4|0|0	29400
65	9	65	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	874|0|0	lifemax_q	562.7|0|0	30000
66	9	66	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	885|0|0	lifemax_q	567|0|0	30600
67	9	67	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	896|0|0	lifemax_q	571.4|0|0	31200
68	9	68	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	906|0|0	lifemax_q	575.7|0|0	31800
69	9	69	600	4	200000	100000	100000	50000	4000	6	2	allsect_metaldamage_v	917|0|0	lifemax_q	580|0|0	32400
70	9	70	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	955|0|0	lifemax_q	595.1|0|0	33000
71	9	71	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	965|0|0	lifemax_q	598.9|0|0	33600
72	9	72	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	974|0|0	lifemax_q	602.7|0|0	34200
73	9	73	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	984|0|0	lifemax_q	606.5|0|0	34800
74	9	74	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	993|0|0	lifemax_q	610.3|0|0	35400
75	9	75	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	1003|0|0	lifemax_q	614.1|0|0	36000
76	9	76	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	1013|0|0	lifemax_q	618|0|0	36600
77	9	77	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	1022|0|0	lifemax_q	621.8|0|0	37200
78	9	78	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	1032|0|0	lifemax_q	625.6|0|0	37800
79	9	79	600	4	200000	100000	100000	50000	4000	7	2	allsect_metaldamage_v	1041|0|0	lifemax_q	629.4|0|0	38400
80	9	80	600	4	200000	100000	100000	50000	4000	8	2	allsect_metaldamage_v	1075|0|0	lifemax_q	642.8|0|0	39000
81	9	81	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1085|0|0	lifemax_q	646.7|0|0	39700
82	9	82	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1095|0|0	lifemax_q	650.6|0|0	40400
83	9	83	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1104|0|0	lifemax_q	654.5|0|0	41100
84	9	84	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1114|0|0	lifemax_q	658.5|0|0	41800
85	9	85	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1124|0|0	lifemax_q	662.4|0|0	42500
86	9	86	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1134|0|0	lifemax_q	666.3|0|0	43200
87	9	87	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1144|0|0	lifemax_q	670.2|0|0	43900
88	9	88	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1153|0|0	lifemax_q	674.1|0|0	44600
89	9	89	700	5	200000	100000	100000	50000	5000	8	2	allsect_metaldamage_v	1163|0|0	lifemax_q	678.1|0|0	45300
90	9	90	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1198|0|0	lifemax_q	691.8|0|0	46000
91	9	91	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1206|0|0	lifemax_q	695.2|0|0	46700
92	9	92	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1214|0|0	lifemax_q	698.6|0|0	47400
93	9	93	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1223|0|0	lifemax_q	702|0|0	48100
94	9	94	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1231|0|0	lifemax_q	705.4|0|0	48800
95	9	95	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1240|0|0	lifemax_q	708.8|0|0	49500
96	9	96	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1248|0|0	lifemax_q	712.2|0|0	50200
97	9	97	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1256|0|0	lifemax_q	715.6|0|0	50900
98	9	98	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1265|0|0	lifemax_q	719|0|0	51600
99	9	99	700	5	200000	100000	100000	50000	5000	9	2	allsect_metaldamage_v	1273|0|0	lifemax_q	722.3|0|0	52300
100	9	100	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1303|0|0	lifemax_q	734.1|0|0	53000
101	9	101	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1310|0|0	lifemax_q	736.9|0|0	53700
102	9	102	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1317|0|0	lifemax_q	739.7|0|0	54400
103	9	103	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1324|0|0	lifemax_q	742.5|0|0	55100
104	9	104	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1331|0|0	lifemax_q	745.3|0|0	55800
105	9	105	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1338|0|0	lifemax_q	748.1|0|0	56500
106	9	106	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1345|0|0	lifemax_q	750.9|0|0	57200
107	9	107	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1352|0|0	lifemax_q	753.7|0|0	57900
108	9	108	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1359|0|0	lifemax_q	756.5|0|0	58600
109	9	109	700	5	200000	100000	100000	50000	5000	10	2	allsect_metaldamage_v	1366|0|0	lifemax_q	759.3|0|0	59300
110	9	110	700	5	200000	100000	100000	50000	5000	11	2	allsect_metaldamage_v	1390|0|0	lifemax_q	769.1|0|0	60000
111	11	1	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	9|0|0	vitality_v	9|0|0	300
112	11	2	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	18|0|0	vitality_v	18|0|0	600
113	11	3	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	27|0|0	vitality_v	27|0|0	900
114	11	4	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	36|0|0	vitality_v	36|0|0	1200
115	11	5	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	45|0|0	vitality_v	45|0|0	1500
116	11	6	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	54|0|0	vitality_v	54|0|0	1800
117	11	7	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	63|0|0	vitality_v	63|0|0	2100
118	11	8	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	72|0|0	vitality_v	72|0|0	2400
119	11	9	300	2	200000	100000	100000	50000	2000	0	2	allsect_waterdamage_v	81|0|0	vitality_v	81|0|0	2700
120	11	10	300	2	200000	100000	100000	50000	2000	1	2	allsect_waterdamage_v	113|0|0	vitality_v	113|0|0	3000
121	11	11	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	124|0|0	vitality_v	124|0|0	3400
122	11	12	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	135|0|0	vitality_v	135|0|0	3800
123	11	13	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	146|0|0	vitality_v	146|0|0	4200
124	11	14	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	157|0|0	vitality_v	157|0|0	4600
125	11	15	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	169|0|0	vitality_v	169|0|0	5000
126	11	16	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	180|0|0	vitality_v	180|0|0	5400
127	11	17	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	191|0|0	vitality_v	191|0|0	5800
128	11	18	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	202|0|0	vitality_v	202|0|0	6200
129	11	19	400	3	200000	100000	100000	50000	3000	1	2	allsect_waterdamage_v	213|0|0	vitality_v	213|0|0	6600
130	11	20	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	253|0|0	vitality_v	253|0|0	7000
131	11	21	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	263|0|0	vitality_v	263|0|0	7400
132	11	22	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	273|0|0	vitality_v	273|0|0	7800
133	11	23	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	284|0|0	vitality_v	284|0|0	8200
134	11	24	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	294|0|0	vitality_v	294|0|0	8600
135	11	25	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	305|0|0	vitality_v	305|0|0	9000
136	11	26	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	315|0|0	vitality_v	315|0|0	9400
137	11	27	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	325|0|0	vitality_v	325|0|0	9800
138	11	28	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	336|0|0	vitality_v	336|0|0	10200
139	11	29	400	3	200000	100000	100000	50000	3000	2	2	allsect_waterdamage_v	346|0|0	vitality_v	346|0|0	10600
140	11	30	400	3	200000	100000	100000	50000	3000	3	2	allsect_waterdamage_v	383|0|0	vitality_v	383|0|0	11000
141	11	31	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	395|0|0	vitality_v	395|0|0	11500
142	11	32	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	407|0|0	vitality_v	407|0|0	12000
143	11	33	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	419|0|0	vitality_v	419|0|0	12500
144	11	34	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	431|0|0	vitality_v	431|0|0	13000
145	11	35	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	443|0|0	vitality_v	443|0|0	13500
146	11	36	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	455|0|0	vitality_v	455|0|0	14000
147	11	37	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	467|0|0	vitality_v	467|0|0	14500
148	11	38	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	479|0|0	vitality_v	479|0|0	15000
149	11	39	500	4	200000	100000	100000	50000	4000	3	2	allsect_waterdamage_v	491|0|0	vitality_v	491|0|0	15500
150	11	40	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	533|0|0	vitality_v	533|0|0	16000
151	11	41	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	544|0|0	vitality_v	539|0|0	16500
152	11	42	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	555|0|0	vitality_v	545|0|0	17000
153	11	43	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	566|0|0	vitality_v	551|0|0	17500
154	11	44	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	577|0|0	vitality_v	557|0|0	18000
155	11	45	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	588|0|0	vitality_v	563|0|0	18500
156	11	46	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	599|0|0	vitality_v	569|0|0	19000
157	11	47	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	610|0|0	vitality_v	575|0|0	19500
158	11	48	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	621|0|0	vitality_v	581|0|0	20000
159	11	49	500	4	200000	100000	100000	50000	4000	4	2	allsect_waterdamage_v	632|0|0	vitality_v	587|0|0	20500
160	11	50	500	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	670|0|0	vitality_v	607|0|0	21000
161	11	51	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	682|0|0	vitality_v	613|0|0	21600
162	11	52	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	694|0|0	vitality_v	619|0|0	22200
163	11	53	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	706|0|0	vitality_v	625|0|0	22800
164	11	54	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	718|0|0	vitality_v	631|0|0	23400
165	11	55	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	730|0|0	vitality_v	637|0|0	24000
166	11	56	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	742|0|0	vitality_v	643|0|0	24600
167	11	57	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	754|0|0	vitality_v	649|0|0	25200
168	11	58	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	766|0|0	vitality_v	655|0|0	25800
169	11	59	600	4	200000	100000	100000	50000	4000	5	2	allsect_waterdamage_v	778|0|0	vitality_v	661|0|0	26400
170	11	60	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	820|0|0	vitality_v	682|0|0	27000
171	11	61	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	831|0|0	vitality_v	688|0|0	27600
172	11	62	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	842|0|0	vitality_v	694|0|0	28200
173	11	63	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	852|0|0	vitality_v	699|0|0	28800
174	11	64	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	863|0|0	vitality_v	705|0|0	29400
175	11	65	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	874|0|0	vitality_v	711|0|0	30000
176	11	66	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	885|0|0	vitality_v	717|0|0	30600
177	11	67	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	896|0|0	vitality_v	723|0|0	31200
178	11	68	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	906|0|0	vitality_v	728|0|0	31800
179	11	69	600	4	200000	100000	100000	50000	4000	6	2	allsect_waterdamage_v	917|0|0	vitality_v	734|0|0	32400
180	11	70	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	955|0|0	vitality_v	754|0|0	33000
181	11	71	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	965|0|0	vitality_v	759|0|0	33600
182	11	72	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	974|0|0	vitality_v	764|0|0	34200
183	11	73	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	984|0|0	vitality_v	769|0|0	34800
184	11	74	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	993|0|0	vitality_v	774|0|0	35400
185	11	75	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	1003|0|0	vitality_v	779|0|0	36000
186	11	76	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	1013|0|0	vitality_v	784|0|0	36600
187	11	77	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	1022|0|0	vitality_v	789|0|0	37200
188	11	78	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	1032|0|0	vitality_v	794|0|0	37800
189	11	79	600	4	200000	100000	100000	50000	4000	7	2	allsect_waterdamage_v	1041|0|0	vitality_v	799|0|0	38400
190	11	80	600	4	200000	100000	100000	50000	4000	8	2	allsect_waterdamage_v	1075|0|0	vitality_v	816|0|0	39000
191	11	81	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1085|0|0	vitality_v	821|0|0	39700
192	11	82	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1095|0|0	vitality_v	826|0|0	40400
193	11	83	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1104|0|0	vitality_v	831|0|0	41100
194	11	84	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1114|0|0	vitality_v	836|0|0	41800
195	11	85	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1124|0|0	vitality_v	841|0|0	42500
196	11	86	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1134|0|0	vitality_v	846|0|0	43200
197	11	87	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1144|0|0	vitality_v	851|0|0	43900
198	11	88	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1153|0|0	vitality_v	856|0|0	44600
199	11	89	700	5	200000	100000	100000	50000	5000	8	2	allsect_waterdamage_v	1163|0|0	vitality_v	861|0|0	45300
200	11	90	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1198|0|0	vitality_v	879|0|0	46000
201	11	91	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1206|0|0	vitality_v	883|0|0	46700
202	11	92	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1214|0|0	vitality_v	887|0|0	47400
203	11	93	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1223|0|0	vitality_v	892|0|0	48100
204	11	94	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1231|0|0	vitality_v	896|0|0	48800
205	11	95	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1240|0|0	vitality_v	901|0|0	49500
206	11	96	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1248|0|0	vitality_v	905|0|0	50200
207	11	97	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1256|0|0	vitality_v	909|0|0	50900
208	11	98	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1265|0|0	vitality_v	914|0|0	51600
209	11	99	700	5	200000	100000	100000	50000	5000	9	2	allsect_waterdamage_v	1273|0|0	vitality_v	918|0|0	52300
210	11	100	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1303|0|0	vitality_v	934|0|0	53000
211	11	101	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1310|0|0	vitality_v	938|0|0	53700
212	11	102	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1317|0|0	vitality_v	942|0|0	54400
213	11	103	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1324|0|0	vitality_v	946|0|0	55100
214	11	104	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1331|0|0	vitality_v	950|0|0	55800
215	11	105	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1338|0|0	vitality_v	954|0|0	56500
216	11	106	700	5	200000	100000	100000	50000	5000	10	2	allsect_waterdamage_v	1345|0|0	vitality_v	958|0|0	57200
