AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	XiuLianRate	TimeFrame	WorldNotify	KinNotify	TeamNotify	Name
Item	211	1		100000000	100000000	OpenLevel119			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel119			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel119			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel119			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel119			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel119			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel119			3	<i18n=13890>
Award	1001	185		80000000	80000000	OpenLevel119	5	4	3	<i18n=16620>
Item	31641	1		15000000	15000000	OpenLevel119				<i18n=23775>
Coin	5000			110000000	110000000	OpenLevel129			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel129			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel129			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel129			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel129			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel129			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel129			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel129			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel129			3	<i18n=13890>
Award	1001	777		80000000	80000000	OpenLevel129	5	4	3	<i18n=35941>
Item	31641	1		15000000	15000000	OpenLevel129				<i18n=23775>
Coin	5000			110000000	110000000	OpenLevel139			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel139			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel139			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel139			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel139			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel139			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel139			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel139			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel139			3	<i18n=13890>
Award	1001	778		80000000	80000000	OpenLevel139	5	4	3	<i18n=35924>
Item	671707	1		15000000	15000000	OpenLevel139				<i18n=35937>
Coin	5000			110000000	110000000	OpenLevel149			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel149			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel149			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel149			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel149			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel149			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel149			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel149			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel149			3	<i18n=13890>
Award	1001	779		80000000	80000000	OpenLevel149	5	4	3	<i18n=35918>
Item	671707	1		15000000	15000000	OpenLevel149				<i18n=35937>
Coin	5000			110000000	110000000	OpenLevel159			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel159			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel159			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel159			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel159			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel159			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel159			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel159			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel159			3	<i18n=13890>
Award	1001	780		80000000	80000000	OpenLevel159	5	4	3	<i18n=35968>
Item	671707	1		15000000	15000000	OpenLevel159				<i18n=35937>
Coin	5000			110000000	110000000	OpenLevel169			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel169			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel169			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel169			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel169			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel169			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel169			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel169			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel169			3	<i18n=13890>
Award	1001	781		80000000	80000000	OpenLevel169	5	4	3	<i18n=35923>
Item	671708	1		15000000	15000000	OpenLevel169				<i18n=36558>
Coin	5000			110000000	110000000	OpenLevel179			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel179			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel179			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel179			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel179			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel179			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel179			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel179			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel179			3	<i18n=13890>
Award	1001	782		80000000	80000000	OpenLevel179	5	4	3	<i18n=35915>
Item	671708	1		15000000	15000000	OpenLevel179				<i18n=36558>
Coin	5000			110000000	110000000	OpenLevel189			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel189			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel189			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel189			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel189			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel189			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel189			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel189			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel189			3	<i18n=13890>
Award	1001	783		80000000	80000000	OpenLevel189	5	4	3	<i18n=35950>
Item	671708	1		15000000	15000000	OpenLevel189				<i18n=36558>
Coin	5000			110000000	110000000	OpenLevel199			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel199			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel199			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel199			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel199			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel199			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel199			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel199			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel199			3	<i18n=13890>
Award	1001	784		80000000	80000000	OpenLevel199	5	4	3	<i18n=35966>
Item	671709	1		15000000	15000000	OpenLevel199				<i18n=36522>
Coin	5000			110000000	110000000	OpenLevel209			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel209			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel209			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel209			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel209			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel209			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel209			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel209			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel209			3	<i18n=13890>
Award	1001	2052		80000000	80000000	OpenLevel209	5	4	3	<i18n=66773>
Item	671709	1		15000000	15000000	OpenLevel209				<i18n=36522>
Coin	5000			110000000	110000000	OpenLevel219			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel219			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel219			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel219			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel219			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel219			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel219			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel219			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel219			3	<i18n=13890>
Award	1001	2053		80000000	80000000	OpenLevel219	5	4	3	<i18n=66753>
Item	671709	1		15000000	15000000	OpenLevel219				<i18n=36522>
Coin	5000			110000000	110000000	OpenLevel229			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel229			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel229			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel229			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel229			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel229			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel229			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel229			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel229			3	<i18n=13890>
Award	1001	2054		80000000	80000000	OpenLevel229	5	4	3	<i18n=66747>
Item	673530	1		15000000	15000000	OpenLevel229				<i18n=66760>
Coin	5000			110000000	110000000	OpenLevel239			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel239			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel239			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel239			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel239			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel239			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel239			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel239			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel239			3	<i18n=13890>
Award	1001	2055		80000000	80000000	OpenLevel239	5	4	3	<i18n=66772>
Item	673530	1		15000000	15000000	OpenLevel239				<i18n=66760>
Coin	5000			110000000	110000000	OpenLevel249			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel249			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel249			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel249			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel249			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel249			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel249			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel249			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel249			3	<i18n=13890>
Award	1001	2056		80000000	80000000	OpenLevel249	5	4	3	<i18n=66759>
Item	673530	1		15000000	15000000	OpenLevel249				<i18n=66760>
Coin	5000			110000000	110000000	OpenLevel259			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel259			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel259			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel259			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel259			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel259			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel259			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel259			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel259			3	<i18n=13890>
Award	1001	2057		80000000	80000000	OpenLevel259	5	4	3	<i18n=66769>
Item	673531	1		15000000	15000000	OpenLevel259				<i18n=66775>
Coin	5000			110000000	110000000	OpenLevel269			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel269			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel269			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel269			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel269			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel269			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel269			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel269			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel269			3	<i18n=13890>
Award	1001	2058		80000000	80000000	OpenLevel269	5	4	3	<i18n=66749>
Item	673531	1		15000000	15000000	OpenLevel269				<i18n=66775>
Coin	5000			110000000	110000000	OpenLevel279			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel279			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel279			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel279			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel279			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel279			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel279			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel279			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel279			3	<i18n=13890>
Award	1001	2059		80000000	80000000	OpenLevel279	5	4	3	<i18n=66761>
Item	673531	1		15000000	15000000	OpenLevel279				<i18n=66775>
Coin	5000			110000000	110000000	OpenLevel289			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel289			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel289			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel289			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel289			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel289			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel289			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel289			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel289			3	<i18n=13890>
Award	1001	2060		80000000	80000000	OpenLevel289	5	4	3	<i18n=66770>
Item	673532	1		15000000	15000000	OpenLevel289				<i18n=66730>
Coin	5000			110000000	110000000	OpenLevel299			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel299			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel299			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel299			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel299			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel299			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel299			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel299			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel299			3	<i18n=13890>
Award	1001	2061		80000000	80000000	OpenLevel299	5	4	3	<i18n=66764>
Item	673532	1		15000000	15000000	OpenLevel299				<i18n=66730>
