TimeFrame	ShowAwardID	ShowNpcID	Desc	BossId	BossNum	FalseBossId	FalseBossNum	NpcLevel	SeriesType	AwardId	TongAwardId	PosIDs	MapID	MapName	Pos	Sort	Priority	FalsePriority	CanNotBianYi	Group
OpenLevel79	1	6021	<i18n=5678>	6021	1			55	2	2	17	3,4,19,20,25,26				12	7	0	0	1
OpenLevel79	1	6022	<i18n=15713>	6022	1			55	3	2	17	9,10,15,16,27,28				13	7	0	0	1
OpenLevel79	1	6023	<i18n=1006>	6023	1			55	4	2	17	17,18,11,12,21,22				14	7	0	0	1
OpenLevel79	1	6024	<i18n=14844>	6024	1			55	5	2	17	29,30,5,6,23,24				15	7	0	0	1
OpenLevel79	1	6035	<i18n=9144>	6035	2			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel79	1	6036	<i18n=1093>	6036	2			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel79	1	6037	<i18n=10136>	6037	2			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel79	1	6038	<i18n=15720>	6038	2			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel79	1	6039	<i18n=13772>	6039	2			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel89	1	6040	<i18n=9144>	6040	1			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel89	1	6041	<i18n=1093>	6041	1			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel89	1	6042	<i18n=10136>	6042	1			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel89	1	6043	<i18n=15720>	6043	1			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel89	1	6044	<i18n=13772>	6044	1			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel89	1	6055	<i18n=1955>	6055	2			95	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel89	1	6056	<i18n=107>	6056	2			95	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel89	1	6057	<i18n=9390>	6057	2			95	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel89	1	6058	<i18n=10375>	6058	2			95	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel89	1	6059	<i18n=4432>	6059	2			95	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel99	1	6045	<i18n=9144>	6045	1			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel99	1	6046	<i18n=1093>	6046	1			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel99	1	6047	<i18n=10136>	6047	1			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel99	1	6048	<i18n=15720>	6048	1			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel99	1	6049	<i18n=13772>	6049	1			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel99	1	6060	<i18n=1955>	6060	2			95	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel99	1	6061	<i18n=107>	6061	2			95	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel99	1	6062	<i18n=9390>	6062	2			95	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel99	1	6063	<i18n=10375>	6063	2			95	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel99	1	6064	<i18n=4432>	6064	2			95	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel109	1	6050	<i18n=9144>	6050	1			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel109	1	6051	<i18n=1093>	6051	1			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel109	1	6052	<i18n=10136>	6052	1			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel109	1	6053	<i18n=15720>	6053	1			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel109	1	6054	<i18n=13772>	6054	1			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel109	1	6065	<i18n=1955>	6065	2			95	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel109	1	6066	<i18n=107>	6066	2			95	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel109	1	6067	<i18n=9390>	6067	2			95	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel109	1	6068	<i18n=10375>	6068	2			95	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel109	1	6069	<i18n=4432>	6069	2			95	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel119	1	6130	<i18n=9144>	6130	1			85	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel119	1	6131	<i18n=1093>	6131	1			85	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel119	1	6132	<i18n=10136>	6132	1			85	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel119	1	6133	<i18n=15720>	6133	1			85	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel119	1	6134	<i18n=13772>	6134	1			85	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel119	1	6135	<i18n=1955>	6135	2			105	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel119	1	6136	<i18n=107>	6136	2			105	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel119	1	6137	<i18n=9390>	6137	2			105	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel119	1	6138	<i18n=10375>	6138	2			105	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel119	1	6139	<i18n=4432>	6139	2			105	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel129	1	6140	<i18n=9144>	6140	1			90	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel129	1	6141	<i18n=1093>	6141	1			90	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel129	1	6142	<i18n=10136>	6142	1			90	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel129	1	6143	<i18n=15720>	6143	1			90	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel129	1	6144	<i18n=13772>	6144	1			90	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel129	1	6145	<i18n=1955>	6145	2			110	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel129	1	6146	<i18n=107>	6146	2			110	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel129	1	6147	<i18n=9390>	6147	2			110	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel129	1	6148	<i18n=10375>	6148	2			110	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel129	1	6149	<i18n=4432>	6149	2			110	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel139	1	6150	<i18n=9144>	6150	1			90	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel139	1	6151	<i18n=1093>	6151	1			90	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel139	1	6152	<i18n=10136>	6152	1			90	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel139	1	6153	<i18n=15720>	6153	1			90	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel139	1	6154	<i18n=13772>	6154	1			90	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel139	1	6155	<i18n=1955>	6155	2			110	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel139	1	6156	<i18n=107>	6156	2			110	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel139	1	6157	<i18n=9390>	6157	2			110	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel139	1	6158	<i18n=10375>	6158	2			110	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel139	1	6159	<i18n=4432>	6159	2			110	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel149	1	6160	<i18n=9144>	6160	1			95	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel149	1	6161	<i18n=1093>	6161	1			95	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel149	1	6162	<i18n=10136>	6162	1			95	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel149	1	6163	<i18n=15720>	6163	1			95	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel149	1	6164	<i18n=13772>	6164	1			95	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel149	1	6165	<i18n=1955>	6165	2			115	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel149	1	6166	<i18n=107>	6166	2			115	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel149	1	6167	<i18n=9390>	6167	2			115	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel149	1	6168	<i18n=10375>	6168	2			115	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel149	1	6169	<i18n=4432>	6169	2			115	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel159	1	6170	<i18n=9144>	6170	1			95	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel159	1	6171	<i18n=1093>	6171	1			95	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel159	1	6172	<i18n=10136>	6172	1			95	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel159	1	6173	<i18n=15720>	6173	1			95	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel159	1	6174	<i18n=13772>	6174	1			95	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel159	1	6175	<i18n=1955>	6175	2			115	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel159	1	6176	<i18n=107>	6176	2			115	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel159	1	6177	<i18n=9390>	6177	2			115	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel159	1	6178	<i18n=10375>	6178	2			115	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel159	1	6179	<i18n=4432>	6179	2			115	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel169	1	6180	<i18n=9144>	6180	1			100	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel169	1	6181	<i18n=1093>	6181	1			100	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel169	1	6182	<i18n=10136>	6182	1			100	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel169	1	6183	<i18n=15720>	6183	1			100	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel169	1	6184	<i18n=13772>	6184	1			100	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel169	1	6185	<i18n=1955>	6185	2			120	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel169	1	6186	<i18n=107>	6186	2			120	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel169	1	6187	<i18n=9390>	6187	2			120	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel169	1	6188	<i18n=10375>	6188	2			120	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel169	1	6189	<i18n=4432>	6189	2			120	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel179	1	6190	<i18n=9144>	6190	1			100	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel179	1	6191	<i18n=1093>	6191	1			100	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel179	1	6192	<i18n=10136>	6192	1			100	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel179	1	6193	<i18n=15720>	6193	1			100	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel179	1	6194	<i18n=13772>	6194	1			100	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel179	1	6195	<i18n=1955>	6195	2			120	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel179	1	6196	<i18n=107>	6196	2			120	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel179	1	6197	<i18n=9390>	6197	2			120	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel179	1	6198	<i18n=10375>	6198	2			120	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel179	1	6199	<i18n=4432>	6199	2			120	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel189	1	6200	<i18n=9144>	6200	1			105	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel189	1	6201	<i18n=1093>	6201	1			105	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel189	1	6202	<i18n=10136>	6202	1			105	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel189	1	6203	<i18n=15720>	6203	1			105	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel189	1	6204	<i18n=13772>	6204	1			105	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel189	1	6205	<i18n=1955>	6205	2			125	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel189	1	6206	<i18n=107>	6206	2			125	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel189	1	6207	<i18n=9390>	6207	2			125	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel189	1	6208	<i18n=10375>	6208	2			125	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel189	1	6209	<i18n=4432>	6209	2			125	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel199	1	6210	<i18n=9144>	6210	1			105	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel199	1	6211	<i18n=1093>	6211	1			105	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel199	1	6212	<i18n=10136>	6212	1			105	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel199	1	6213	<i18n=15720>	6213	1			105	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel199	1	6214	<i18n=13772>	6214	1			105	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel199	1	6215	<i18n=1955>	6215	2			125	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel199	1	6216	<i18n=107>	6216	2			125	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel199	1	6217	<i18n=9390>	6217	2			125	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel199	1	6218	<i18n=10375>	6218	2			125	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel199	1	6219	<i18n=4432>	6219	2			125	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel209	1	6050	<i18n=9144>	6050	1			110	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel209	1	6051	<i18n=1093>	6051	1			110	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel209	1	6052	<i18n=10136>	6052	1			110	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel209	1	6053	<i18n=15720>	6053	1			110	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel209	1	6054	<i18n=13772>	6054	1			110	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel209	1	6065	<i18n=1955>	6065	2			130	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel209	1	6066	<i18n=107>	6066	2			130	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel209	1	6067	<i18n=9390>	6067	2			130	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel209	1	6068	<i18n=10375>	6068	2			130	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel209	1	6069	<i18n=4432>	6069	2			130	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel219	1	6130	<i18n=9144>	6130	1			115	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel219	1	6131	<i18n=1093>	6131	1			115	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel219	1	6132	<i18n=10136>	6132	1			115	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel219	1	6133	<i18n=15720>	6133	1			115	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel219	1	6134	<i18n=13772>	6134	1			115	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel219	1	6135	<i18n=1955>	6135	2			135	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel219	1	6136	<i18n=107>	6136	2			135	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel219	1	6137	<i18n=9390>	6137	2			135	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel219	1	6138	<i18n=10375>	6138	2			135	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel219	1	6139	<i18n=4432>	6139	2			135	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel229	1	6140	<i18n=9144>	6140	1			120	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel229	1	6141	<i18n=1093>	6141	1			120	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel229	1	6142	<i18n=10136>	6142	1			120	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel229	1	6143	<i18n=15720>	6143	1			120	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel229	1	6144	<i18n=13772>	6144	1			120	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel229	1	6145	<i18n=1955>	6145	2			140	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel229	1	6146	<i18n=107>	6146	2			140	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel229	1	6147	<i18n=9390>	6147	2			140	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel229	1	6148	<i18n=10375>	6148	2			140	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel229	1	6149	<i18n=4432>	6149	2			140	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel239	1	6150	<i18n=9144>	6150	1			125	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel239	1	6151	<i18n=1093>	6151	1			125	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel239	1	6152	<i18n=10136>	6152	1			125	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel239	1	6153	<i18n=15720>	6153	1			125	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel239	1	6154	<i18n=13772>	6154	1			125	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel239	1	6155	<i18n=1955>	6155	2			145	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel239	1	6156	<i18n=107>	6156	2			145	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel239	1	6157	<i18n=9390>	6157	2			145	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel239	1	6158	<i18n=10375>	6158	2			145	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel239	1	6159	<i18n=4432>	6159	2			145	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel249	1	6160	<i18n=9144>	6160	1			130	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel249	1	6161	<i18n=1093>	6161	1			130	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel249	1	6162	<i18n=10136>	6162	1			130	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel249	1	6163	<i18n=15720>	6163	1			130	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel249	1	6164	<i18n=13772>	6164	1			130	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel249	1	6165	<i18n=1955>	6165	2			150	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel249	1	6166	<i18n=107>	6166	2			150	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel249	1	6167	<i18n=9390>	6167	2			150	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel249	1	6168	<i18n=10375>	6168	2			150	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel249	1	6169	<i18n=4432>	6169	2			150	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel259	1	6170	<i18n=9144>	6170	1			135	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel259	1	6171	<i18n=1093>	6171	1			135	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel259	1	6172	<i18n=10136>	6172	1			135	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel259	1	6173	<i18n=15720>	6173	1			135	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel259	1	6174	<i18n=13772>	6174	1			135	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel259	1	6175	<i18n=1955>	6175	2			155	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel259	1	6176	<i18n=107>	6176	2			155	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel259	1	6177	<i18n=9390>	6177	2			155	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel259	1	6178	<i18n=10375>	6178	2			155	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel259	1	6179	<i18n=4432>	6179	2			155	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel269	1	6180	<i18n=9144>	6180	1			140	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel269	1	6181	<i18n=1093>	6181	1			140	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel269	1	6182	<i18n=10136>	6182	1			140	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel269	1	6183	<i18n=15720>	6183	1			140	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel269	1	6184	<i18n=13772>	6184	1			140	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel269	1	6185	<i18n=1955>	6185	2			160	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel269	1	6186	<i18n=107>	6186	2			160	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel269	1	6187	<i18n=9390>	6187	2			160	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel269	1	6188	<i18n=10375>	6188	2			160	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel269	1	6189	<i18n=4432>	6189	2			160	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel279	1	6190	<i18n=9144>	6190	1			145	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel279	1	6191	<i18n=1093>	6191	1			145	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel279	1	6192	<i18n=10136>	6192	1			145	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel279	1	6193	<i18n=15720>	6193	1			145	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel279	1	6194	<i18n=13772>	6194	1			145	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel279	1	6195	<i18n=1955>	6195	2			165	1	12	27	61,62,67,68,73,74				1	7	0	0	1
OpenLevel279	1	6196	<i18n=107>	6196	2			165	2	12	27	63,64,79,80,85,86				2	7	0	0	1
OpenLevel279	1	6197	<i18n=9390>	6197	2			165	3	12	27	69,70,75,76,87,88				3	7	0	0	1
OpenLevel279	1	6198	<i18n=10375>	6198	2			165	4	12	27	77,78,71,72,81,82				4	7	0	0	1
OpenLevel279	1	6199	<i18n=4432>	6199	2			165	5	12	27	89,90,65,66,83,84				5	7	0	0	1
OpenLevel289	1	6200	<i18n=9144>	6200	1			150	1	7	22	31,32,37,38,43,44				6	7	0	0	1
