Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	AttributePower	FightPower	DeadlyStrikeV	DeadlyStrikeDamageV	SeriesEnhanceV	BlockV	BlockDamageResistV	MaxLife	MaxMana	Miss	HitRate	MinBaseAttack	MaxBaseAttack	RecoverManaV
52	936000000	45000	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0
53	946000000	45000	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0
54	956000000	45000	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0
55	966000000	45000	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0
56	976000000	45000	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0
57	986000000	45000	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0
58	996000000	45000	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0
59	1006000000	45000	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0
60	916000000	45000	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0
61	926000000	45000	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0
62	936000000	45000	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0
63	946000000	45000	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0
64	956000000	45000	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0
65	966000000	45000	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0
66	976000000	45000	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0
67	986000000	45000	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0
68	996000000	45000	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0
69	1006000000	45000	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0
70	916000000	45000	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0
71	926000000	45000	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0
72	936000000	45000	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0
73	946000000	45000	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0
74	956000000	45000	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0
75	966000000	45000	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
76	976000000	45000	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0
77	986000000	45000	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0
78	996000000	45000	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0
79	1006000000	45000	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0
80	916000000	45000	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0
81	926000000	45000	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0
82	936000000	45000	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0
83	946000000	45000	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0
84	956000000	45000	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0
85	966000000	45000	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0
86	976000000	45000	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0
87	986000000	45000	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0
88	996000000	45000	0	0	0	0	0	0	528	0	0	0	0	0	0	0	0	0
89	1006000000	45000	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0
90	916000000	45000	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0
91	926000000	45000	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0
92	936000000	45000	0	0	0	0	0	0	552	0	0	0	0	0	0	0	0	0
93	946000000	45000	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0
94	956000000	45000	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0
95	966000000	45000	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0
96	976000000	45000	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0
97	986000000	45000	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0
98	996000000	45000	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0
99	1006000000	45000	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0
100	916000000	45000	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0
101	926000000	45000	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0
102	936000000	45000	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0
103	946000000	45000	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0
104	956000000	45000	0	0	0	0	0	0	624	0	0	0	0	0	0	0	0	0
105	966000000	45000	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0
106	976000000	45000	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	0
107	986000000	45000	0	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0
108	996000000	45000	0	0	0	0	0	0	648	0	0	0	0	0	0	0	0	0
109	1006000000	45000	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0
110	916000000	45000	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0
111	926000000	45000	0	0	0	0	0	0	666	0	0	0	0	0	0	0	0	0
112	936000000	45000	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0
113	946000000	45000	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0
114	956000000	45000	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	0
115	966000000	45000	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0
116	976000000	45000	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0
117	986000000	45000	0	0	0	0	0	0	702	0	0	0	0	0	0	0	0	0
118	996000000	45000	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	0
119	1006000000	45000	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0
120	916000000	45000	0	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0
121	926000000	45000	0	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0
122	936000000	45000	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0
123	946000000	45000	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0
124	956000000	45000	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0
125	966000000	45000	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0
126	976000000	45000	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0
127	986000000	45000	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0
128	996000000	45000	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0
129	1006000000	45000	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0
130	916000000	45000	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0
131	926000000	45000	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0
132	936000000	45000	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0
133	946000000	45000	0	0	0	0	0	0	798	0	0	0	0	0	0	0	0	0
134	956000000	45000	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0
135	966000000	45000	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0
136	976000000	45000	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0
137	986000000	45000	0	0	0	0	0	0	822	0	0	0	0	0	0	0	0	0
138	996000000	45000	0	0	0	0	0	0	828	0	0	0	0	0	0	0	0	0
139	1006000000	45000	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0
140	916000000	45000	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0
141	926000000	45000	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	0
142	936000000	45000	0	0	0	0	0	0	852	0	0	0	0	0	0	0	0	0
143	946000000	45000	0	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0
144	956000000	45000	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0
145	966000000	45000	0	0	0	0	0	0	870	0	0	0	0	0	0	0	0	0
146	976000000	45000	0	0	0	0	0	0	876	0	0	0	0	0	0	0	0	0
147	986000000	45000	0	0	0	0	0	0	882	0	0	0	0	0	0	0	0	0
148	996000000	45000	0	0	0	0	0	0	888	0	0	0	0	0	0	0	0	0
149	1006000000	45000	0	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0
150	916000000	45000	0	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0
151	926000000	45000	0	0	0	0	0	0	906	0	0	0	0	0	0	0	0	0
152	936000000	45000	0	0	0	0	0	0	912	0	0	0	0	0	0	0	0	0
153	946000000	45000	0	0	0	0	0	0	918	0	0	0	0	0	0	0	0	0
154	956000000	45000	0	0	0	0	0	0	924	0	0	0	0	0	0	0	0	0
155	966000000	45000	0	0	0	0	0	0	930	0	0	0	0	0	0	0	0	0
156	976000000	45000	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0
157	986000000	45000	0	0	0	0	0	0	942	0	0	0	0	0	0	0	0	0
158	996000000	45000	0	0	0	0	0	0	948	0	0	0	0	0	0	0	0	0
159	1006000000	45000	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0
160	916000000	45000	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0
161	926000000	45000	0	0	0	0	0	0	966	0	0	0	0	0	0	0	0	0
162	936000000	45000	0	0	0	0	0	0	972	0	0	0	0	0	0	0	0	0
163	946000000	45000	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0
164	956000000	45000	0	0	0	0	0	0	984	0	0	0	0	0	0	0	0	0
165	966000000	45000	0	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0
166	976000000	45000	0	0	0	0	0	0	996	0	0	0	0	0	0	0	0	0
167	986000000	45000	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0
168	996000000	45000	0	0	0	0	0	0	1008	0	0	0	0	0	0	0	0	0
169	1006000000	45000	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	0	0
170	916000000	45000	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0
171	926000000	45000	0	0	0	0	0	0	1026	0	0	0	0	0	0	0	0	0
172	936000000	45000	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	0	0
173	946000000	45000	0	0	0	0	0	0	1038	0	0	0	0	0	0	0	0	0
174	956000000	45000	0	0	0	0	0	0	1044	0	0	0	0	0	0	0	0	0
175	966000000	45000	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0
176	976000000	45000	0	0	0	0	0	0	1056	0	0	0	0	0	0	0	0	0
177	986000000	45000	0	0	0	0	0	0	1062	0	0	0	0	0	0	0	0	0
178	996000000	45000	0	0	0	0	0	0	1068	0	0	0	0	0	0	0	0	0
179	1006000000	45000	0	0	0	0	0	0	1074	0	0	0	0	0	0	0	0	0
180	916000000	45000	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0
181	926000000	45000	0	0	0	0	0	0	1086	0	0	0	0	0	0	0	0	0
182	936000000	45000	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0
183	946000000	45000	0	0	0	0	0	0	1098	0	0	0	0	0	0	0	0	0
184	956000000	45000	0	0	0	0	0	0	1104	0	0	0	0	0	0	0	0	0
185	966000000	45000	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0
186	976000000	45000	0	0	0	0	0	0	1116	0	0	0	0	0	0	0	0	0
187	986000000	45000	0	0	0	0	0	0	1122	0	0	0	0	0	0	0	0	0
188	996000000	45000	0	0	0	0	0	0	1128	0	0	0	0	0	0	0	0	0
189	1006000000	45000	0	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0
190	916000000	45000	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0
191	926000000	45000	0	0	0	0	0	0	1146	0	0	0	0	0	0	0	0	0
192	936000000	45000	0	0	0	0	0	0	1152	0	0	0	0	0	0	0	0	0
193	946000000	45000	0	0	0	0	0	0	1158	0	0	0	0	0	0	0	0	0
194	956000000	45000	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0
195	966000000	45000	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0
196	976000000	45000	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	0	0
197	986000000	45000	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	0
198	996000000	45000	0	0	0	0	0	0	1188	0	0	0	0	0	0	0	0	0
199	1006000000	45000	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0
200	916000000	45000	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0
