nId	nSkillId	szName	szTypeDesc	nSect	szXinFaStageNeeded	nStagelevel	nMaxLevel	nCostPoint	nUIShowPos	szSkillPointNeeded	szPreSkillDemand	nExtraFightPower
11	11126	<i18n=57617>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	2	1,2,3,7,8,9,13,14,15,19,20,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68,69,73,74,75,79,80,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110,111,115,116,117	10	400
12	11127	<i18n=57641>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	3	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	11	400
13	11128	<i18n=57551>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	4	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	11	400
14	11129	<i18n=57655>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	5	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	12	400
15	11130	<i18n=57552>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	6	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	13	400
16	11131	<i18n=57576>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	7	8,13,14,23,28,29,38,43,44,53,58,59,68,73,74,83,88,89,98,103,104,113,118,119,128,133,134,143,148,149,158,163,164,173,178,179,188,193,194,203,208,209,218,223,224,233,238,239,248,253,254,263,268,269,278,283,284,293,298,299	14,15	400
17	11132	<i18n=57608>	<i18n=58486>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	8	13,15,17,33,35,37,53,55,57,73,75,77,93,95,97,113,115,117,133,135,137,153,155,157,173,175,177,193,195,197,213,215,217,233,235,237,253,255,257,273,275,277,293,295,297,313,315,317,333,335,337,353,355,357,373,375,377,393,395,397	16	400
18	11134	<i18n=59258>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	1	0,0,0,6,6,6,12,12,12,18,18,18,24,24,24,30,30,30,36,36,36,42,42,42,48,48,48,54,54,54,60,60,60,66,66,66,72,72,72,78,78,78,84,84,84,90,90,90,96,96,96,102,102,102,108,108,108,114,114,114	1	400
19	11139	<i18n=57562>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	2	1,2,3,7,8,9,13,14,15,19,20,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68,69,73,74,75,79,80,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110,111,115,116,117	18	400
20	11140	<i18n=57649>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	3	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	19	400
21	11141	<i18n=57665>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	4	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	19	400
22	11142	<i18n=57674>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	5	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	20	400
23	11143	<i18n=57660>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	6	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	21	400
24	11144	<i18n=57618>	<i18n=14787>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	7	8,13,14,23,28,29,38,43,44,53,58,59,68,73,74,83,88,89,98,103,104,113,118,119,128,133,134,143,148,149,158,163,164,173,178,179,188,193,194,203,208,209,218,223,224,233,238,239,248,253,254,263,268,269,278,283,284,293,298,299	22,23	400
25	11145	<i18n=57659>	<i18n=58486>	3	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	8	13,15,17,33,35,37,53,55,57,73,75,77,93,95,97,113,115,117,133,135,137,153,155,157,173,175,177,193,195,197,213,215,217,233,235,237,253,255,257,273,275,277,293,295,297,313,315,317,333,335,337,353,355,357,373,375,377,393,395,397	24	400
26	11147	<i18n=57639>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	1	0,0,0,6,6,6,12,12,12,18,18,18,24,24,24,30,30,30,36,36,36,42,42,42,48,48,48,54,54,54,60,60,60,66,66,66,72,72,72,78,78,78,84,84,84,90,90,90,96,96,96,102,102,102,108,108,108,114,114,114	1	400
27	11148	<i18n=57570>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	2	1,2,3,7,8,9,13,14,15,19,20,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68,69,73,74,75,79,80,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110,111,115,116,117	26	400
28	11149	<i18n=57648>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	3	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	27	400
29	11150	<i18n=57598>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	4	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	27	400
30	11151	<i18n=57549>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	5	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	28	400
31	11152	<i18n=57571>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	6	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	29	400
32	11153	<i18n=57553>	<i18n=14787>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	7	8,13,14,23,28,29,38,43,44,53,58,59,68,73,74,83,88,89,98,103,104,113,118,119,128,133,134,143,148,149,158,163,164,173,178,179,188,193,194,203,208,209,218,223,224,233,238,239,248,253,254,263,268,269,278,283,284,293,298,299	30,31	400
33	11154	<i18n=57657>	<i18n=58486>	4	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	8	13,15,17,33,35,37,53,55,57,73,75,77,93,95,97,113,115,117,133,135,137,153,155,157,173,175,177,193,195,197,213,215,217,233,235,237,253,255,257,273,275,277,293,295,297,313,315,317,333,335,337,353,355,357,373,375,377,393,395,397	32	400
