nRandAttrLevel	lifemax_v	manamax_v	metal_resist_v	all_series_resist_v	allsect_metaldamage_v	defense_v	ignore_defense_v	deadlystrike_v	weaken_deadlystrike_v	deadlystrike_damage_v	weaken_deadlystrike_damage_v	basic_damage_v	attackrating_v	ignore_all_resist_v	steallife_v	ignore_metal_resist_v	ignore_wood_resist_v	ignore_water_resist_v	ignore_fire_resist_v	ignore_earth_resist_v	recover_life_v	recover_mana_v
36	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
37	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
38	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
39	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
40	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
41	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
42	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
43	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
44	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
45	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
46	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
47	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
48	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
49	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
50	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
51	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
52	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
53	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
54	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
55	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
56	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
57	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
58	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
59	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
60	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
61	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
62	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
63	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
64	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
65	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
66	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
67	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
68	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
69	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
70	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
71	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
72	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
73	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
74	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
75	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
76	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
77	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
78	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
79	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
80	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
81	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
82	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
83	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
84	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
85	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
86	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
87	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
88	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
89	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
90	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
91	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
92	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
93	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
94	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
95	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
96	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
97	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
98	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
99	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
100	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
101	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
102	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
103	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
104	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
105	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
106	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
107	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
108	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
109	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
110	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
111	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
112	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
113	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
114	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
115	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
116	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
117	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
118	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
119	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
120	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
121	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
122	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
123	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
124	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
125	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
126	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
127	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
128	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
129	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
130	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
131	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
132	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
133	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
134	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
135	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
136	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
137	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
138	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
139	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
140	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
141	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
142	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
143	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
144	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
145	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
146	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
147	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
148	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
149	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
150	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
151	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
152	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
153	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
154	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
155	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
156	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
157	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
158	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
159	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
160	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
161	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
162	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
163	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
164	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
165	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
166	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
167	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
168	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
169	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
170	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
171	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
172	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
173	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
174	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
175	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
176	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
177	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
178	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
179	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
180	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
