NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
鬼奴 	鬼奴 	6118 	1		46815	69121	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		46832	68075	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		47826	69191	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		47879	68145	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		71631	45794	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		71611	44408	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		72976	45387	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		72895	44367	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		53047	21291	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		53100	20191	0	0	191	-1	0	0			1	
鬼使	鬼使	6119	1		54253	21185	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		54218	20298	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		41205	53292	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		41288	52005	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		42525	53094	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		42542	52038	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		56981	37516	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		56981	35965	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		57905	37186	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		57971	35965	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		62617	22013	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		62678	20599	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		63941	21893	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		63941	20509	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		71507	32873	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		71507	31489	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		72905	32963	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		72845	31369	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		27927	46038	0	0	191	-1	0	0			1	
鬼使 	鬼使 	6119	1		49588	44516	0	0	191	-1	0	0			1	
鬼使 	鬼使 	6119	1		59772	53926	0	0	191	-1	0	0			1	
鬼使	鬼使	6119	1		67255	26547	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		75605	38714	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		77060	38598	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		76943	37210	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		75605	37330	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		58519	16415	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		56977	16396	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		56977	15012	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		58576	14744	0	0	191	-1	0	0			1	
