nResId	nFaction	szMaleEquipId1	szMaleEquipId2	szMaleEquipId3	szFemaleEquipId1	szFemaleEquipId2	szFemaleEquipId3
11	11	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
12	5				nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
13	13	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
14	14	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
15	15	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
16	16	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
17	17	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
18	18	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
19	19	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
20	20	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
