nFormulaId	szMaterials	szProduct	nBagCount	bImportant	nSourceFormulaId
68	Item|1637|1;Item|1638|1;Item|1639|1;Item|1640|1	Item|1642|1	0.02	0	
69	Item|1641|1	Award|1281|5	0.02	0	67
70	Item|1642|1	Award|1281|6	0.1	0	68
76	Item|1685|1;Item|1689|1	Item|1684|1	0.02	0	
77	Item|1685|1;Item|1689|1;Item|1686|1	Item|1688|1	0.02	0	
78	Item|1684|1		0.02	0	76
79	Item|1688|1	Award|1217|3	0.1	0	77
82	Item|1745|1;Item|1746|1;Item|1748|1	Item|1713|1	0.02	0	
83	Item|1745|1;Item|1746|1	Item|1712|1	0.02	0	
84	Item|1785|1;Item|1786|1;Item|1796|1	Item|1788|1	0.02	0	
85	Item|1785|1;Item|1786|1;Item|1787|1	Item|1789|1	0.02	0	
86	Item|1788|1		0.02	0	84
87	Item|1789|1	Award|1234|3	0.1	0	85
89	Item|1848|1		0.1	0	
90	Item|1802|1;Item|1803|1	Item|1805|1	0.02	0	
91	Item|1802|1;Item|1803|1;Item|1804|1	Item|1806|1	0.02	0	
92	Item|1805|1		0.02	0	90
93	Item|1806|1		0.1	0	91
94	Item|1811|1	Award|1242|22	0.1	0	
96	Item|672954|1;Item|672955|1	Item|672957|1	0.02	0	
97	Item|672954|1;Item|672956|1	Item|672958|1	0.02	0	
98	Item|672957|1	Award|1251|27	0.02	0	96
99	Item|672958|1	Award|1251|28	0.1	0	97
103	Item|1857|1;Item|1858|1	Item|1860|1	0.02	0	
104	Item|1857|1;Item|1858|1;Item|1859|1	Item|1861|1	0.02	0	
105	Item|1860|1		0.02	0	103
106	Item|1861|1		0.1	0	104
107	Item|1875|1;Item|1876|1;Item|1877|1	Item|1879|1	0.02	0	
108	Item|1875|1;Item|1876|1;Item|1877|1;Item|1878|1	Item|1880|1	0.02	0	
109	Item|1879|1		0.02	0	107
110	Item|1880|1		0.1	0	108
115	Item|1894|1;Item|1895|1	Item|1897|1	0.02	0	
116	Item|1894|1;Item|1895|1;Item|1896|1	Item|1898|1	0.02	0	
117	Item|1897|1		0.02	0	115
118	Item|1898|1		0.1	0	116
119	Item|1900|1	Award|1242|22	0.1	0	
122	Item|1904|1;Item|1905|1	Item|1907|1	0.02	0	
123	Item|1904|1;Item|1905|1;Item|1906|1	Item|1908|1	0.02	0	
124	Item|1907|1		0.02	0	122
125	Item|1908|1		0.1	0	123
126	Item|1910|1	Award|1307|22	0.1	0	
127	Item|1328|1;Item|1324|1;Item|1325|1;Item|1326|1;Item|1327|1	Item|1330|1	0.02	1	
128	Item|1329|1;Item|1324|1;Item|1325|1;Item|1326|1;Item|1327|1	Item|1331|1	0.02	0	
129	Item|1330|1	Award|1310|47	0.1	0	
130	Item|1331|1	Award|1310|46	0.1	0	
131	Item|1323|1		0.1	0	
132	Item|1853|1;Item|674512|1	Item|674515|1	0.01	0	
133	Item|1915|1;Item|1916|1	Item|1918|1	0.02	0	
134	Item|1915|1;Item|1916|1;Item|1917|1	Item|1919|1	0.02	0	
135	Item|1918|1		0.02	0	122
136	Item|1919|1		0.1	0	123
137	Item|1921|1	Award|1318|16	0.1	0	
