nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	szBossNpcId	nReach	szTargetDesc	szProcessDesc	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
52	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|2000;12493|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|59	60|79	80|99	100|120		0
53	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|59	60|79	80|99	100|120		0
54	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|59	60|79	80|99	100|120		0
55	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	18777	23885	0|59	60|79	80|99	100|120		0
76	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|2000;12495|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|59	60|79	80|99	100|120		0
77	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|2000;12495|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|59	60|79	80|99	100|120		0
78	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|59	60|79	80|99	100|120		0
79	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|59	60|79	80|99	100|120		0
80	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	21584	26882	0|59	60|79	80|99	100|120		0
101	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	20729	16062	0|29	30|59	60|89	90|120		0
102	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	20729	16062	0|29	30|59	60|89	90|120		0
103	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	20729	16062	0|29	30|59	60|89	90|120		0
104	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	20729	16062	0|29	30|59	60|89	90|120		0
105	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	20729	16062	0|29	30|59	60|89	90|120		0
126	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|29	30|59	60|89	90|120		0
127	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|29	30|59	60|89	90|120		0
128	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|29	30|59	60|89	90|120		0
129	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|29	30|59	60|89	90|120		0
130	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	23323	33291	0|29	30|59	60|89	90|120		0
151	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|1000;12493|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|29	30|59	60|89	90|120		0
152	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|1000;12493|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|29	30|59	60|89	90|120		0
153	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|29	30|59	60|89	90|120		0
154	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|29	30|59	60|89	90|120		0
155	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	18777	23885	0|29	30|59	60|89	90|120		0
176	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|1000;12495|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|29	30|59	60|89	90|120		0
177	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|1000;12495|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|29	30|59	60|89	90|120		0
178	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|29	30|59	60|89	90|120		0
179	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	21584	26882	0|29	30|59	60|89	90|120		0
180	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	21584	26882	0|29	30|59	60|89	90|120		0
