nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	nLessThan	szTargetDesc	szProcessDesc	szMonsterNpcType	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
145	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
166	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
167	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
168	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
169	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
170	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
191	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
192	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
193	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
194	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
195	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
