nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	nMoreThan	szTargetDesc	szProcessDesc	nInteractNpcId	nInteractNpcNum	nMaxInteractCount	nInteractTime	nInteractCd	szOccupyMsg	szNotCdReady	szMaxInteractNumMsg	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
75	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|2000;12493|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	8|11		0
96	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12494|10|2000;12495|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	8|11		0
97	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12494|10|2000;12495|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	8|11		0
98	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|2000;12495|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	8|11		0
99	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|2000;12495|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	8|11		0
100	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|2000;12495|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	8|11		0
121	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	6|11		0
122	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	6|11		0
123	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	6|11		0
124	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	6|11		0
125	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	6|11		0
146	6	120	30	80	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12490|10|2000;12491|40|2000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	6|11		0
147	6	120	30	80	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12490|10|2000;12491|40|2000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	6|11		0
148	6	120	30	80	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	6|11		0
149	6	120	30	80	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	6|11		0
150	6	120	30	80	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	6|11		0
171	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12492|10|1000;12493|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	6|11		0
172	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12492|10|1000;12493|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	6|11		0
173	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|1000;12493|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	6|11		0
174	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|1000;12493|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	6|11		0
175	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|1000;12493|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	6|11		0
196	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12494|10|1000;12495|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	6|11		0
197	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12494|10|1000;12495|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	6|11		0
198	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|1000;12495|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	6|11		0
199	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|1000;12495|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	6|11		0
200	6	120	30	90	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12494|10|1000;12495|40|1000	3	40	6	<i18n=46517>	<i18n=37505>	12500	4	1	4	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	21584	26882	20|99	16|19	12|15	6|11		0
